Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
M,ASIAN,-1,Low,PUBLIC,NONE,CS,1590,7.5,8.7,Accepted
M,ASIAN,CO,High,PUBLIC,FIRST-GEN,-1,1430,5.5,2.5,Accepted
M,ASIAN,CO,High,PUBLIC,FIRST-GEN,-1,1430,5.5,2.5,Accepted
M,BLACK,TX,Low,PUBLIC,URM,POLISCI,1470,6.5,2.5,Accepted
F,ASIAN,-1,Low,PRIVATE,NONE,CS,1560,5.5,3.7,Accepted
M,ASIAN,PA,High,PRIVATE,NONE,CS,1560,7.5,4.5,Accepted
M,BLACK,IN,High,PUBLIC,NONE,-1,1470,4.5,7.5,Accepted
M,WHITE,NY,Low,PUBLIC,NONE,CS,1540,8.5,4.5,Accepted
F,WHITE,-1,High,PUBLIC,LEGACY,POLISCI,1540,6.5,6.5,Accepted
M,BLACK,-1,Middle,-1,URM,CS,1510,7.5,2.5,Accepted
F,ASIAN,-1,High,PUBLIC,LEGACY,CS,1590,6.5,4.5,Accepted
F,ASIAN,OR,High,PUBLIC,NONE,CS,1570,5.5,4.7,Accepted
NB,ASIAN,CA,Low,PUBLIC,NONE,CS,1590,3.5,6.2,Accepted
M,BLACK,-1,Low,-1,NONE,BIO,1420,7.5,0.0,Accepted
M,ASIAN,TX,Low,PRIVATE,NONE,UNDECIDED,1360,6.5,2.5,Accepted
F,ASIAN,-1,Low,-1,FIRST-GEN,BUSINESS,1540,6.5,1.5,Accepted
F,WHITE,FL,Low,PUBLIC,FIRST-GEN,ENG,1430,7.0,4.5,Accepted
M,ASIAN,CA,High,PUBLIC,NONE,CS,1560,5.5,6.5,Accepted
F,ASIAN,CO,High,PRIVATE,NONE,CS,1540,6.5,4.7,Accepted
F,ASIAN,CA,Low,PUBLIC,NONE,SOCIAL SCIENCES,1530,6.5,4.2,Accepted
F,WHITE,TX,Low,PUBLIC,FIRST-GEN,ENG,1530,7.5,3.7,Accepted
F,WHITE,-1,Low,PUBLIC,NONE,HUMANITIES,1400,5.0,9.2,Accepted
M,ASIAN,CA,High,PRIVATE,NONE,BIO,1520,5.0,6.8,Accepted
M,ASIAN,CO,Low,PUBLIC,FIRST-GEN,HUMANITIES,1510,2.5,6.5,Accepted
M,ASIAN,FL,Low,LARGE,FIRST-GEN,DESIGN,1500,3.5,6.5,Accepted
M,ASIAN,MA,Low,PUBLIC,URM,CHEMISTRY,1500,5.0,2.5,Accepted
M,WHITE,CA,Low,-1,NONE,CS,1590,7.5,6.5,Accepted
F,ASIAN,MI,High,PUBLIC,FIRST-GEN,ENG,1500,6.5,3.7,Accepted
F,ASIAN,CO,Low,CHARTER,NONE,CS,1580,7.5,6.5,Accepted
M,ASIAN,DC,Low,PUBLIC,FIRST-GEN,CHEMISTRY,1570,3.5,6.5,Rejected
M,ASIAN,OR,High,PUBLIC,NONE,BIO,1410,5.5,7.5,Rejected
F,ASIAN,NY,Low,PUBLIC,NONE,CS,1600,6.5,7.5,Rejected
F,WHITE,TX,Low,PUBLIC,URM,CS,1420,5.5,4.5,Rejected
NB,WHITE,MA,Middle,-1,NONE,POLISCI,1500,3.5,1.5,Rejected
F,BLACK,-1,Low,-1,URM,BUSINESS,1430,6.5,4.5,Rejected
M,ASIAN,DC,Low,PUBLIC,FIRST-GEN,CHEMISTRY,1570,3.5,6.2,Rejected
M,BLACK,ND,Low,PUBLIC,URM,CS,1530,6.5,4.7,Rejected
M,BLACK,TX,Low,PUBLIC,URM,POLISCI,1470,6.5,2.5,Rejected
F,WHITE,NE,High,SMALL,URM,POLISCI,1500,5.5,4.5,Rejected
F,WHITE,CA,High,PUBLIC,NONE,CS,1500,5.5,4.5,Rejected
F,WHITE,VA,Low,PUBLIC,LEGACY,CS,1590,4.5,7.2,Rejected
F,WHITE,IL,High,PUBLIC,NONE,CS,1600,6.5,7.5,Rejected
F,BLACK,UT,Low,-1,NONE,HUMANITIES,1170,5.5,1.0,Rejected
M,WHITE,MI,Low,PUBLIC,NONE,CS,1520,6.5,7.2,Rejected
M,BLACK,IN,High,PUBLIC,NONE,-1,1470,4.5,7.5,Rejected
M,WHITE,MA,Middle,PUBLIC,NONE,POLISCI,1590,6.5,6.7,Rejected
F,ASIAN,VA,High,PUBLIC,NONE,POLISCI,1510,6.5,6.2,Rejected
F,BLACK,MI,Low,-1,URM,-1,1510,7.5,0.0,Rejected
F,BLACK,MI,Low,PUBLIC,URM,BIO,1420,5.5,4.7,Rejected
F,ASIAN,OR,High,PRIVATE,NONE,CS,1540,7.5,7.5,Rejected
M,ASIAN,MA,Low,-1,LEGACY,ENG,1520,6.5,1.0,Rejected
F,WHITE,VA,High,PUBLIC,LEGACY,MEDIA STUDIES,1390,6.5,8.5,Rejected
M,ASIAN,IN,High,PRIVATE,LEGACY,CS,1470,7.5,6.5,Rejected
F,WHITE,-1,High,PUBLIC,LEGACY,POLISCI,1540,6.5,6.5,Rejected
M,HISPANIC,TN,High,PUBLIC,NONE,PREMED,1480,6.5,6.8,Rejected
F,ASIAN,MI,Low,PUBLIC,NONE,CS,1550,6.5,7.3,Rejected
F,WHITE,OR,-1,PUBLIC,LEGACY,CS,1510,6.5,0.0,Rejected
M,HISPANIC,UT,High,-1,URM,BIO,1440,7.5,8.7,Rejected
NB,WHITE,DC,-1,PUBLIC,LEGACY,CS,1470,6.5,4.5,Rejected
M,WHITE,MA,High,PRIVATE,NONE,PREMED,1530,6.5,4.7,Rejected
M,WHITE,INTERNATIONAL,Low,PUBLIC,NONE,BUSINESS,1520,7.5,9.2,Rejected
M,WHITE,MA,Low,PUBLIC,LEGACY,PSYCH,1530,6.5,4.5,Rejected
M,WHITE,CA,Low,-1,URM,HISTORY,1580,5.5,8.5,Rejected
NB,WHITE,VA,High,MAGNET,NONE,PSYCH,1490,5.0,4.2,Rejected
M,WHITE,NY,Low,PUBLIC,LEGACY,CS,1490,1.0,6.5,Rejected
M,WHITE,WI,Low,PUBLIC,NONE,CS,1520,7.5,0.0,Rejected
M,WHITE,NY,Middle,PUBLIC,URM,POLISCI,1530,1.0,2.5,Rejected
F,ASIAN,FL,Low,PRIVATE,NONE,PSYCH,1530,2.5,4.5,Rejected
M,WHITE,LA,Low,PRIVATE,LEGACY,INTERNATIONAL RELATIONS,1510,5.5,7.2,Rejected
M,WHITE,FL,Low,-1,NONE,CS,1570,5.5,7.5,Rejected
F,ASIAN,CA,-1,PUBLIC,NONE,BIO,1520,7.5,7.5,Rejected
M,WHITE,WA,Low,PRIVATE,FIRST-GEN,POLISCI,1330,7.5,7.8,Rejected
M,ASIAN,CA,Low,PUBLIC,NONE,CS,1550,8.5,6.8,Rejected
F,WHITE,INTERNATIONAL,-1,PRIVATE,NONE,CS,1500,-1.0,4.5,Rejected
F,WHITE,INTERNATIONAL,-1,PRIVATE,NONE,CS,1500,-1.0,4.5,Rejected
F,ASIAN,NE,Low,PUBLIC,NONE,CS,1560,8.5,6.5,Rejected
M,WHITE,LA,Low,PRIVATE,NONE,CS,1500,7.5,6.5,Rejected
F,WHITE,MI,Low,PUBLIC,LEGACY,CS,1540,6.5,8.7,Rejected
F,WHITE,MI,Low,-1,NONE,NEUROSCIENCE,1500,3.5,7.5,Rejected
F,WHITE,TX,Low,CHARTER,LEGACY,CS,1540,6.0,7.5,Rejected
F,ASIAN,CA,Low,-1,NONE,CS,1500,5.5,2.5,Rejected
F,HISPANIC,IN,Low,-1,URM,CS,1560,7.5,7.5,Rejected
M,ASIAN,CA,Low,PUBLIC,NONE,CS,1550,8.5,7.5,Rejected
F,ASIAN,NE,Low,PUBLIC,NONE,CS,1560,8.5,6.5,Rejected
F,ASIAN,CA,High,PUBLIC,NONE,CS,1540,7.0,6.5,Rejected
NB,-1,-1,Low,-1,FIRST-GEN,-1,1510,-1.0,4.5,Rejected
F,ASIAN,NY,Low,PUBLIC,LEGACY,CS,1580,6.5,8.5,Rejected
F,ASIAN,OR,Low,PUBLIC,NONE,BIO,1580,8.5,6.5,Rejected
F,ASIAN,WA,Low,PUBLIC,FIRST-GEN,CS,1490,4.5,2.5,Rejected
F,ASIAN,CO,-1,PUBLIC,NONE,CS,1430,6.0,7.5,Rejected
F,ASIAN,GA,High,PUBLIC,NONE,CHEMISTRY,1590,7.5,4.5,Rejected
T,ASIAN,OR,Low,PRIVATE,NONE,CS,1580,3.5,6.5,Rejected
NB,WHITE,NY,Middle,PUBLIC,LGBT,CS,1530,5.0,4.5,Rejected
M,ASIAN,-1,-1,PRIVATE,NONE,ENVIRONMENTAL STUDIES,1570,8.5,7.5,Rejected
M,ASIAN,CO,Low,PUBLIC,FIRST-GEN,HUMANITIES,1510,2.5,6.5,Rejected
F,WHITE,TX,Low,CHARTER,LEGACY,CS,1540,6.5,7.5,Rejected
F,ASIAN,MI,Low,PUBLIC,NONE,CS,1550,6.5,6.3,Rejected
M,ASIAN,TX,Low,-1,NONE,BIO,1560,7.5,0.0,Rejected
M,ASIAN,CA,-1,PRIVATE,NONE,CS,1530,6.5,7.5,Rejected
M,WHITE,MI,High,PUBLIC,LEGACY,CS,1510,7.5,7.0,Rejected
F,ASIAN,-1,Low,PUBLIC,NONE,CS,1540,7.5,2.5,Rejected
F,ASIAN,-1,Low,PRIVATE,NONE,ENVIRONMENTAL STUDIES,1340,8.5,2.5,Rejected
M,ASIAN,FL,Low,LARGE,FIRST-GEN,DESIGN,1500,3.5,6.5,Rejected
M,ASIAN,CA,High,PUBLIC,NONE,CS,1560,8.5,6.2,Rejected
M,WHITE,NY,Low,PUBLIC,NONE,-1,1560,7.5,6.8,Waitlisted
F,ASIAN,NY,High,PUBLIC,LEGACY,POLISCI,1570,6.5,4.5,Waitlisted
F,ASIAN,CA,Low,-1,URM,POLISCI,1330,7.5,1.0,Waitlisted
