Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
F,ASIAN,CA,Low,-1,NONE,CS,1570,8.5,4.5,Accepted
F,ASIAN,CA,Low,PUBLIC,LEGACY,LAW,1490,7.5,4.5,Accepted
F,ASIAN,CA,Low,PUBLIC,NONE,BIO,1460,4.5,6.5,Accepted
F,ASIAN,CA,High,PUBLIC,NONE,ENG,1450,6.5,3.5,Accepted
F,ASIAN,CA,High,-1,FIRST-GEN,LAW,1530,6.5,6.5,Accepted
F,ASIAN,IA,High,-1,NONE,PSYCH,1520,3.0,4.5,Accepted
M,ASIAN,CA,Low,PUBLIC,NONE,ENG,1510,5.0,3.5,Accepted
M,ASIAN,CA,Low,PUBLIC,NONE,CS,1600,5.0,0.0,Accepted
F,HISPANIC,CA,Low,PUBLIC,URM,ENG,1530,3.0,7.2,Accepted
F,WHITE,CA,Low,PUBLIC,NONE,CS,1540,6.5,6.2,Accepted
M,ASIAN,CA,High,PUBLIC,NONE,CS,1500,6.5,7.8,Accepted
M,WHITE,CA,Low,-1,NONE,ENG,1480,6.5,6.5,Accepted
F,BLACK,CA,Low,PUBLIC,URM,ENG,1490,7.5,4.7,Accepted
F,ASIAN,CA,High,PUBLIC,NONE,CS,1530,6.5,4.1,Accepted
F,HISPANIC,CA,Low,PUBLIC,URM,ENG,1530,3.0,6.5,Accepted
M,ASIAN,CA,Low,-1,NONE,ENVIRONMENTAL STUDIES,1530,6.5,4.5,Accepted
M,ASIAN,CA,Low,PUBLIC,NONE,CS,1590,8.5,7.5,Accepted
M,ASIAN,-1,Low,-1,NONE,CS,1570,8.5,2.5,Accepted
F,ASIAN,CA,Low,-1,NONE,BUSINESS,1400,7.5,4.8,Accepted
M,ASIAN,CA,Low,-1,FIRST-GEN,CS,1400,1.0,3.5,Accepted
F,ASIAN,WA,Middle,PUBLIC,NONE,CS,1540,6.5,6.5,Accepted
F,WHITE,CA,-1,PUBLIC,NONE,CS,1470,6.5,4.5,Accepted
OTHER,ASIAN,CA,-1,PUBLIC,NONE,CS,1520,6.5,8.2,Accepted
F,WHITE,CA,-1,PRIVATE,NONE,CS,1530,5.5,6.8,Accepted
M,-1,AL,High,PRIVATE,URM,CS,1580,7.5,4.7,Accepted
F,BLACK,CA,Low,PUBLIC,URM,BIO,1370,6.5,2.5,Accepted
M,ASIAN,CA,High,PUBLIC,NONE,CS,1540,8.5,7.5,Accepted
F,ASIAN,IN,Low,PUBLIC,NONE,CS,1530,5.5,7.5,Accepted
M,ASIAN,CA,Low,SMALL,LEGACY,BUSINESS,1350,2.5,2.5,Accepted
F,ASIAN,CA,High,PUBLIC,LEGACY,ENG,1560,5.0,6.5,Accepted
F,ASIAN,CA,Middle,PUBLIC,FIRST-GEN,CS,1530,6.5,2.5,Accepted
F,ASIAN,CA,Low,PUBLIC,FIRST-GEN,CS,1530,6.5,8.2,Accepted
F,ASIAN,CA,High,PUBLIC,LGBT,ENG,1560,5.0,6.5,Accepted
F,ASIAN,CA,High,PUBLIC,NONE,MATH,1580,4.5,6.5,Accepted
M,ASIAN,CA,High,PUBLIC,LEGACY,ENG,1600,6.5,3.7,Accepted
M,ASIAN,CA,Low,-1,NONE,CS,1560,7.5,4.2,Accepted
M,ASIAN,CA,Low,PUBLIC,FIRST-GEN,-1,1490,6.5,6.8,Accepted
M,ARAB,CA,High,PUBLIC,NONE,CS,1520,7.5,1.0,Accepted
M,-1,-1,High,PUBLIC,NONE,CS,1530,7.5,2.5,Accepted
M,ASIAN,CA,Low,PUBLIC,NONE,CS,1520,7.0,3.5,Accepted
F,ASIAN,CA,High,PUBLIC,NONE,CS,1600,6.0,6.5,Accepted
F,ASIAN,CA,High,PUBLIC,NONE,BUSINESS,1500,6.5,4.2,Accepted
M,ASIAN,CA,Low,-1,NONE,CS,1560,7.5,4.5,Accepted
M,ASIAN,CA,Low,PUBLIC,NONE,CS,1530,6.5,6.2,Accepted
M,ASIAN,CA,Low,PUBLIC,NONE,CS,1550,4.5,2.5,Accepted
M,ASIAN,CA,Low,PUBLIC,URM,CS,1100,5.0,7.2,Rejected
M,ASIAN,CA,High,PUBLIC,NONE,CS,1500,6.5,8.2,Rejected
M,ASIAN,CA,Low,PUBLIC,FIRST-GEN,CS,1480,8.5,6.3,Rejected
M,ASIAN,CA,Low,-1,NONE,CS,1500,7.5,6.5,Rejected
M,ASIAN,CA,Low,PUBLIC,LEGACY,ENG,1390,3.5,2.5,Rejected
M,HISPANIC,CA,Low,PUBLIC,URM,CS,1470,7.5,6.5,Rejected
M,ASIAN,CA,Low,PUBLIC,NONE,CS,1590,6.5,2.5,Rejected
F,ASIAN,WA,Low,PUBLIC,FIRST-GEN,CS,1490,4.5,2.5,Rejected
M,ASIAN,CA,Low,PUBLIC,NONE,CS,1440,6.5,6.5,Rejected
M,HISPANIC,CA,Middle,PUBLIC,NONE,ENG,1310,2.0,4.2,Rejected
M,ASIAN,CA,Low,PUBLIC,NONE,CS,1580,6.5,7.5,Rejected
