Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
F,BLACK,TX,Middle,PUBLIC,URM,ENG,1520,3.0,2.5,Accepted
M,WHITE,TX,Low,-1,NONE,LAW,1560,6.5,3.5,Accepted
M,ASIAN,CA,High,PUBLIC,NONE,CS,1440,7.5,4.5,Accepted
M,ASIAN,TX,Low,PUBLIC,NONE,-1,1550,7.5,4.5,Accepted
M,ASIAN,TX,Low,PUBLIC,NONE,CS,1480,8.2,5.5,Accepted
F,ASIAN,TX,High,PUBLIC,LEGACY,PSYCH,1590,3.5,5.2,Accepted
M,WHITE,TX,Low,PUBLIC,NONE,CS,1490,8.5,8.5,Accepted
F,ASIAN,CA,High,PUBLIC,NONE,CS,1560,6.5,4.7,Accepted
M,ASIAN,TX,High,PUBLIC,NONE,BUSINESS,1560,7.5,7.8,Accepted
M,WHITE,TX,Middle,PUBLIC,NONE,CS,1500,1.0,7.5,Accepted
M,ASIAN,TX,Middle,PUBLIC,NONE,CS,1550,5.5,2.5,Accepted
F,WHITE,TX,Low,PUBLIC,NONE,POLISCI,1300,6.5,7.5,Accepted
M,WHITE,TX,Low,PUBLIC,NONE,ENG,1490,6.5,7.5,Accepted
M,WHITE,TX,Low,MAGNET,URM,CS,1570,4.5,4.5,Accepted
M,ASIAN,TX,High,-1,NONE,HISTORY,1490,6.5,3.5,Accepted
F,HISPANIC,TX,Middle,PUBLIC,URM,CS,1520,7.5,4.5,Accepted
M,ASIAN,TX,Low,PUBLIC,NONE,BIO,1570,7.5,7.7,Accepted
M,WHITE,TX,High,PUBLIC,NONE,CS,1590,6.5,3.5,Accepted
F,ASIAN,TX,Low,PUBLIC,LGBT,CS,1560,6.5,3.7,Accepted
F,ASIAN,UT,Middle,PUBLIC,NONE,ENG,1560,6.5,6.5,Accepted
M,WHITE,WA,Low,PUBLIC,LEGACY,BUSINESS,1320,2.5,6.2,Accepted
M,ASIAN,TX,Low,-1,NONE,CS,1560,6.5,4.5,Accepted
M,WHITE,TX,High,PRIVATE,LEGACY,CS,1470,6.5,7.5,Accepted
M,ASIAN,TX,Middle,-1,NONE,-1,1560,7.5,8.2,Accepted
M,ASIAN,TX,Low,PUBLIC,NONE,CS,1570,6.0,2.5,Accepted
M,ASIAN,NV,High,PUBLIC,NONE,CS,1470,7.5,8.0,Accepted
M,ASIAN,CA,Low,PUBLIC,NONE,CS,1550,6.5,7.8,Accepted
M,ASIAN,TX,High,PUBLIC,LEGACY,CS,1490,6.5,6.5,Accepted
NB,-1,-1,Low,-1,FIRST-GEN,-1,1510,-1.0,4.5,Accepted
F,BLACK,CA,Low,PUBLIC,URM,BIO,1370,6.5,2.5,Accepted
M,WHITE,TX,High,PUBLIC,NONE,CS,1440,8.5,5.6,Accepted
F,ASIAN,CA,High,PUBLIC,NONE,CS,1500,6.5,7.5,Accepted
F,ASIAN,IN,Low,PUBLIC,NONE,CS,1530,5.5,7.5,Accepted
M,ASIAN,TX,Low,-1,NONE,CS,1450,6.5,1.5,Accepted
M,ASIAN,NE,Low,PUBLIC,NONE,CS,1580,6.5,1.5,Accepted
F,ASIAN,TX,Low,PUBLIC,NONE,BIO,1470,6.5,6.5,Accepted
M,ASIAN,NY,Low,PUBLIC,LEGACY,ENG,1550,8.5,6.5,Accepted
F,WHITE,IN,Low,PUBLIC,FIRST-GEN,-1,1350,5.5,7.5,Accepted
M,ASIAN,TX,Low,PUBLIC,NONE,CS,1510,5.0,4.5,Accepted
M,BLACK,CA,Low,PUBLIC,NONE,CS,1370,1.0,2.5,Accepted
F,ASIAN,IN,Low,PUBLIC,NONE,-1,1540,5.5,1.0,Accepted
M,ASIAN,IL,Low,PUBLIC,NONE,CS,1530,7.5,4.5,Accepted
M,ASIAN,CA,-1,PUBLIC,NONE,ENG,1580,2.5,3.0,Accepted
F,ASIAN,TX,Low,PUBLIC,NONE,MEDIA STUDIES,1460,6.5,4.5,Accepted
M,WHITE,TX,-1,PUBLIC,NONE,CS,1580,7.5,7.5,Accepted
M,WHITE,TX,-1,PUBLIC,NONE,CS,1580,7.5,7.5,Accepted
NB,ASIAN,MO,Low,-1,NONE,CS,1590,6.5,1.0,Accepted
M,ASIAN,TX,Low,-1,NONE,ENG,1470,5.0,4.5,Accepted
F,ASIAN,TX,High,-1,NONE,CS,1500,7.5,8.3,Accepted
M,WHITE,TX,-1,PUBLIC,LEGACY,CS,1430,4.5,6.5,Accepted
M,ASIAN,TX,High,PUBLIC,NONE,CS,1490,5.5,4.2,Accepted
M,WHITE,NC,Low,PRIVATE,NONE,ENG,1440,4.5,2.5,Accepted
M,ASIAN,UT,Middle,PUBLIC,NONE,CS,1550,8.5,6.5,Accepted
M,WHITE,TX,High,PRIVATE,NONE,CS,1490,3.5,7.2,Accepted
F,ASIAN,TX,Low,PUBLIC,NONE,ENG,1480,6.5,4.5,Accepted
M,ASIAN,TX,Low,-1,NONE,CS,1450,6.5,1.5,Rejected
M,BLACK,-1,Low,-1,URM,LAW,1570,6.5,6.1,Rejected
M,ASIAN,TX,Low,PUBLIC,NONE,CS,1510,5.0,4.5,Rejected
M,ASIAN,TX,Low,-1,NONE,CS,1330,6.0,2.5,Rejected
F,ASIAN,TX,High,LARGE,NONE,ENG,1540,6.5,4.2,Rejected
F,ASIAN,VA,High,PUBLIC,NONE,POLISCI,1510,6.5,6.2,Waitlisted
