Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
M,ASIAN,MA,Low,-1,NONE,ENG,1430,6.5,1.0,Accepted
M,ASIAN,NY,Low,PUBLIC,NONE,BIO,1570,8.5,2.5,Accepted
F,BLACK,MI,Low,PUBLIC,URM,BIO,1420,5.5,4.7,Accepted
F,WHITE,GA,High,PUBLIC,LEGACY,-1,1300,6.5,2.5,Accepted
F,ASIAN,CA,Low,PRIVATE,URM,ENG,1510,8.5,6.5,Accepted
M,ASIAN,CA,Low,PUBLIC,FIRST-GEN,INTERNATIONAL RELATIONS,1490,6.5,2.5,Accepted
M,WHITE,TX,High,PRIVATE,LEGACY,CS,1470,6.5,7.5,Accepted
F,WHITE,PA,Low,PUBLIC,FIRST-GEN,CS,1470,6.5,0.0,Accepted
M,ASIAN,CA,Low,PUBLIC,NONE,CS,1550,8.5,6.8,Accepted
M,ASIAN,CA,High,PUBLIC,NONE,CS,1560,5.5,6.5,Accepted
F,WHITE,LA,Low,PRIVATE,NONE,CS,1360,3.5,5.5,Accepted
M,ASIAN,WA,Middle,CHARTER,NONE,CS,1590,7.5,4.7,Accepted
F,ASIAN,MI,Low,PUBLIC,URM,BUSINESS,1370,7.5,6.5,Accepted
M,ASIAN,MI,High,PRIVATE,NONE,BIO,1530,6.5,4.0,Accepted
F,ASIAN,WA,Low,PRIVATE,NONE,ENG,1210,5.0,2.5,Accepted
F,ASIAN,CO,Low,PUBLIC,NONE,DESIGN,1450,6.5,8.5,Accepted
F,WHITE,USA,Low,PUBLIC,LEGACY,MEDIA STUDIES,1410,5.0,6.2,Accepted
M,ASIAN,OR,High,PUBLIC,NONE,BIO,1410,5.5,7.5,Rejected
F,BLACK,CA,Low,PUBLIC,URM,BIO,1080,1.5,6.2,Rejected
F,BLACK,FL,Low,PUBLIC,URM,BIO,1300,6.5,3.7,Rejected
M,WHITE,CA,High,PUBLIC,URM,CS,1530,7.5,4.5,Rejected
F,ASIAN,CA,High,PUBLIC,NONE,CS,1300,3.5,7.2,Rejected
F,WHITE,TX,Low,PUBLIC,NONE,POLISCI,1300,6.5,7.5,Rejected
F,HISPANIC,NY,Low,PUBLIC,FIRST-GEN,BUSINESS,1450,4.5,2.5,Rejected
F,ASIAN,IL,Low,-1,URM,ENG,1510,3.5,0.0,Rejected
F,WHITE,GA,High,PUBLIC,LEGACY,-1,1300,6.5,2.5,Rejected
F,ASIAN,PA,Low,PUBLIC,NONE,CS,1570,3.5,1.5,Rejected
M,ASIAN,CO,Low,PUBLIC,NONE,ENG,1510,5.5,7.5,Rejected
M,WHITE,INTERNATIONAL,Low,PUBLIC,NONE,BUSINESS,1520,7.5,9.2,Rejected
M,ASIAN,CA,Low,-1,NONE,CS,1370,6.5,3.5,Rejected
M,WHITE,WI,Low,PUBLIC,NONE,CS,1520,7.5,0.0,Rejected
M,ASIAN,WA,Low,PUBLIC,NONE,PREMED,1460,5.0,2.5,Rejected
M,ASIAN,CA,High,PUBLIC,FIRST-GEN,CS,1390,4.0,4.5,Rejected
M,ASIAN,CA,Low,PUBLIC,NONE,CS,1550,8.5,7.5,Rejected
M,ASIAN,CO,Low,-1,LEGACY,HEALTH SCIENCES,1260,6.5,3.5,Rejected
F,ASIAN,CO,-1,PUBLIC,NONE,CS,1430,6.0,7.5,Rejected
M,WHITE,NC,Low,PRIVATE,NONE,BUSINESS,1450,6.5,3.5,Rejected
F,ASIAN,WA,-1,PUBLIC,NONE,BUSINESS,1420,7.5,6.5,Rejected
M,HISPANIC,CA,Low,PUBLIC,NONE,ENG,1370,5.0,2.5,Rejected
M,WHITE,CA,Low,PRIVATE,NONE,ENG,1330,8.5,6.5,Rejected
M,ASIAN,MA,Low,PUBLIC,NONE,BUSINESS,1540,6.5,7.2,Rejected
M,ASIAN,MA,Low,PUBLIC,NONE,BUSINESS,1540,6.5,7.2,Rejected
F,ASIAN,IN,-1,PUBLIC,NONE,ENG,1550,8.5,0.0,Rejected
M,WHITE,IN,Low,PRIVATE,NONE,CS,1520,5.5,7.5,Rejected
M,WHITE,CA,Low,PUBLIC,NONE,BIO,1540,7.5,7.3,Waitlisted
M,ASIAN,DC,Low,PUBLIC,FIRST-GEN,CHEMISTRY,1570,3.5,6.5,Waitlisted
F,WHITE,MI,High,PUBLIC,NONE,BIO,1430,3.5,4.5,Waitlisted
M,WHITE,CA,High,PUBLIC,LEGACY,CS,1480,5.0,4.7,Waitlisted
M,ASIAN,DC,Low,PUBLIC,FIRST-GEN,CHEMISTRY,1570,3.5,6.2,Waitlisted
M,WHITE,MA,High,PRIVATE,LGBT,BUSINESS,1490,6.5,8.2,Waitlisted
F,ASIAN,MA,High,PUBLIC,NONE,POLISCI,1470,5.5,3.7,Waitlisted
F,ASIAN,IL,Low,PUBLIC,LEGACY,ENG,1590,5.5,2.5,Waitlisted
M,WHITE,MA,High,-1,NONE,CS,1490,4.5,7.0,Waitlisted
F,WHITE,PA,Low,PUBLIC,NONE,ENG,1410,7.5,4.5,Waitlisted
M,ASIAN,OR,High,PUBLIC,NONE,ENG,1530,6.5,7.5,Waitlisted
M,WHITE,-1,High,-1,NONE,ENG,1430,5.0,6.5,Waitlisted
F,ASIAN,TX,Low,PUBLIC,LGBT,CS,1560,6.5,3.7,Waitlisted
M,WHITE,INTERNATIONAL,Low,PUBLIC,NONE,BUSINESS,1520,7.5,9.2,Waitlisted
M,WHITE,WI,Low,PUBLIC,NONE,CS,1520,7.5,0.0,Waitlisted
F,ASIAN,CA,Low,PUBLIC,NONE,BIO,1520,3.5,2.5,Waitlisted
F,ASIAN,WA,Low,-1,URM,SOCIAL SCIENCES,1470,4.5,1.5,Waitlisted
M,WHITE,CA,-1,PUBLIC,FIRST-GEN,CS,1560,6.0,4.2,Waitlisted
M,WHITE,OR,Low,PUBLIC,NONE,MATH,1510,7.5,6.5,Waitlisted
F,WHITE,-1,Low,PUBLIC,NONE,CS,1540,6.5,7.2,Waitlisted
M,ASIAN,MA,Low,-1,NONE,CS,1480,6.5,4.5,Waitlisted
M,BLACK,CA,High,PUBLIC,URM,CS,1520,2.5,4.2,Waitlisted
M,ASIAN,IL,High,PUBLIC,NONE,BUSINESS,1500,5.5,9.0,Waitlisted
M,ASIAN,IL,High,PUBLIC,NONE,BUSINESS,1500,4.5,9.0,Waitlisted
