Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
F,-1,CA,Low,PUBLIC,URM,ENG,1280,2.0,4.5,Accepted
M,WHITE,CA,Low,PUBLIC,NONE,BIO,1540,7.5,7.3,Accepted
F,ASIAN,CA,Low,-1,NONE,CS,1570,8.5,4.5,Accepted
F,WHITE,MI,High,PUBLIC,NONE,BIO,1430,3.5,4.5,Accepted
M,WHITE,CA,Low,PUBLIC,NONE,CS,1460,3.5,2.5,Accepted
F,ASIAN,CA,High,PRIVATE,NONE,CHEMISTRY,1560,6.5,2.5,Accepted
M,ASIAN,WA,Low,-1,LEGACY,ENG,1380,5.5,4.5,Accepted
M,ASIAN,-1,High,PUBLIC,FIRST-GEN,CHEMISTRY,1300,6.0,7.5,Accepted
F,ASIAN,CA,Low,-1,NONE,-1,1530,1.0,2.5,Accepted
M,ASIAN,CA,Low,PUBLIC,URM,CS,1100,5.0,7.2,Accepted
M,ASIAN,CA,High,PUBLIC,NONE,CS,1440,7.5,4.5,Accepted
F,ASIAN,CA,Low,PUBLIC,LEGACY,LAW,1490,7.5,4.5,Accepted
F,BLACK,CA,Low,PUBLIC,URM,BIO,1080,1.5,6.2,Accepted
T,WHITE,NY,Low,PRIVATE,NONE,CS,1600,6.5,4.5,Accepted
M,WHITE,CA,Low,PUBLIC,NONE,CS,1530,6.5,4.2,Accepted
M,ASIAN,CA,Low,-1,NONE,CS,1570,6.5,2.5,Accepted
F,BLACK,CA,Low,PUBLIC,URM,NEUROSCIENCE,1480,6.5,7.2,Accepted
F,ASIAN,CA,High,PUBLIC,NONE,CS,1560,6.5,4.7,Accepted
M,ASIAN,CA,Low,PUBLIC,LGBT,ENG,1550,5.5,3.7,Accepted
F,ASIAN,CA,Low,PUBLIC,FIRST-GEN,CS,1340,4.0,2.5,Accepted
F,ASIAN,CA,Low,PUBLIC,NONE,BIO,1460,4.5,6.5,Accepted
F,ASIAN,CA,High,PUBLIC,NONE,ENG,1450,6.5,3.5,Accepted
F,ASIAN,IA,High,PRIVATE,NONE,BIO,1590,8.5,6.8,Accepted
M,WHITE,-1,Low,CHARTER,NONE,CS,1580,5.5,2.5,Accepted
M,ASIAN,CA,Middle,PUBLIC,NONE,ENG,1520,5.0,6.8,Accepted
F,ASIAN,CA,High,PUBLIC,NONE,CS,1300,3.5,7.2,Accepted
F,ASIAN,PA,Low,PUBLIC,NONE,CS,1570,3.5,1.5,Accepted
M,ASIAN,CA,Low,PUBLIC,NONE,CS,1600,5.0,0.0,Accepted
M,ASIAN,-1,High,PUBLIC,NONE,MATH,1510,3.0,2.5,Accepted
F,ASIAN,CA,Low,PUBLIC,LEGACY,POLISCI,1540,6.5,6.5,Accepted
F,WHITE,CA,Low,PUBLIC,NONE,CS,1540,6.5,6.2,Accepted
F,WHITE,CA,Low,-1,NONE,BIO,1510,7.0,5.0,Accepted
M,ASIAN,CA,High,PUBLIC,NONE,CS,1500,6.5,7.8,Accepted
F,ASIAN,IN,Low,PRIVATE,LEGACY,POLISCI,1480,6.5,1.5,Accepted
M,ASIAN,CA,Low,-1,LEGACY,ENG,1590,5.5,1.5,Accepted
F,ASIAN,PA,Low,PUBLIC,LEGACY,ENG,1550,7.5,4.5,Accepted
F,WHITE,IL,Low,PUBLIC,NONE,ENG,1530,7.5,6.5,Accepted
M,ASIAN,CA,Middle,PUBLIC,NONE,CHEMISTRY,1550,6.0,2.5,Accepted
M,WHITE,VA,Low,PUBLIC,NONE,ENVIRONMENTAL STUDIES,1380,5.5,4.5,Accepted
NB,WHITE,CA,Low,PUBLIC,NONE,ENG,1560,6.5,3.7,Accepted
F,ASIAN,CA,Low,PRIVATE,URM,ENG,1510,8.5,6.5,Accepted
M,ASIAN,MI,High,PRIVATE,NONE,CS,1510,6.5,3.7,Accepted
F,WHITE,OR,-1,PUBLIC,URM,ENG,1540,3.5,2.5,Accepted
F,WHITE,IN,Low,PRIVATE,NONE,CS,1470,7.5,4.2,Accepted
M,ASIAN,CA,Low,PRIVATE,NONE,BUSINESS,1530,3.5,4.8,Accepted
M,ASIAN,CA,Low,-1,LEGACY,CS,1500,3.0,4.5,Accepted
F,ASIAN,CA,High,PUBLIC,NONE,CS,1530,6.5,4.1,Accepted
M,ASIAN,CA,Low,PUBLIC,NONE,SOCIAL SCIENCES,1580,3.0,4.8,Accepted
M,ASIAN,CA,Low,PUBLIC,NONE,BIO,1550,6.5,7.5,Accepted
M,ASIAN,CA,Low,PUBLIC,FIRST-GEN,BIO,1550,6.5,8.0,Accepted
F,WHITE,WA,Low,-1,NONE,CS,1520,4.0,6.5,Accepted
M,ASIAN,-1,High,PUBLIC,LEGACY,ENG,1540,7.5,4.5,Accepted
F,HISPANIC,CA,High,PUBLIC,URM,-1,1450,6.5,8.3,Accepted
M,ASIAN,CA,Middle,PUBLIC,NONE,CS,1480,5.5,3.7,Accepted
M,ASIAN,CA,Low,-1,NONE,ENVIRONMENTAL STUDIES,1530,6.5,4.5,Accepted
F,ASIAN,CA,Low,PUBLIC,NONE,BIO,1520,3.5,2.5,Accepted
M,ASIAN,TX,Low,-1,NONE,CS,1560,6.5,4.5,Accepted
M,ASIAN,WA,Low,-1,NONE,CS,1570,7.5,6.5,Accepted
F,WHITE,IN,Low,PRIVATE,NONE,CS,1470,7.5,2.5,Accepted
M,ASIAN,CA,Low,PRIVATE,NONE,CS,1510,7.5,7.5,Accepted
OTHER,ASIAN,CA,High,PUBLIC,NONE,-1,1580,8.5,4.5,Accepted
M,ASIAN,-1,Low,INTERNATIONAL,NONE,POLISCI,1460,2.0,4.5,Accepted
F,ASIAN,CA,Low,-1,NONE,ENVIRONMENTAL STUDIES,1380,3.5,5.0,Accepted
M,ASIAN,CA,Low,PRIVATE,NONE,CS,1550,6.5,2.5,Accepted
F,ASIAN,CA,Middle,PUBLIC,NONE,BIO,1560,7.5,3.7,Accepted
F,WHITE,CA,Low,-1,NONE,CS,1350,5.0,7.5,Accepted
M,ASIAN,IN,High,PRIVATE,NONE,ENG,1540,8.5,7.5,Accepted
F,ASIAN,IN,Low,PRIVATE,NONE,CS,1470,6.5,6.8,Accepted
F,WHITE,LA,High,PUBLIC,NONE,BIO,1400,3.5,6.8,Accepted
M,ASIAN,CA,High,PUBLIC,NONE,PUBLIC POLICY,1560,8.5,8.5,Accepted
F,ASIAN,CA,Low,PUBLIC,NONE,SOCIAL SCIENCES,1530,6.5,4.2,Accepted
F,ASIAN,CO,Low,-1,LEGACY,ARTS,1500,6.5,1.5,Accepted
F,WHITE,CA,-1,PUBLIC,NONE,CS,1470,6.5,4.5,Accepted
F,WHITE,IN,Low,PRIVATE,NONE,CS,1490,6.5,4.5,Accepted
M,ASIAN,IN,High,PRIVATE,NONE,ENG,1540,8.5,7.5,Accepted
M,ASIAN,CA,High,PRIVATE,NONE,CS,1590,6.5,6.8,Accepted
M,WHITE,CA,High,PUBLIC,NONE,POLISCI,1580,4.5,7.5,Accepted
M,BLACK,IL,Low,PUBLIC,URM,CS,1430,6.5,9.5,Accepted
F,WHITE,CA,-1,PRIVATE,NONE,CS,1530,5.5,6.8,Accepted
F,ASIAN,CA,Middle,PUBLIC,NONE,BIO,1520,5.5,7.2,Accepted
M,ASIAN,UT,Low,PRIVATE,NONE,CS,1510,7.5,8.2,Accepted
M,ASIAN,CO,High,PUBLIC,NONE,CS,1510,8.5,4.2,Accepted
F,ASIAN,IN,High,PRIVATE,NONE,CS,1460,1.0,6.5,Accepted
M,ASIAN,WA,Middle,INTERNATIONAL,NONE,ENG,1420,6.5,3.5,Accepted
F,ASIAN,CO,High,PUBLIC,NONE,BIO,1410,6.5,2.5,Accepted
F,ASIAN,CA,Middle,PUBLIC,NONE,BIO,1560,5.5,2.5,Accepted
M,ASIAN,CO,High,PRIVATE,NONE,PSYCH,1520,5.0,7.5,Accepted
NB,ASIAN,OR,-1,PUBLIC,LGBT,BIO,1380,5.0,4.7,Accepted
F,WHITE,FL,Low,MAGNET,LEGACY,POLISCI,1420,5.5,4.2,Accepted
F,ASIAN,-1,Low,PUBLIC,NONE,BIO,1360,3.5,3.5,Accepted
F,ASIAN,IN,Low,PUBLIC,NONE,CS,1530,5.5,7.5,Accepted
M,ASIAN,CA,High,PUBLIC,FIRST-GEN,-1,1380,1.0,7.3,Accepted
M,ASIAN,CA,High,PUBLIC,NONE,CS,1470,4.0,7.5,Accepted
M,HISPANIC,CA,Low,PUBLIC,NONE,MATH,1050,1.0,4.5,Accepted
M,ASIAN,WA,Low,-1,NONE,BUSINESS,1390,6.5,7.9,Accepted
F,ASIAN,CA,High,PRIVATE,NONE,-1,1370,8.5,6.8,Accepted
M,ASIAN,INTERNATIONAL,Low,PRIVATE,NONE,CS,1450,2.0,0.0,Accepted
M,ASIAN,CA,-1,PUBLIC,NONE,ENG,1580,2.5,3.0,Accepted
F,ASIAN,IL,-1,INTERNATIONAL,NONE,CS,1460,5.0,2.5,Accepted
F,ASIAN,CA,Low,PUBLIC,FIRST-GEN,CS,1530,6.5,8.2,Accepted
M,WHITE,OR,Low,PUBLIC,NONE,MATH,1510,7.5,6.5,Accepted
M,ASIAN,TX,Low,-1,NONE,ENG,1470,5.0,4.5,Accepted
F,ASIAN,TX,High,-1,NONE,CS,1500,7.5,8.3,Accepted
M,ASIAN,CA,High,PUBLIC,NONE,-1,1450,2.5,4.5,Accepted
M,-1,CA,Low,PUBLIC,NONE,CS,1570,8.5,6.5,Accepted
M,-1,CA,Low,PUBLIC,NONE,CS,1570,8.5,6.8,Accepted
M,ASIAN,CA,Low,-1,NONE,CS,1560,7.5,4.2,Accepted
F,ASIAN,MI,-1,PRIVATE,NONE,ENG,1540,7.5,8.7,Accepted
M,ASIAN,CA,-1,PUBLIC,NONE,BIO,1500,5.0,2.5,Accepted
M,ASIAN,MA,Low,-1,NONE,CS,1480,6.5,4.5,Accepted
F,ASIAN,CO,Low,PUBLIC,NONE,DESIGN,1450,6.5,8.5,Accepted
M,ASIAN,IA,Low,-1,NONE,ENG,1560,7.5,0.0,Accepted
M,ASIAN,CA,Low,-1,NONE,CS,1560,7.5,4.5,Accepted
F,ASIAN,IN,Low,PRIVATE,NONE,CS,1430,6.0,7.5,Accepted
F,ASIAN,LA,Low,PUBLIC,FIRST-GEN,CS,1560,6.0,4.5,Accepted
F,ASIAN,CA,Low,PUBLIC,NONE,ENVIRONMENTAL STUDIES,1450,8.5,7.5,Accepted
M,WHITE,-1,Low,PUBLIC,NONE,CS,1590,8.5,1.5,Accepted
M,HISPANIC,NY,Low,PUBLIC,URM,ENG,1380,6.5,8.3,Accepted
M,HISPANIC,NY,Low,PUBLIC,URM,ENG,1380,6.5,8.3,Accepted
M,ASIAN,OR,High,PRIVATE,NONE,CS,1580,6.5,4.5,Accepted
M,ASIAN,CA,High,PUBLIC,NONE,BUSINESS,1570,7.5,6.2,Accepted
F,ASIAN,CA,High,PUBLIC,NONE,CS,1550,6.5,4.7,Accepted
F,ASIAN,CA,High,PUBLIC,NONE,BIO,1430,5.5,4.2,Rejected
M,ASIAN,CA,High,PUBLIC,NONE,CS,1440,7.5,4.5,Rejected
F,WHITE,CA,High,PUBLIC,NONE,CS,1500,5.5,4.5,Rejected
M,ASIAN,CA,Low,PUBLIC,NONE,CS,1600,5.0,0.0,Rejected
F,WHITE,CA,Low,PUBLIC,NONE,CS,1540,6.5,6.2,Rejected
M,ASIAN,IN,High,PRIVATE,NONE,ENG,1480,6.0,2.5,Rejected
M,ASIAN,CA,Low,PUBLIC,LEGACY,ENG,1390,3.5,2.5,Rejected
M,ASIAN,CA,High,PUBLIC,FIRST-GEN,CS,1390,4.0,4.5,Rejected
M,ASIAN,IN,High,PRIVATE,NONE,ENG,1540,8.5,7.5,Rejected
F,BLACK,CA,Low,PUBLIC,URM,BIO,1370,6.5,2.5,Rejected
F,ASIAN,CA,Low,PRIVATE,URM,BIO,1500,4.5,7.8,Rejected
M,ASIAN,CA,High,PUBLIC,NONE,CS,1540,8.5,7.5,Rejected
M,WHITE,CA,High,PUBLIC,NONE,CS,1430,1.0,7.8,Rejected
F,ASIAN,INTERNATIONAL,High,PRIVATE,LGBT,ENG,1530,6.5,2.5,Rejected
OTHER,ASIAN,TX,Low,PUBLIC,NONE,ENG,1560,5.0,2.5,Rejected
F,ASIAN,WA,-1,PUBLIC,NONE,BUSINESS,1420,7.5,6.5,Rejected
F,ASIAN,CA,Middle,PUBLIC,FIRST-GEN,CS,1530,6.5,2.5,Rejected
F,ASIAN,GA,High,PUBLIC,NONE,CS,1550,6.5,6.3,Rejected
F,ASIAN,CA,High,PUBLIC,LGBT,ENG,1560,5.0,6.5,Rejected
F,ASIAN,CA,Low,PRIVATE,NONE,PREMED,1590,6.5,4.5,Rejected
F,ASIAN,-1,Low,INTERNATIONAL,NONE,PSYCH,1400,6.5,4.5,Rejected
M,HISPANIC,CA,Middle,PUBLIC,NONE,ENG,1310,2.0,4.2,Rejected
NB,ASIAN,WI,High,PRIVATE,NONE,ENG,1430,5.0,6.5,Rejected
NB,ASIAN,WI,High,PRIVATE,NONE,ENG,1430,6.5,6.5,Rejected
M,ASIAN,CA,Low,PUBLIC,NONE,ENG,1570,4.5,3.7,Rejected
F,ASIAN,CA,High,-1,LEGACY,CS,1520,7.5,7.8,Rejected
F,ASIAN,CA,-1,-1,LEGACY,CS,1520,7.0,7.5,Rejected
