Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
F,ASIAN,MA,High,PUBLIC,NONE,NEUROSCIENCE,1580,7.5,7.5,Accepted
M,WHITE,CA,Low,PUBLIC,NONE,BIO,1540,7.5,7.3,Accepted
M,-1,CA,Low,PUBLIC,NONE,CS,1540,8.5,4.7,Accepted
M,WHITE,CA,High,PUBLIC,NONE,-1,1470,6.5,7.5,Accepted
F,WHITE,CA,High,-1,URM,BIO,1080,3.5,1.5,Accepted
M,HISPANIC,CA,Low,PUBLIC,URM,-1,1330,5.5,6.8,Accepted
F,ARAB,OR,High,PUBLIC,LEGACY,BUSINESS,1430,5.5,7.5,Accepted
M,ASIAN,CA,Low,PUBLIC,URM,CS,1100,5.0,7.2,Accepted
M,ASIAN,CA,High,PUBLIC,NONE,CS,1440,7.5,4.5,Accepted
F,-1,TX,Low,PUBLIC,NONE,PSYCH,1560,7.5,4.7,Accepted
M,ASIAN,TX,Low,PUBLIC,NONE,-1,1550,7.5,4.5,Accepted
M,WHITE,MA,Low,-1,NONE,CS,1570,3.5,1.0,Accepted
F,WHITE,CA,Low,PUBLIC,NONE,ENG,1350,5.5,2.5,Accepted
M,ASIAN,IN,High,PRIVATE,NONE,CS,1540,8.5,7.3,Accepted
M,-1,CO,Low,PUBLIC,LGBT,-1,1380,5.5,1.5,Accepted
M,ASIAN,CA,Low,PUBLIC,LEGACY,ENG,1540,6.5,4.7,Accepted
M,ASIAN,TX,High,PUBLIC,FIRST-GEN,ENG,1530,7.5,2.5,Accepted
M,ASIAN,CA,Low,PUBLIC,NONE,POLISCI,1560,7.5,6.5,Accepted
F,ASIAN,IN,Low,PUBLIC,NONE,CS,1590,6.5,3.5,Accepted
M,ASIAN,IN,High,PRIVATE,NONE,POLISCI,1580,6.5,5.5,Accepted
F,ASIAN,CA,Low,PUBLIC,FIRST-GEN,CS,1340,4.0,2.5,Accepted
F,ASIAN,OR,Low,PRIVATE,FIRST-GEN,PSYCH,1030,1.0,2.5,Accepted
M,ASIAN,UT,High,PUBLIC,NONE,POLISCI,1310,7.5,6.5,Accepted
F,BLACK,UT,Low,-1,NONE,HUMANITIES,1170,5.5,1.0,Accepted
M,ASIAN,CA,Low,-1,NONE,CS,1550,8.5,1.0,Accepted
M,WHITE,CA,High,PUBLIC,URM,CS,1530,7.5,4.5,Accepted
F,ASIAN,PA,High,PUBLIC,NONE,CS,1570,6.5,4.5,Accepted
M,ASIAN,WA,-1,SMALL,NONE,BIO,1570,8.5,7.5,Accepted
F,WHITE,CO,High,PUBLIC,LEGACY,ENG,1430,6.5,6.5,Accepted
M,ASIAN,CA,Middle,PUBLIC,NONE,ENG,1520,5.0,6.8,Accepted
M,ASIAN,CA,High,PUBLIC,NONE,CS,1530,4.5,6.2,Accepted
M,ASIAN,OR,Low,PUBLIC,NONE,ENG,1500,7.0,4.5,Accepted
F,ASIAN,CA,Low,-1,FIRST-GEN,ENG,1400,5.5,1.0,Accepted
F,BLACK,CA,Low,PUBLIC,NONE,CS,1360,2.0,2.5,Accepted
F,ASIAN,CA,High,PUBLIC,LEGACY,BIO,1340,3.5,2.5,Accepted
F,ASIAN,CA,High,PUBLIC,FIRST-GEN,BIO,1540,2.5,4.5,Accepted
M,ASIAN,CA,Low,PUBLIC,NONE,ENG,1460,1.0,4.2,Accepted
F,ASIAN,CA,Low,PUBLIC,LEGACY,POLISCI,1540,6.5,6.5,Accepted
F,WHITE,CA,Low,-1,NONE,BIO,1510,7.0,5.0,Accepted
F,ASIAN,CA,Low,-1,NONE,CS,1530,6.5,3.75,Accepted
M,WHITE,CA,Low,PUBLIC,LEGACY,ENG,1550,7.5,6.8,Accepted
F,ASIAN,CO,Low,PUBLIC,NONE,-1,1550,6.5,4.5,Accepted
M,ASIAN,OR,Low,PUBLIC,NONE,BIO,1590,8.5,8.5,Accepted
T,ASIAN,NE,Low,PUBLIC,NONE,CS,1480,6.5,7.5,Accepted
M,ASIAN,CA,Middle,PUBLIC,NONE,CHEMISTRY,1550,6.0,2.5,Accepted
M,WHITE,-1,High,-1,NONE,ENG,1430,5.0,6.5,Accepted
F,WHITE,MO,Low,PUBLIC,NONE,CS,1450,5.0,2.5,Accepted
F,ASIAN,CA,Low,PRIVATE,URM,ENG,1510,8.5,6.5,Accepted
M,ASIAN,CA,Low,-1,NONE,MATH,1580,6.0,5.2,Accepted
M,ASIAN,UT,Low,-1,NONE,CS,1560,8.5,6.5,Accepted
M,ASIAN,CA,Middle,PUBLIC,NONE,CS,1580,6.5,4.2,Accepted
M,WHITE,DC,Low,-1,NONE,NEUROSCIENCE,1560,7.5,1.0,Accepted
M,ASIAN,IA,Low,PRIVATE,NONE,CS,1560,7.5,4.5,Accepted
F,ASIAN,CA,Low,CHARTER,NONE,CS,1540,5.5,3.5,Accepted
F,MIXED,UT,-1,PRIVATE,NONE,POLISCI,1530,5.0,4.5,Accepted
F,ASIAN,UT,High,PUBLIC,NONE,CS,1560,7.5,6.5,Accepted
F,ASIAN,OR,High,PUBLIC,NONE,BUSINESS,1560,6.5,3.5,Accepted
M,ASIAN,CA,Low,PUBLIC,NONE,SOCIAL SCIENCES,1580,3.0,4.8,Accepted
M,ASIAN,CA,Low,-1,NONE,CS,1370,6.5,3.5,Accepted
NB,ASIAN,CA,Low,PUBLIC,NONE,CS,1590,3.5,6.2,Accepted
M,BLACK,-1,Low,-1,NONE,BIO,1420,7.5,0.0,Accepted
M,ASIAN,AL,High,PRIVATE,NONE,CS,1510,7.5,8.5,Accepted
M,ASIAN,CA,High,PUBLIC,NONE,CS,1540,6.5,4.7,Accepted
F,ASIAN,CA,Low,PUBLIC,NONE,BIO,1520,3.5,2.5,Accepted
F,ASIAN,WA,Low,-1,URM,SOCIAL SCIENCES,1470,4.5,1.5,Accepted
F,BLACK,MA,Low,PUBLIC,URM,BIO,1540,5.5,4.2,Accepted
M,ASIAN,CA,Low,PUBLIC,NONE,ENG,1570,6.5,6.5,Accepted
F,ASIAN,CA,Low,PUBLIC,FIRST-GEN,BIO,1550,6.5,8.5,Accepted
M,ASIAN,CA,Low,PRIVATE,NONE,CS,1510,7.5,7.5,Accepted
OTHER,ASIAN,CA,High,PUBLIC,NONE,-1,1580,8.5,4.5,Accepted
F,ASIAN,CA,Low,-1,NONE,BUSINESS,1400,7.5,4.8,Accepted
M,ASIAN,CA,High,PUBLIC,NONE,CS,1560,5.5,6.5,Accepted
F,ASIAN,CA,Middle,PUBLIC,NONE,BIO,1560,7.5,3.7,Accepted
M,ASIAN,TN,Low,PUBLIC,NONE,BUSINESS,1390,6.5,3.7,Accepted
M,-1,CA,-1,PUBLIC,NONE,CS,1520,3.5,2.5,Accepted
M,ASIAN,CA,Low,PUBLIC,LGBT,CS,1560,3.5,4.5,Accepted
F,ASIAN,OR,Low,PUBLIC,NONE,CS,1520,7.5,7.8,Accepted
M,ASIAN,CA,High,PUBLIC,NONE,PUBLIC POLICY,1560,8.5,8.5,Accepted
F,WHITE,CA,-1,PUBLIC,NONE,CS,1470,6.5,4.5,Accepted
M,ASIAN,CA,Low,-1,NONE,CS,1480,5.5,0.0,Accepted
M,WHITE,LA,High,PRIVATE,NONE,NEUROSCIENCE,1570,6.0,4.7,Accepted
M,WHITE,CA,Low,PRIVATE,NONE,CS,1550,7.5,4.5,Accepted
M,ASIAN,UT,Low,-1,NONE,CHEMISTRY,1540,5.5,8.2,Accepted
M,ASIAN,DC,Low,PRIVATE,NONE,-1,1520,7.5,6.5,Accepted
OTHER,ASIAN,CA,-1,PUBLIC,NONE,CS,1520,6.5,8.2,Accepted
M,ASIAN,CA,Low,PUBLIC,NONE,CS,1590,6.5,2.5,Accepted
M,WHITE,CA,High,PUBLIC,NONE,POLISCI,1580,4.5,7.5,Accepted
M,ASIAN,PA,Low,PUBLIC,NONE,CS,1580,7.5,7.5,Accepted
M,ASIAN,CA,Low,PUBLIC,NONE,CS,1550,8.5,7.5,Accepted
F,BLACK,OR,-1,PRIVATE,NONE,INTERNATIONAL RELATIONS,1380,6.5,6.8,Accepted
M,ASIAN,CA,High,PUBLIC,NONE,CS,1590,6.5,2.5,Accepted
F,ASIAN,CA,Middle,PUBLIC,NONE,BIO,1520,5.5,7.2,Accepted
F,ASIAN,OR,Low,PUBLIC,NONE,CS,1520,7.5,5.8,Accepted
M,ASIAN,MI,Low,PRIVATE,NONE,CS,1530,8.5,4.5,Accepted
M,ASIAN,IN,Low,-1,NONE,CS,1600,8.5,0.0,Accepted
M,ASIAN,IN,High,PUBLIC,NONE,-1,1600,6.5,8.5,Accepted
M,ASIAN,CA,Low,PUBLIC,FIRST-GEN,CS,1560,7.5,1.5,Accepted
M,ASIAN,CA,High,PUBLIC,NONE,CS,1490,7.5,7.8,Accepted
F,ASIAN,CA,Middle,PUBLIC,NONE,BIO,1560,5.5,2.5,Accepted
M,ASIAN,CO,High,PRIVATE,NONE,PSYCH,1520,5.0,7.5,Accepted
F,ASIAN,CA,Low,PUBLIC,NONE,ENG,1530,6.5,6.5,Accepted
M,ASIAN,WA,Low,PRIVATE,NONE,-1,1550,6.5,2.5,Accepted
M,ASIAN,CA,Low,-1,NONE,ENG,1520,6.5,8.5,Accepted
F,ASIAN,-1,Low,PUBLIC,NONE,BIO,1360,3.5,3.5,Accepted
M,ASIAN,IN,Low,PUBLIC,NONE,CS,1490,2.5,7.5,Accepted
M,HISPANIC,CA,Low,PUBLIC,NONE,MATH,1050,1.0,4.5,Accepted
F,WHITE,CA,Low,PUBLIC,LGBT,CS,1570,7.5,6.5,Accepted
M,WHITE,MA,Low,PRIVATE,NONE,ENG,1550,5.0,6.8,Accepted
M,BLACK,CO,Low,PUBLIC,NONE,BUSINESS,1170,6.5,3.5,Accepted
M,ASIAN,USA,Low,PRIVATE,LEGACY,CS,1490,7.0,2.5,Accepted
F,ASIAN,PA,Low,PRIVATE,FIRST-GEN,POLISCI,1570,7.5,4.5,Accepted
F,ASIAN,CA,High,PRIVATE,NONE,-1,1370,8.5,6.8,Accepted
M,ASIAN,IN,High,PRIVATE,NONE,BUSINESS,1560,5.0,8.0,Accepted
M,HISPANIC,CA,Low,PUBLIC,NONE,ENG,1370,5.0,2.5,Accepted
F,ASIAN,CA,Low,PUBLIC,FIRST-GEN,CS,1530,6.5,8.2,Accepted
F,ASIAN,CA,High,PUBLIC,NONE,MATH,1580,4.5,6.5,Accepted
M,ASIAN,CA,High,PUBLIC,LEGACY,ENG,1600,6.5,3.7,Accepted
M,ASIAN,CA,-1,PUBLIC,NONE,BIO,1500,5.0,2.5,Accepted
M,ASIAN,-1,Low,PUBLIC,NONE,CS,1500,8.5,2.5,Accepted
M,ASIAN,TX,Low,-1,NONE,CS,1550,6.5,9.5,Accepted
F,ASIAN,CA,Low,PUBLIC,FIRST-GEN,PREMED,1460,5.5,2.5,Accepted
M,ASIAN,-1,High,PUBLIC,NONE,PSYCH,1580,4.5,7.8,Accepted
