Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
F,ASIAN,CA,Low,-1,NONE,CS,1570,8.5,4.5,Accepted
F,ASIAN,CA,Low,PUBLIC,LEGACY,LAW,1490,7.5,4.5,Accepted
T,WHITE,NY,Low,PRIVATE,NONE,CS,1600,6.5,4.5,Accepted
M,WHITE,CA,Low,PUBLIC,NONE,CS,1530,6.5,4.2,Accepted
M,ASIAN,CA,Low,-1,NONE,CS,1570,6.5,2.5,Accepted
M,BLACK,TX,Low,PUBLIC,URM,POLISCI,1470,6.5,2.5,Accepted
F,WHITE,CA,Low,PUBLIC,NONE,ENG,1350,5.5,2.5,Accepted
F,ASIAN,CA,High,PUBLIC,NONE,CS,1560,6.5,4.7,Accepted
F,ASIAN,CA,Low,PUBLIC,FIRST-GEN,CS,1340,4.0,2.5,Accepted
M,ASIAN,CA,Low,PUBLIC,NONE,CS,1520,7.5,6.8,Accepted
F,BLACK,MI,High,PUBLIC,URM,CS,1550,4.5,4.5,Accepted
M,ASIAN,CA,Middle,PUBLIC,NONE,HISTORY,1470,6.5,7.5,Accepted
M,ASIAN,CA,Middle,PUBLIC,NONE,ENG,1520,5.0,6.8,Accepted
M,WHITE,CA,High,PUBLIC,URM,MATH,1470,1.0,2.5,Accepted
F,WHITE,CO,High,PUBLIC,NONE,BUSINESS,1120,6.5,1.5,Accepted
M,WHITE,INTERNATIONAL,High,PRIVATE,NONE,ENG,1320,5.0,8.2,Accepted
M,ARAB,IA,Middle,PRIVATE,NONE,CS,1320,7.5,2.5,Accepted
M,ASIAN,-1,High,PUBLIC,NONE,MATH,1510,3.0,2.5,Accepted
F,ASIAN,CA,Low,PUBLIC,LEGACY,POLISCI,1540,6.5,6.5,Accepted
F,WHITE,CA,Low,PUBLIC,NONE,CS,1540,6.5,6.2,Accepted
T,ASIAN,NE,Low,PUBLIC,NONE,CS,1480,6.5,7.5,Accepted
M,WHITE,VA,Low,PUBLIC,NONE,ENVIRONMENTAL STUDIES,1380,5.5,4.5,Accepted
NB,WHITE,CA,Low,PUBLIC,NONE,ENG,1560,6.5,3.7,Accepted
F,ASIAN,CA,Low,PRIVATE,URM,ENG,1510,8.5,6.5,Accepted
F,WHITE,MI,High,PUBLIC,LGBT,-1,1470,4.5,4.2,Accepted
NB,WHITE,DC,-1,PUBLIC,LEGACY,CS,1470,6.5,4.5,Accepted
F,ASIAN,CA,Low,CHARTER,NONE,CS,1540,5.5,3.5,Accepted
F,ASIAN,CA,High,PUBLIC,NONE,CS,1530,6.5,4.1,Accepted
M,ASIAN,CA,Low,PUBLIC,FIRST-GEN,BIO,1550,6.5,8.0,Accepted
M,ASIAN,-1,High,PUBLIC,LEGACY,ENG,1540,7.5,4.5,Accepted
F,HISPANIC,CA,High,PUBLIC,URM,-1,1450,6.5,8.3,Accepted
M,WHITE,CA,-1,PUBLIC,NONE,CS,1490,3.5,2.5,Accepted
M,ASIAN,WA,Low,-1,NONE,CS,1570,7.5,6.5,Accepted
F,WHITE,MI,Low,-1,NONE,ENVIRONMENTAL STUDIES,1420,5.0,2.5,Accepted
M,ASIAN,CA,Low,-1,NONE,CS,1500,7.5,6.5,Accepted
M,ASIAN,CA,Low,PRIVATE,NONE,CS,1510,7.5,7.5,Accepted
M,HISPANIC,CA,Low,PUBLIC,URM,CS,1470,7.5,6.5,Accepted
M,ASIAN,CA,Low,-1,NONE,ENG,1570,6.5,2.5,Accepted
F,ASIAN,CA,Middle,PUBLIC,NONE,BIO,1560,7.5,3.7,Accepted
F,WHITE,CA,Low,-1,NONE,CS,1350,5.0,7.5,Accepted
M,ASIAN,IN,High,PRIVATE,NONE,ENG,1540,8.5,7.5,Accepted
M,ASIAN,CA,Low,PUBLIC,NONE,CS,1400,2.0,2.5,Accepted
M,ASIAN,CA,Low,PUBLIC,LGBT,CS,1560,3.5,4.5,Accepted
F,WHITE,LA,High,PUBLIC,NONE,BIO,1400,3.5,6.8,Accepted
OTHER,ASIAN,CA,-1,PUBLIC,NONE,CS,1520,6.5,8.2,Accepted
M,ASIAN,CA,Low,PUBLIC,NONE,CS,1590,6.5,2.5,Accepted
M,ASIAN,IN,High,PRIVATE,NONE,ENG,1540,8.5,7.5,Accepted
M,ASIAN,CA,High,PRIVATE,NONE,CS,1590,6.5,6.8,Accepted
F,WHITE,CA,High,SMALL,NONE,CS,1510,7.5,2.5,Accepted
F,WHITE,CA,-1,PRIVATE,NONE,CS,1530,5.5,6.8,Accepted
M,ASIAN,CA,Low,-1,NONE,-1,1570,6.5,3.5,Accepted
M,ASIAN,CA,Low,PUBLIC,FIRST-GEN,CS,1560,7.5,1.5,Accepted
M,ASIAN,CA,High,PUBLIC,NONE,CS,1490,7.5,7.8,Accepted
F,-1,CO,Low,PRIVATE,NONE,HISTORY,1570,8.5,4.5,Accepted
