Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
F,ASIAN,MA,High,PUBLIC,NONE,NEUROSCIENCE,1580,7.5,7.5,Accepted
F,ASIAN,CA,Low,-1,NONE,CS,1570,8.5,4.5,Accepted
F,ASIAN,NY,Low,PUBLIC,NONE,CS,1600,6.5,7.5,Accepted
M,ASIAN,-1,High,PUBLIC,FIRST-GEN,CHEMISTRY,1300,6.0,7.5,Accepted
M,WHITE,IL,High,PUBLIC,NONE,CS,1530,5.0,7.0,Accepted
M,ASIAN,DC,Low,PUBLIC,NONE,BIO,1440,8.5,8.2,Accepted
M,ASIAN,MI,Low,PUBLIC,NONE,CS,1550,6.5,6.5,Accepted
M,WHITE,FL,Low,PUBLIC,NONE,BIO,1390,5.0,4.5,Accepted
F,ASIAN,OR,Low,PUBLIC,NONE,BUSINESS,1560,6.5,6.5,Accepted
M,WHITE,MI,High,PUBLIC,NONE,ENG,1460,8.0,7.5,Accepted
M,ASIAN,-1,-1,PUBLIC,NONE,BUSINESS,1570,8.5,4.5,Accepted
F,BLACK,CA,Low,PUBLIC,URM,NEUROSCIENCE,1480,6.5,7.2,Accepted
M,WHITE,MA,High,PRIVATE,LGBT,BUSINESS,1490,6.5,8.2,Accepted
F,ASIAN,MI,High,PUBLIC,NONE,CS,1560,6.5,4.2,Accepted
M,ASIAN,IN,High,PRIVATE,NONE,CS,1540,8.5,7.3,Accepted
F,WHITE,MI,Low,-1,NONE,CS,1580,3.5,1.0,Accepted
M,WHITE,CA,Low,-1,LEGACY,BUSINESS,1560,5.5,1.5,Accepted
M,WHITE,CA,High,PUBLIC,NONE,BUSINESS,1520,6.5,6.5,Accepted
F,ASIAN,OH,Middle,PUBLIC,NONE,CS,1570,6.5,4.2,Accepted
F,WHITE,IL,High,PUBLIC,NONE,CS,1600,6.5,7.5,Accepted
F,ASIAN,GA,High,PUBLIC,NONE,ENG,1570,1.0,4.5,Accepted
F,-1,OR,Low,PUBLIC,NONE,BUSINESS,1560,6.5,6.5,Accepted
M,ASIAN,UT,Low,PUBLIC,LEGACY,CS,1570,7.5,6.2,Accepted
M,WHITE,NY,Low,PUBLIC,NONE,CS,1540,8.5,4.5,Accepted
M,ASIAN,UT,Middle,PUBLIC,NONE,ENG,1500,8.5,2.5,Accepted
F,WHITE,NY,Low,PUBLIC,NONE,BIO,1580,7.5,6.5,Accepted
F,-1,TX,High,PUBLIC,FIRST-GEN,SOCIAL SCIENCES,1320,2.5,7.8,Accepted
M,ASIAN,WA,-1,SMALL,NONE,BIO,1570,8.5,7.5,Accepted
F,ASIAN,INTERNATIONAL,Low,PRIVATE,NONE,SOCIAL SCIENCES,1400,5.5,3.8,Accepted
F,ASIAN,OR,Middle,PUBLIC,NONE,CS,1530,5.5,8.2,Accepted
F,WHITE,CO,High,PUBLIC,LEGACY,ENG,1430,6.5,6.5,Accepted
M,ASIAN,MA,Low,PRIVATE,NONE,BIO,1550,8.5,7.2,Accepted
F,WHITE,FL,Low,PRIVATE,URM,BIO,1510,5.5,4.7,Accepted
F,WHITE,UT,Low,PUBLIC,NONE,BUSINESS,1340,6.5,4.5,Accepted
M,WHITE,WA,High,PRIVATE,NONE,POLISCI,1480,5.0,6.5,Accepted
F,ASIAN,-1,Low,-1,NONE,-1,1580,6.5,7.5,Accepted
M,ASIAN,NY,High,PUBLIC,FIRST-GEN,ENG,1460,6.5,2.5,Accepted
M,WHITE,NY,High,PUBLIC,NONE,BIO,1570,3.5,4.7,Accepted
F,ASIAN,TX,Low,-1,FIRST-GEN,CS,1540,4.5,1.0,Accepted
F,ASIAN,LA,High,PUBLIC,NONE,CS,1570,6.5,6.5,Accepted
M,ASIAN,NY,Low,PUBLIC,FIRST-GEN,CS,1430,6.0,7.8,Accepted
F,ASIAN,CA,High,PUBLIC,NONE,ENG,1520,5.5,4.2,Accepted
T,ARAB,MA,High,-1,URM,CS,1490,3.5,2.5,Accepted
F,WHITE,VA,High,PUBLIC,LEGACY,MEDIA STUDIES,1390,6.5,8.5,Accepted
M,ASIAN,CA,High,PUBLIC,NONE,CS,1500,6.5,8.2,Accepted
