Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
F,ASIAN,MA,High,PUBLIC,NONE,NEUROSCIENCE,1580,7.5,7.5,Accepted
F,ASIAN,NY,High,PUBLIC,NONE,HISTORY,1590,6.5,8.1,Accepted
F,ARAB,OR,High,PUBLIC,LEGACY,BUSINESS,1430,5.5,7.5,Accepted
M,ASIAN,DC,Low,PUBLIC,NONE,BIO,1440,8.5,8.2,Accepted
M,WHITE,FL,Low,PUBLIC,NONE,BIO,1390,5.0,4.5,Accepted
F,ASIAN,OR,Low,PUBLIC,NONE,BUSINESS,1560,6.5,6.5,Accepted
F,ASIAN,NC,Low,MAGNET,FIRST-GEN,ENG,1530,6.5,4.2,Accepted
F,BLACK,FL,Low,PUBLIC,URM,BIO,1300,6.5,3.7,Accepted
M,ASIAN,PA,High,PRIVATE,NONE,CS,1560,7.5,4.5,Accepted
F,ASIAN,CA,Low,PUBLIC,NONE,BUSINESS,1550,5.5,4.2,Accepted
F,-1,OR,Low,PUBLIC,NONE,BUSINESS,1560,6.5,6.5,Accepted
M,ASIAN,NY,Low,PUBLIC,NONE,BIO,1570,8.5,2.5,Accepted
F,ASIAN,PA,High,PUBLIC,NONE,CS,1570,6.5,4.5,Accepted
F,ASIAN,CA,High,PUBLIC,NONE,CS,1300,3.5,7.2,Accepted
M,ASIAN,GA,Low,PUBLIC,LEGACY,ENG,1570,6.5,6.5,Accepted
F,ASIAN,LA,High,PUBLIC,NONE,CS,1570,6.5,6.5,Accepted
F,HISPANIC,NY,Low,PUBLIC,FIRST-GEN,BUSINESS,1450,4.5,2.5,Accepted
T,ARAB,MA,High,-1,URM,CS,1490,3.5,2.5,Accepted
F,BLACK,CA,Low,PRIVATE,URM,BUSINESS,1480,10.0,3.5,Accepted
F,WHITE,-1,High,PUBLIC,LEGACY,POLISCI,1540,6.5,6.5,Accepted
F,ASIAN,IN,Low,PUBLIC,NONE,ENG,1540,6.5,6.5,Accepted
M,ASIAN,OR,Low,PUBLIC,NONE,BIO,1590,8.5,8.5,Accepted
F,BLACK,GA,Middle,PUBLIC,URM,CS,1500,7.5,4.5,Accepted
F,ASIAN,OR,Low,PUBLIC,NONE,BIO,1570,6.5,4.5,Accepted
M,HISPANIC,UT,High,-1,URM,BIO,1440,7.5,8.7,Accepted
M,ASIAN,UT,Low,PUBLIC,NONE,ENG,1570,6.5,7.8,Accepted
F,ASIAN,UT,High,PUBLIC,NONE,CS,1560,7.5,6.5,Accepted
M,BLACK,-1,Low,-1,NONE,BIO,1420,7.5,0.0,Accepted
M,WHITE,CA,Low,-1,LEGACY,CS,1410,6.5,2.5,Accepted
F,ASIAN,-1,Low,-1,FIRST-GEN,BUSINESS,1540,6.5,1.5,Accepted
M,ASIAN,GA,Low,-1,NONE,BIO,1560,8.5,7.5,Accepted
M,ASIAN,CA,High,-1,NONE,CS,1530,7.5,7.2,Accepted
M,ASIAN,CA,Low,PUBLIC,NONE,CS,1550,8.5,4.5,Accepted
F,BLACK,MI,High,PUBLIC,URM,CS,1470,5.5,4.5,Accepted
M,WHITE,UT,High,PRIVATE,URM,CS,1510,6.5,6.8,Accepted
M,ASIAN,CA,High,PUBLIC,NONE,CS,1590,6.5,2.5,Accepted
M,ASIAN,CA,High,PUBLIC,NONE,CS,1520,6.5,4.5,Accepted
M,ASIAN,LA,Low,CHARTER,NONE,BIO,1560,6.5,7.0,Accepted
M,ASIAN,IN,High,PUBLIC,LEGACY,ENG,1550,8.5,7.5,Accepted
M,BLACK,CA,Low,-1,NONE,POLISCI,1510,6.5,2.5,Accepted
M,ASIAN,IN,Low,-1,NONE,CS,1600,8.5,0.0,Accepted
F,BLACK,GA,Low,PUBLIC,URM,LAW,1260,3.5,8.5,Accepted
M,ASIAN,CA,Low,PUBLIC,FIRST-GEN,CS,1560,7.5,1.5,Accepted
F,ASIAN,CA,High,-1,LEGACY,HUMANITIES,1450,6.5,4.5,Accepted
M,ASIAN,CA,-1,PRIVATE,NONE,CS,1530,6.5,7.5,Accepted
M,BLACK,NC,High,-1,URM,CS,1570,6.5,6.8,Accepted
M,ASIAN,IN,Low,-1,FIRST-GEN,CS,1530,8.5,6.5,Accepted
F,ASIAN,UT,Low,PRIVATE,NONE,SOCIAL SCIENCES,1570,-1.0,2.5,Accepted
F,WHITE,-1,Low,PUBLIC,NONE,CS,1540,6.5,7.2,Accepted
M,WHITE,NY,Low,PUBLIC,NONE,-1,1560,6.5,7.5,Accepted
M,WHITE,NC,Low,PRIVATE,NONE,ENG,1440,4.5,2.5,Accepted
F,WHITE,IN,High,PRIVATE,LEGACY,ENG,1580,6.5,7.3,Accepted
M,ASIAN,-1,High,PUBLIC,NONE,PSYCH,1580,4.5,7.8,Accepted
F,ASIAN,CA,High,PRIVATE,NONE,UNDECIDED,1570,4.0,7.5,Accepted
M,WHITE,CO,Low,-1,NONE,-1,1530,5.0,3.5,Accepted
F,ASIAN,-1,Low,PUBLIC,NONE,BUSINESS,1550,6.5,6.8,Accepted
M,WHITE,IN,Low,-1,URM,CS,1580,5.5,1.5,Rejected
