Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
M,ASIAN,-1,Low,PUBLIC,NONE,CS,1590,7.5,8.7,Accepted
M,ASIAN,INTERNATIONAL,Low,-1,NONE,CS,1510,7.5,6.2,Accepted
F,BLACK,CA,Low,PRIVATE,URM,CS,1320,5.0,5.7,Accepted
F,WHITE,NY,Low,-1,URM,MEDIA STUDIES,1240,4.5,2.0,Accepted
M,ASIAN,OR,High,PUBLIC,NONE,BIO,1410,5.5,7.5,Accepted
M,ASIAN,IL,Low,PUBLIC,NONE,ENG,1400,5.0,4.5,Accepted
F,WHITE,-1,Low,PUBLIC,FIRST-GEN,MEDIA STUDIES,1420,5.0,6.5,Accepted
M,ASIAN,OH,-1,PUBLIC,NONE,-1,1490,6.5,0.0,Accepted
F,WHITE,OR,Low,SMALL,FIRST-GEN,DESIGN,1410,2.0,4.5,Accepted
F,ARAB,OR,High,PUBLIC,LEGACY,BUSINESS,1430,5.5,7.5,Accepted
M,ASIAN,IN,Low,PRIVATE,NONE,ENG,1460,6.0,4.5,Accepted
M,BLACK,PA,Low,PRIVATE,URM,BIO,1520,5.5,4.5,Accepted
M,ASIAN,-1,-1,PUBLIC,NONE,BUSINESS,1570,8.5,4.5,Accepted
M,ASIAN,CO,High,PUBLIC,FIRST-GEN,-1,1430,5.5,2.5,Accepted
M,BLACK,TX,Low,PUBLIC,URM,POLISCI,1470,6.5,2.5,Accepted
M,WHITE,MA,Low,-1,NONE,CS,1570,3.5,1.0,Accepted
M,WHITE,LA,High,-1,LEGACY,CS,1580,7.5,7.5,Accepted
M,WHITE,IN,Low,-1,URM,CS,1580,6.5,6.5,Accepted
M,BLACK,GA,Middle,PUBLIC,URM,CS,1520,6.5,6.5,Accepted
M,ASIAN,CA,Low,PUBLIC,LEGACY,ENG,1540,6.5,4.7,Accepted
M,ASIAN,TX,High,PUBLIC,NONE,BUSINESS,1560,7.5,7.8,Accepted
M,ASIAN,TX,High,PUBLIC,FIRST-GEN,ENG,1530,7.5,2.5,Accepted
M,WHITE,CA,High,PUBLIC,NONE,BUSINESS,1520,6.5,6.5,Accepted
M,ASIAN,CA,Low,PUBLIC,NONE,POLISCI,1560,7.5,6.5,Accepted
F,ASIAN,-1,Low,PRIVATE,NONE,CS,1560,5.5,3.7,Accepted
F,WHITE,NC,High,PRIVATE,NONE,HISTORY,1540,6.5,6.2,Accepted
M,ASIAN,-1,High,PUBLIC,NONE,CS,1530,7.5,6.5,Accepted
M,BLACK,NY,Low,PUBLIC,URM,BIO,1360,2.0,6.2,Accepted
M,WHITE,MI,Low,PUBLIC,NONE,CS,1520,6.5,7.2,Accepted
F,WHITE,NY,Low,-1,URM,MEDIA STUDIES,1240,4.5,2.5,Accepted
F,ASIAN,NY,High,PUBLIC,LEGACY,POLISCI,1570,6.5,4.5,Accepted
M,WHITE,NY,Low,PUBLIC,NONE,CS,1540,8.5,4.5,Accepted
F,WHITE,NY,Low,PUBLIC,NONE,BIO,1580,7.5,6.5,Accepted
M,WHITE,MA,Middle,PUBLIC,NONE,POLISCI,1590,6.5,6.7,Accepted
M,ASIAN,MA,Low,PUBLIC,NONE,CS,1540,6.5,6.5,Accepted
M,ASIAN,WA,-1,SMALL,NONE,BIO,1570,8.5,7.5,Accepted
M,ASIAN,PA,Low,PUBLIC,NONE,CS,1510,7.5,6.5,Accepted
M,ASIAN,MA,Low,PRIVATE,NONE,BIO,1550,8.5,7.2,Accepted
M,ASIAN,PA,Low,PUBLIC,NONE,-1,1570,5.5,4.5,Accepted
M,ASIAN,CA,High,PUBLIC,NONE,CS,1530,4.5,6.2,Accepted
M,ASIAN,GA,Low,PUBLIC,LEGACY,ENG,1570,6.5,6.5,Accepted
M,WHITE,-1,High,PUBLIC,NONE,CS,1550,4.5,6.5,Accepted
M,ASIAN,CA,Low,-1,NONE,CS,1530,7.5,8.5,Accepted
F,ASIAN,TX,Low,-1,FIRST-GEN,CS,1540,4.5,1.0,Accepted
M,WHITE,PA,Low,PUBLIC,FIRST-GEN,POLISCI,1450,3.5,2.5,Accepted
F,BLACK,MI,Low,PUBLIC,URM,BIO,1420,5.5,4.7,Accepted
M,ASIAN,OR,High,PUBLIC,NONE,BIO,1550,6.5,2.5,Accepted
M,ASIAN,PA,High,PUBLIC,NONE,CS,1580,7.5,4.5,Accepted
M,ASIAN,MA,High,PUBLIC,NONE,PSYCH,1430,1.0,7.5,Accepted
M,ASIAN,IA,-1,-1,NONE,-1,1570,3.5,3.5,Accepted
M,ASIAN,MI,Low,PUBLIC,FIRST-GEN,CS,1550,7.5,7.2,Accepted
M,ASIAN,CA,Low,PUBLIC,NONE,ENG,1510,5.0,3.5,Accepted
M,ASIAN,DC,Low,PUBLIC,NONE,CS,1580,6.5,6.5,Accepted
F,ASIAN,AZ,Low,PUBLIC,NONE,-1,1390,6.5,4.5,Accepted
M,ASIAN,PA,Low,-1,NONE,CS,1590,5.0,2.5,Accepted
M,ASIAN,IN,High,PRIVATE,LEGACY,CS,1470,7.5,6.5,Accepted
F,ASIAN,CO,Low,PUBLIC,NONE,-1,1550,6.5,4.5,Accepted
M,BLACK,-1,Middle,-1,URM,CS,1510,7.5,2.5,Accepted
F,WHITE,OR,Low,PUBLIC,NONE,ENG,1450,6.5,4.5,Accepted
M,BLACK,CA,Low,PUBLIC,URM,CS,1490,8.5,4.5,Accepted
F,WHITE,NY,Low,PRIVATE,LEGACY,ENG,1530,3.0,7.5,Accepted
T,ASIAN,GA,High,PUBLIC,URM,PREMED,1580,7.5,8.5,Accepted
F,ASIAN,GA,High,PUBLIC,NONE,ENG,1580,6.5,3.7,Accepted
T,WHITE,PA,Low,PUBLIC,FIRST-GEN,CS,1550,5.0,4.5,Accepted
F,BLACK,GA,Middle,PUBLIC,URM,CS,1500,7.5,4.5,Accepted
M,ASIAN,CA,Low,PUBLIC,NONE,HEALTH SCIENCES,1500,6.5,6.5,Accepted
F,ASIAN,PA,Low,PUBLIC,LEGACY,ENG,1550,7.5,4.5,Accepted
F,ASIAN,OR,High,PUBLIC,NONE,CS,1550,5.5,4.5,Accepted
M,WHITE,OR,Low,PUBLIC,NONE,CS,1500,8.5,7.5,Accepted
M,ASIAN,IN,Low,PRIVATE,NONE,CS,1520,6.5,4.5,Accepted
M,BLACK,TX,Low,PUBLIC,NONE,ENG,1350,6.5,8.5,Accepted
F,ASIAN,MD,Low,PUBLIC,NONE,ENG,1570,7.5,6.5,Accepted
M,ASIAN,VA,Low,PUBLIC,NONE,CS,1540,6.5,4.5,Accepted
M,ASIAN,MI,Low,PUBLIC,LEGACY,CS,1310,4.5,4.5,Accepted
NB,WHITE,DC,-1,PUBLIC,LEGACY,CS,1470,6.5,4.5,Accepted
F,ASIAN,PA,High,PUBLIC,LEGACY,CS,1510,5.0,6.5,Accepted
F,WHITE,CO,-1,PRIVATE,LEGACY,ENG,1530,6.5,6.5,Accepted
