Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
M,-1,CA,Low,PUBLIC,NONE,CS,1540,8.5,4.7,Accepted
F,BLACK,MO,Low,PUBLIC,URM,CS,1420,6.5,7.5,Accepted
F,WHITE,MI,High,PUBLIC,NONE,BUSINESS,1190,1.0,4.5,Accepted
F,HISPANIC,CA,High,PUBLIC,NONE,NEUROSCIENCE,1380,7.5,6.5,Accepted
M,BLACK,CO,High,PUBLIC,URM,PREMED,1370,6.5,3.5,Accepted
M,WHITE,CA,High,PUBLIC,LEGACY,CS,1480,5.0,4.7,Accepted
M,WHITE,UT,Low,PUBLIC,URM,CS,1460,5.0,4.5,Accepted
M,ASIAN,CA,High,PUBLIC,NONE,CS,1440,7.5,4.5,Accepted
F,ASIAN,CA,Low,PUBLIC,LEGACY,LAW,1490,7.5,4.5,Accepted
F,ASIAN,TX,High,PUBLIC,LEGACY,PSYCH,1590,3.5,5.2,Accepted
M,WHITE,MI,Low,PUBLIC,URM,CS,1450,2.5,4.2,Accepted
M,WHITE,MA,High,PRIVATE,LGBT,BUSINESS,1490,6.5,8.2,Accepted
F,ASIAN,CA,High,PUBLIC,NONE,CS,1560,6.5,4.7,Accepted
M,ASIAN,AZ,Low,CHARTER,NONE,CS,1600,8.5,7.5,Accepted
M,-1,CO,Low,PUBLIC,LGBT,-1,1380,5.5,1.5,Accepted
M,ASIAN,CA,Low,PUBLIC,LEGACY,ENG,1540,6.5,4.7,Accepted
M,ASIAN,TX,High,PUBLIC,NONE,BUSINESS,1560,7.5,7.8,Accepted
M,WHITE,CA,Low,-1,LEGACY,BUSINESS,1560,5.5,1.5,Accepted
M,ASIAN,CA,Low,PUBLIC,NONE,POLISCI,1560,7.5,6.5,Accepted
F,ASIAN,IN,Low,PUBLIC,NONE,CS,1590,6.5,3.5,Accepted
F,ASIAN,OH,Middle,PUBLIC,NONE,CS,1570,6.5,4.2,Accepted
F,ASIAN,CA,Low,PUBLIC,FIRST-GEN,CS,1340,4.0,2.5,Accepted
F,WHITE,IL,High,PUBLIC,NONE,CS,1600,6.5,7.5,Accepted
F,ASIAN,IL,Low,PUBLIC,LEGACY,ENG,1590,5.5,2.5,Accepted
F,ASIAN,NY,Low,PUBLIC,FIRST-GEN,POLISCI,1550,6.5,6.2,Accepted
F,ASIAN,PA,High,PUBLIC,NONE,CS,1570,6.5,4.5,Accepted
M,BLACK,IL,Low,PRIVATE,NONE,CS,1520,5.5,3.5,Accepted
F,ASIAN,IA,High,PRIVATE,NONE,BIO,1590,8.5,6.8,Accepted
M,ASIAN,MA,Low,PUBLIC,NONE,CS,1540,6.5,6.5,Accepted
F,HISPANIC,-1,High,PUBLIC,URM,CS,1450,1.5,3.5,Accepted
M,ASIAN,MA,Low,PRIVATE,NONE,BIO,1550,8.5,7.2,Accepted
M,ASIAN,UT,Low,PUBLIC,NONE,ENG,1540,3.5,2.5,Accepted
F,ASIAN,CA,Low,-1,FIRST-GEN,ENG,1400,5.5,1.0,Accepted
M,-1,-1,Low,PUBLIC,NONE,CS,1420,5.5,2.5,Accepted
F,ASIAN,PA,High,PUBLIC,LEGACY,CS,1500,6.5,4.5,Accepted
F,ASIAN,GA,Low,PUBLIC,FIRST-GEN,CS,1540,5.5,3.5,Accepted
F,ASIAN,CA,High,PUBLIC,FIRST-GEN,BIO,1540,2.5,4.5,Accepted
F,NATIVE,WI,Low,-1,URM,-1,1420,6.5,2.5,Accepted
F,ASIAN,IL,Low,PUBLIC,NONE,BIO,1440,5.5,6.5,Accepted
F,ASIAN,CO,Low,PUBLIC,NONE,BIO,1530,6.5,4.5,Accepted
F,ASIAN,USA,Low,PUBLIC,NONE,ENVIRONMENTAL STUDIES,1480,3.0,4.5,Accepted
M,WHITE,OR,Low,-1,NONE,CS,1560,2.5,4.5,Accepted
M,ASIAN,-1,Low,PUBLIC,NONE,ENG,1520,7.5,4.2,Accepted
M,BLACK,NY,Low,PRIVATE,NONE,BIO,1410,3.5,2.5,Accepted
F,BLACK,GA,Middle,PUBLIC,URM,CS,1500,7.5,4.5,Accepted
M,ASIAN,OR,Low,PUBLIC,NONE,ENG,1590,8.5,4.5,Accepted
M,ASIAN,CO,Low,PUBLIC,NONE,ENG,1510,5.5,7.5,Accepted
M,WHITE,VA,High,PUBLIC,LEGACY,HUMANITIES,1400,3.0,6.7,Accepted
M,ASIAN,IN,Low,PRIVATE,NONE,CS,1520,6.5,4.5,Accepted
F,WHITE,NY,High,PUBLIC,NONE,CS,1510,5.5,2.5,Accepted
F,BLACK,UT,Low,MAGNET,URM,ENG,1510,7.5,7.5,Accepted
M,HISPANIC,UT,High,-1,URM,BIO,1440,7.5,8.7,Accepted
M,ASIAN,UT,Low,-1,NONE,CS,1560,8.5,6.5,Accepted
M,ASIAN,CA,Low,PRIVATE,NONE,BUSINESS,1530,3.5,4.8,Accepted
F,ASIAN,CA,Low,CHARTER,NONE,CS,1540,5.5,3.5,Accepted
F,HISPANIC,FL,Low,PUBLIC,URM,CHEMISTRY,1380,3.5,3.5,Accepted
M,ASIAN,TX,Low,PUBLIC,NONE,-1,1550,6.5,7.5,Accepted
NB,ASIAN,CA,Low,PUBLIC,NONE,CS,1590,3.5,6.2,Accepted
M,BLACK,-1,Low,-1,NONE,BIO,1420,7.5,0.0,Accepted
M,WHITE,NY,Low,PUBLIC,NONE,HISTORY,1600,7.5,8.7,Accepted
M,ASIAN,AL,High,PRIVATE,NONE,CS,1510,7.5,8.5,Accepted
F,ASIAN,IA,Low,PUBLIC,NONE,SOCIAL SCIENCES,1500,7.5,4.2,Accepted
M,ASIAN,CA,High,PRIVATE,NONE,BUSINESS,1520,6.5,2.5,Accepted
F,ASIAN,CA,Low,PUBLIC,FIRST-GEN,BIO,1550,6.5,8.5,Accepted
M,ASIAN,CO,Low,PUBLIC,NONE,-1,1560,6.5,4.5,Accepted
M,ASIAN,CA,Low,PRIVATE,NONE,CS,1510,7.5,7.5,Accepted
F,WHITE,FL,Low,PUBLIC,FIRST-GEN,ENG,1430,7.0,4.5,Accepted
NB,ASIAN,MA,Low,CHARTER,FIRST-GEN,CS,1380,5.5,2.5,Accepted
M,ASIAN,TX,Middle,-1,NONE,-1,1560,7.5,8.2,Accepted
F,ASIAN,CO,High,PUBLIC,NONE,CS,1390,7.5,7.5,Accepted
M,ASIAN,CA,High,PUBLIC,NONE,CS,1550,6.0,6.5,Accepted
F,WHITE,FL,Low,MAGNET,LEGACY,POLISCI,1420,5.5,4.5,Accepted
M,ASIAN,CA,High,PUBLIC,NONE,CS,1560,5.5,6.5,Accepted
M,ASIAN,DC,Low,PRIVATE,NONE,-1,1520,7.5,4.5,Accepted
F,BLACK,NY,Low,PUBLIC,URM,PREMED,1430,5.0,4.2,Accepted
F,WHITE,CA,-1,PUBLIC,NONE,CS,1470,6.5,4.5,Accepted
M,ASIAN,CA,Low,-1,NONE,CS,1480,5.5,0.0,Accepted
M,ASIAN,TX,Middle,PUBLIC,NONE,CS,1580,6.5,7.3,Accepted
M,BLACK,CO,High,MAGNET,URM,CS,1490,6.5,6.5,Accepted
F,ASIAN,CA,Low,CHARTER,NONE,ENG,1550,6.5,4.5,Accepted
M,ASIAN,PA,Low,PUBLIC,NONE,CS,1580,7.5,7.5,Accepted
M,ASIAN,GA,Low,PRIVATE,NONE,ENG,1550,7.5,8.2,Accepted
M,BLACK,UT,High,PRIVATE,URM,HISTORY,1520,5.5,7.5,Accepted
F,ASIAN,CO,High,PUBLIC,NONE,BIO,1410,6.5,2.5,Accepted
M,WHITE,MI,Low,PUBLIC,NONE,CS,1510,7.5,7.3,Accepted
M,ASIAN,IN,Low,INTERNATIONAL,NONE,CS,1550,6.5,7.3,Accepted
M,ASIAN,CA,High,PRIVATE,NONE,BUSINESS,1590,7.5,7.5,Accepted
M,WHITE,CO,Low,PUBLIC,URM,ENG,1500,6.5,6.7,Accepted
M,ASIAN,-1,Low,PRIVATE,NONE,CS,1560,5.0,4.5,Accepted
M,HISPANIC,TX,Low,-1,FIRST-GEN,CS,1320,2.0,7.2,Accepted
M,ASIAN,OH,Low,PUBLIC,LEGACY,BIO,1560,5.0,3.5,Accepted
NB,ASIAN,MA,Low,PUBLIC,URM,MEDIA STUDIES,1500,6.5,6.5,Accepted
F,WHITE,CA,Low,PUBLIC,LGBT,CS,1570,7.5,6.5,Accepted
F,ASIAN,CA,High,-1,NONE,ENG,1580,8.5,7.5,Accepted
F,ASIAN,CA,-1,PUBLIC,NONE,CS,1580,2.5,3.7,Accepted
M,WHITE,FL,Low,PRIVATE,NONE,CS,1490,7.5,4.5,Accepted
F,ASIAN,PA,Low,PRIVATE,FIRST-GEN,POLISCI,1570,7.5,4.5,Accepted
F,ASIAN,MI,Low,PUBLIC,URM,BUSINESS,1370,7.5,6.5,Accepted
F,ASIAN,UT,Middle,PUBLIC,NONE,CS,1560,7.0,4.5,Accepted
M,BLACK,AZ,Middle,PUBLIC,URM,CS,1510,1.0,6.5,Accepted
M,ASIAN,CA,Low,PUBLIC,FIRST-GEN,ENG,1540,7.5,7.5,Accepted
F,ASIAN,CA,High,PRIVATE,NONE,-1,1370,8.5,6.8,Accepted
M,ASIAN,IN,Low,-1,FIRST-GEN,CS,1530,8.5,6.5,Accepted
F,ASIAN,CA,High,PUBLIC,LEGACY,ENG,1560,5.0,6.5,Accepted
M,HISPANIC,CA,Low,PUBLIC,NONE,ENG,1370,5.0,2.5,Accepted
M,ASIAN,IA,Low,PRIVATE,NONE,CS,1530,8.5,8.1,Accepted
M,ASIAN,IL,-1,PUBLIC,LEGACY,CS,1460,2.0,3.5,Accepted
M,WHITE,CA,Low,-1,NONE,CS,1470,7.0,6.5,Accepted
M,ASIAN,CA,High,PUBLIC,LEGACY,ENG,1600,6.5,3.7,Accepted
F,ASIAN,CO,Low,PUBLIC,NONE,-1,1550,7.5,4.5,Accepted
M,WHITE,ID,Low,-1,NONE,PSYCH,1430,6.5,9.5,Accepted
M,WHITE,ID,Low,-1,NONE,PSYCH,1430,6.5,9.5,Accepted
M,WHITE,IL,Low,PUBLIC,NONE,ENG,1550,7.5,6.5,Accepted
F,BLACK,DC,Low,PUBLIC,URM,POLISCI,1520,7.5,8.7,Accepted
F,ASIAN,MI,-1,PRIVATE,NONE,ENG,1540,7.5,8.7,Accepted
F,WHITE,OR,Low,-1,NONE,CS,1560,7.5,4.5,Accepted
F,WHITE,OR,Low,-1,NONE,CS,1560,7.5,4.5,Accepted
M,ASIAN,NY,Low,PUBLIC,NONE,CS,1590,8.5,6.3,Accepted
M,HISPANIC,TX,Low,-1,FIRST-GEN,-1,1320,2.0,6.5,Accepted
F,ASIAN,CA,High,PRIVATE,NONE,UNDECIDED,1570,4.0,7.5,Accepted
M,ASIAN,CA,Low,-1,NONE,LAW,1560,5.5,7.5,Accepted
M,ASIAN,CA,High,PUBLIC,NONE,BUSINESS,1570,7.5,6.2,Accepted
