Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
M,WHITE,IN,Low,-1,URM,CS,1580,5.5,1.5,Accepted
F,BLACK,TX,Middle,PUBLIC,URM,ENG,1520,3.0,2.5,Accepted
M,WHITE,TX,Low,-1,NONE,LAW,1560,6.5,3.5,Accepted
F,WHITE,TX,Low,PUBLIC,URM,CS,1420,5.5,4.5,Accepted
M,ASIAN,CA,High,PUBLIC,NONE,CS,1440,7.5,4.5,Accepted
F,-1,TX,Low,PUBLIC,NONE,PSYCH,1560,7.5,4.7,Accepted
M,ASIAN,TX,Low,PUBLIC,NONE,CS,1480,8.2,5.5,Accepted
M,WHITE,MI,High,PUBLIC,NONE,ENG,1460,8.0,7.5,Accepted
F,ASIAN,TX,High,PUBLIC,LEGACY,PSYCH,1590,3.5,5.2,Accepted
F,HISPANIC,TX,Low,PUBLIC,URM,-1,1430,3.5,6.5,Accepted
M,ASIAN,-1,Low,PUBLIC,NONE,CS,1520,8.5,4.5,Accepted
M,ASIAN,TX,High,PUBLIC,NONE,CS,1530,6.5,4.2,Accepted
M,WHITE,IN,Low,-1,URM,CS,1580,6.5,6.5,Accepted
F,WHITE,TX,-1,PUBLIC,LEGACY,CS,1510,3.5,3.7,Accepted
F,HISPANIC,FL,Low,PUBLIC,URM,CS,1550,7.5,4.5,Accepted
M,WHITE,MI,Low,PUBLIC,NONE,CS,1520,6.5,7.2,Accepted
M,ASIAN,UT,Low,PUBLIC,LEGACY,CS,1570,7.5,6.2,Accepted
M,ASIAN,UT,Low,PUBLIC,NONE,CS,1560,5.0,4.2,Accepted
F,-1,TX,High,PUBLIC,FIRST-GEN,SOCIAL SCIENCES,1320,2.5,7.8,Accepted
F,WHITE,TX,Low,PUBLIC,NONE,POLISCI,1300,6.5,7.5,Accepted
M,WHITE,TX,Low,PUBLIC,NONE,ENG,1490,6.5,7.5,Accepted
M,HISPANIC,TX,Low,PUBLIC,URM,POLISCI,1530,7.5,7.2,Accepted
M,ASIAN,TX,High,PUBLIC,NONE,ENG,1550,4.0,2.5,Accepted
F,ASIAN,TX,Low,PUBLIC,FIRST-GEN,BIO,1370,6.5,4.5,Accepted
M,ASIAN,IN,Low,PRIVATE,NONE,-1,1560,7.5,7.5,Accepted
M,ASIAN,CA,Low,PUBLIC,NONE,ENG,1460,1.0,4.2,Accepted
F,HISPANIC,TX,Middle,PUBLIC,URM,CS,1520,7.5,4.5,Accepted
M,ASIAN,CA,Low,-1,LEGACY,ENG,1590,5.5,1.5,Accepted
F,ASIAN,TX,Low,PUBLIC,NONE,CS,1520,6.5,4.5,Accepted
M,ASIAN,TX,Low,PUBLIC,NONE,BIO,1570,7.5,7.7,Accepted
M,ASIAN,CO,Low,PUBLIC,NONE,ENG,1510,5.5,7.5,Accepted
M,WHITE,-1,High,-1,NONE,ENG,1430,5.0,6.5,Accepted
M,WHITE,TX,High,PUBLIC,NONE,CS,1590,6.5,3.5,Accepted
M,HISPANIC,UT,High,-1,URM,BIO,1440,7.5,8.7,Accepted
M,ASIAN,CA,Middle,PUBLIC,NONE,CS,1580,6.5,4.2,Accepted
F,ASIAN,UT,Middle,PUBLIC,NONE,ENG,1560,6.5,6.5,Accepted
M,ASIAN,CO,High,PUBLIC,LEGACY,BUSINESS,1230,4.5,3.5,Accepted
M,ASIAN,TX,Low,-1,NONE,CS,1560,6.5,4.5,Accepted
F,BLACK,TX,Middle,PUBLIC,URM,-1,1470,7.5,2.5,Accepted
M,ASIAN,CA,Low,PUBLIC,FIRST-GEN,INTERNATIONAL RELATIONS,1490,6.5,2.5,Accepted
M,ASIAN,TX,Low,PRIVATE,NONE,UNDECIDED,1360,6.5,2.5,Accepted
F,ASIAN,-1,Low,-1,FIRST-GEN,BUSINESS,1540,6.5,1.5,Accepted
F,HISPANIC,TX,Middle,PUBLIC,URM,BIO,1560,7.5,8.2,Accepted
M,ASIAN,TX,Middle,PUBLIC,FIRST-GEN,CS,1530,5.5,7.9,Accepted
M,ASIAN,TX,Middle,-1,NONE,-1,1560,7.5,8.2,Accepted
M,ASIAN,CA,High,PUBLIC,NONE,CS,1560,5.5,6.5,Accepted
M,WHITE,TX,Low,PUBLIC,URM,ENG,1180,3.5,7.5,Accepted
F,ASIAN,CO,Low,-1,NONE,BUSINESS,1540,6.5,1.0,Accepted
M,ASIAN,TX,Middle,PUBLIC,NONE,CS,1580,6.5,7.3,Accepted
F,WHITE,TX,Low,PUBLIC,FIRST-GEN,ENG,1530,7.5,3.7,Accepted
M,ASIAN,LA,Low,CHARTER,NONE,BIO,1560,6.5,7.0,Accepted
M,ASIAN,TX,Low,PUBLIC,NONE,-1,1560,8.5,6.5,Accepted
M,WHITE,TX,High,PUBLIC,NONE,CS,1440,8.5,5.6,Accepted
M,BLACK,TX,High,PRIVATE,URM,CS,1510,7.5,6.8,Accepted
F,ASIAN,TX,Low,PUBLIC,NONE,-1,1390,7.5,2.5,Accepted
M,ASIAN,TX,Low,-1,NONE,CS,1330,6.0,2.5,Accepted
M,ASIAN,MO,Low,-1,LEGACY,ENG,1580,6.5,7.6,Accepted
M,ASIAN,-1,Middle,-1,NONE,ENG,1420,6.0,8.6,Accepted
M,WHITE,UT,High,PUBLIC,NONE,PREMED,1340,4.0,4.2,Accepted
F,ASIAN,TX,Low,PUBLIC,NONE,MEDIA STUDIES,1460,6.5,4.5,Accepted
NB,ASIAN,MO,Low,-1,NONE,CS,1590,6.5,1.0,Accepted
M,ASIAN,TX,High,PUBLIC,NONE,CS,1490,5.5,4.2,Accepted
M,ASIAN,OR,High,PUBLIC,NONE,CS,1570,4.8,5.1,Accepted
M,ASIAN,TX,Low,-1,NONE,CS,1550,6.5,9.5,Accepted
F,ASIAN,CA,High,PUBLIC,NONE,CS,1600,6.0,6.5,Accepted
M,ASIAN,UT,Middle,PUBLIC,NONE,CS,1550,8.5,6.5,Accepted
M,WHITE,-1,Low,-1,FIRST-GEN,CS,1460,3.5,7.5,Accepted
M,WHITE,CO,Low,PUBLIC,NONE,CS,1530,7.5,3.7,Accepted
M,WHITE,TX,-1,PUBLIC,NONE,MEDIA STUDIES,1340,3.0,6.8,Accepted
M,BLACK,CA,High,PUBLIC,URM,CS,1520,2.5,4.2,Accepted
M,BLACK,TX,Low,-1,URM,BIO,1230,7.5,1.5,Accepted
F,ASIAN,IN,-1,PRIVATE,NONE,CS,1570,8.5,5.5,Accepted
M,WHITE,TX,Low,PRIVATE,NONE,CS,1570,1.5,3.5,Accepted
M,HISPANIC,TX,Low,PUBLIC,URM,URBAN STUDIES,1530,5.0,6.5,Accepted
F,ASIAN,CA,Low,-1,NONE,CS,1570,8.5,4.5,Rejected
M,ASIAN,MA,High,PUBLIC,NONE,CS,1560,6.5,6.5,Rejected
M,ASIAN,CA,High,PUBLIC,NONE,CS,1440,7.5,4.5,Rejected
F,BLACK,CA,Low,PUBLIC,URM,BIO,1080,1.5,6.2,Rejected
M,ASIAN,TX,Low,PUBLIC,NONE,-1,1550,7.5,4.5,Rejected
M,ASIAN,-1,Low,PUBLIC,NONE,CS,1560,5.5,4.5,Rejected
F,HISPANIC,TX,Low,CHARTER,URM,MATH,1400,5.0,1.5,Rejected
M,WHITE,TX,Low,PUBLIC,NONE,CS,1490,8.5,8.5,Rejected
M,ASIAN,TX,High,PUBLIC,NONE,BUSINESS,1560,7.5,7.8,Rejected
M,WHITE,CA,High,PUBLIC,NONE,BUSINESS,1520,6.5,6.5,Rejected
M,ASIAN,CA,Low,PUBLIC,NONE,CS,1520,7.5,6.8,Rejected
M,ASIAN,MA,High,PRIVATE,NONE,CS,1510,6.5,6.8,Rejected
F,ASIAN,IN,Low,PUBLIC,NONE,PSYCH,1450,6.5,6.5,Rejected
M,ASIAN,TX,Middle,PUBLIC,NONE,CS,1550,5.5,2.5,Rejected
M,WHITE,TX,Low,MAGNET,URM,CS,1570,4.5,4.5,Rejected
M,ASIAN,IL,High,PUBLIC,FIRST-GEN,CS,1590,8.5,4.5,Rejected
F,ASIAN,MI,Middle,PRIVATE,NONE,BIO,1580,4.5,8.5,Rejected
M,ASIAN,IN,Low,PRIVATE,NONE,-1,1560,7.5,7.5,Rejected
M,ASIAN,TX,Low,PUBLIC,NONE,CS,1470,6.5,4.5,Rejected
M,ASIAN,TX,High,-1,NONE,HISTORY,1490,6.5,3.5,Rejected
M,WHITE,WA,-1,PUBLIC,NONE,CS,1530,6.5,6.5,Rejected
F,-1,CA,High,-1,NONE,MATH,1560,6.5,8.5,Rejected
M,NATIVE,MA,Low,PRIVATE,NONE,CS,1240,5.0,7.8,Rejected
F,ASIAN,PA,Low,PUBLIC,LEGACY,ENG,1550,7.5,4.5,Rejected
M,ASIAN,MI,High,PRIVATE,NONE,CS,1510,6.5,3.7,Rejected
F,ASIAN,TX,Low,PUBLIC,LGBT,CS,1560,6.5,3.7,Rejected
M,ASIAN,MI,Low,PUBLIC,NONE,DESIGN,1520,6.5,7.5,Rejected
M,ASIAN,CA,Low,PRIVATE,NONE,BUSINESS,1530,3.5,4.8,Rejected
M,ASIAN,CA,Low,-1,LEGACY,CS,1500,3.0,4.5,Rejected
M,ASIAN,AL,High,PRIVATE,NONE,CS,1510,7.5,8.5,Rejected
M,ASIAN,USA,Middle,PUBLIC,NONE,CS,1530,8.5,7.5,Rejected
M,WHITE,TX,High,PRIVATE,LEGACY,CS,1470,6.5,7.5,Rejected
M,HISPANIC,CA,Low,PUBLIC,URM,CS,1470,7.5,6.5,Rejected
M,ASIAN,WI,Low,PRIVATE,NONE,BUSINESS,1490,6.5,2.5,Rejected
F,ASIAN,MD,Low,-1,NONE,BUSINESS,1390,6.5,0.0,Rejected
M,ASIAN,TX,Low,PUBLIC,NONE,CS,1570,6.0,2.5,Rejected
M,ASIAN,CA,Low,-1,NONE,CS,1540,6.5,1.0,Rejected
M,ASIAN,INTERNATIONAL,High,PRIVATE,NONE,ENG,1520,7.5,4.5,Rejected
M,ASIAN,PA,Low,PRIVATE,NONE,-1,1480,-1.0,7.2,Rejected
M,ASIAN,CA,High,-1,NONE,CS,1530,7.5,7.2,Rejected
M,ASIAN,NV,High,PUBLIC,NONE,CS,1470,7.5,8.0,Rejected
M,ASIAN,CA,Low,PUBLIC,NONE,CS,1550,8.5,4.5,Rejected
M,ASIAN,CA,Low,PUBLIC,NONE,ENG,1510,6.5,4.5,Rejected
M,ASIAN,IN,Middle,PRIVATE,NONE,CS,1470,8.5,7.5,Rejected
F,ASIAN,NE,Low,PUBLIC,NONE,CS,1560,8.5,6.5,Rejected
M,ASIAN,-1,High,PUBLIC,FIRST-GEN,CS,1440,2.0,6.5,Rejected
M,ASIAN,WI,Low,PRIVATE,NONE,BUSINESS,1490,6.5,3.5,Rejected
M,ASIAN,TX,High,PUBLIC,LEGACY,CS,1490,6.5,6.5,Rejected
M,ASIAN,CA,High,PUBLIC,NONE,CS,1590,6.5,2.5,Rejected
F,ASIAN,NE,Low,PUBLIC,NONE,CS,1560,8.5,6.5,Rejected
M,WHITE,-1,Low,CHARTER,NONE,CS,1130,6.5,7.5,Rejected
M,BLACK,VA,Low,PUBLIC,NONE,CS,1500,2.0,6.5,Rejected
M,HISPANIC,MI,Low,PRIVATE,FIRST-GEN,CS,1460,6.5,3.7,Rejected
M,ASIAN,CA,High,PUBLIC,NONE,CS,1540,8.5,7.5,Rejected
M,ASIAN,CA,Low,PUBLIC,FIRST-GEN,CS,1560,7.5,1.5,Rejected
M,WHITE,CO,-1,PUBLIC,NONE,CS,1530,4.0,4.5,Rejected
M,BLACK,CO,High,PUBLIC,FIRST-GEN,BIO,1360,5.0,9.2,Rejected
M,ASIAN,MI,High,-1,FIRST-GEN,CS,1500,4.5,4.5,Rejected
M,WHITE,IN,Low,PRIVATE,NONE,CS,1580,8.5,8.7,Rejected
M,ASIAN,WA,Low,PUBLIC,NONE,CS,1500,7.5,8.5,Rejected
F,ASIAN,WA,Low,PUBLIC,NONE,CS,1350,6.5,7.5,Rejected
M,ASIAN,CO,High,PUBLIC,NONE,CS,1570,8.5,2.5,Rejected
M,ASIAN,AZ,Low,PUBLIC,NONE,CS,1520,3.0,2.5,Rejected
F,ASIAN,TX,Low,PUBLIC,NONE,-1,1390,7.5,2.5,Rejected
M,ASIAN,CA,High,PUBLIC,NONE,CS,1470,4.0,7.5,Rejected
M,ASIAN,TX,Low,-1,NONE,CS,1450,6.5,1.5,Rejected
M,ASIAN,NE,Low,PUBLIC,NONE,CS,1580,6.5,1.5,Rejected
M,ASIAN,PA,Low,PRIVATE,NONE,-1,1480,-1.0,7.8,Rejected
F,ASIAN,MI,Low,PUBLIC,NONE,BUSINESS,1600,8.5,8.1,Rejected
F,BLACK,TX,High,CHARTER,NONE,ENG,1280,5.5,1.0,Rejected
M,ASIAN,TX,Low,PUBLIC,NONE,CS,1510,5.0,4.5,Rejected
OTHER,WHITE,IN,High,PUBLIC,NONE,BUSINESS,1520,7.5,9.2,Rejected
M,BLACK,NC,High,-1,URM,CS,1570,6.5,6.8,Rejected
M,HISPANIC,CA,Low,-1,NONE,ENG,1310,6.0,0.0,Rejected
M,ASIAN,FL,Low,PRIVATE,NONE,CS,1590,9.5,6.5,Rejected
M,BLACK,CA,Low,PUBLIC,NONE,CS,1370,1.0,2.5,Rejected
F,ASIAN,IN,Low,PUBLIC,NONE,-1,1540,5.5,1.0,Rejected
M,ASIAN,FL,Low,-1,NONE,ENG,1590,7.5,7.5,Rejected
M,BLACK,IA,High,PRIVATE,URM,CS,1550,1.0,6.5,Rejected
M,ASIAN,TX,Low,-1,NONE,ENG,1470,5.0,4.5,Rejected
F,ASIAN,TX,High,-1,NONE,CS,1500,7.5,8.3,Rejected
M,WHITE,TX,-1,PUBLIC,LEGACY,CS,1430,4.5,6.5,Rejected
M,HISPANIC,CA,Middle,PUBLIC,NONE,ENG,1310,2.0,4.2,Rejected
M,ASIAN,FL,Low,-1,NONE,ENG,1590,7.5,7.5,Rejected
