Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
M,BLACK,CO,High,PUBLIC,URM,PREMED,1370,6.5,3.5,Accepted
F,-1,TX,Low,PUBLIC,NONE,PSYCH,1560,7.5,4.7,Accepted
M,BLACK,IL,Low,PUBLIC,URM,ENG,1000,5.5,6.5,Accepted
M,WHITE,NY,Low,PUBLIC,NONE,-1,1560,7.5,6.8,Accepted
M,BLACK,TX,Low,PUBLIC,URM,POLISCI,1470,6.5,2.5,Accepted
F,WHITE,AL,-1,PRIVATE,LEGACY,POLISCI,1560,2.5,6.5,Accepted
F,ASIAN,MI,High,PUBLIC,NONE,CS,1560,6.5,4.2,Accepted
M,BLACK,GA,Middle,PUBLIC,URM,CS,1520,6.5,6.5,Accepted
M,ASIAN,AZ,Low,CHARTER,NONE,CS,1600,8.5,7.5,Accepted
F,WHITE,CA,-1,PUBLIC,NONE,CS,1570,8.5,4.7,Accepted
F,ASIAN,-1,Low,PRIVATE,NONE,CS,1560,5.5,3.7,Accepted
F,ASIAN,CA,Low,PUBLIC,FIRST-GEN,CS,1340,4.0,2.5,Accepted
M,ASIAN,-1,High,PUBLIC,NONE,CS,1530,7.5,6.5,Accepted
F,BLACK,MI,High,PUBLIC,URM,CS,1550,4.5,4.5,Accepted
F,ASIAN,PA,High,PUBLIC,NONE,CS,1570,6.5,4.5,Accepted
M,ASIAN,UT,Middle,PUBLIC,NONE,ENG,1500,8.5,2.5,Accepted
M,ASIAN,WA,-1,SMALL,NONE,BIO,1570,8.5,7.5,Accepted
M,ASIAN,GA,Low,PUBLIC,LEGACY,ENG,1570,6.5,6.5,Accepted
F,ASIAN,CO,High,PUBLIC,NONE,ENG,1500,6.5,4.2,Accepted
F,ASIAN,-1,Low,-1,NONE,-1,1580,6.5,7.5,Accepted
F,ASIAN,CA,Low,-1,FIRST-GEN,ENG,1400,5.5,1.0,Accepted
M,WHITE,CA,High,PUBLIC,NONE,EDUCATION,1570,2.0,4.2,Accepted
M,BLACK,CA,Low,PUBLIC,URM,CS,1490,8.5,4.5,Accepted
M,WHITE,CO,-1,PUBLIC,NONE,CHEMISTRY,1540,7.5,7.5,Accepted
F,BLACK,GA,Middle,PUBLIC,URM,CS,1500,7.5,4.5,Accepted
F,BLACK,GA,High,PUBLIC,URM,CS,1400,7.5,4.5,Accepted
F,ASIAN,OR,High,PUBLIC,NONE,CS,1550,5.5,4.5,Accepted
M,ASIAN,CA,Low,PUBLIC,FIRST-GEN,BIO,1550,6.5,8.0,Accepted
M,ASIAN,CA,Low,-1,NONE,CS,1370,6.5,3.5,Accepted
M,ASIAN,MI,Middle,PRIVATE,NONE,CS,1530,6.5,2.5,Accepted
M,ASIAN,CA,Low,-1,NONE,CS,1520,5.5,5.8,Accepted
F,ASIAN,-1,Low,-1,FIRST-GEN,BUSINESS,1540,6.5,1.5,Accepted
