Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
M,WHITE,IN,Low,PUBLIC,LEGACY,CS,1530,7.5,2.5,Accepted
M,ASIAN,-1,Middle,PUBLIC,NONE,CS,1330,2.5,5.7,Accepted
M,ASIAN,IL,Low,PUBLIC,NONE,ENG,1400,5.0,4.5,Accepted
M,ASIAN,CA,High,PUBLIC,NONE,CS,1440,7.5,4.5,Accepted
M,WHITE,TX,Low,PUBLIC,NONE,CS,1490,8.5,8.5,Accepted
M,WHITE,IN,Low,PUBLIC,LEGACY,CS,1530,7.5,2.5,Accepted
M,WHITE,MA,High,PUBLIC,NONE,-1,1450,7.5,6.5,Accepted
M,WHITE,LA,Low,PUBLIC,NONE,ENG,1480,4.0,7.5,Accepted
M,HISPANIC,IN,Low,PUBLIC,URM,BIO,1510,6.5,4.5,Accepted
F,ASIAN,OR,High,PUBLIC,NONE,CS,1440,6.5,6.5,Accepted
F,-1,CA,High,-1,NONE,MATH,1560,6.5,8.5,Accepted
M,ASIAN,CA,Low,-1,LEGACY,ENG,1590,5.5,1.5,Accepted
NB,ASIAN,CO,Low,PUBLIC,FIRST-GEN,CS,1320,5.5,8.5,Accepted
F,ASIAN,PA,Low,PUBLIC,LEGACY,ENG,1550,7.5,4.5,Accepted
M,WHITE,VA,Low,PUBLIC,NONE,ENVIRONMENTAL STUDIES,1380,5.5,4.5,Accepted
M,ASIAN,VA,Low,PUBLIC,NONE,CS,1540,6.5,4.5,Accepted
M,HISPANIC,UT,High,-1,URM,BIO,1440,7.5,8.7,Accepted
M,ASIAN,MI,Low,PUBLIC,NONE,DESIGN,1520,6.5,7.5,Accepted
F,WHITE,VA,High,PUBLIC,NONE,CS,1550,6.5,7.5,Accepted
M,WHITE,CA,Low,-1,NONE,ENG,1550,6.5,1.5,Accepted
F,-1,CO,High,PUBLIC,URM,CHEMISTRY,1500,6.5,3.7,Accepted
M,ASIAN,CA,Low,PUBLIC,NONE,ENG,1510,6.5,4.5,Accepted
M,ASIAN,LA,Low,PUBLIC,FIRST-GEN,CS,1410,1.0,4.5,Accepted
F,BLACK,CO,Low,PUBLIC,NONE,BUSINESS,1210,5.0,2.5,Accepted
M,ASIAN,NY,Low,PUBLIC,NONE,CS,1370,7.5,2.5,Accepted
F,ASIAN,CA,Low,PUBLIC,LEGACY,CS,1270,5.0,6.5,Accepted
M,BLACK,VA,Low,PUBLIC,NONE,CS,1500,2.0,6.5,Accepted
M,-1,AL,High,PRIVATE,URM,CS,1580,7.5,4.7,Accepted
F,BLACK,UT,High,PUBLIC,URM,PSYCH,1240,6.5,7.5,Accepted
M,ASIAN,VA,Low,PUBLIC,FIRST-GEN,CS,1510,6.5,7.5,Accepted
F,ASIAN,WA,Low,PUBLIC,NONE,CS,1350,6.5,7.5,Accepted
F,ASIAN,IN,Low,PUBLIC,NONE,CS,1530,5.5,7.5,Accepted
M,ASIAN,CA,Low,-1,FIRST-GEN,ENG,1550,2.5,4.5,Accepted
M,BLACK,CA,Low,INTERNATIONAL,NONE,CS,1550,7.5,4.5,Accepted
F,BLACK,IL,High,PUBLIC,URM,CS,1520,6.5,4.5,Accepted
M,BLACK,IA,High,PRIVATE,URM,CS,1550,1.0,6.5,Accepted
M,ASIAN,-1,High,PUBLIC,NONE,PSYCH,1480,3.5,2.5,Accepted
