Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
M,BLACK,TX,Low,PUBLIC,URM,POLISCI,1470,6.5,2.5,Accepted
M,ASIAN,AZ,Low,CHARTER,NONE,CS,1600,8.5,7.5,Accepted
M,ASIAN,CA,Low,PUBLIC,LEGACY,ENG,1540,6.5,4.7,Accepted
M,WHITE,NY,Low,PUBLIC,NONE,CS,1540,8.5,4.5,Accepted
M,WHITE,FL,Low,PUBLIC,URM,BIO,1430,5.5,7.5,Accepted
M,ASIAN,WA,-1,SMALL,NONE,BIO,1570,8.5,7.5,Accepted
F,BLACK,MI,Low,-1,URM,-1,1510,7.5,0.0,Accepted
M,WHITE,CA,Low,PUBLIC,NONE,CS,1580,5.5,3.5,Accepted
F,ASIAN,USA,-1,PUBLIC,NONE,POLISCI,1530,6.5,4.5,Accepted
F,WHITE,CA,High,PUBLIC,NONE,POLISCI,1500,5.5,6.5,Accepted
M,BLACK,-1,Middle,-1,URM,CS,1510,7.5,2.5,Accepted
F,ASIAN,IN,Low,-1,FIRST-GEN,CS,1590,8.5,3.5,Accepted
M,WHITE,MA,Low,-1,NONE,ENVIRONMENTAL STUDIES,1500,6.5,6.5,Accepted
F,BLACK,GA,High,PUBLIC,URM,CS,1400,7.5,4.5,Accepted
F,ASIAN,NY,Low,MAGNET,FIRST-GEN,POLISCI,1570,7.5,8.5,Accepted
M,ASIAN,UT,Low,PUBLIC,NONE,ENG,1570,6.5,7.8,Accepted
F,WHITE,CO,-1,PRIVATE,LEGACY,ENG,1530,6.5,6.5,Accepted
F,HISPANIC,FL,Low,PUBLIC,URM,CHEMISTRY,1380,3.5,3.5,Accepted
F,ASIAN,WA,High,-1,NONE,ENG,1530,6.5,6.5,Accepted
M,WHITE,CO,High,PRIVATE,NONE,-1,1440,4.5,7.5,Accepted
M,ASIAN,CA,High,PUBLIC,NONE,CS,1540,6.5,4.7,Accepted
F,ASIAN,FL,Low,PRIVATE,NONE,PSYCH,1530,2.5,4.5,Accepted
M,ASIAN,CA,Low,PRIVATE,NONE,CS,1510,7.5,7.5,Accepted
F,ASIAN,-1,Low,-1,FIRST-GEN,BUSINESS,1540,6.5,1.5,Accepted
F,-1,CO,High,PUBLIC,URM,CHEMISTRY,1500,6.5,3.7,Accepted
M,WHITE,FL,Low,-1,NONE,CS,1570,5.5,7.5,Accepted
F,WHITE,PA,Low,PUBLIC,FIRST-GEN,CS,1470,6.5,0.0,Accepted
