Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
F,ASIAN,MA,High,PUBLIC,NONE,NEUROSCIENCE,1580,7.5,7.5,Accepted
M,ASIAN,-1,Low,PUBLIC,NONE,CS,1590,7.5,8.7,Accepted
F,BLACK,FL,Low,PUBLIC,URM,HISTORY,1500,7.5,4.7,Accepted
M,ASIAN,OR,Low,PUBLIC,FIRST-GEN,CS,1530,3.5,3.7,Accepted
M,ASIAN,CA,High,PUBLIC,NONE,CS,1440,7.5,4.5,Accepted
M,WHITE,NY,Low,PUBLIC,NONE,-1,1560,7.5,6.8,Accepted
M,ASIAN,NY,High,PUBLIC,NONE,CS,1570,6.5,6.2,Accepted
M,WHITE,FL,Low,PRIVATE,URM,CS,1580,7.5,8.5,Accepted
M,WHITE,MI,Low,PUBLIC,URM,CS,1450,2.5,4.2,Accepted
M,ASIAN,CO,High,PUBLIC,FIRST-GEN,-1,1430,5.5,2.5,Accepted
M,WHITE,LA,High,-1,LEGACY,CS,1580,7.5,7.5,Accepted
M,ASIAN,OR,Low,PUBLIC,FIRST-GEN,CS,1530,3.5,7.2,Accepted
M,ASIAN,TX,High,PUBLIC,FIRST-GEN,ENG,1530,7.5,2.5,Accepted
F,ASIAN,CA,Low,PUBLIC,FIRST-GEN,CS,1340,4.0,2.5,Accepted
F,HISPANIC,FL,Low,PUBLIC,URM,CS,1550,7.5,4.5,Accepted
M,WHITE,NY,Low,PUBLIC,NONE,CS,1540,8.5,4.5,Accepted
F,WHITE,NY,High,PUBLIC,LEGACY,ENG,1590,6.5,4.5,Accepted
F,ASIAN,CA,Low,-1,URM,POLISCI,1330,7.5,1.0,Accepted
M,ASIAN,WA,-1,SMALL,NONE,BIO,1570,8.5,7.5,Accepted
M,BLACK,CO,Low,-1,LGBT,HUMANITIES,1530,8.5,9.5,Accepted
F,ASIAN,CA,Low,-1,FIRST-GEN,ENG,1400,5.5,1.0,Accepted
M,ASIAN,MI,Low,PUBLIC,FIRST-GEN,CS,1550,7.5,7.2,Accepted
M,BLACK,-1,Middle,-1,URM,CS,1510,7.5,2.5,Accepted
M,NATIVE,MA,Low,PRIVATE,NONE,CS,1240,5.0,7.8,Accepted
M,ASIAN,OR,Low,PUBLIC,NONE,ENG,1590,8.5,4.5,Accepted
F,ASIAN,OR,Low,PUBLIC,NONE,BIO,1570,6.5,4.5,Accepted
M,WHITE,OR,Low,PUBLIC,NONE,CS,1500,8.5,7.5,Accepted
F,-1,-1,Low,-1,URM,CS,1500,6.5,1.0,Accepted
M,ASIAN,MI,Low,PUBLIC,FIRST-GEN,CS,1550,7.5,7.2,Accepted
F,WHITE,IN,Low,PRIVATE,NONE,CS,1470,7.5,4.2,Accepted
M,WHITE,IA,Low,PRIVATE,LEGACY,CS,1580,8.5,2.5,Accepted
M,ASIAN,UT,Low,PUBLIC,NONE,ENG,1570,6.5,7.8,Accepted
F,WHITE,CO,-1,PRIVATE,LEGACY,ENG,1530,6.5,6.5,Accepted
M,ASIAN,CA,Middle,PUBLIC,NONE,CS,1580,6.5,4.2,Accepted
M,BLACK,-1,Low,-1,NONE,BIO,1420,7.5,0.0,Accepted
F,ASIAN,WA,High,-1,NONE,ENG,1530,6.5,6.5,Accepted
M,WHITE,CO,High,PRIVATE,NONE,-1,1440,4.5,7.5,Accepted
F,BLACK,TX,Middle,PUBLIC,URM,-1,1470,7.5,2.5,Accepted
F,WHITE,IN,Low,PRIVATE,NONE,CS,1470,7.5,2.5,Accepted
M,ASIAN,MI,Low,PUBLIC,NONE,CS,1540,7.5,4.5,Accepted
M,ASIAN,TX,Low,PRIVATE,NONE,UNDECIDED,1360,6.5,2.5,Accepted
M,ASIAN,MI,Middle,PRIVATE,NONE,CS,1530,6.5,2.5,Accepted
M,ASIAN,AL,Low,-1,NONE,MATH,1590,8.5,4.2,Accepted
F,ASIAN,-1,Low,-1,NONE,BUSINESS,1540,4.5,1.0,Accepted
M,WHITE,MI,-1,PRIVATE,URM,CS,1510,6.5,8.2,Accepted
M,ASIAN,GA,Low,-1,NONE,BIO,1560,8.5,7.5,Accepted
F,ASIAN,CO,Low,PUBLIC,FIRST-GEN,CS,1550,5.0,6.5,Accepted
