School,Applications,Acceptances,Waitlists,Rejections,AcceptedSATAvg,WaitlistedSATAvg,RejectedSATAvg,AcceptedECAvg,WaitlistedECAvg,RejectedECAvg,AcceptedEssayAvg,WaitlistedEssayAvg,RejectedEssayAvg,COR-SAT-EC,COR-SAT-ESSAY,COR-SAT-Decision,COR-EC-Decision,COR-EC-ESSAY,COR-ESSAY-Decision,pval-Gender,pval-Race,pval-Residence,pval-Income,pval-School Type,pval-Hooks,pval-Major,RF_Accuracy,IMP-SAT,IMP-ESSAY-LOR-INTERVIEW,IMP-Residence,IMP-EC-AWARDS,IMP-Major,IMP-Gender,IMP-Hooks,IMP-Income,IMP-School Type,IMP-Race
UCLA,530,136,139,255,1497.7941176470588,1516.978417266187,1489.0588235294117,6.2536764705882355,6.2539568345323735,5.850980392156862,5.018014705882353,5.1000000000000005,4.8854901960784325,0.3646455882537668,0.07847714868541199,-0.05789404268482851,-0.09604300747373858,0.16615820595534977,-0.030027048629528135,{0.17347857919743745},{0.7186090880560159},{0.4712126148526475},{0.8890043079246538},{0.33903650126502116},{0.4213690400108201},{0.11917239950270872},0.4339622641509434,0.18442812266940767,0.16475924487473861,0.11267897267138949,0.12858768524249656,0.12630799857209798,0.05194233976227802,0.05359453596925911,0.06303078526074894,0.05746569669875708,0.057204618278826676
HARVARD,506,67,77,362,1520.2985074626865,1538.1818181818182,1517.8729281767955,7.037313432835821,6.597402597402597,6.28232044198895,5.708955223880597,5.6103896103896105,5.3348066298342545,0.1963560168084655,0.08916340116279853,-0.04537340962064033,-0.1455952357175459,0.06866930583986956,-0.06797898938022086,{0.5381453938691496},{0.05055003905776786},{0.011441967162762726},{0.375441627311968},{0.8912675965555017},{0.015057192373553827},{0.6264421115451353},0.6764705882352942,0.1566182161811304,0.16247281660678808,0.16593390712454997,0.11760070292795172,0.10925803188709826,0.049675613733657614,0.06657668308476379,0.05352786322850719,0.04877480766179019,0.06956135756376279
YALE,489,87,34,368,1514.4827586206898,1535.8823529411766,1514.6467391304348,6.833333333333333,6.823529411764706,6.213315217391305,5.37816091954023,5.5,5.454891304347826,0.2087336966175708,0.12894273783639734,-0.013379722939731267,-0.1507775526976964,0.0769687727963797,0.011447975267919793,{0.0034708386085071344},{0.15507107919903979},{0.9981974135424317},{0.30724276608820605},{0.3447113188617562},{0.004352900644245513},{0.9918697792801817},0.5918367346938775,0.15783192606444904,0.14636360159573744,0.14467627014658632,0.11545241209581998,0.10905116567755761,0.048207781493506574,0.09399644750832968,0.05382531348796927,0.06927574922994409,0.06131933270010018
STANFORD,534,69,22,443,1526.5217391304348,1500.4545454545455,1520.0677200902935,6.681159420289855,7.045454545454546,6.418735891647856,5.428985507246377,4.690909090909091,5.207900677200903,0.2664273184871614,0.071240886164052,-0.017796307437665887,-0.0637876502498174,0.038231748253784725,-0.022819327393398304,{0.008791793880671736},{0.2644214871220135},{0.6539058331344072},{0.899696752128271},{0.9834656421660932},{0.023060097662893176},{0.5990256483325999},0.8037383177570093,0.17590136058867217,0.1585382220642604,0.1343992956880738,0.1085872194409642,0.1056263614577468,0.05969398042269614,0.07690646428424974,0.06292270999295897,0.052197672131388616,0.06522671392898922
NORTHWESTERN,417,89,56,272,1513.0337078651685,1538.9285714285713,1510.9191176470588,6.426966292134831,6.1875,6.258088235294117,5.493258426966292,5.2625,5.38125,0.1549175582005671,0.02802266963741219,-0.040186557677325464,-0.03636741542936512,0.15352453022720045,-0.015975368389731837,{0.7437779455117788},{1.9585648286494958e-05},{0.07110811431944784},{0.995453983310554},{0.26198456948174825},{0.00015184857523332105},{0.030056908411837287},0.42857142857142855,0.16377730787176112,0.15238201244853533,0.13221938657564905,0.11347673000443886,0.1306808065140783,0.04114894543991684,0.07474533215337197,0.06425400042789452,0.06954392515911939,0.05777155340523447
COLUMBIA,519,112,93,314,1515.625,1525.0537634408602,1503.0891719745223,6.683035714285714,6.675268817204301,6.1439490445859875,5.1169642857142845,5.325806451612904,5.523885350318471,0.2841994509081339,0.03337021155386921,-0.08407259785682382,-0.14042930908387277,0.05490213261991853,0.07663923795668526,{0.37021041566748714},{0.10157324701113779},{0.7888897908577736},{0.9910196215965107},{0.36071421969731476},{0.031193940017445118},{0.5123200494329931},0.5384615384615384,0.16315229831772146,0.15531360279394352,0.15800380686061014,0.11522035859451789,0.10514433063022986,0.05479010156874741,0.06876554121958162,0.05404538555609608,0.06407642720931458,0.061488147249237526
CORNELL,585,153,105,327,1509.8039215686274,1533.904761904762,1502.3853211009175,6.227450980392157,6.616190476190477,6.17125382262997,5.356209150326797,5.380952380952381,5.3336391437308865,0.21427256513543885,0.010086687092167734,-0.06563513884536948,-0.027781486259813505,0.08909468286360554,-0.005700842512681605,{0.4432628106323325},{0.2362571009817749},{0.07575046814372506},{0.19396649003660027},{0.18940847178854656},{0.02074327984257632},{0.5912433288229946},0.4444444444444444,0.17514000651164593,0.15438516218376508,0.15457041527175594,0.11793734413546947,0.11287203438027123,0.0529365882986435,0.06287563312435246,0.05738468237312224,0.05704522372010599,0.05485291000086824
BERKELEY,473,143,60,270,1496.8531468531469,1511.8333333333333,1502.111111111111,6.410489510489511,6.308333333333334,6.062962962962963,5.0650349650349655,5.301666666666666,5.029259259259259,0.35382783504013915,0.04142730612234551,0.0210493988714428,-0.08613286109035607,0.14030960933343217,-0.012049335576970698,{0.3161865360675264},{0.175244802919885},{0.1412438154655735},{0.18398544007280873},{0.28725058551419175},{0.21269387876224108},{0.9676519379205017},0.5684210526315789,0.18412078965480702,0.16777414019944045,0.12935695588388374,0.12233650805599755,0.10262822569914767,0.05442807394206346,0.05688550197633414,0.06776402095986245,0.05767033438520467,0.057035449243258776
DUKE,396,100,49,247,1524.8,1532.0408163265306,1508.7854251012145,6.87,6.622448979591836,6.082995951417004,5.009,4.755102040816326,5.348178137651822,0.2473992598816822,0.047990884714156905,-0.09791700002515862,-0.19777398853028869,0.09382677265514192,0.08241538046821545,{0.7643337267263675},{0.018247506063465965},{0.6782727670337418},{0.6389354894141412},{0.14087563267398837},{0.05520457890269509},{0.08222414827236758},0.55,0.172502748787111,0.15399348592829482,0.14884986615480583,0.11918985116463797,0.10949004730319231,0.04326707436075966,0.0772177438802468,0.057373017472365305,0.05457515899906741,0.06354100594951892
PRINCETON,424,77,42,305,1522.2077922077922,1528.5714285714287,1519.4754098360656,7.038961038961039,7.0,6.327868852459017,5.3428571428571425,5.590476190476191,5.4121311475409835,0.2512753220969463,0.037190099790088894,-0.021449175485415084,-0.18197060546713198,0.04391555817220294,0.005876646607047485,{0.22733584043559954},{3.8133095147634786e-06},{0.8710401964653499},{0.7133243433564815},{0.9879794297744712},{0.000289551471247682},{0.5583682269097164},0.611764705882353,0.15599361562937283,0.16959188274528617,0.13996107170092148,0.12207547185238156,0.10280091329879681,0.047418591602492406,0.0885795017557523,0.057641400180364365,0.053121676733378476,0.06281587450125362
