Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
1,4,9,0,0,4,3,1580,5.5,1.5,0
0,1,13,0,3,3,3,1600,6.5,7.5,0
1,4,3,0,3,3,3,1460,3.5,2.5,0
1,4,8,1,3,3,3,1530,5.0,7.0,0
1,1,2,1,3,3,2,1480,6.5,4.5,0
1,4,3,0,3,3,3,1530,6.5,4.2,0
1,2,8,0,3,4,5,1000,5.5,6.5,0
1,4,9,0,0,4,3,1580,6.5,6.5,0
0,1,4,1,3,3,5,1500,6.5,4.2,0
0,1,10,0,0,0,3,1490,7.5,2.5,0
1,4,3,1,3,3,4,1570,2.0,4.2,0
0,4,7,0,3,3,11,1200,6.5,7.5,0
1,1,10,1,3,3,12,1430,1.0,7.5,0
0,1,8,0,0,4,5,1510,3.5,0.0,0
1,1,9,0,2,3,3,1540,2.5,2.5,0
1,1,6,2,0,3,0,1570,3.5,3.5,0
1,1,16,0,3,3,3,1470,6.5,4.5,0
1,1,3,0,0,3,2,1250,2.0,2.5,0
1,1,3,0,3,3,3,1600,5.0,0.0,0
0,1,2,0,3,3,0,1390,6.5,4.5,0
0,4,3,0,3,3,3,1540,6.5,6.2,0
0,4,3,1,3,3,5,1560,6.5,2.5,0
1,4,0,0,3,3,8,1540,5.5,6.1,0
1,1,3,0,3,3,7,1500,6.5,6.5,0
1,1,4,1,3,1,2,1230,4.5,3.5,0
1,4,18,0,3,1,2,1320,2.5,6.2,0
1,1,18,0,0,3,3,1570,7.5,6.5,0
0,4,11,0,0,3,6,1420,5.0,2.5,0
1,1,3,0,0,3,3,1500,7.5,6.5,0
1,1,3,0,2,3,3,1550,6.5,2.5,0
0,1,3,2,3,3,1,1520,7.5,7.5,0
1,1,3,0,3,3,3,1500,2.5,4.5,0
1,4,1,0,3,3,3,1550,6.5,6.5,0
1,1,3,0,3,3,3,1550,8.5,4.5,0
1,4,3,0,3,3,3,1290,4.0,2.5,0
0,4,3,0,0,3,3,1350,5.0,7.5,0
0,1,18,2,3,3,3,1540,6.5,6.5,0
1,1,3,1,3,0,3,1390,4.0,4.5,0
1,1,11,1,3,3,1,1560,8.5,3.5,0
3,1,3,2,3,3,3,1520,6.5,8.2,0
1,1,3,1,3,3,3,1550,8.5,3.5,0
