Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
4,2,3,2,6,3,4,1560,6.5,7.2,0
0,0,3,2,6,4,6,1280,2.0,4.5,0
1,0,3,2,6,3,4,1540,8.5,4.7,0
1,4,3,2,6,4,0,1330,5.5,6.8,0
0,1,23,1,6,1,2,1430,5.5,7.5,0
1,2,3,1,6,3,4,1580,8.5,4.5,0
1,2,3,2,6,4,4,1100,5.0,7.2,0
1,7,3,2,6,3,4,1530,6.5,4.2,0
0,0,26,2,6,3,18,1560,7.5,4.7,0
1,2,26,2,6,3,4,1480,8.2,5.5,0
1,2,0,2,6,3,4,1560,5.5,4.5,0
1,2,0,2,6,3,4,1520,8.5,4.5,0
1,7,14,1,5,2,2,1490,6.5,8.2,0
1,2,3,2,6,1,6,1540,6.5,4.7,0
1,2,26,1,6,0,6,1530,7.5,2.5,0
1,2,3,2,6,3,16,1560,7.5,6.5,0
0,2,11,2,6,3,4,1590,6.5,3.5,0
0,2,3,2,0,0,4,1500,5.5,1.0,0
0,2,3,2,6,0,4,1340,4.0,2.5,0
0,2,3,1,6,3,6,1450,6.5,3.5,0
1,2,3,2,6,3,4,1520,7.5,6.8,0
1,2,24,1,5,3,4,1560,7.5,4.5,0
1,2,0,1,6,3,4,1530,7.5,6.5,0
0,3,28,2,0,3,10,1170,5.5,1.0,0
0,2,3,1,0,0,12,1530,6.5,6.5,0
1,2,14,1,5,3,4,1510,6.5,6.8,0
0,2,8,1,5,3,1,1590,8.5,6.8,0
0,2,3,2,0,4,16,1330,7.5,1.0,0
1,2,30,0,7,3,1,1570,8.5,7.5,0
0,7,4,1,6,1,6,1430,6.5,6.5,0
1,2,3,3,6,3,9,1470,6.5,7.5,0
1,2,3,1,6,3,4,1530,4.5,6.2,0
0,2,4,1,6,3,6,1500,6.5,4.2,0
1,2,23,2,6,3,6,1500,7.0,4.5,0
0,2,3,2,0,0,6,1400,5.5,1.0,0
0,4,21,2,6,0,2,1450,4.5,2.5,0
0,7,7,1,6,1,0,1300,6.5,2.5,0
1,2,3,2,5,3,4,1570,7.5,3.7,0
1,1,8,3,5,3,4,1320,7.5,2.5,0
0,2,7,2,6,0,4,1540,5.5,3.5,0
1,2,3,2,6,3,6,1460,1.0,4.2,0
0,2,3,2,6,1,16,1540,6.5,6.5,0
0,0,3,1,0,3,13,1560,6.5,8.5,0
0,7,3,2,0,3,1,1510,7.0,5.0,0
1,7,3,2,6,1,6,1550,7.5,6.8,0
1,4,25,1,6,3,17,1480,6.5,6.8,0
1,2,23,2,6,3,1,1590,8.5,8.5,0
4,2,19,2,6,3,4,1480,6.5,7.5,0
0,2,23,2,6,3,1,1570,6.5,4.5,0
0,2,3,2,6,3,11,1530,7.5,4.5,0
0,7,17,2,6,3,4,1450,5.0,2.5,0
0,2,3,2,5,4,6,1510,8.5,6.5,0
1,7,8,2,5,1,4,1580,8.5,2.5,0
1,2,16,2,6,3,5,1520,6.5,7.5,0
0,5,28,0,5,3,16,1530,5.0,4.5,0
0,2,28,1,6,3,4,1560,7.5,6.5,0
1,2,3,2,6,3,20,1580,3.0,4.8,0
1,2,3,2,6,0,1,1550,6.5,8.0,0
