Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
1,5,3,1,4,3,0,1470,6.5,7.5,0
0,2,0,2,0,4,2,1430,6.5,4.5,0
1,1,13,2,4,3,4,1550,6.5,6.5,0
1,1,0,1,3,3,0,1460,6.5,8.5,0
1,5,11,1,0,1,4,1580,7.5,7.5,0
1,1,12,1,3,3,4,1510,6.5,6.8,0
0,5,0,1,3,1,4,1560,6.5,4.2,0
1,1,12,2,3,3,1,1550,8.5,7.2,0
0,5,19,2,4,3,12,1300,6.5,7.5,0
1,0,0,2,4,3,4,1420,5.5,2.5,0
1,5,23,0,4,3,4,1530,6.5,6.5,0
0,0,3,1,0,3,11,1560,6.5,8.5,0
1,1,10,2,3,3,0,1550,7.5,8.3,0
1,5,0,2,4,3,9,1540,5.5,6.1,0
1,2,0,3,0,4,4,1510,7.5,2.5,0
1,1,12,1,3,3,5,1540,3.5,4.5,0
0,5,13,1,4,3,12,1490,8.5,6.5,0
1,1,3,2,4,3,7,1500,6.5,6.5,0
0,5,16,1,4,3,4,1510,5.5,2.5,0
1,1,21,2,2,0,4,1410,3.5,7.5,0
0,4,21,0,3,3,12,1530,5.0,4.5,0
1,2,0,2,0,3,1,1420,7.5,0.0,0
0,1,23,1,0,3,5,1530,6.5,6.5,0
1,1,1,1,3,3,4,1510,7.5,8.5,0
0,1,7,2,4,3,15,1500,7.5,4.2,0
0,1,18,2,4,3,5,1530,3.5,4.7,0
1,1,0,2,2,3,12,1460,2.0,4.5,0
0,5,15,2,4,3,8,1550,5.0,7.5,0
0,5,4,2,4,3,11,1570,3.5,7.5,0
0,3,10,2,0,4,4,1560,7.5,7.5,0
0,1,18,2,4,3,4,1520,7.5,5.8,0
1,5,4,0,4,3,4,1530,4.0,4.5,0
1,5,12,0,4,3,4,1500,3.5,2.5,0
1,5,11,2,4,3,0,1450,1.0,3.5,0
1,5,6,2,0,0,5,1550,8.5,1.0,0
1,5,2,2,0,3,11,1520,3.5,9.5,0
1,1,12,2,4,4,3,1500,5.0,2.5,0
1,5,13,2,0,0,4,1550,6.5,5.5,0
1,3,0,1,4,3,2,1500,6.5,6.5,0
1,1,8,1,4,0,4,1430,5.5,2.5,2
1,1,2,1,4,3,2,1480,6.5,4.5,2
0,3,16,2,4,0,2,1450,4.5,2.5,2
1,1,21,2,2,0,4,1410,3.5,7.8,2
1,5,1,2,3,1,2,1480,5.5,7.5,2
0,1,18,2,4,3,4,1560,7.5,4.5,2
2,5,5,0,4,1,4,1470,6.5,4.5,2
1,1,21,2,2,0,4,1410,3.5,7.5,2
1,5,23,2,3,3,4,1540,7.5,6.2,2
1,5,3,2,0,4,8,1580,5.5,8.5,2
1,5,16,2,4,1,4,1490,1.0,6.5,2
1,1,3,2,0,3,4,1370,6.5,3.5,2
1,1,3,3,4,3,4,1480,5.5,3.7,2
0,5,3,2,0,1,2,1510,6.5,2.0,2
0,5,19,2,1,3,10,1340,5.0,6.5,2
0,1,0,2,0,3,2,1540,4.5,1.0,2
1,5,11,1,4,3,4,1430,4.5,4.5,2
1,1,3,2,4,3,5,1510,6.5,4.5,2
0,1,15,2,4,3,4,1560,8.5,6.5,2
0,1,15,2,4,3,4,1560,8.5,6.5,2
0,2,12,2,4,4,4,1300,6.5,7.5,2
0,1,23,2,4,0,4,1490,4.5,2.5,2
1,1,9,3,0,3,4,1510,6.5,2.5,2
1,5,4,0,4,3,4,1530,4.0,4.5,2
1,5,20,2,4,0,4,1340,6.5,7.5,2
1,1,23,2,0,3,2,1390,6.5,7.9,2
1,4,18,2,0,0,6,1450,5.5,1.5,2
0,1,3,1,4,1,5,1560,5.0,6.5,2
0,1,3,1,4,2,5,1560,5.0,6.5,2
0,1,3,1,4,1,0,1410,5.5,2.5,2
1,3,0,0,3,3,2,1350,6.0,4.5,2
0,1,4,1,1,3,0,1500,6.5,6.5,1
1,1,4,2,0,0,2,1530,2.5,3.5,1
1,1,0,2,4,0,2,1480,5.5,7.2,1
0,1,18,2,4,3,2,1560,6.5,6.5,1
1,1,0,2,4,3,4,1520,8.5,4.5,1
1,5,12,1,3,2,2,1490,6.5,8.2,1
0,1,12,1,4,3,12,1470,5.5,3.7,1
0,1,18,2,3,0,14,1030,1.0,2.5,1
1,3,3,2,3,4,4,1320,4.5,4.5,1
0,1,16,2,4,0,12,1550,6.5,6.2,1
0,2,21,2,0,3,9,1170,5.5,1.0,1
0,0,18,2,4,3,2,1560,6.5,6.5,1
0,1,0,2,0,3,0,1580,6.5,7.5,1
1,5,18,3,4,3,2,1540,2.5,8.7,1
0,1,16,2,4,3,13,1520,6.5,6.5,1
0,1,16,2,4,0,7,1520,6.0,4.5,1
1,5,22,1,4,1,9,1400,3.0,6.7,1
1,1,22,2,4,3,4,1540,6.5,4.5,1
0,5,13,1,4,2,0,1470,4.5,4.2,1
1,5,16,2,4,1,4,1490,1.0,6.5,1
1,5,3,1,3,3,4,1550,8.5,2.5,1
0,1,6,2,3,3,14,1530,2.5,4.5,1
0,1,0,2,4,0,0,1510,6.5,4.5,1
1,5,19,1,3,1,4,1470,6.5,7.5,1
0,5,6,2,4,0,5,1430,7.0,4.5,1
0,2,16,2,4,4,13,1430,5.0,4.2,1
0,1,4,1,4,3,1,1410,6.5,2.5,1
3,5,3,2,4,0,1,1430,3.5,3.7,1
1,5,14,2,3,3,2,1450,6.5,3.5,1
0,1,3,1,0,1,9,1450,6.5,4.5,1
1,1,17,2,4,1,0,1540,6.5,2.5,1
3,5,0,2,3,3,12,1310,6.5,6.5,1
0,1,16,1,0,0,4,1410,7.5,4.5,1
1,1,3,0,4,3,14,1590,8.5,2.5,1
1,5,4,2,3,1,0,1570,6.5,8.7,1
0,1,19,2,4,3,5,1480,6.5,4.5,1
