Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
0,3,10,0,4,3,4,1420,6.5,7.5,0
0,2,18,1,5,3,8,1590,6.5,8.1,0
1,4,13,1,5,4,5,1520,4.5,6.5,0
0,2,3,0,5,1,10,1490,7.5,4.5,0
0,2,19,0,5,3,2,1560,6.5,6.5,0
1,2,19,0,5,3,2,1550,6.5,2.5,0
1,6,3,0,0,1,2,1560,5.5,1.5,0
1,2,6,1,5,0,9,1440,6.5,3.7,0
0,2,3,0,5,3,2,1550,5.5,4.2,0
0,0,19,0,5,3,2,1560,6.5,6.5,0
0,2,3,1,0,0,10,1530,6.5,6.5,0
1,2,13,0,4,3,1,1550,8.5,7.2,0
0,6,24,0,5,3,2,1340,6.5,4.5,0
0,2,0,0,0,3,0,1580,6.5,7.5,0
1,2,18,1,5,0,5,1460,6.5,2.5,0
0,4,18,0,5,0,2,1450,4.5,2.5,0
4,1,13,1,0,4,4,1490,3.5,2.5,0
1,2,14,0,5,0,4,1550,7.5,7.2,0
0,2,20,1,5,1,4,1500,6.5,4.5,0
1,2,3,1,5,3,4,1500,6.5,7.8,0
1,3,0,2,0,4,4,1510,7.5,2.5,0
1,2,13,1,4,3,5,1540,3.5,4.5,0
0,6,18,0,4,1,5,1530,3.0,7.5,0
0,6,18,0,5,1,8,1330,3.5,6.5,0
1,6,13,0,0,3,6,1500,6.5,6.5,0
1,3,18,0,4,3,1,1410,3.5,2.5,0
0,6,1,0,4,0,4,1430,3.0,4.5,0
1,2,25,0,5,3,4,1540,6.5,4.5,0
0,2,3,0,4,4,5,1510,8.5,6.5,0
0,6,19,2,5,4,5,1540,3.5,2.5,0
4,1,13,1,0,4,4,1490,5.5,2.5,0
0,6,10,0,5,4,6,1360,5.5,4.5,0
1,6,0,1,4,1,4,1560,6.5,7.0,0
0,2,20,1,5,1,4,1510,5.0,6.5,0
1,2,3,0,0,1,4,1500,3.0,4.5,0
1,2,24,0,2,0,4,1410,3.5,7.5,0
0,2,3,0,1,3,4,1540,5.5,3.5,0
0,5,24,2,4,3,14,1530,5.0,4.5,0
1,2,3,0,0,3,4,1370,6.5,3.5,0
1,3,0,0,0,3,1,1420,7.5,0.0,0
0,2,26,1,0,3,5,1530,6.5,6.5,0
1,6,12,0,0,3,4,1420,4.5,4.2,0
1,2,3,1,4,3,2,1520,6.5,2.5,0
0,2,3,0,0,3,2,1400,7.5,4.8,0
0,3,14,1,5,4,4,1470,5.5,4.5,0
0,3,4,2,5,4,13,1530,7.5,3.7,0
1,2,3,0,5,1,1,1430,4.5,6.8,0
1,2,17,0,4,1,4,1480,3.5,8.2,0
0,4,10,0,0,4,4,1560,7.5,7.5,0
1,2,19,1,5,3,5,1550,3.5,1.0,0
3,2,19,0,5,3,1,1510,6.5,8.2,0
1,2,4,1,5,3,4,1510,8.5,4.2,0
1,2,26,2,2,3,5,1420,6.5,3.5,0
1,2,14,1,0,0,4,1500,4.5,4.5,0
0,0,4,0,4,3,8,1570,8.5,4.5,0
0,6,6,0,3,1,14,1420,5.5,4.2,0
0,2,3,1,4,3,4,1550,6.5,4.5,0
1,2,26,0,0,3,2,1390,6.5,7.9,0
1,6,20,1,4,1,16,1580,6.5,7.8,0
1,2,16,0,5,1,4,1530,6.5,2.5,0
1,3,0,0,0,4,10,1570,6.5,6.1,0
1,2,11,0,4,3,4,1450,2.0,0.0,0
1,2,3,1,5,1,5,1600,6.5,3.7,0
1,2,3,1,5,3,0,1450,2.5,4.5,0
1,3,18,0,5,3,4,1560,8.5,2.5,0
0,4,6,0,0,0,4,1460,5.5,7.2,0
1,2,18,0,5,3,4,1590,8.5,6.3,0
0,6,10,1,4,1,5,1580,6.5,7.3,0
2,2,3,0,5,0,1,1400,7.5,7.7,0
0,2,12,0,5,3,4,1570,6.5,6.5,0
1,3,10,0,4,3,4,1280,6.5,6.8,0
1,6,2,1,1,2,17,1570,7.5,6.5,0
0,6,18,0,0,4,12,1240,4.5,2.0,2
0,2,18,0,5,3,4,1600,6.5,7.5,2
1,2,0,1,5,0,3,1300,6.0,7.5,2
0,3,3,0,5,4,1,1080,1.5,6.2,2
0,6,3,1,5,3,4,1500,5.5,4.5,2
0,6,6,0,5,4,2,1430,4.5,2.5,2
0,6,9,1,5,3,4,1600,6.5,7.5,2
0,2,18,0,5,0,14,1550,6.5,6.2,2
1,2,3,0,4,3,1,1550,6.5,2.5,2
0,2,3,1,5,3,4,1300,3.5,7.2,2
2,6,18,1,5,1,0,1430,1.5,2.5,2
1,2,18,0,5,0,4,1430,6.0,7.8,2
1,6,0,1,4,1,4,1560,6.5,7.0,2
1,6,26,0,0,3,4,1510,5.5,4.0,2
0,6,7,1,5,1,0,1300,6.5,2.5,2
1,2,24,0,2,0,4,1410,3.5,7.8,2
1,2,5,0,5,3,4,1580,6.5,6.5,2
1,6,19,2,5,3,2,1540,2.5,8.7,2
0,3,3,0,4,4,2,1480,10.0,3.5,2
1,6,1,0,4,1,2,1480,5.5,7.5,2
0,2,18,0,5,3,15,1520,6.5,6.5,2
0,6,7,1,5,2,12,1200,3.5,2.5,2
0,2,4,0,5,3,4,1580,2.0,4.5,2
1,2,18,0,5,0,4,1430,6.0,8.1,2
0,2,18,0,5,0,7,1520,6.0,4.5,2
0,2,10,0,5,3,5,1540,6.5,6.5,2
2,2,4,0,5,0,4,1320,5.5,8.5,2
0,6,23,2,5,3,4,1590,9.5,8.5,2
4,6,20,0,5,0,4,1550,5.0,4.5,2
0,2,19,0,5,3,4,1560,7.5,4.5,2
1,2,24,0,5,0,5,1500,2.5,4.5,2
1,2,3,2,5,3,4,1480,5.5,3.7,2
0,2,8,0,5,3,17,1500,7.5,4.2,2
1,2,9,1,5,4,14,1380,5.0,4.5,2
0,2,26,0,0,4,17,1470,4.5,1.5,2
1,2,13,0,0,1,4,1310,2.0,7.8,2
0,2,0,0,5,0,0,1510,6.5,4.5,2
1,6,12,1,5,3,4,1430,4.5,4.5,2
2,2,13,0,1,0,4,1380,5.5,2.5,2
1,6,13,1,5,3,5,1540,6.5,6.5,2
0,6,18,0,5,3,4,1590,7.5,7.5,2
1,2,17,1,5,3,4,1470,7.5,8.0,2
1,2,3,0,0,3,5,1570,6.5,2.5,2
0,6,11,2,4,3,4,1500,-1.0,4.5,2
1,2,21,0,5,3,2,1390,6.5,3.7,2
0,2,16,0,5,3,4,1560,8.5,6.5,2
0,2,10,0,4,3,4,1470,6.5,6.8,2
1,2,6,1,5,3,4,1500,6.5,4.2,2
1,2,18,0,5,0,4,1510,1.0,6.3,2
0,2,0,0,5,3,4,1560,7.5,4.7,2
1,6,0,0,4,3,4,1530,4.0,3.5,2
1,6,23,0,5,0,4,1340,6.5,7.5,2
1,6,15,0,4,3,2,1450,6.5,3.5,2
0,2,26,0,5,3,1,1500,7.5,6.5,2
0,2,3,1,5,1,5,1560,5.0,6.5,2
1,3,8,1,4,4,4,1550,1.0,6.5,2
0,2,9,2,2,3,4,1460,5.0,2.5,2
0,2,3,1,5,2,5,1560,5.0,6.5,2
1,3,3,0,0,3,5,1410,6.5,6.5,2
0,3,19,1,5,0,11,1140,5.5,4.2,2
1,2,4,0,0,3,4,1470,6.5,2.3,2
1,6,22,2,5,3,12,1340,3.0,6.8,2
1,4,6,1,5,0,4,1460,7.5,2.5,2
0,2,4,0,1,3,4,1580,7.5,6.5,2
0,2,0,0,5,3,2,1550,6.5,6.8,2
0,2,7,2,4,0,2,1480,2.5,4.2,2
0,2,22,1,5,1,16,1590,3.5,5.2,1
1,6,14,0,5,4,4,1450,2.5,4.2,1
1,6,22,0,5,3,4,1490,8.5,8.5,1
0,6,22,2,5,1,4,1510,3.5,3.7,1
1,6,3,1,5,3,2,1520,6.5,6.5,1
