Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
4,1,3,0,5,2,4,1560,6.5,7.2,0
1,1,18,0,5,0,4,1530,3.5,3.7,0
1,3,3,0,5,3,0,1330,5.5,6.8,0
1,2,18,0,5,3,0,1450,6.5,4.2,0
1,1,6,0,5,0,4,1530,3.5,4.2,0
1,5,23,0,5,3,4,1460,5.0,4.5,0
1,2,6,2,5,3,4,1520,6.5,6.5,0
1,1,18,0,5,0,4,1530,3.5,7.2,0
1,1,21,1,5,0,5,1530,7.5,2.5,0
0,3,5,0,5,3,4,1550,7.5,4.5,0
2,5,3,1,5,2,4,1600,7.5,8.5,0
0,1,3,0,5,2,1,1540,6.5,7.6,0
1,1,13,0,5,0,4,1550,7.5,7.2,0
1,1,11,0,0,1,5,1520,6.5,1.0,0
1,2,0,2,0,3,4,1510,7.5,2.5,0
0,5,9,0,4,2,4,1470,7.5,4.2,0
1,5,7,0,4,1,4,1580,8.5,2.5,0
0,5,9,0,4,2,4,1470,7.5,2.5,0
1,3,5,0,5,3,4,1590,7.5,2.5,0
1,1,18,1,5,2,4,1550,6.5,1.5,0
1,1,3,1,5,2,4,1550,8.5,3.5,0
1,1,21,0,5,2,4,1590,6.0,6.5,0
1,1,9,0,0,2,4,1600,8.5,0.0,0
0,1,3,1,5,2,5,1570,5.5,2.5,0
0,1,3,1,0,2,5,1580,8.5,7.5,0
1,1,21,0,0,2,4,1550,6.5,9.5,0
1,1,16,0,5,2,4,1590,8.5,6.3,0
3,0,16,0,4,2,0,1560,2.0,0.0,0
3,1,9,1,0,2,4,1390,5.5,4.5,2
1,1,0,0,5,2,4,1590,7.5,8.7,2
0,5,3,0,5,2,4,1490,7.5,4.5,2
1,5,3,0,5,2,4,1460,3.5,2.5,2
0,1,3,1,4,2,3,1560,6.5,2.5,2
0,5,21,0,5,3,4,1420,5.5,4.5,2
1,5,3,0,5,2,4,1530,6.5,4.2,2
1,1,16,1,5,2,4,1570,6.5,6.2,2
1,5,11,0,0,2,4,1570,3.5,1.0,2
1,1,9,1,4,2,4,1540,8.5,7.3,2
0,1,9,0,5,2,4,1590,6.5,3.5,2
1,1,3,0,5,2,4,1520,7.5,6.8,2
1,1,19,1,4,2,4,1560,7.5,4.5,2
1,0,14,0,4,2,5,1440,7.5,5.5,2
0,2,13,1,5,3,4,1550,4.5,4.5,2
1,1,18,0,0,2,5,1540,6.5,4.5,2
1,1,3,0,0,2,4,1550,8.5,1.0,2
0,1,19,1,5,2,4,1570,6.5,4.5,2
1,5,18,2,5,2,4,1520,5.5,0.0,2
1,5,0,0,1,2,4,1580,5.5,2.5,2
1,5,9,1,5,2,5,1570,7.5,3.5,2
1,1,19,0,5,2,4,1510,7.5,6.5,2
1,5,21,0,5,2,5,1490,6.5,7.5,2
1,1,20,2,2,2,4,1560,6.5,6.5,2
0,5,13,1,5,2,4,1310,8.5,3.5,2
1,1,18,1,4,2,4,1600,8.5,6.5,2
1,1,18,1,4,2,4,1530,8.5,7.2,2
0,0,3,1,0,2,8,1560,6.5,8.5,2
