Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
1,1,1,2,3,4,3,1100,5.0,7.2,0
1,1,9,1,0,3,6,1490,6.5,3.5,0
1,2,0,3,0,4,3,1510,7.5,2.5,0
1,2,7,2,2,3,1,1410,3.5,2.5,0
1,1,1,1,3,3,3,1560,5.5,6.5,0
1,1,5,3,3,3,7,1550,5.5,7.3,0
1,1,11,2,0,3,3,1570,4.5,1.5,2
1,0,2,2,3,2,0,1380,5.5,1.5,2
0,1,1,2,3,3,1,1460,4.5,6.5,2
0,4,3,1,3,3,3,1600,6.5,7.5,2
2,4,7,1,3,1,0,1430,1.5,2.5,2
1,3,10,1,0,4,1,1440,7.5,8.7,2
0,1,8,1,3,1,3,1510,5.0,6.5,2
1,1,1,3,3,3,3,1480,5.5,3.7,2
1,4,1,1,2,3,3,1550,8.5,2.5,2
0,1,1,2,0,3,5,1380,3.5,5.0,2
1,4,0,2,2,3,3,1530,4.0,3.5,2
1,4,6,2,2,3,2,1450,6.5,3.5,2
1,4,7,2,3,3,3,1480,2.5,7.2,2
0,1,3,0,1,3,3,1460,5.0,2.5,2
2,1,12,1,2,3,4,1430,5.0,6.5,2
2,1,12,1,2,3,4,1430,6.5,6.5,2
1,4,2,2,2,1,0,1570,6.5,8.7,2
1,4,1,1,3,3,0,1470,6.5,7.5,1
2,4,4,3,0,3,8,1500,3.5,1.5,1
1,4,11,1,2,3,8,1480,5.0,6.5,1
1,1,1,2,2,3,2,1530,3.5,4.8,1
1,4,4,2,3,1,9,1530,6.5,4.5,1
1,4,10,1,2,4,3,1510,6.5,6.8,1
0,1,11,2,3,0,3,1490,4.5,2.5,1
1,4,7,1,3,3,6,1440,6.5,4.5,1
1,4,2,1,3,1,8,1510,2.0,6.2,1
