Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
1,1,6,2,5,3,0,1580,6.5,6.3,0
1,1,0,0,5,3,4,1590,7.5,8.7,0
1,2,21,0,4,4,1,1520,5.5,4.5,0
0,1,3,1,4,3,3,1560,6.5,2.5,0
0,5,23,0,5,4,4,1420,5.5,4.5,0
1,5,25,0,5,4,4,1460,5.0,4.5,0
0,3,5,0,5,3,5,1320,5.5,8.7,0
1,1,18,0,0,3,0,1510,3.5,2.5,0
1,1,14,0,5,3,4,1550,6.5,6.5,0
0,1,4,0,5,1,6,1450,6.5,4.5,0
0,1,20,0,5,3,2,1560,6.5,6.5,0
1,2,21,0,4,4,1,1520,5.5,4.5,0
1,1,0,2,5,3,2,1570,8.5,4.5,0
0,1,3,1,5,3,4,1560,6.5,4.7,0
0,5,26,0,5,1,4,1590,4.5,7.2,0
0,5,3,2,5,3,4,1570,8.5,4.7,0
1,1,3,0,5,2,6,1550,5.5,3.7,0
0,5,15,1,4,3,7,1540,6.5,6.2,0
0,0,20,0,5,3,2,1560,6.5,6.5,0
0,5,18,0,0,4,10,1240,4.5,2.5,0
0,2,14,1,5,4,4,1550,4.5,4.5,0
1,1,3,0,0,3,4,1550,8.5,1.0,0
0,1,21,1,5,3,4,1570,6.5,4.5,0
1,1,27,2,6,3,1,1570,8.5,7.5,0
1,1,20,0,5,3,6,1500,7.0,4.5,0
0,5,23,0,5,3,12,1300,6.5,7.5,0
0,1,3,1,5,3,6,1520,5.5,4.2,0
1,1,14,0,5,0,4,1550,7.5,7.2,0
1,3,22,1,5,3,13,1480,6.5,6.8,0
4,1,16,0,5,3,4,1480,6.5,7.5,0
1,4,12,0,4,3,4,1240,5.0,7.8,0
0,1,18,0,5,3,13,1580,6.5,7.9,0
0,1,21,0,5,1,6,1550,7.5,4.5,0
0,1,13,0,5,3,6,1570,7.5,6.5,0
1,1,3,0,0,3,9,1580,6.0,5.2,0
1,5,0,1,4,1,4,1560,6.5,7.0,0
1,5,11,1,5,3,4,1570,4.5,2.5,0
0,1,25,1,5,3,4,1560,7.5,6.5,0
0,1,20,1,5,3,2,1560,6.5,3.5,0
1,5,12,0,5,3,4,1530,8.5,2.5,0
0,5,26,1,5,3,4,1550,6.5,7.5,0
1,1,21,0,4,1,6,1580,5.5,4.7,0
1,5,5,0,5,4,4,1480,6.5,2.5,0
0,1,3,1,4,3,4,1440,6.5,7.5,0
1,1,9,1,4,3,4,1500,8.5,6.8,0
1,2,3,0,5,4,4,1410,6.5,7.5,0
0,1,4,0,0,3,2,1540,6.5,1.0,0
1,1,9,1,4,3,6,1540,8.5,7.5,0
1,2,4,1,3,4,4,1490,6.5,6.5,0
1,1,21,0,5,3,4,1580,7.5,7.5,0
0,5,3,1,6,3,4,1510,7.5,2.5,0
1,1,14,0,5,3,9,1570,8.5,7.8,0
1,3,3,0,5,4,0,1500,7.5,7.2,0
3,1,20,0,5,3,1,1510,6.5,8.2,0
1,1,3,0,0,3,0,1570,6.5,3.5,0
1,1,3,0,5,0,4,1560,7.5,1.5,0
0,5,19,0,5,3,6,1420,5.5,6.5,0
0,0,4,0,4,3,7,1570,8.5,4.5,0
4,1,20,0,4,3,4,1580,3.5,6.5,0
0,1,3,1,5,3,6,1570,5.5,2.5,0
1,1,3,1,4,3,2,1590,7.5,7.5,0
0,1,3,1,4,3,4,1550,6.5,4.5,0
1,1,27,0,4,3,0,1550,6.5,2.5,0
0,5,3,0,5,2,4,1570,7.5,6.5,0
1,5,12,0,4,3,6,1550,5.0,6.8,0
1,5,14,1,5,1,4,1510,7.5,7.0,0
0,1,0,0,5,3,4,1540,7.5,2.5,0
0,1,0,0,5,3,4,1540,7.5,4.5,0
0,1,0,0,5,3,4,1540,7.5,4.5,0
0,2,0,0,5,3,6,1360,6.5,2.5,0
0,1,3,1,5,3,9,1580,4.5,6.5,0
1,0,3,0,5,3,4,1570,8.5,6.5,0
1,0,3,0,5,3,4,1570,8.5,6.8,0
1,1,0,1,5,3,4,1560,7.5,2.5,0
0,1,0,0,5,3,4,1540,7.5,4.5,0
0,1,20,1,0,0,4,1600,7.5,8.5,0
3,0,18,0,4,3,0,1560,2.0,0.0,0
0,2,20,1,5,0,9,1140,5.5,4.2,0
1,3,18,0,5,4,6,1380,6.5,8.3,0
1,3,18,0,5,4,6,1380,6.5,8.3,0
1,2,3,1,5,4,4,1520,2.5,4.2,0
1,5,21,0,5,1,4,1580,6.5,3.5,0
1,1,3,0,5,1,4,1580,8.5,2.5,0
1,5,0,2,5,2,6,1500,5.0,6.2,0
0,1,23,0,5,3,6,1480,6.5,4.5,0
0,5,18,0,0,4,10,1240,4.5,2.0,2
0,1,3,0,0,3,4,1570,8.5,4.5,2
1,1,10,1,4,3,4,1570,4.5,3.7,2
