Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
0,1,0,2,2,3,4,1560,5.5,3.7,0
1,2,15,2,3,4,1,1360,2.0,6.2,0
0,4,15,1,3,1,5,1590,6.5,4.5,0
1,4,19,1,2,3,10,1480,5.0,6.5,0
0,4,15,2,2,3,0,1320,6.5,9.5,0
0,4,15,1,3,3,4,1510,5.5,2.5,0
0,4,11,1,3,2,0,1470,4.5,4.2,0
0,3,4,2,3,4,3,1380,3.5,3.5,0
0,1,6,2,3,3,13,1500,7.5,4.2,0
1,4,15,3,3,4,10,1530,1.0,2.5,0
1,1,8,1,0,3,0,1490,7.5,7.5,0
1,4,9,1,3,3,4,1430,4.5,4.5,0
1,1,15,2,0,3,12,1550,7.5,1.0,0
1,4,9,2,2,3,4,1500,7.5,6.5,0
0,4,11,2,0,3,9,1500,3.5,7.5,0
0,1,2,2,0,3,4,1500,5.5,2.5,0
1,1,14,2,2,1,4,1480,3.5,8.2,0
3,0,15,2,2,3,0,1560,2.0,0.0,0
1,1,16,1,3,3,1,1410,5.5,7.5,2
1,0,12,2,2,3,5,1440,7.5,5.5,2
1,2,8,1,3,3,0,1470,4.5,7.5,2
1,1,2,3,3,3,8,1470,6.5,7.5,2
0,4,8,2,2,4,2,1360,6.5,6.5,2
0,2,2,2,2,4,2,1480,10.0,3.5,2
2,4,8,2,3,3,13,1460,6.5,7.2,2
0,1,15,2,3,0,7,1520,6.0,4.5,2
0,4,15,2,2,1,5,1530,3.0,7.5,2
0,4,18,3,3,3,4,1590,9.5,8.5,2
0,4,8,2,3,4,6,1360,5.5,4.5,2
1,4,19,2,2,3,4,1540,7.5,6.2,2
1,4,20,2,3,3,4,1520,7.5,0.0,2
0,4,4,2,3,0,5,1430,7.0,4.5,2
0,1,13,2,3,3,4,1560,8.5,6.5,2
0,4,4,2,3,3,4,1560,1.0,4.7,2
0,1,13,2,3,3,4,1560,8.5,6.5,2
0,1,2,1,3,3,4,1540,7.0,6.5,2
1,1,7,3,0,3,4,1510,6.5,2.5,2
0,4,8,2,3,0,0,1350,5.5,7.5,2
1,1,1,2,3,3,10,1520,6.5,4.5,2
0,1,8,0,3,3,5,1550,8.5,0.0,2
0,1,17,2,3,3,5,1480,6.5,4.5,2
0,2,12,2,3,4,4,1420,6.5,7.5,1
0,4,15,1,0,3,4,1540,3.5,4.5,1
0,4,0,1,0,3,0,1290,5.0,5.5,1
0,3,5,2,4,0,9,1330,6.5,4.2,1
1,4,10,1,2,3,11,1530,6.5,4.7,1
1,1,2,3,3,3,4,1480,5.5,3.7,1
1,4,3,2,0,3,4,1520,6.5,7.3,1
2,0,0,2,0,0,0,1510,-1.0,4.5,1
0,1,3,2,1,3,4,1580,7.5,6.5,1
