Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
0,2,23,2,5,3,4,1580,7.5,4.7,0
1,0,3,0,5,3,4,1540,8.5,4.7,0
0,2,21,1,5,3,9,1590,6.5,8.1,0
1,2,15,1,5,3,0,1530,7.5,4.5,0
1,3,4,1,5,4,16,1370,6.5,3.5,0
1,3,23,0,5,4,0,1450,6.5,4.2,0
0,7,26,0,5,4,4,1420,5.5,4.5,0
1,4,9,2,5,0,6,1390,8.5,2.5,0
0,2,23,1,5,3,6,1560,6.5,4.5,0
1,7,28,0,5,4,4,1460,5.0,4.5,0
1,2,4,1,5,0,0,1430,5.5,2.5,0
1,2,3,1,5,3,4,1440,7.5,4.5,0
1,2,0,1,4,3,0,1460,6.5,8.5,0
0,7,21,1,0,3,4,1540,3.5,4.5,0
1,2,23,0,5,3,2,1550,6.5,2.5,0
1,2,21,1,5,3,4,1570,6.5,6.2,0
1,2,4,1,5,0,0,1430,5.5,2.5,0
1,3,7,2,5,4,4,1520,6.5,6.5,0
1,2,3,0,5,1,6,1540,6.5,4.7,0
1,2,26,1,5,0,6,1530,7.5,2.5,0
0,7,3,2,5,3,4,1570,8.5,4.7,0
0,7,6,0,5,3,1,1480,5.5,2.5,0
1,2,24,1,4,3,4,1560,7.5,4.5,0
0,2,21,0,5,3,15,1500,6.5,4.2,0
1,3,21,0,5,4,1,1360,2.0,6.2,0
1,2,28,0,5,3,4,1560,5.0,4.2,0
0,7,21,1,5,1,6,1590,6.5,4.5,0
1,7,26,2,5,3,4,1500,1.0,7.5,0
1,7,10,1,5,3,6,1570,7.5,3.5,0
1,2,3,2,5,3,6,1520,5.0,6.8,0
1,2,26,2,5,3,4,1550,5.5,2.5,0
1,2,5,0,0,3,6,1460,5.0,2.5,0
1,2,13,1,5,1,6,1570,6.5,4.5,0
0,4,21,0,5,0,2,1450,4.5,2.5,0
4,1,13,1,0,4,4,1490,3.5,2.5,0
1,2,13,1,5,3,17,1430,1.0,7.5,0
1,2,15,0,5,0,4,1550,7.5,7.2,0
0,7,10,0,4,4,2,1360,6.5,6.5,0
0,2,9,0,5,3,1,1440,5.5,6.5,0
0,2,4,0,5,3,0,1550,6.5,4.5,0
1,3,0,2,0,4,4,1510,7.5,2.5,0
1,3,3,0,5,4,4,1490,8.5,4.5,0
0,7,21,0,4,1,6,1530,3.0,7.5,0
0,2,27,0,5,3,7,1480,3.0,4.5,0
0,2,10,0,0,0,4,1590,8.5,3.5,0
1,2,28,0,2,3,4,1560,7.5,6.5,0
1,6,13,0,4,3,4,1240,5.0,7.8,0
1,3,21,0,4,3,1,1410,3.5,2.5,0
1,2,28,0,0,3,4,1430,8.5,8.5,0
0,7,21,0,4,3,0,1320,6.5,9.5,0
1,2,4,0,5,3,6,1510,5.5,7.5,0
0,7,21,2,4,3,4,1470,6.5,6.2,0
0,2,23,1,5,3,4,1550,5.5,4.5,0
0,2,28,2,2,3,4,1590,6.5,4.5,0
0,7,23,2,5,4,6,1540,3.5,2.5,0
0,7,9,1,5,3,6,1570,7.0,6.8,0
1,7,8,0,4,1,4,1580,8.5,2.5,0
1,2,15,0,5,3,5,1520,6.5,7.5,0
0,7,10,0,5,4,7,1360,5.5,4.5,0
1,7,13,0,5,1,17,1530,6.5,4.5,0
0,5,28,2,4,3,15,1530,5.0,4.5,0
0,2,23,1,5,3,4,1570,5.5,4.7,0
3,0,3,0,4,3,4,1520,6.5,2.5,0
1,7,21,0,5,1,4,1490,1.0,6.5,0
0,4,3,1,5,4,0,1450,6.5,8.3,0
0,2,30,1,0,3,6,1530,6.5,6.5,0
1,7,21,0,5,3,9,1600,7.5,8.7,0
1,7,13,0,5,1,4,1520,1.0,7.3,0
1,2,3,0,0,3,14,1560,6.5,0.0,0
1,7,21,2,5,4,15,1530,1.0,2.5,0
1,2,15,0,5,3,4,1540,7.5,4.5,0
1,2,4,2,5,1,0,1520,5.5,2.5,0
0,2,0,0,0,3,2,1540,4.5,1.0,0
1,7,12,0,4,1,11,1510,5.5,7.2,0
0,2,0,0,0,0,2,1540,6.5,1.5,0
1,2,7,0,0,3,1,1560,8.5,7.5,0
0,2,4,0,5,0,4,1550,5.0,6.5,0
0,7,6,0,5,0,6,1430,7.0,4.5,0
1,2,3,2,0,3,9,1550,7.5,3.5,0
0,2,3,0,5,3,6,1590,4.5,3.5,0
0,2,3,0,0,3,2,1400,7.5,4.8,0
1,2,28,2,5,3,4,1560,6.5,8.5,0
1,7,21,1,5,3,16,1560,6.5,6.5,0
1,2,3,0,0,3,0,1550,6.5,2.5,0
1,2,15,1,0,3,1,1570,6.5,1.0,0
1,2,26,2,0,3,0,1560,7.5,8.2,0
1,2,15,0,5,3,8,1550,7.5,8.5,0
0,2,4,1,5,3,4,1390,7.5,7.5,0
1,2,3,1,5,3,4,1560,5.5,6.5,0
1,3,3,0,5,4,4,1410,6.5,7.5,0
1,2,0,1,5,0,4,1440,2.0,6.5,0
1,7,12,1,4,3,14,1570,6.0,4.7,0
1,7,15,2,4,1,4,1540,6.5,4.7,0
1,2,3,0,5,1,1,1430,4.5,6.8,0
1,3,21,0,5,4,4,1410,6.5,8.5,0
1,3,4,1,3,4,4,1490,6.5,6.5,0
0,4,10,0,0,4,4,1560,7.5,7.5,0
1,2,26,0,5,3,4,1590,6.0,6.5,0
1,2,24,0,5,3,4,1580,7.5,7.5,0
1,2,26,1,5,1,4,1490,6.5,6.5,0
1,3,9,0,5,4,4,1430,6.5,9.5,0
1,0,1,1,4,4,4,1580,7.5,4.7,0
1,2,28,0,4,3,4,1510,7.5,8.2,0
0,2,23,0,5,3,1,1580,8.5,6.5,0
0,3,7,1,0,4,0,1410,7.5,2.5,0
0,2,12,1,5,3,15,1520,6.5,4.5,0
2,7,21,1,5,0,6,1420,3.5,6.8,0
1,2,21,0,5,3,4,1580,8.5,6.8,0
1,2,3,0,5,0,4,1560,7.5,1.5,0
1,2,15,1,0,0,4,1500,4.5,4.5,0
0,0,4,0,4,3,9,1570,8.5,4.5,0
0,2,3,2,5,3,1,1560,5.5,2.5,0
4,2,23,0,4,3,4,1580,3.5,6.5,0
0,3,7,0,5,3,1,1550,5.5,7.8,0
0,2,3,1,4,3,4,1550,6.5,4.5,0
1,2,30,0,4,3,0,1550,6.5,2.5,0
0,2,3,1,5,3,4,1500,6.5,7.5,0
0,2,15,0,5,3,4,1550,6.5,6.3,0
0,7,3,0,5,2,4,1570,7.5,6.5,0
1,7,24,1,4,1,17,1580,6.5,7.8,0
1,2,22,0,5,1,0,1540,6.5,2.5,0
0,2,26,0,5,3,1,1470,6.5,6.5,0
0,2,23,0,5,3,4,1570,8.5,8.5,0
0,2,23,0,5,3,4,1570,8.5,8.5,0
2,3,3,0,4,0,1,1230,8.5,2.5,0
1,7,15,1,5,1,4,1510,7.5,7.0,0
0,2,3,1,5,4,0,1580,8.5,9.5,0
0,2,30,2,5,3,2,1420,7.5,6.5,0
0,2,0,0,5,3,4,1540,7.5,4.5,0
0,3,5,0,5,4,15,1520,7.5,8.7,0
1,2,23,1,5,3,4,1570,4.8,5.1,0
1,3,23,2,5,4,16,1530,7.5,4.5,0
0,2,23,1,0,0,4,1600,7.5,8.5,0
1,2,0,0,5,3,4,1500,8.5,2.5,0
1,2,26,0,0,3,4,1550,6.5,9.5,0
1,2,21,0,5,3,4,1590,8.5,6.3,0
2,2,3,0,5,0,1,1400,7.5,7.7,0
1,3,21,1,5,3,4,1530,7.0,8.2,0
0,2,21,1,0,0,4,1410,7.5,4.5,0
1,2,8,0,0,3,6,1560,7.5,0.0,0
1,2,28,2,5,3,4,1550,8.5,6.5,0
0,2,15,1,5,0,6,1500,6.5,3.7,0
1,2,3,0,0,3,12,1560,5.5,7.5,0
0,2,0,1,5,3,2,1500,1.0,4.5,0
0,2,4,0,1,3,4,1580,7.5,6.5,0
1,2,0,1,4,3,4,1560,5.5,6.5,0
0,2,15,2,5,3,7,1550,3.5,5.2,0
0,2,23,0,0,3,6,1500,5.5,6.8,0
1,2,3,0,5,1,4,1580,8.5,2.5,0
1,3,10,0,4,3,4,1280,6.5,6.8,0
1,2,30,1,5,3,2,1510,6.5,5.5,0
1,2,3,1,1,3,19,1440,6.5,2.5,0
1,7,7,0,5,3,6,1470,3.5,6.5,0
0,2,23,2,5,3,4,1580,7.5,4.7,2
0,3,6,0,5,4,9,1500,7.5,4.7,2
1,3,24,0,4,4,1,1520,5.5,4.5,2
0,2,3,1,5,3,1,1430,5.5,4.2,2
0,2,3,0,0,3,4,1570,8.5,4.5,2
1,2,0,2,5,3,4,1330,2.5,5.7,2
0,2,21,0,5,3,4,1600,6.5,7.5,2
1,7,11,0,4,0,4,1540,6.5,7.2,2
0,2,4,1,1,3,0,1500,6.5,6.5,2
1,2,3,0,5,0,6,1460,6.5,4.2,2
1,7,3,1,5,1,4,1480,5.0,4.7,2
1,2,4,0,0,0,2,1530,2.5,3.5,2
1,2,0,0,5,0,2,1480,5.5,7.2,2
1,2,3,1,5,3,4,1440,7.5,4.5,2
0,2,3,0,5,1,12,1490,7.5,4.5,2
0,3,3,0,5,4,1,1080,1.5,6.2,2
1,7,3,0,5,3,4,1530,6.5,4.2,2
