Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
0,2,12,1,5,3,12,1580,7.5,7.5,0
0,1,21,1,5,1,2,1430,5.5,7.5,0
1,2,2,1,5,3,4,1440,7.5,4.5,0
1,7,5,2,5,3,1,1390,5.0,4.5,0
0,0,24,2,5,3,15,1560,7.5,4.7,0
1,2,0,0,5,3,2,1570,8.5,4.5,0
1,2,19,1,5,3,4,1570,6.5,6.2,0
1,3,6,3,5,4,4,1520,6.5,6.5,0
1,2,2,2,5,1,5,1540,6.5,4.7,0
1,2,24,1,5,0,5,1530,7.5,2.5,0
1,2,2,2,5,3,13,1560,7.5,6.5,0
0,7,2,0,5,3,4,1570,8.5,4.7,0
1,2,9,1,4,3,13,1580,6.5,5.5,0
1,2,2,2,5,2,5,1550,5.5,3.7,0
1,2,22,1,4,3,4,1560,7.5,4.5,0
1,2,0,1,5,3,4,1530,7.5,6.5,0
1,2,26,1,5,3,13,1310,7.5,6.5,0
0,3,14,1,5,4,4,1550,4.5,4.5,0
1,2,19,2,5,3,1,1570,8.5,2.5,0
1,7,19,2,5,3,4,1540,8.5,4.5,0
1,2,2,2,0,3,4,1550,8.5,1.0,0
1,2,28,0,6,3,1,1570,8.5,7.5,0
0,2,10,2,4,3,16,1400,5.5,3.8,0
1,2,6,2,5,1,5,1570,6.5,6.5,0
1,2,6,2,0,2,4,1510,8.5,2.5,0
1,2,24,1,5,3,5,1550,4.0,2.5,0
1,2,14,2,5,0,4,1550,7.5,7.2,0
1,2,9,1,5,3,5,1590,6.5,7.8,0
0,3,2,2,4,4,2,1480,10.0,3.5,0
0,7,2,2,0,3,1,1510,7.0,5.0,0
1,3,2,2,5,4,4,1490,8.5,4.5,0
4,2,6,1,5,4,14,1580,7.5,8.5,0
1,3,19,2,4,3,1,1410,3.5,2.5,0
0,3,6,3,5,4,4,1500,7.5,4.5,0
1,2,21,2,5,3,5,1590,8.5,4.5,0
1,7,0,2,0,3,4,1590,5.5,3.5,0
0,0,0,2,0,4,4,1500,6.5,1.0,0
0,3,26,2,3,4,5,1510,7.5,7.5,0
1,2,14,2,5,0,4,1550,7.5,7.2,0
0,2,2,2,5,3,9,1570,6.5,6.5,0
1,2,26,2,5,3,5,1570,6.5,7.8,0
0,7,3,0,4,1,5,1530,6.5,6.5,0
0,5,26,0,4,3,13,1530,5.0,4.5,0
3,0,2,2,4,3,4,1520,6.5,2.5,0
0,2,28,1,0,3,5,1530,6.5,6.5,0
1,7,0,1,5,1,4,1560,7.5,6.8,0
1,2,14,2,5,3,4,1540,7.5,4.5,0
1,2,1,2,0,3,11,1590,8.5,4.2,0
1,2,2,2,0,3,4,1520,5.5,5.8,0
0,2,0,2,0,0,2,1540,6.5,1.5,0
0,0,3,1,5,4,3,1500,6.5,3.7,0
1,4,3,2,4,4,1,1590,6.5,6.5,0
1,7,19,1,5,3,14,1560,6.5,6.5,0
0,0,28,2,5,1,5,1250,6.5,4.5,0
2,7,5,2,0,1,6,1250,4.0,4.5,0
0,2,2,3,5,3,1,1560,7.5,3.7,0
1,0,2,0,5,3,4,1520,3.5,2.5,0
1,2,2,2,5,1,2,1590,6.5,4.5,0
0,3,3,0,5,4,12,1530,7.5,3.7,0
1,2,2,1,5,3,4,1550,8.5,3.5,0
1,2,2,2,5,1,2,1590,6.5,6.5,0
1,2,2,1,5,3,4,1590,6.5,2.5,0
1,2,14,2,5,3,11,1570,8.5,7.8,0
0,7,24,2,5,0,5,1530,7.5,3.7,0
0,2,2,3,5,3,1,1520,5.5,7.2,0
0,3,3,1,5,4,15,1530,5.5,4.2,0
1,3,26,1,4,4,7,1520,5.5,7.5,0
1,2,27,2,5,0,4,1510,6.5,7.5,0
1,3,2,2,0,3,13,1510,6.5,2.5,0
0,3,6,1,0,4,0,1410,7.5,2.5,0
0,3,2,2,5,4,1,1370,6.5,2.5,0
0,3,6,2,5,4,10,1260,3.5,8.5,0
0,2,0,2,5,3,4,1560,7.5,4.7,0
1,2,2,2,5,0,4,1560,7.5,1.5,0
1,7,14,2,5,3,4,1510,7.5,7.3,0
0,2,2,3,5,3,1,1560,5.5,2.5,0
0,3,6,2,5,3,1,1550,5.5,7.8,0
1,3,14,2,4,4,4,1550,7.5,6.8,0
1,2,14,2,5,3,13,1550,7.0,7.5,0
1,7,26,1,5,3,13,1600,7.5,6.2,0
1,7,5,2,4,3,4,1490,7.5,4.5,0
1,7,2,2,5,4,11,1560,6.5,4.7,0
1,2,0,1,5,3,12,1520,6.5,8.3,0
0,2,21,2,5,3,4,1570,8.5,8.5,0
0,2,21,2,5,3,4,1570,8.5,8.5,0
1,3,19,2,5,3,4,1560,8.5,2.5,0
1,2,19,2,5,3,4,1590,8.5,6.3,0
0,2,2,1,4,3,17,1570,4.0,7.5,0
1,2,7,2,0,3,5,1560,7.5,0.0,0
1,2,26,3,5,3,4,1550,8.5,6.5,0
0,2,14,1,5,0,5,1500,6.5,3.7,0
0,7,26,1,0,3,4,1600,8.5,4.5,0
0,2,0,2,4,3,4,1540,5.5,5.2,0
1,7,22,2,5,1,4,1580,6.5,3.5,0
1,3,24,2,0,4,1,1230,7.5,1.5,0
0,2,8,2,0,3,4,1580,7.5,4.5,0
1,7,0,1,5,3,4,1550,7.5,2.5,0
0,2,21,2,0,3,5,1500,5.5,6.8,0
1,2,26,1,5,3,4,1570,6.5,6.5,0
0,2,2,1,5,3,4,1590,7.5,3.5,0
0,2,2,2,0,3,4,1570,8.5,4.5,2
1,0,2,2,5,3,4,1540,8.5,4.7,2
0,3,15,2,5,4,4,1420,6.5,7.5,2
0,4,2,1,5,3,12,1380,7.5,6.5,2
0,2,2,1,4,3,3,1560,6.5,2.5,2
0,2,3,1,1,3,0,1500,6.5,6.5,2
1,2,2,2,5,0,5,1460,6.5,4.2,2
1,2,3,1,5,0,0,1430,5.5,2.5,2
1,2,2,1,5,3,4,1440,7.5,4.5,2
1,2,14,2,5,3,4,1550,6.5,6.5,2
0,3,2,2,5,4,1,1080,1.5,6.2,2
1,7,2,2,5,3,4,1530,6.5,4.2,2
1,2,24,2,5,3,0,1550,7.5,4.5,2
1,3,8,2,5,4,5,1000,5.5,6.5,2
1,2,24,2,5,3,4,1480,8.2,5.5,2
1,7,19,2,5,3,0,1560,7.5,6.8,2
0,2,16,2,3,0,5,1530,6.5,4.2,2
1,2,21,2,5,3,2,1550,6.5,2.5,2
1,7,5,3,5,3,4,1540,3.5,4.5,2
1,2,2,1,4,3,4,1550,7.5,6.5,2
1,2,0,0,5,3,2,1570,8.5,4.5,2
1,2,19,1,5,3,4,1570,6.5,6.2,2
0,2,24,1,5,1,15,1590,3.5,5.2,2
1,2,3,1,5,0,0,1430,5.5,2.5,2
1,2,24,1,5,3,4,1530,6.5,4.2,2
1,7,12,1,4,2,2,1490,6.5,8.2,2
0,2,14,1,5,3,4,1560,6.5,4.2,2
0,2,2,1,5,3,4,1560,6.5,4.7,2
1,7,2,2,0,1,2,1560,5.5,1.5,2
1,7,2,1,5,3,2,1520,6.5,6.5,2
1,7,12,1,5,3,0,1450,7.5,6.5,2
1,3,0,1,5,4,1,1520,6.5,3.5,2
0,2,20,3,5,3,4,1570,6.5,4.2,2
1,7,14,2,5,3,4,1520,6.5,7.2,2
1,2,21,2,0,3,5,1540,6.5,4.5,2
1,2,12,1,4,3,4,1510,6.5,6.8,2
1,7,2,1,5,4,4,1530,7.5,4.5,2
1,2,26,2,5,3,4,1560,5.0,4.2,2
1,3,8,2,4,3,4,1520,5.5,3.5,2
0,2,7,1,4,3,1,1590,8.5,6.8,2
1,2,9,2,5,3,0,1400,6.5,2.5,2
1,2,2,2,4,3,1,1550,6.5,2.5,2
1,2,2,3,5,3,5,1520,5.0,6.8,2
0,7,0,1,4,1,4,1560,6.5,4.2,2
1,7,2,2,0,3,0,1580,5.5,6.5,2
1,7,0,1,5,3,4,1550,4.5,6.5,2
1,2,26,2,5,3,5,1540,3.5,2.5,2
1,2,12,1,5,1,5,1570,6.5,4.5,2
0,2,0,2,0,3,0,1580,6.5,7.5,2
1,7,24,2,5,3,5,1490,6.5,7.5,2
0,4,19,2,5,0,2,1450,4.5,2.5,2
0,2,21,1,4,3,4,1540,7.5,7.5,2
1,7,28,2,0,3,4,1510,5.5,4.0,2
1,2,12,2,0,1,5,1520,6.5,1.0,2
0,2,12,1,4,3,1,1550,5.5,7.6,2
1,2,2,1,5,3,4,1500,6.5,8.2,2
0,2,7,1,0,3,15,1520,3.0,4.5,2
1,7,28,0,5,3,4,1530,6.5,6.5,2
0,6,29,2,0,4,0,1420,6.5,2.5,2
1,7,5,2,5,3,2,1450,5.5,6.3,2
0,7,2,2,0,3,1,1510,7.0,5.0,2
0,7,22,2,5,3,5,1410,7.5,4.5,2
1,2,2,1,5,3,4,1500,6.5,7.8,2
1,7,3,2,0,3,4,1540,6.5,6.5,2
1,7,0,2,5,3,8,1540,5.5,6.1,2
0,2,3,2,5,3,0,1550,6.5,4.5,2
1,7,3,0,5,3,3,1540,7.5,7.5,2
0,2,25,2,5,3,6,1480,3.0,4.5,2
0,2,9,2,0,0,4,1590,8.5,3.5,2
1,7,12,0,0,3,4,1550,0.0,4.5,2
0,7,8,2,5,3,5,1530,7.5,6.5,2
1,2,2,3,5,3,3,1550,6.0,2.5,2
1,7,21,2,5,3,4,1500,8.5,7.5,2
1,3,24,2,5,3,5,1350,6.5,8.5,2
1,7,0,1,0,3,5,1430,5.0,6.5,2
0,2,13,2,5,3,5,1570,7.5,6.5,2
0,2,21,2,5,3,4,1560,7.5,4.5,2
0,7,19,1,5,3,4,1510,5.5,2.5,2
0,7,15,2,5,3,4,1450,5.0,2.5,2
1,2,2,2,0,3,11,1580,6.0,5.2,2
1,2,14,2,5,1,4,1310,4.5,4.5,2
1,7,7,2,4,1,4,1580,8.5,2.5,2
1,2,3,2,5,3,4,1450,4.5,6.2,2
0,2,22,1,5,1,4,1510,5.0,6.5,2
1,7,28,2,4,3,4,1540,7.5,6.2,2
1,7,2,2,0,4,7,1580,5.5,8.5,2
1,2,2,2,5,3,16,1580,3.0,4.8,2
0,4,2,2,5,4,5,1530,3.0,6.5,2
0,2,7,2,5,3,16,1500,7.5,4.2,2
1,7,2,0,5,3,4,1490,3.5,2.5,2
1,7,12,2,5,1,4,1520,1.0,7.3,2
1,2,2,2,0,3,12,1560,6.5,0.0,2
1,2,9,1,0,3,0,1490,7.5,7.5,2
1,2,2,2,0,3,4,1500,7.5,6.5,2
1,2,2,2,5,3,5,1570,6.5,6.5,2
1,7,21,2,5,3,3,1570,5.5,4.5,2
1,7,2,2,0,1,4,1410,6.5,2.5,2
1,2,3,3,5,1,0,1520,5.5,2.5,2
1,2,2,2,5,1,5,1390,3.5,2.5,2
3,2,2,1,5,3,0,1580,8.5,4.5,2
1,2,6,2,0,3,1,1560,8.5,7.5,2
0,2,3,2,5,0,4,1550,5.0,6.5,2
0,7,5,2,5,0,5,1430,7.0,4.5,2
0,2,2,2,0,3,2,1400,7.5,4.8,2
1,2,3,2,5,3,1,1570,7.5,6.5,2
1,7,12,1,5,3,5,1540,6.5,6.5,2
0,2,2,3,5,3,1,1560,7.5,2.5,2
0,2,2,0,5,3,1,1520,7.5,7.5,2
1,2,9,0,4,3,4,1540,5.5,3.5,2
0,2,3,1,5,3,4,1390,7.5,7.5,2
0,2,0,2,5,1,4,1570,6.5,2.5,2
1,4,11,2,4,3,5,1540,6.5,6.5,2
0,7,5,2,3,1,13,1420,5.5,4.5,2
1,2,10,1,4,3,5,1520,7.5,4.5,2
1,2,2,2,5,3,4,1550,8.5,6.8,2
2,7,5,2,0,1,6,1250,4.0,4.5,2
0,7,10,0,4,3,4,1500,-1.0,4.5,2
0,2,2,3,5,3,1,1560,7.5,3.7,2
0,7,10,0,4,3,4,1500,-1.0,4.5,2
1,2,2,1,5,3,4,1560,4.5,6.8,2
1,0,2,0,5,3,4,1520,3.5,2.5,2
0,2,18,2,5,3,4,1560,8.5,6.5,2
1,2,3,2,0,0,4,1510,5.0,4.3,2
0,3,19,2,5,4,14,1430,5.0,4.2,2
0,2,5,2,5,3,5,1560,6.5,6.3,2
1,2,0,1,5,0,4,1440,2.0,6.5,2
1,2,28,2,4,3,4,1560,8.5,8.7,2
0,2,0,2,4,3,1,1530,7.5,6.5,2
0,2,2,2,0,3,4,1500,5.5,2.5,2
3,2,2,0,5,3,4,1520,6.5,8.2,2
