Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
0,6,12,0,0,3,16,1430,2.0,8.0,0
0,3,15,0,6,4,4,1420,6.5,7.5,0
0,2,18,1,6,3,9,1590,6.5,8.1,0
1,3,4,1,6,4,15,1370,6.5,3.5,0
1,2,4,0,0,0,2,1530,2.5,3.5,0
1,6,5,0,6,3,1,1390,5.0,4.5,0
0,4,23,0,6,4,0,1430,3.5,6.5,0
1,6,14,0,6,4,4,1450,2.5,4.2,0
1,6,11,1,0,1,4,1580,7.5,7.5,0
1,6,12,1,5,2,2,1490,6.5,8.2,0
0,2,14,1,6,3,4,1560,6.5,4.2,0
1,3,6,2,6,4,4,1520,6.5,6.5,0
1,2,2,0,1,3,4,1600,8.5,7.5,0
1,2,3,0,6,3,14,1560,7.5,6.5,0
0,2,0,0,5,3,4,1560,5.5,3.7,0
1,2,18,0,6,3,1,1570,8.5,2.5,0
1,6,3,1,6,4,4,1530,7.5,4.5,0
1,2,25,0,6,3,4,1560,5.0,4.2,0
1,2,26,2,7,3,1,1570,8.5,7.5,0
0,2,23,0,6,0,1,1370,6.5,4.5,0
0,6,3,0,0,3,1,1510,7.0,5.0,0
1,4,22,1,6,3,15,1480,6.5,6.8,0
1,3,0,2,0,4,4,1510,7.5,2.5,0
0,4,6,0,7,0,13,1330,6.5,4.2,0
4,2,6,1,6,4,15,1580,7.5,8.5,0
1,3,18,0,5,3,1,1410,3.5,2.5,0
1,2,3,0,6,3,8,1500,6.5,6.5,0
0,6,18,2,5,3,4,1470,6.5,6.2,0
0,2,3,0,5,4,6,1510,8.5,6.5,0
1,4,25,1,0,4,1,1440,7.5,8.7,0
0,2,3,0,6,3,11,1570,6.5,6.5,0
4,6,5,1,5,3,4,1570,1.0,6.2,0
0,6,4,2,5,1,6,1530,6.5,6.5,0
0,5,25,2,5,3,14,1530,5.0,4.5,0
1,6,18,0,6,1,4,1490,1.0,6.5,0
1,2,23,0,6,3,0,1550,6.5,7.5,0
1,3,0,0,0,3,1,1420,7.5,0.0,0
0,2,26,1,0,3,6,1530,6.5,6.5,0
1,6,3,1,5,3,4,1550,8.5,2.5,0
0,2,0,0,0,0,2,1540,6.5,1.5,0
0,0,4,1,6,4,3,1500,6.5,3.7,0
