Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
1,4,9,0,0,4,3,1580,5.5,1.5,0
1,4,9,0,6,1,3,1530,7.5,2.5,0
1,1,0,0,6,3,3,1590,7.5,8.7,0
1,1,2,1,6,3,3,1440,7.5,4.5,0
1,1,20,0,6,3,2,1550,6.5,2.5,0
1,1,18,1,6,3,3,1570,6.5,6.2,0
0,2,2,0,6,4,8,1480,6.5,7.2,0
1,4,9,0,0,4,3,1580,6.5,6.5,0
1,2,6,2,6,4,3,1520,6.5,6.5,0
0,1,2,1,6,3,3,1560,6.5,4.7,0
1,4,9,0,6,1,3,1530,7.5,2.5,0
1,1,12,0,0,3,5,1430,6.5,1.0,0
0,4,2,2,6,3,3,1570,8.5,4.7,0
1,1,21,1,5,3,3,1560,7.5,4.5,0
0,3,5,0,6,4,3,1550,7.5,4.5,0
0,1,21,1,6,3,3,1570,6.5,4.5,0
1,1,21,0,6,3,3,1510,7.5,6.5,0
1,1,2,2,6,3,5,1520,5.0,6.8,0
0,1,3,1,6,3,5,1500,6.5,4.2,0
1,1,20,0,6,3,5,1500,7.0,4.5,0
1,1,12,1,6,1,5,1570,6.5,4.5,0
1,1,12,0,6,1,3,1530,6.5,4.2,0
1,1,22,1,6,3,5,1550,4.0,2.5,0
1,4,0,1,5,1,3,1560,6.5,7.0,0
1,1,7,2,0,3,0,1570,3.5,3.5,0
1,1,14,0,0,0,3,1310,5.5,2.5,0
1,1,6,1,6,3,3,1550,6.5,6.5,0
1,1,14,0,6,0,3,1550,7.5,7.2,0
1,2,6,1,6,4,3,1530,3.5,7.8,0
1,1,2,1,6,3,3,1500,6.5,8.2,0
0,0,2,1,0,3,7,1560,6.5,8.5,0
0,3,5,0,6,4,3,1540,5.5,8.7,0
1,2,2,0,6,4,3,1490,8.5,4.5,0
4,1,6,1,6,4,10,1580,7.5,8.5,0
1,1,0,0,6,3,5,1520,7.5,4.2,0
0,2,6,2,6,4,3,1500,7.5,4.5,0
1,1,20,0,6,3,5,1590,8.5,4.5,0
0,2,6,1,6,4,3,1400,7.5,4.5,0
0,1,21,0,6,1,5,1550,7.5,4.5,0
1,4,0,0,0,3,3,1590,5.5,3.5,0
0,4,8,0,6,3,5,1530,7.5,6.5,0
1,1,9,0,5,3,3,1520,6.5,4.5,0
0,1,13,0,6,3,5,1570,7.5,6.5,0
1,4,22,1,6,3,3,1590,6.5,3.5,0
1,1,14,0,6,0,3,1550,7.5,7.2,0
1,1,23,0,0,3,3,1560,8.5,6.5,0
1,4,0,1,5,1,3,1560,6.5,7.0,0
1,1,2,2,6,3,3,1580,6.5,4.2,0
1,1,0,1,5,1,3,1560,6.5,7.1,0
0,1,23,2,6,3,5,1560,6.5,6.5,0
3,0,2,0,5,3,3,1520,6.5,2.5,0
1,4,18,0,6,1,3,1490,1.0,6.5,0
1,4,9,0,5,3,0,1560,6.5,3.5,0
0,4,24,1,6,3,3,1550,6.5,7.5,0
1,4,0,1,6,1,3,1560,7.5,6.8,0
1,1,22,0,0,3,3,1560,6.5,4.5,0
1,4,5,0,6,4,3,1480,6.5,2.5,0
1,1,8,0,6,3,3,1550,6.5,4.5,0
1,4,2,0,0,1,3,1410,6.5,2.5,0
1,1,14,2,5,3,3,1530,6.5,2.5,0
1,3,5,0,6,4,3,1590,7.5,2.5,0
1,1,23,0,0,1,3,1550,5.5,2.5,0
0,1,3,0,6,0,3,1550,5.0,6.5,0
1,1,3,1,6,3,3,1590,8.5,4.2,0
1,1,7,1,5,3,5,1550,6.5,4.5,0
1,3,3,1,6,3,5,1530,6.5,2.5,0
0,1,3,1,6,3,3,1390,7.5,7.5,0
1,1,6,0,6,3,3,1570,6.5,8.5,0
1,1,2,0,0,3,3,1540,6.5,1.0,0
0,1,25,2,6,3,3,1540,6.5,6.5,0
1,1,11,0,6,0,3,1410,1.0,4.5,0
1,1,4,0,5,3,0,1520,7.5,4.5,0
1,1,18,0,6,3,3,1370,7.5,2.5,0
0,1,20,0,6,3,3,1520,7.5,7.8,0
1,2,10,1,5,3,3,1580,8.5,4.5,0
0,1,2,0,0,3,3,1500,5.5,2.5,0
1,1,4,0,5,3,0,1520,7.5,6.5,0
1,1,2,0,6,3,3,1590,6.5,2.5,0
1,2,3,1,4,4,3,1490,6.5,6.5,0
1,1,2,0,0,3,3,1530,7.5,1.5,0
0,1,2,0,1,3,5,1550,6.5,4.5,0
1,1,21,0,6,3,3,1580,7.5,7.5,0
1,1,2,1,6,3,3,1590,6.5,2.5,0
1,1,20,1,6,3,5,1550,3.5,1.0,0
1,1,22,0,6,3,0,1560,8.5,6.5,0
0,2,6,1,0,4,0,1410,7.5,2.5,0
1,1,9,0,0,3,3,1600,8.5,0.0,0
0,2,6,0,6,4,6,1260,3.5,8.5,0
1,1,2,1,6,3,3,1540,8.5,7.5,0
0,2,6,0,6,3,1,1550,5.5,7.8,0
1,1,25,0,5,3,0,1550,6.5,2.5,0
1,4,3,0,6,4,5,1500,6.5,6.7,0
1,4,12,2,6,3,3,1500,3.5,2.5,0
1,1,2,0,0,3,5,1520,6.5,8.5,0
0,4,2,1,6,3,5,1570,6.5,4.5,0
1,4,12,0,5,3,5,1550,5.0,6.8,0
0,1,2,1,0,3,5,1580,8.5,7.5,0
4,1,6,0,6,2,5,1570,6.5,7.5,0
1,1,2,0,5,3,3,1600,7.5,6.5,0
1,2,6,0,6,4,3,1460,5.5,6.5,0
1,4,6,1,6,3,0,1520,2.5,4.2,0
0,2,8,1,6,4,3,1520,6.5,4.5,0
1,1,14,2,6,3,3,1550,7.5,6.5,0
1,2,1,2,6,4,3,1510,1.0,6.5,0
0,1,6,0,6,3,0,1570,7.5,4.5,0
1,1,0,2,0,3,5,1420,6.0,8.6,0
0,1,0,0,6,3,3,1540,7.5,2.5,0
1,0,2,0,6,3,3,1570,8.5,6.5,0
1,0,2,0,6,3,3,1570,8.5,6.8,0
0,1,0,1,6,3,3,1550,4.5,7.5,0
1,1,0,1,6,3,3,1560,7.5,2.5,0
1,4,8,0,6,3,5,1550,7.5,6.5,0
1,1,14,2,6,3,3,1550,7.5,6.5,0
1,2,6,0,6,4,3,1480,1.0,4.2,0
1,4,18,0,6,3,0,1560,6.5,7.5,0
1,1,20,1,6,3,3,1570,4.8,5.1,0
1,1,16,0,6,3,3,1550,7.5,6.5,0
1,1,22,0,0,3,3,1550,6.5,9.5,0
1,1,0,1,6,3,11,1580,4.5,7.8,0
1,1,7,0,0,3,5,1560,7.5,0.0,0
1,1,23,2,6,3,3,1550,8.5,6.5,0
1,1,0,0,0,3,0,1510,5.5,7.5,0
1,4,0,0,6,3,3,1590,8.5,1.5,0
1,4,3,0,6,3,3,1530,7.5,3.7,0
0,1,8,0,0,3,3,1580,7.5,4.5,0
0,0,0,0,6,3,3,1570,7.5,8.1,0
0,1,2,1,6,3,3,1550,6.5,4.7,0
0,1,22,0,6,3,5,1480,6.5,4.5,0
1,1,5,1,6,3,3,1560,8.5,8.5,0
1,1,6,2,6,3,0,1580,6.5,6.3,2
1,1,20,1,6,3,1,1410,5.5,7.5,2
1,1,0,2,6,3,3,1330,2.5,5.7,2
0,4,20,0,7,0,4,1410,2.0,4.5,2
1,1,2,1,6,3,3,1440,7.5,4.5,2
1,1,22,0,6,3,0,1550,7.5,4.5,2
1,1,0,0,6,3,3,1560,5.5,4.5,2
1,4,22,0,6,3,3,1490,8.5,8.5,2
0,1,2,0,6,3,2,1550,5.5,4.2,2
