Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
0,2,13,1,5,3,12,1580,7.5,7.5,0
1,2,21,0,5,0,4,1530,3.5,3.7,0
1,3,21,0,5,4,0,1450,6.5,4.2,0
1,6,15,0,5,4,4,1450,2.5,4.2,0
1,6,12,1,0,1,4,1580,7.5,7.5,0
1,2,21,0,5,0,4,1530,3.5,7.2,0
1,2,23,1,5,3,2,1560,7.5,7.8,0
1,2,23,1,5,0,5,1530,7.5,2.5,0
1,2,3,0,5,3,14,1560,7.5,6.5,0
0,6,16,1,4,3,7,1540,6.5,6.2,0
0,4,6,0,5,4,4,1550,7.5,4.5,0
1,3,25,0,5,4,1,1480,6.5,8.7,0
1,3,4,0,0,2,8,1530,8.5,9.5,0
1,2,15,0,5,0,4,1550,7.5,7.2,0
4,2,7,1,5,4,15,1580,7.5,8.5,0
0,2,23,0,5,3,4,1520,6.5,4.5,0
0,6,4,0,5,3,4,1520,3.5,7.5,0
0,2,25,0,5,3,18,1420,7.5,6.8,0
0,2,21,0,5,3,1,1570,6.5,4.5,0
0,0,0,0,0,4,4,1500,6.5,1.0,0
0,3,25,0,3,4,5,1510,7.5,7.5,0
1,2,26,0,5,3,4,1540,6.5,4.5,0
0,3,3,0,5,4,5,1490,7.5,4.7,0
1,2,18,0,0,3,0,1530,7.5,8.5,0
1,2,25,0,5,3,5,1570,6.5,7.8,0
2,2,3,0,5,3,4,1590,3.5,6.2,0
1,3,0,0,0,3,1,1420,7.5,0.0,0
1,6,4,1,4,3,0,1440,4.5,7.5,0
0,3,23,2,5,4,0,1470,7.5,2.5,0
1,2,23,0,4,3,19,1360,6.5,2.5,0
1,2,1,0,0,3,11,1590,8.5,4.2,0
1,4,4,0,4,4,1,1590,6.5,6.5,0
0,4,23,2,5,4,1,1560,7.5,8.2,0
1,2,4,1,5,3,4,1590,8.5,4.2,0
1,4,19,1,5,4,17,1550,8.5,4.7,0
0,2,7,0,5,0,14,1420,6.5,7.5,0
1,3,19,0,5,4,4,1410,6.5,8.5,0
1,2,3,1,5,3,4,1550,8.5,3.5,0
1,2,23,1,5,1,4,1490,6.5,6.5,0
1,6,1,0,5,0,17,1540,7.5,7.5,0
0,3,7,1,0,4,0,1410,7.5,2.5,0
0,2,0,0,5,3,4,1560,7.5,4.7,0
0,6,0,0,5,3,8,1400,5.0,9.2,0
0,0,4,0,4,3,7,1570,8.5,4.5,0
0,3,3,1,4,4,15,1550,6.5,7.8,0
1,2,0,2,4,3,6,1570,8.5,7.5,0
1,3,15,0,4,4,4,1550,7.5,6.8,0
1,6,25,1,5,3,14,1600,7.5,6.2,0
0,2,3,1,0,3,5,1580,8.5,7.5,0
1,2,24,0,4,1,4,1490,7.0,2.5,0
2,3,3,0,4,0,1,1230,8.5,2.5,0
0,2,3,1,5,4,0,1580,8.5,9.5,0
1,2,6,0,4,3,4,1590,9.5,6.5,0
2,3,21,0,4,1,14,1530,6.5,4.5,0
0,2,0,1,5,3,4,1550,4.5,7.5,0
1,3,21,2,5,4,15,1530,7.5,4.5,0
1,6,3,0,0,3,4,1590,7.5,6.5,0
1,2,3,1,5,3,4,1580,8.5,2.5,0
0,2,15,1,5,0,5,1500,6.5,3.7,0
1,6,0,0,5,3,4,1590,8.5,1.5,0
1,2,3,0,5,3,1,1550,6.5,7.8,0
1,6,25,2,5,3,1,1540,7.5,9.2,0
1,2,3,0,5,1,4,1580,8.5,2.5,0
1,6,19,0,4,1,4,1510,8.5,4.5,0
0,0,0,0,5,3,4,1570,7.5,8.1,0
1,0,3,0,4,1,4,1340,8.5,4.5,0
0,2,23,0,5,3,5,1480,6.5,4.5,0
0,0,3,0,5,4,5,1280,2.0,4.5,2
0,3,6,0,5,4,7,1500,7.5,4.7,2
1,3,22,0,4,4,1,1520,5.5,4.5,2
1,2,7,1,0,3,4,1480,5.0,4.5,2
0,2,3,1,5,3,1,1430,5.5,4.2,2
0,2,3,0,0,3,4,1570,8.5,4.5,2
0,3,10,0,4,3,4,1420,6.5,7.5,2
1,2,21,1,5,3,1,1410,5.5,7.5,2
0,2,19,1,5,3,7,1590,6.5,8.1,2
0,2,19,0,5,3,4,1600,6.5,7.5,2
1,6,11,0,4,0,4,1540,6.5,7.2,2
1,6,3,1,5,3,0,1470,6.5,7.5,2
1,3,7,1,5,4,2,1380,2.5,5.5,2
0,2,3,1,4,3,3,1560,6.5,2.5,2
1,3,21,0,5,4,0,1450,6.5,4.2,2
0,6,23,0,5,4,4,1420,5.5,4.5,2
1,2,3,1,5,3,4,1580,8.5,4.5,2
1,2,13,1,5,3,4,1560,6.5,6.5,2
1,2,4,1,5,0,0,1430,5.5,2.5,2
