Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
0,3,1,1,3,2,5,1380,7.5,6.5,0
0,3,3,0,3,3,2,1550,7.5,4.5,0
1,1,11,0,3,2,3,1500,7.0,4.5,0
1,3,14,1,0,3,1,1440,7.5,8.7,0
0,4,4,0,2,2,2,1470,7.5,4.2,0
1,4,3,0,3,3,2,1480,6.5,2.5,0
0,4,4,0,2,2,2,1470,7.5,2.5,0
1,1,1,1,3,2,2,1560,5.5,6.5,0
0,2,2,2,3,3,5,1530,7.5,3.7,0
1,1,13,0,0,2,1,1560,7.5,0.0,0
1,1,8,2,3,2,2,1550,7.5,6.5,0
3,0,10,0,2,2,0,1560,2.0,0.0,0
0,1,13,0,3,2,3,1480,6.5,4.5,0
1,4,4,0,0,3,2,1580,5.5,1.5,2
0,1,1,1,3,2,1,1430,5.5,4.2,2
1,4,1,0,3,2,2,1530,6.5,4.2,2
1,1,1,0,0,2,2,1570,6.5,2.5,2
1,1,0,0,3,2,2,1520,8.5,4.5,2
1,4,4,0,0,3,2,1580,6.5,6.5,2
1,4,13,0,3,2,2,1490,8.5,8.5,2
1,4,11,2,3,2,2,1520,5.5,0.0,2
1,4,0,0,1,2,2,1580,5.5,2.5,2
1,1,1,1,3,2,2,1530,4.5,6.2,2
1,4,0,1,3,2,2,1550,4.5,6.5,2
1,1,6,0,0,1,3,1520,6.5,1.0,2
1,4,16,1,3,2,2,1560,3.5,4.5,2
1,4,1,0,2,1,2,1580,7.5,8.2,2
1,1,1,0,3,2,3,1570,6.5,6.5,2
2,0,0,0,0,0,0,1510,-1.0,4.5,2
1,1,8,0,2,2,2,1530,8.5,4.5,2
1,1,1,0,3,2,2,1440,6.5,6.5,2
1,1,1,1,3,2,2,1490,7.5,7.8,2
0,1,1,0,3,2,3,1530,6.5,6.5,2
1,4,1,0,0,2,2,1530,6.5,1.0,2
0,1,13,0,3,2,0,1390,7.5,2.5,2
3,1,13,0,3,2,3,1560,5.0,2.5,2
1,4,13,1,3,1,0,1570,6.5,7.5,2
1,4,9,0,2,2,3,1440,4.5,2.5,2
1,1,1,0,3,2,2,1530,6.5,6.2,2
0,1,5,0,3,0,2,1560,6.0,4.5,2
0,4,14,1,0,2,2,1600,8.5,4.5,2
1,1,1,0,3,2,2,1550,3.0,3.5,2
1,1,7,0,3,2,2,1540,6.5,4.5,2
0,4,15,0,3,1,2,1590,4.5,7.2,1
1,1,12,1,2,2,2,1560,7.5,4.5,1
0,0,1,1,0,2,4,1560,6.5,8.5,1
4,4,12,0,3,0,2,1550,5.0,4.5,1
1,1,1,2,3,2,2,1580,6.5,4.2,1
0,1,11,1,3,2,2,1570,5.5,4.7,1
0,4,15,1,3,2,2,1550,6.5,7.5,1
2,1,11,1,1,2,2,1540,2.5,4.5,1
1,3,1,0,3,3,0,1500,7.5,7.2,1
0,1,1,1,3,2,3,1570,5.5,2.5,1
1,0,1,0,3,2,2,1570,8.5,6.5,1
1,0,1,0,3,2,2,1570,8.5,6.8,1
1,1,13,0,0,2,2,1550,6.5,9.5,1
