Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
0,5,2,0,6,3,4,1490,7.5,4.5,0
0,3,9,0,5,3,4,1420,6.5,7.5,0
1,2,19,0,6,0,4,1530,3.5,3.7,0
1,2,2,0,6,0,5,1460,6.5,4.2,0
1,2,4,0,6,0,3,1570,3.5,6.2,0
1,5,14,0,6,4,4,1450,2.5,4.2,0
1,3,22,0,6,4,13,1470,6.5,2.5,0
1,2,9,1,5,3,4,1540,8.5,7.3,0
1,2,19,0,6,0,4,1530,3.5,7.2,0
1,2,2,0,6,1,5,1540,6.5,4.7,0
1,2,22,1,6,0,5,1530,7.5,2.5,0
0,4,5,0,6,4,4,1550,7.5,4.5,0
1,2,25,2,7,3,1,1570,8.5,7.5,0
0,5,3,1,6,1,5,1430,6.5,6.5,0
0,5,5,0,5,4,1,1510,5.5,4.7,0
1,2,19,0,6,3,5,1500,7.0,4.5,0
0,5,22,0,6,3,13,1300,6.5,7.5,0
0,3,14,0,0,4,0,1510,7.5,0.0,0
1,5,22,0,6,3,5,1490,6.5,7.5,0
1,2,14,0,6,0,4,1550,7.5,7.2,0
0,2,2,0,6,3,10,1310,6.5,8.5,0
0,4,5,0,6,4,4,1540,5.5,8.7,0
1,3,17,0,5,3,1,1410,3.5,2.5,0
0,3,23,0,4,4,5,1510,7.5,7.5,0
0,5,3,2,5,1,5,1530,6.5,6.5,0
1,5,25,2,6,3,0,1560,3.5,4.5,0
1,2,2,0,6,3,16,1580,3.0,4.8,0
1,5,17,0,6,3,8,1600,7.5,8.7,0
1,5,0,1,6,1,4,1560,7.5,6.8,0
0,3,22,2,6,4,0,1470,7.5,2.5,0
0,2,0,0,0,0,2,1540,6.5,1.5,0
1,5,17,1,6,3,14,1560,6.5,6.5,0
1,2,2,0,6,1,2,1590,6.5,4.5,0
0,3,3,2,6,4,12,1530,7.5,3.7,0
1,5,2,0,5,3,4,1550,7.5,4.5,0
1,2,2,0,6,1,2,1590,6.5,6.5,0
1,3,23,1,5,4,8,1520,5.5,7.5,0
0,4,19,1,6,4,7,1420,6.5,8.5,0
0,3,6,1,0,4,0,1410,7.5,2.5,0
1,4,22,0,0,0,4,1320,2.0,7.2,0
0,2,14,0,6,3,4,1550,6.5,6.3,0
1,5,12,0,5,3,5,1550,5.0,6.8,0
4,2,6,0,6,2,5,1570,6.5,7.5,0
2,3,2,0,5,0,1,1230,8.5,2.5,0
0,2,2,1,0,3,14,1540,2.5,7.5,0
0,2,19,0,6,3,4,1530,3.5,6.5,0
1,3,17,0,6,3,4,1560,8.5,2.5,0
1,4,22,0,0,0,0,1320,2.0,6.5,0
1,4,17,0,6,4,5,1380,6.5,8.3,0
1,4,17,0,6,4,5,1380,6.5,8.3,0
0,2,3,0,1,3,4,1580,7.5,6.5,0
1,2,0,1,5,3,4,1560,5.5,6.5,0
1,3,9,0,5,3,4,1280,6.5,6.8,0
0,0,0,0,6,3,4,1570,7.5,8.1,0
1,3,20,0,5,4,1,1520,5.5,4.5,2
0,2,2,1,6,3,1,1430,5.5,4.2,2
1,2,4,0,6,0,3,1570,3.5,6.5,2
0,3,9,0,5,3,4,1420,6.5,7.5,2
0,2,17,0,6,3,4,1600,6.5,7.5,2
0,2,3,1,1,3,0,1500,6.5,6.5,2
1,2,4,0,6,3,1,1440,8.5,8.2,2
0,3,2,0,6,4,1,1080,1.5,6.2,2
1,3,20,0,5,4,1,1520,5.5,4.5,2
0,2,22,1,6,1,15,1590,3.5,5.2,2
1,3,22,0,6,4,13,1470,6.5,2.5,2
1,2,9,1,5,3,4,1540,8.5,7.3,2
1,5,12,1,6,3,0,1450,7.5,6.5,2
1,2,5,1,6,0,9,1440,6.5,3.7,2
0,2,18,2,6,3,4,1570,6.5,4.2,2
1,2,2,0,6,2,5,1550,5.5,3.7,2
1,2,17,0,6,3,1,1570,8.5,2.5,2
1,2,9,0,6,3,0,1400,6.5,2.5,2
1,2,20,0,6,3,0,1570,5.5,4.5,2
1,2,22,2,6,3,4,1550,5.5,2.5,2
0,2,19,1,6,3,4,1440,6.5,6.5,2
1,2,12,0,6,1,4,1530,6.5,4.2,2
1,2,21,2,2,3,4,1560,6.5,6.5,2
0,5,14,1,6,3,4,1310,8.5,3.5,2
0,2,8,0,0,4,5,1510,3.5,0.0,2
1,5,25,0,0,3,4,1510,5.5,4.0,2
1,1,10,0,5,0,6,1320,6.5,4.2,2
1,5,2,0,6,1,5,1550,7.5,6.8,2
0,2,17,0,6,0,7,1520,6.0,4.5,2
1,4,21,1,6,3,14,1480,6.5,6.8,2
4,2,6,1,6,4,14,1580,7.5,8.5,2
1,2,19,0,6,3,1,1590,8.5,8.5,2
1,2,23,0,2,3,4,1560,7.5,6.5,2
1,5,19,0,6,3,4,1500,8.5,7.5,2
0,2,13,0,6,3,5,1570,7.5,6.5,2
0,2,19,0,6,3,4,1560,7.5,4.5,2
0,2,2,0,5,4,5,1510,8.5,6.5,2
1,2,2,0,0,3,11,1580,6.0,5.2,2
0,2,2,1,6,3,4,1530,6.5,4.1,2
1,2,2,0,6,0,1,1550,6.5,8.0,2
1,5,2,1,5,1,0,1510,6.5,7.5,2
0,5,14,1,6,3,4,1310,8.5,3.5,2
0,5,14,0,0,3,6,1420,5.0,2.5,2
1,2,2,0,6,0,9,1490,6.5,2.5,2
1,2,3,2,6,1,0,1520,5.5,2.5,2
0,5,20,0,6,0,4,1470,6.5,0.0,2
0,5,5,0,6,0,5,1430,7.0,4.5,2
1,5,12,1,6,3,5,1540,6.5,6.5,2
