Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
0,5,19,2,6,3,4,1550,8.5,8.0,0
0,2,24,3,6,4,6,1520,3.0,2.5,0
4,1,2,2,6,3,4,1560,6.5,7.2,0
1,5,2,2,6,3,1,1540,7.5,7.3,0
0,5,2,2,6,3,4,1490,7.5,4.5,0
1,1,21,1,6,3,1,1410,5.5,7.5,0
1,1,21,2,6,0,4,1530,3.5,3.7,0
1,2,21,2,6,4,0,1450,6.5,4.2,0
1,1,3,2,0,0,2,1530,2.5,3.5,0
1,5,26,2,6,4,4,1460,5.0,4.5,0
1,1,24,1,6,3,4,1530,6.5,4.2,0
0,3,24,2,1,4,10,1400,5.0,1.5,0
1,1,21,2,6,0,4,1530,3.5,7.2,0
1,1,24,1,6,0,6,1530,7.5,2.5,0
0,1,2,2,6,3,1,1460,4.5,6.5,0
0,5,16,1,5,3,8,1540,6.5,6.2,0
0,3,5,2,6,4,4,1550,7.5,4.5,0
1,2,26,2,6,4,1,1480,6.5,8.7,0
0,1,21,3,6,3,4,1530,5.5,8.2,0
0,3,0,1,6,4,4,1450,1.5,3.5,0
0,5,5,2,5,4,1,1510,5.5,4.7,0
0,1,3,1,6,3,6,1500,6.5,4.2,0
1,1,21,2,6,3,6,1500,7.0,4.5,0
1,5,24,2,4,4,4,1570,4.5,4.5,0
2,5,2,1,6,3,4,1600,7.5,8.5,0
0,2,14,2,6,4,4,1450,7.5,2.5,0
0,1,2,2,6,3,1,1540,6.5,7.6,0
1,5,3,2,0,3,3,1560,7.5,2.5,0
0,1,14,3,5,3,1,1580,4.5,8.5,0
1,1,14,2,6,0,4,1550,7.5,7.2,0
1,2,6,1,6,4,4,1530,3.5,7.8,0
0,3,0,2,6,4,0,1300,5.0,6.8,0
2,5,9,2,6,3,15,1460,6.5,7.2,0
0,1,24,2,6,3,4,1520,6.5,4.5,0
0,1,21,1,6,3,4,1550,5.5,4.5,0
0,0,0,2,0,4,4,1500,6.5,1.0,0
0,1,19,2,4,0,12,1570,7.5,8.5,0
1,1,14,2,6,1,4,1310,4.5,4.5,0
1,3,26,1,0,4,1,1440,7.5,8.7,0
0,1,2,2,1,3,4,1540,5.5,3.5,0
1,5,28,0,6,3,0,1560,3.5,4.5,0
0,3,5,2,6,4,3,1380,3.5,3.5,0
0,5,28,2,0,3,4,1520,4.0,6.5,0
2,1,2,2,6,3,4,1590,3.5,6.2,0
1,2,0,2,0,3,1,1420,7.5,0.0,0
0,1,28,1,0,3,6,1530,6.5,6.5,0
0,2,24,3,6,4,0,1470,7.5,2.5,0
0,1,2,2,6,0,1,1550,6.5,8.5,0
1,1,0,2,0,3,4,1590,7.5,7.5,0
1,1,1,2,0,3,10,1590,8.5,4.2,0
1,3,5,2,6,4,4,1590,7.5,2.5,0
0,1,3,2,6,0,4,1550,5.0,6.5,0
1,0,0,2,6,3,6,1250,2.0,1.0,0
2,5,24,3,4,3,11,1350,5.5,4.2,0
1,2,2,2,5,4,2,1280,8.5,2.5,0
1,1,3,1,6,3,4,1590,8.5,4.2,0
1,1,22,1,0,0,4,1560,8.5,6.7,0
