Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
1,2,29,0,0,3,4,1570,4.5,1.5,0
1,2,0,2,5,3,4,1330,2.5,5.7,0
0,2,21,1,5,3,9,1590,6.5,8.1,0
1,2,23,0,5,0,4,1530,3.5,3.7,0
1,6,3,1,5,3,0,1470,6.5,7.5,0
0,6,25,0,5,4,4,1420,5.5,4.5,0
0,1,23,1,5,1,2,1430,5.5,7.5,0
1,2,4,0,0,0,2,1530,2.5,3.5,0
1,2,21,0,0,3,0,1510,3.5,2.5,0
1,2,16,0,5,3,4,1550,6.5,6.5,0
0,2,4,0,5,1,6,1450,6.5,4.5,0
1,3,10,0,5,4,6,1000,5.5,6.5,0
0,2,23,0,5,3,2,1560,6.5,6.5,0
1,2,23,0,5,3,2,1550,6.5,2.5,0
1,2,0,0,5,3,4,1560,5.5,4.5,0
1,2,0,2,5,3,2,1570,8.5,4.5,0
1,2,0,0,5,3,4,1520,8.5,4.5,0
1,6,16,0,5,4,4,1450,2.5,4.2,0
1,6,14,1,4,2,2,1490,6.5,8.2,0
0,6,19,1,6,4,17,1500,5.5,4.5,0
1,2,23,0,5,0,4,1530,3.5,7.2,0
1,3,0,1,5,4,1,1520,6.5,3.5,0
0,2,3,1,5,3,6,1450,6.5,3.5,0
1,3,21,0,5,4,1,1360,2.0,6.2,0
0,0,23,0,5,3,2,1560,6.5,6.5,0
0,2,3,1,0,0,12,1530,6.5,6.5,0
1,2,21,0,5,3,1,1570,8.5,2.5,0
1,2,14,1,4,3,4,1510,6.5,6.8,0
1,6,14,1,0,3,4,1490,4.5,7.0,0
1,6,13,0,5,3,6,1480,4.0,7.5,0
1,6,3,1,5,4,4,1530,7.5,4.5,0
0,6,21,0,5,3,1,1580,7.5,6.5,0
1,2,14,0,5,3,4,1540,6.5,6.5,0
1,2,3,2,5,3,6,1520,5.0,6.8,0
0,4,0,1,5,4,4,1450,1.5,3.5,0
0,2,3,1,5,3,4,1300,3.5,7.2,0
0,6,6,0,4,4,1,1510,5.5,4.7,0
0,2,4,1,5,3,6,1500,6.5,4.2,0
0,2,0,0,0,3,0,1580,6.5,7.5,0
0,6,16,1,5,3,4,1310,8.5,3.5,0
0,4,21,0,5,0,2,1450,4.5,2.5,0
2,6,21,1,5,1,0,1430,1.5,2.5,0
0,2,16,2,4,3,1,1580,4.5,8.5,0
1,2,16,0,5,0,4,1550,7.5,7.2,0
0,2,14,1,4,3,1,1550,5.5,7.6,0
1,2,3,1,5,3,4,1500,6.5,8.2,0
1,6,14,0,0,3,15,1110,6.5,2.5,0
0,2,24,0,5,3,4,1570,3.5,1.5,0
1,6,29,2,5,3,4,1530,6.5,6.5,0
1,2,24,0,0,3,4,1590,5.0,2.5,0
1,6,3,0,5,1,6,1550,7.5,6.8,0
1,2,14,1,4,3,6,1540,3.5,4.5,0
