Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
1,3,3,1,6,4,17,1370,6.5,3.5,0
1,7,5,2,6,3,1,1390,5.0,4.5,0
1,3,8,2,6,4,6,1000,5.5,6.5,0
1,3,24,2,6,4,16,1470,6.5,2.5,0
0,7,24,0,6,1,4,1510,3.5,3.7,0
0,2,14,1,6,3,4,1560,6.5,4.2,0
0,7,18,1,7,4,16,1500,5.5,4.5,0
1,2,24,1,6,3,2,1560,7.5,7.8,0
1,2,24,1,6,0,6,1530,7.5,2.5,0
0,7,16,1,5,3,8,1540,6.5,6.2,0
1,2,0,1,6,3,4,1530,7.5,6.5,0
1,3,19,2,6,4,1,1360,2.0,6.2,0
0,2,19,1,6,1,16,1570,6.5,4.5,0
1,2,26,2,6,3,4,1560,5.0,4.2,0
1,2,28,0,7,3,1,1570,8.5,7.5,0
1,2,26,2,6,3,6,1540,3.5,2.5,0
1,2,4,2,0,3,6,1460,5.0,2.5,0
1,2,2,1,5,3,8,1440,6.5,7.8,0
1,2,14,2,6,0,4,1550,7.5,7.2,0
1,7,6,2,5,4,4,1600,6.5,7.5,0
0,4,2,2,6,4,6,1530,3.0,7.2,0
0,7,14,1,6,3,16,1490,8.5,6.5,0
1,6,3,2,6,0,1,1430,8.5,6.5,0
1,2,26,2,0,3,4,1430,8.5,8.5,0
0,3,6,1,6,4,4,1400,7.5,4.5,0
0,0,0,2,0,4,4,1500,6.5,1.0,0
0,3,26,2,4,4,6,1510,7.5,7.5,0
0,7,21,0,6,4,6,1540,3.5,2.5,0
1,2,7,2,5,3,4,1560,7.5,4.5,0
0,5,26,0,5,3,16,1530,5.0,4.5,0
1,2,2,2,6,3,20,1580,3.0,4.8,0
0,4,2,2,6,4,6,1530,3.0,6.5,0
1,2,24,2,6,3,0,1550,6.5,7.5,0
1,3,0,2,0,3,1,1420,7.5,0.0,0
0,3,12,2,6,4,1,1540,5.5,4.2,0
1,2,2,2,6,3,4,1590,8.5,7.5,0
1,2,2,2,0,3,4,1520,5.5,5.8,0
0,2,0,2,6,0,0,1510,6.5,4.5,0
0,2,0,2,0,0,2,1540,6.5,1.5,0
0,0,3,1,6,4,3,1500,6.5,3.7,0
0,2,3,2,6,0,4,1550,5.0,6.5,0
1,4,3,2,5,4,1,1590,6.5,6.5,0
0,7,14,3,6,3,10,1500,5.5,4.5,0
0,7,3,2,0,3,13,1510,6.5,8.5,0
0,2,14,1,6,3,6,1500,8.5,7.5,0
0,2,21,2,6,3,0,1510,6.5,7.3,0
0,2,8,2,6,3,4,1520,7.5,4.5,0
1,0,2,0,6,3,4,1520,3.5,2.5,0
0,3,3,0,6,4,15,1530,7.5,3.7,0
1,2,2,1,6,3,19,1560,8.5,8.5,0
0,2,9,2,0,4,14,1520,6.5,4.5,0
0,3,19,2,6,4,17,1430,5.0,4.2,0
0,2,5,2,6,3,6,1560,6.5,6.3,0
0,7,18,2,6,3,8,1550,5.0,7.5,0
1,2,24,1,6,1,4,1490,6.5,6.5,0
1,3,8,2,6,4,4,1430,6.5,9.5,0
1,4,2,2,6,4,0,1500,7.5,7.2,0
1,3,26,1,5,4,8,1520,5.5,7.5,0
1,7,9,2,5,3,4,1580,8.5,8.7,0
0,3,6,2,6,3,1,1550,5.5,7.8,0
1,2,2,2,0,3,6,1520,6.5,8.5,0
1,2,0,2,5,3,4,1560,5.0,4.5,0
1,3,14,2,5,4,4,1550,7.5,6.8,0
1,7,2,3,6,1,4,1550,8.5,6.5,0
1,7,26,1,6,3,16,1600,7.5,6.2,0
1,7,5,2,5,3,4,1490,7.5,4.5,0
2,3,2,2,5,0,1,1230,8.5,2.5,0
0,2,0,2,6,3,4,1540,7.5,2.5,0
1,2,8,2,6,3,4,1530,7.5,4.5,0
1,2,2,1,6,1,6,1600,6.5,3.7,0
0,2,0,1,6,3,4,1550,4.5,7.5,0
1,2,0,1,6,3,2,1570,6.5,4.2,0
0,2,0,2,6,3,4,1540,7.5,4.5,0
1,3,19,2,6,3,4,1560,8.5,2.5,0
0,4,5,2,0,0,4,1460,5.5,7.2,0
0,3,4,2,6,4,16,1520,7.5,8.7,0
1,3,21,3,6,4,17,1530,7.5,4.5,0
1,2,0,2,6,3,4,1500,8.5,2.5,0
1,7,2,2,0,3,4,1590,7.5,6.5,0
1,2,19,2,6,3,4,1590,8.5,6.3,0
0,2,2,1,5,3,21,1570,4.0,7.5,0
1,2,14,3,6,3,11,1550,5.5,7.3,0
1,4,0,1,6,3,2,1500,6.5,6.5,0
1,2,0,1,5,3,4,1560,5.5,6.5,0
1,2,9,2,6,3,4,1570,6.5,2.5,0
0,0,0,2,6,3,4,1570,7.5,8.1,0
1,7,3,2,5,1,0,1570,6.5,8.7,0
1,2,2,1,1,3,21,1440,6.5,2.5,0
1,4,2,2,4,4,4,1520,6.5,3.5,0
1,7,9,2,0,4,4,1580,5.5,1.5,2
1,7,9,2,6,1,4,1530,7.5,2.5,2
1,0,2,2,6,3,4,1540,8.5,4.7,2
0,3,9,2,5,3,4,1420,6.5,7.5,2
0,2,19,2,6,3,4,1600,6.5,7.5,2
1,2,21,2,6,0,4,1530,3.5,3.7,2
1,7,10,2,5,0,4,1540,6.5,7.2,2
1,2,8,2,0,3,18,1470,6.5,3.5,2
0,2,3,1,1,3,0,1500,6.5,6.5,2
1,7,2,1,6,1,4,1480,5.0,4.7,2
1,2,3,1,6,0,0,1430,5.5,2.5,2
0,2,2,2,6,1,11,1490,7.5,4.5,2
1,2,9,2,5,3,6,1460,6.0,4.5,2
1,7,2,2,6,3,4,1530,6.5,4.2,2
1,2,24,2,6,3,0,1550,7.5,4.5,2
1,2,24,2,6,3,4,1480,8.2,5.5,2
1,7,14,1,6,3,6,1460,8.0,7.5,2
1,2,21,2,6,3,2,1550,6.5,2.5,2
1,7,5,3,6,3,4,1540,3.5,4.5,2
1,2,2,1,5,3,4,1550,7.5,6.5,2
1,2,0,0,6,3,2,1570,8.5,4.5,2
1,3,17,2,6,4,4,1530,6.5,4.7,2
0,4,24,2,6,4,0,1430,3.5,6.5,2
1,2,3,1,6,0,0,1430,5.5,2.5,2
1,3,24,2,6,4,16,1470,6.5,2.5,2
1,7,9,2,0,4,4,1580,6.5,6.5,2
0,2,14,1,6,3,4,1560,6.5,4.2,2
1,2,9,1,5,3,4,1540,8.5,7.3,2
1,2,21,2,6,0,4,1530,3.5,7.2,2
1,7,9,2,6,1,4,1530,7.5,2.5,2
0,7,14,2,0,3,4,1580,3.5,1.0,2
0,2,0,2,5,3,4,1560,5.5,3.7,2
0,2,20,3,6,3,4,1570,6.5,4.2,2
1,2,2,2,6,2,6,1550,5.5,3.7,2
0,7,5,2,6,4,2,1430,4.5,2.5,2
1,4,2,2,5,4,4,1320,4.5,4.5,2
1,0,15,2,5,3,6,1440,7.5,5.5,2
1,2,26,1,6,3,16,1310,7.5,6.5,2
0,3,26,2,0,3,9,1170,5.5,1.0,2
1,7,10,2,5,0,4,1540,6.5,7.2,2
1,7,14,2,6,3,4,1520,6.5,7.2,2
1,2,26,2,6,1,4,1570,7.5,6.2,2
1,2,21,2,0,3,6,1540,6.5,4.5,2
1,2,12,1,5,3,4,1510,6.5,6.8,2
1,7,11,2,6,3,6,1480,4.0,7.5,2
0,2,26,2,2,3,6,1550,6.5,4.2,2
1,2,2,2,0,3,4,1550,8.5,1.0,2
1,7,2,1,6,4,4,1530,7.5,4.5,2
1,2,9,2,6,3,0,1400,6.5,2.5,2
1,2,12,2,5,3,1,1550,8.5,7.2,2
1,2,6,2,6,1,6,1570,6.5,6.5,2
0,2,3,1,6,3,6,1500,6.5,4.2,2
1,2,4,2,0,3,6,1460,5.0,2.5,2
1,2,21,2,6,3,4,1540,5.5,2.5,2
1,2,12,1,6,1,6,1570,6.5,4.5,2
1,7,28,1,5,3,16,1480,5.0,6.5,2
0,2,0,2,0,3,0,1580,6.5,7.5,2
0,7,24,2,6,3,16,1300,6.5,7.5,2
1,7,24,2,6,3,6,1490,6.5,7.5,2
4,1,12,1,0,4,4,1490,3.5,2.5,2
1,7,28,2,0,3,4,1510,5.5,4.0,2
1,2,21,1,5,3,4,1600,8.5,6.5,2
1,2,2,1,6,3,4,1500,6.5,8.2,2
1,2,26,2,2,0,4,1410,3.5,7.8,2
0,3,27,2,0,4,18,1370,5.0,6.5,2
0,2,22,1,6,1,4,1500,6.5,4.5,2
1,2,21,1,5,3,4,1530,8.5,7.2,2
1,2,0,2,4,3,4,1550,6.5,3.5,2
1,2,2,2,6,3,6,1510,5.0,3.5,2
1,7,28,0,6,3,4,1530,6.5,6.5,2
1,7,1,2,5,1,2,1480,5.5,7.5,2
0,2,19,2,6,3,17,1520,6.5,6.5,2
1,2,25,2,6,3,15,1510,6.5,8.5,2
1,7,5,2,6,3,2,1450,5.5,6.3,2
0,7,2,2,0,3,1,1510,7.0,5.0,2
1,2,9,1,5,1,4,1470,7.5,6.5,2
1,2,2,1,6,3,4,1500,6.5,7.8,2
1,2,9,2,5,3,0,1550,7.5,8.3,2
1,7,0,2,6,3,9,1540,5.5,6.1,2
0,2,3,2,6,3,0,1550,6.5,4.5,2
1,4,23,1,6,3,17,1480,6.5,6.8,2
0,2,8,1,6,3,6,1560,6.5,3.5,2
0,2,9,2,6,3,6,1540,6.5,6.5,2
1,7,2,2,0,3,6,1480,6.5,6.5,2
0,2,9,2,0,0,4,1590,8.5,3.5,2
1,2,21,2,6,3,1,1590,8.5,8.5,2
0,2,6,1,6,3,6,1580,6.5,3.7,2
1,2,0,2,6,3,6,1520,7.5,4.2,2
1,7,27,1,6,1,9,1400,3.0,6.7,2
0,2,28,2,6,3,9,1530,5.5,4.2,2
1,2,2,3,6,3,3,1550,6.0,2.5,2
1,2,14,2,6,0,4,1550,7.5,7.2,2
0,2,2,2,5,4,6,1510,8.5,6.5,2
4,1,12,1,0,4,4,1490,5.5,2.5,2
0,2,24,2,6,2,4,1560,6.5,3.7,2
1,7,7,2,5,1,4,1580,8.5,2.5,2
1,2,26,2,6,0,6,1500,2.5,4.5,2
0,2,22,1,6,1,4,1510,5.0,6.5,2
1,7,12,1,5,3,17,1530,6.5,4.7,2
1,2,2,2,5,3,2,1530,3.5,4.8,2
1,2,26,2,2,0,4,1410,3.5,7.5,2
1,2,25,2,6,3,15,1510,6.5,8.5,2
1,2,7,2,5,3,4,1560,7.5,4.5,2
1,7,2,2,0,4,8,1580,5.5,8.5,2
1,2,0,1,5,1,4,1560,6.5,7.1,2
0,2,21,1,6,3,4,1570,5.5,4.7,2
1,2,2,2,6,3,1,1550,6.5,7.5,2
1,2,24,2,6,3,0,1550,6.5,7.5,2
2,2,2,2,6,3,4,1590,3.5,6.2,2
1,3,0,2,0,3,1,1420,7.5,0.0,2
1,2,2,3,6,3,4,1480,5.5,3.7,2
1,7,19,2,6,3,8,1600,7.5,8.7,2
1,2,2,2,0,3,7,1530,6.5,4.5,2
1,7,2,1,5,1,0,1510,6.5,7.5,2
1,2,2,2,6,0,4,1480,8.5,6.3,2
1,2,9,1,0,3,0,1490,7.5,7.5,2
0,7,14,2,0,3,7,1420,5.0,2.5,2
1,7,2,1,5,3,4,1550,8.5,2.5,2
1,2,2,2,0,3,4,1500,7.5,6.5,2
1,2,2,1,5,3,2,1520,6.5,2.5,2
1,2,2,2,6,3,6,1570,6.5,6.5,2
1,7,21,2,6,3,3,1570,5.5,4.5,2
1,2,3,2,6,3,0,1560,6.5,4.5,2
1,2,3,3,6,1,0,1520,5.5,2.5,2
1,2,21,1,6,3,4,1550,6.5,1.5,2
3,2,2,1,6,3,0,1580,8.5,4.5,2
1,7,5,2,0,3,4,1570,5.5,7.5,2
0,7,5,2,6,0,6,1430,7.0,4.5,2
0,2,2,2,0,3,2,1400,7.5,4.8,2
1,2,2,2,6,3,6,1510,8.5,6.5,2
1,2,29,2,5,3,2,1490,6.5,2.5,2
1,7,12,1,6,3,6,1540,6.5,6.5,2
0,2,2,3,6,3,1,1560,7.5,2.5,2
0,2,2,0,6,3,1,1520,7.5,7.5,2
0,2,3,1,6,3,4,1390,7.5,7.5,2
0,7,3,2,5,3,2,1560,6.5,2.5,2
1,2,10,1,5,3,6,1520,7.5,4.5,2
1,2,2,2,0,3,6,1570,6.5,2.5,2
0,7,22,2,5,4,1,1410,6.5,3.7,2
1,0,2,0,6,3,4,1520,3.5,2.5,2
0,2,18,2,6,3,4,1560,8.5,6.5,2
1,7,9,2,6,3,1,1540,7.5,7.5,2
0,7,2,0,6,3,4,1470,6.5,4.5,2
1,2,2,2,0,3,4,1480,5.5,0.0,2
1,2,28,2,5,3,4,1560,8.5,8.7,2
1,2,13,0,6,3,4,1520,6.5,3.5,2
0,2,0,2,5,3,1,1530,7.5,6.5,2
1,7,14,0,5,1,4,1540,6.5,4.7,2
1,7,2,2,5,3,4,1550,7.5,4.5,2
0,7,24,2,1,1,4,1540,6.0,7.5,2
1,2,2,2,6,1,1,1430,4.5,6.8,2
1,2,26,2,0,3,3,1540,5.5,8.2,2
1,2,29,2,5,3,2,1490,6.5,3.5,2
1,7,9,2,6,3,1,1540,6.5,7.5,2
1,2,2,1,6,3,4,1550,8.5,3.5,2
1,2,2,2,6,3,4,1590,6.5,2.5,2
1,2,9,1,5,3,6,1540,8.5,7.5,2
1,7,26,1,5,4,4,1510,6.5,6.8,2
0,4,9,2,0,4,4,1560,7.5,7.5,2
1,2,24,1,6,1,4,1490,6.5,6.5,2
0,3,2,2,5,3,4,1470,6.5,7.8,2
1,7,1,2,6,0,19,1540,7.5,7.5,2
0,2,2,1,6,3,4,1540,7.0,6.5,2
1,7,0,2,1,3,4,1130,6.5,7.5,2
0,2,2,3,6,3,1,1520,5.5,7.2,2
1,2,11,2,1,3,1,1560,6.5,7.0,2
1,3,27,2,6,3,4,1500,2.0,6.5,2
0,2,21,2,6,3,4,1520,7.5,5.8,2
0,3,26,1,6,4,18,1240,6.5,7.5,2
1,2,14,1,5,3,2,1480,7.5,7.5,2
1,2,2,2,0,3,0,1570,6.5,3.5,2
0,2,11,1,6,3,16,1520,6.5,4.5,2
1,2,2,2,6,3,4,1510,7.5,1.0,2
0,2,9,1,5,3,4,1460,1.0,6.5,2
0,2,6,1,6,3,3,1590,7.5,4.5,2
1,1,5,2,6,3,6,1520,6.5,3.5,2
0,2,0,2,6,3,4,1560,7.5,4.7,2
1,2,14,1,6,3,4,1550,4.5,4.6,2
1,2,2,1,6,3,4,1540,8.5,7.5,2
0,2,3,1,6,3,1,1410,6.5,2.5,2
1,7,24,1,6,3,4,1440,8.5,5.6,2
0,2,28,2,0,0,6,1380,3.5,3.8,2
1,2,19,2,6,3,4,1580,8.5,6.8,2
1,7,3,0,6,3,4,1530,4.0,4.5,2
1,2,0,2,6,3,4,1560,5.0,7.8,2
1,7,14,2,6,3,4,1510,7.5,7.3,2
0,7,20,2,6,3,6,1420,5.5,6.5,2
1,2,3,1,5,3,18,1520,5.0,7.5,2
1,7,19,1,6,3,8,1440,6.5,4.5,2
1,2,28,2,5,3,0,1550,6.5,2.5,2
1,2,28,2,6,3,4,1500,7.5,8.5,2
1,2,9,2,0,3,4,1420,6.5,6.5,2
1,2,2,2,0,3,6,1520,6.5,8.5,2
0,2,21,2,6,3,1,1560,6.5,6.2,2
0,2,0,2,6,3,1,1360,3.5,3.5,2
1,2,3,2,6,0,9,1510,2.5,6.5,2
0,2,9,2,6,3,4,1530,5.5,7.5,2
1,4,2,2,6,4,4,1350,5.5,6.5,2
0,7,24,2,1,1,4,1540,6.5,7.5,2
1,2,8,1,6,3,4,1550,6.5,7.5,2
1,2,14,2,6,3,16,1550,7.0,7.5,2
1,2,26,2,5,3,4,1570,6.5,6.8,2
1,2,20,2,6,1,1,1560,5.0,3.5,2
0,2,14,2,6,3,4,1550,6.5,6.3,2
1,4,2,1,2,3,1,1550,6.5,7.5,2
1,2,2,0,5,3,4,1530,6.5,7.5,2
1,2,22,2,5,3,0,1480,-1.0,7.8,2
1,2,20,2,6,1,0,1540,6.5,2.5,2
0,2,10,1,5,2,6,1530,6.5,2.5,2
1,3,0,2,0,4,11,1570,6.5,6.1,2
0,7,5,2,5,3,6,1530,6.5,8.7,2
0,2,14,2,6,3,2,1600,8.5,8.1,2
1,3,19,2,0,4,1,1450,7.5,7.8,2
0,7,9,2,6,0,0,1350,5.5,7.5,2
1,7,9,2,0,3,4,1470,2.5,5.7,2
0,2,26,3,6,3,4,1560,7.0,4.5,2
0,2,28,0,6,3,2,1420,7.5,6.5,2
1,2,9,2,5,3,4,1520,8.5,7.5,2
1,2,10,2,5,3,4,1450,2.0,0.0,2
1,3,6,1,5,4,20,1380,2.0,3.5,2
1,7,0,1,6,3,6,1520,6.5,8.5,2
0,2,0,2,6,3,4,1540,7.5,2.5,2
0,2,8,0,2,3,4,1460,5.0,2.5,2
1,7,2,0,6,0,4,1560,6.0,4.2,2
0,2,1,2,0,3,4,1530,6.5,4.5,2
0,2,0,2,6,3,4,1540,7.5,4.5,2
0,2,0,2,6,3,4,1540,7.5,4.5,2
1,2,0,2,6,3,1,1580,6.5,4.5,2
0,2,2,2,5,3,17,1590,6.5,4.5,2
0,2,14,1,6,3,4,1590,5.5,3.7,2
1,2,2,2,0,3,0,1590,6.5,7.5,2
0,2,26,2,5,3,20,1570,-1.0,2.5,2
1,2,9,2,5,3,4,1520,8.5,7.5,2
1,2,5,2,3,0,5,1500,3.5,6.5,2
1,0,2,2,6,3,4,1570,8.5,6.5,2
1,0,2,2,6,3,4,1570,8.5,6.8,2
1,0,0,1,6,3,4,1530,7.5,2.5,2
0,2,26,3,6,3,4,1560,6.5,6.5,2
1,2,2,2,6,3,6,1570,4.5,3.7,2
1,2,19,2,5,4,4,1340,6.5,4.2,2
0,2,2,1,0,1,4,1520,7.5,7.8,2
1,2,14,3,6,3,4,1550,7.5,6.5,2
1,2,19,2,5,4,4,1340,6.5,4.2,2
