Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
0,2,14,1,6,3,15,1580,7.5,7.5,0
0,0,3,2,6,4,6,1280,2.0,4.5,0
1,2,26,2,0,3,5,1570,4.5,1.5,0
0,2,3,2,0,3,5,1570,8.5,4.5,0
0,2,18,1,6,3,9,1590,6.5,8.1,0
1,2,14,1,6,3,5,1560,6.5,6.5,0
1,2,0,2,6,3,5,1520,8.5,4.5,0
0,7,0,2,6,4,5,1460,6.5,3.5,0
0,2,3,2,6,3,3,1550,5.5,4.2,0
3,2,20,2,6,3,3,1580,8.5,4.2,0
0,2,3,1,0,0,12,1530,6.5,6.5,0
0,2,18,1,6,1,17,1570,6.5,4.5,0
1,2,24,2,6,3,5,1560,5.0,4.2,0
1,2,26,0,7,3,2,1570,8.5,7.5,0
0,7,4,1,6,1,6,1430,6.5,6.5,0
1,2,14,2,5,3,2,1550,8.5,7.2,0
0,7,24,2,6,3,3,1340,6.5,4.5,0
0,2,0,2,0,3,0,1580,6.5,7.5,0
0,2,18,1,6,3,6,1540,3.5,2.5,0
1,2,11,2,5,3,0,1560,7.5,7.5,0
0,2,21,1,6,1,5,1500,6.5,4.5,0
0,6,27,2,0,4,0,1420,6.5,2.5,0
1,2,21,2,0,3,5,1590,5.0,2.5,0
0,2,4,2,6,3,0,1550,6.5,4.5,0
1,3,0,3,0,4,5,1510,7.5,2.5,0
0,4,7,2,7,0,15,1330,6.5,4.2,0
0,2,26,2,6,3,10,1530,5.5,4.2,0
0,7,16,2,6,3,5,1450,5.0,2.5,0
0,3,24,2,4,4,6,1510,7.5,7.5,0
1,2,15,2,1,1,3,1570,4.5,5.5,0
4,7,6,1,5,3,5,1570,1.0,6.2,0
0,7,11,2,6,4,7,1360,5.5,4.5,0
1,2,24,2,6,3,6,1570,6.5,7.8,0
1,2,8,2,5,3,5,1560,7.5,4.5,0
1,2,3,2,6,3,2,1550,6.5,7.5,0
1,2,3,2,6,3,5,1600,8.5,4.5,0
2,2,3,2,6,3,5,1590,3.5,6.2,0
1,3,0,2,0,3,2,1420,7.5,0.0,0
1,7,22,2,6,3,6,1500,7.0,4.5,0
0,2,24,1,5,3,3,1600,2.0,4.5,0
0,3,6,1,6,4,8,1410,8.5,6.5,0
1,7,20,2,6,3,4,1570,5.5,4.5,0
1,2,3,2,6,3,5,1590,8.5,7.5,0
1,2,3,2,0,3,5,1520,5.5,5.8,0
0,2,0,2,0,3,3,1540,4.5,1.0,0
3,2,3,1,6,3,0,1580,8.5,4.5,0
1,2,0,2,2,3,17,1460,2.0,4.5,0
0,2,0,2,0,0,3,1540,6.5,1.5,0
1,2,18,2,0,3,19,1550,7.5,1.0,0
0,2,4,2,6,0,5,1550,5.0,6.5,0
1,7,18,1,6,3,18,1560,6.5,6.5,0
1,2,3,1,6,3,5,1500,7.5,2.5,0
0,7,4,2,5,3,3,1560,6.5,2.5,0
1,2,3,1,6,3,5,1560,5.5,6.5,0
1,2,3,2,6,3,6,1510,6.5,4.5,0
1,0,3,0,6,3,5,1520,3.5,2.5,0
1,2,3,2,6,1,3,1590,6.5,4.5,0
0,2,11,2,0,4,14,1520,6.5,4.5,0
0,2,3,2,0,1,3,1500,1.0,0.5,0
1,2,3,2,0,3,5,1480,5.5,0.0,0
1,2,22,3,6,3,5,1580,6.5,7.3,0
1,2,3,2,6,1,3,1590,6.5,6.5,0
1,2,3,1,5,3,5,1590,6.5,6.8,0
1,2,18,2,6,3,5,1580,3.5,2.5,0
1,7,3,1,6,3,17,1580,4.5,7.5,0
1,2,21,2,6,3,5,1580,7.5,7.5,0
1,2,20,1,6,3,6,1550,3.5,1.0,0
0,2,20,2,6,3,2,1580,8.5,6.5,0
0,3,3,2,6,4,2,1370,6.5,2.5,0
1,2,26,3,2,3,6,1420,6.5,3.5,0
0,2,21,1,5,3,19,1550,6.5,4.5,0
1,2,18,2,6,3,5,1580,8.5,6.8,0
1,2,3,1,5,3,3,1590,7.5,7.5,0
2,2,20,0,6,2,2,1380,5.0,4.7,0
0,3,3,1,5,4,18,1550,6.5,7.8,0
0,2,3,2,6,3,19,1470,7.5,6.2,0
1,2,26,2,0,3,3,1390,6.5,7.9,0
