Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
0,1,3,0,0,3,4,1570,8.5,4.5,0
1,1,3,0,4,0,6,1460,6.5,4.2,0
1,1,4,1,4,0,0,1430,5.5,2.5,0
1,1,3,0,4,4,4,1100,5.0,7.2,0
1,1,4,1,4,0,0,1430,5.5,2.5,0
0,2,3,0,4,4,12,1480,6.5,7.2,0
0,2,10,1,4,4,4,1550,4.5,4.5,0
0,1,4,1,4,3,6,1500,6.5,4.2,0
1,1,15,0,4,3,6,1500,7.0,4.5,0
0,4,17,0,4,3,13,1300,6.5,7.5,0
0,1,18,2,4,3,13,1530,6.5,4.5,0
0,1,3,1,4,1,1,1340,3.5,2.5,0
1,1,3,0,4,3,6,1510,5.0,3.5,0
0,4,3,0,4,3,4,1540,6.5,6.2,0
1,2,0,2,0,4,4,1510,7.5,2.5,0
1,1,3,0,0,1,6,1590,5.5,1.5,0
0,1,0,1,4,1,4,1590,6.5,4.5,0
0,3,3,1,4,4,0,1450,6.5,8.3,0
2,1,3,0,4,3,4,1590,3.5,6.2,0
1,2,0,0,0,3,1,1420,7.5,0.0,0
1,1,3,0,3,3,4,1510,7.5,7.5,0
1,1,3,0,0,0,4,1400,1.0,3.5,0
1,1,3,0,4,3,4,1400,2.0,2.5,0
0,2,4,2,4,4,12,1530,7.5,3.7,0
1,1,3,0,4,2,4,1560,3.5,4.5,0
1,1,3,1,4,0,4,1390,4.0,4.5,0
3,1,3,2,4,3,4,1520,6.5,8.2,0
1,1,3,0,0,3,4,1530,7.5,1.5,0
2,4,3,0,4,1,16,1310,2.5,6.0,0
1,0,1,1,3,4,4,1580,7.5,4.7,0
0,1,3,0,4,3,6,1530,6.5,6.5,0
1,1,3,0,0,3,4,1330,1.0,2.0,0
1,1,3,1,4,3,4,1470,4.0,7.5,0
1,3,3,0,4,3,11,1050,1.0,4.5,0
1,1,3,0,4,3,6,1430,7.0,7.2,0
0,4,3,0,4,2,4,1570,7.5,6.5,0
1,0,3,0,4,3,4,1400,6.5,3.5,0
1,1,3,0,5,1,2,1350,2.5,2.5,0
0,1,3,1,4,1,6,1560,5.0,6.5,0
1,3,3,0,4,3,6,1370,5.0,2.5,0
0,1,3,1,4,2,6,1560,5.0,6.5,0
1,1,9,0,4,4,3,1500,5.0,2.5,0
0,1,4,0,4,3,5,1450,6.5,8.5,0
1,1,10,2,4,3,10,1550,5.5,7.3,0
0,1,8,0,4,0,4,1560,6.0,4.5,0
1,4,3,0,3,3,6,1330,8.5,6.5,0
3,1,3,0,4,1,4,1530,6.0,4.3,0
0,1,3,0,4,3,7,1450,8.5,7.5,0
0,1,4,0,1,3,4,1580,7.5,6.5,0
1,3,3,1,4,3,1,1220,2.0,2.5,0
1,1,3,0,4,3,4,1580,6.5,7.5,0
0,1,3,1,4,3,1,1430,5.5,4.2,2
0,2,11,0,4,4,4,1420,6.5,7.5,2
0,1,13,0,4,3,4,1600,6.5,7.5,2
0,2,13,0,4,4,6,1390,5.5,4.2,2
1,4,3,1,4,3,0,1470,6.5,7.5,2
2,4,9,2,0,3,13,1500,3.5,1.5,2
1,4,10,1,4,3,6,1460,8.0,7.5,2
1,2,12,0,4,4,4,1530,6.5,4.7,2
0,2,3,0,4,4,12,1480,6.5,7.2,2
1,1,3,0,4,1,6,1540,6.5,4.7,2
0,1,14,2,4,3,4,1570,6.5,4.2,2
0,1,3,0,4,3,1,1460,4.5,6.5,2
1,4,15,2,4,3,4,1520,5.5,0.0,2
1,1,7,0,4,3,0,1400,6.5,2.5,2
1,1,3,2,4,3,8,1470,6.5,7.5,2
0,3,0,1,4,4,4,1450,1.5,3.5,2
1,1,17,2,4,3,4,1550,5.5,2.5,2
1,4,1,0,3,1,2,1480,5.5,7.5,2
0,4,13,0,3,1,6,1530,3.0,7.5,2
0,4,11,0,4,3,4,1450,5.0,2.5,2
1,1,3,0,0,3,11,1580,6.0,5.2,2
1,1,3,0,3,3,2,1530,3.5,4.8,2
1,4,9,0,4,1,15,1530,6.5,4.5,2
1,2,0,0,0,3,1,1420,7.5,0.0,2
1,1,3,0,0,3,7,1530,6.5,4.5,2
0,2,9,0,4,4,1,1540,5.5,4.2,2
0,1,0,0,0,3,2,1540,4.5,1.0,2
0,0,4,1,4,4,3,1500,6.5,3.7,2
0,4,16,0,4,0,4,1470,6.5,0.0,2
0,1,3,0,0,3,4,1500,5.5,2.5,2
1,4,3,1,4,3,13,1580,4.5,7.5,2
1,1,14,0,4,3,4,1520,7.5,7.5,2
0,1,3,1,4,3,4,1540,7.0,6.5,2
2,0,0,0,0,0,0,1510,-1.0,4.5,2
0,1,3,2,4,3,1,1520,5.5,7.2,2
1,0,1,1,3,4,4,1580,7.5,4.7,2
0,1,4,2,4,3,4,1430,6.0,7.5,2
0,1,3,0,3,4,1,1500,4.5,7.8,2
0,1,3,1,0,3,6,1580,8.5,7.5,2
1,2,0,0,0,4,10,1570,6.5,6.1,2
0,4,7,0,4,0,0,1350,5.5,7.5,2
0,1,3,0,4,0,4,1530,6.5,8.2,2
0,1,0,0,3,3,7,1340,8.5,2.5,2
0,1,3,0,3,3,14,1590,6.5,4.5,2
1,1,5,0,2,0,5,1500,3.5,6.5,2
1,3,3,2,4,3,6,1310,2.0,4.2,2
1,2,6,0,4,4,4,1480,1.0,4.2,2
1,1,10,2,4,3,10,1550,5.5,7.3,2
0,4,0,0,0,3,16,1540,7.5,6.8,2
1,4,7,0,3,3,4,1520,5.5,7.5,2
2,4,7,0,4,3,1,1450,5.0,6.7,2
0,1,17,0,4,3,6,1480,6.5,4.5,2
0,1,3,1,4,3,4,1590,7.5,3.5,2
1,1,2,0,1,3,4,1600,8.5,7.5,1
1,0,4,0,4,2,0,1380,5.5,1.5,1
0,4,20,0,4,1,4,1590,4.5,7.2,1
0,1,0,0,3,3,4,1560,5.5,3.7,1
0,1,3,0,4,0,4,1340,4.0,2.5,1
0,4,4,1,4,3,2,1120,6.5,1.5,1
0,1,21,0,4,3,9,1530,5.5,4.2,1
1,1,19,0,4,3,6,1570,6.5,7.8,1
1,1,3,0,4,0,4,1480,8.5,6.3,1
1,1,7,1,0,3,0,1490,7.5,7.5,1
0,4,5,0,4,0,6,1430,7.0,4.5,1
0,1,3,0,4,3,16,1530,6.5,4.2,1
0,4,17,0,1,1,4,1540,6.0,7.5,1
1,1,4,1,3,3,15,1520,5.0,7.5,1
4,1,15,0,3,3,4,1580,3.5,6.5,1
0,4,17,0,1,1,4,1540,6.5,7.5,1
1,4,3,1,4,3,4,1430,1.0,7.8,1
0,1,3,0,4,4,1,1010,5.5,2.5,1
1,1,3,2,3,3,4,1530,6.5,7.5,1
1,1,3,0,0,3,0,1590,6.5,7.5,1
1,0,0,1,4,3,4,1530,7.5,2.5,1
1,4,3,0,0,3,4,1590,7.5,6.5,1
1,1,3,0,4,3,4,1550,3.0,3.5,1
1,1,3,0,0,3,10,1560,5.5,7.5,1
0,1,15,0,0,3,6,1500,5.5,6.8,1
1,1,3,2,4,3,6,1240,3.0,6.5,1
