Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
0,3,13,0,5,4,4,1420,6.5,7.5,0
1,7,4,0,5,3,1,1390,5.0,4.5,0
1,7,17,0,5,3,0,1560,7.5,6.8,0
1,7,12,1,5,3,6,1460,8.0,7.5,0
1,2,2,1,5,0,0,1430,5.5,2.5,0
0,4,22,0,1,4,11,1400,5.0,1.5,0
0,2,12,1,5,3,4,1560,6.5,4.2,0
1,3,5,2,5,4,4,1520,6.5,6.5,0
1,2,1,0,5,1,6,1540,6.5,4.7,0
1,2,22,1,5,3,2,1560,7.5,7.8,0
1,2,22,1,5,0,6,1530,7.5,2.5,0
0,7,1,2,5,3,4,1570,8.5,4.7,0
0,7,7,1,5,3,4,1600,6.5,7.5,0
1,2,17,0,5,3,1,1570,8.5,2.5,0
1,7,4,0,5,4,1,1430,5.5,7.5,0
1,2,3,0,0,3,6,1460,5.0,2.5,0
1,0,0,0,5,3,4,1420,5.5,2.5,0
1,7,22,0,3,4,4,1570,4.5,4.5,0
1,2,22,1,0,3,8,1490,6.5,3.5,0
0,4,22,2,5,4,4,1520,7.5,4.5,0
1,2,8,1,4,1,4,1470,7.5,6.5,0
1,7,0,0,5,3,9,1540,5.5,6.1,0
1,3,0,2,0,4,4,1510,7.5,2.5,0
1,3,1,0,5,4,4,1490,8.5,4.5,0
0,2,8,0,0,0,4,1590,8.5,3.5,0
4,2,15,0,5,3,4,1480,6.5,7.5,0
0,2,22,0,5,3,4,1520,6.5,4.5,0
1,2,22,0,5,3,1,1570,7.5,7.7,0
1,2,19,0,5,3,6,1590,8.5,4.5,0
0,2,19,0,5,3,1,1570,6.5,4.5,0
0,3,24,0,3,4,6,1510,7.5,7.5,0
2,7,1,0,5,3,6,1560,6.5,3.7,0
1,2,25,0,5,3,4,1540,6.5,4.5,0
1,2,12,0,5,1,4,1310,4.5,4.5,0
0,7,19,2,5,4,6,1540,3.5,2.5,0
0,2,1,0,5,3,10,1570,6.5,6.5,0
1,2,1,2,5,3,4,1580,6.5,4.2,0
0,2,1,0,1,3,4,1540,5.5,3.5,0
0,5,24,2,4,3,13,1530,5.0,4.5,0
0,2,24,2,5,3,6,1560,6.5,6.5,0
0,2,24,1,5,3,4,1560,7.5,6.5,0
0,2,19,1,5,3,4,1570,5.5,4.7,0
0,2,26,1,0,3,6,1530,6.5,6.5,0
1,7,17,0,5,3,8,1600,7.5,8.7,0
1,2,1,0,0,3,12,1560,6.5,0.0,0
1,2,1,0,5,3,6,1570,6.5,6.5,0
1,2,2,0,5,3,0,1560,6.5,4.5,0
1,7,10,0,4,1,10,1510,5.5,7.2,0
0,0,2,1,5,4,3,1500,6.5,3.7,0
1,2,1,0,5,1,2,1590,6.5,4.5,0
1,2,0,1,5,0,4,1440,2.0,6.5,0
1,2,3,0,4,3,0,1520,7.5,6.5,0
1,2,1,0,5,1,2,1590,6.5,6.5,0
1,2,22,1,5,1,4,1490,6.5,6.5,0
1,4,1,0,5,4,0,1500,7.5,7.2,0
0,2,1,2,5,3,1,1520,5.5,7.2,0
1,2,10,0,1,3,1,1560,6.5,7.0,0
0,2,19,0,5,3,4,1520,7.5,5.8,0
2,7,17,1,5,0,6,1420,3.5,6.8,0
1,7,12,0,5,3,4,1510,7.5,7.3,0
1,2,26,0,4,3,0,1550,6.5,2.5,0
1,4,4,1,5,4,4,1530,6.5,2.5,0
0,3,3,0,5,4,13,1520,7.5,8.7,0
3,0,17,0,4,3,0,1560,2.0,0.0,0
1,2,6,0,0,3,6,1560,7.5,0.0,0
1,2,24,2,5,3,4,1550,8.5,6.5,0
1,7,12,0,0,0,4,1550,6.5,5.5,0
1,4,1,0,6,0,1,1320,6.5,2.5,0
0,2,7,0,0,3,4,1580,7.5,4.5,0
0,2,8,2,4,3,4,1570,8.5,5.5,0
0,2,19,0,0,3,6,1500,5.5,6.8,0
0,0,0,0,5,3,4,1570,7.5,8.1,0
0,2,1,0,0,3,4,1570,8.5,4.5,2
0,7,12,1,5,3,1,1430,3.5,4.5,2
0,2,17,0,5,3,4,1600,6.5,7.5,2
1,2,3,0,5,3,1,1440,8.5,8.2,2
1,2,22,0,5,3,0,1550,7.5,4.5,2
1,3,14,0,5,4,4,1530,6.5,4.7,2
0,4,22,0,5,4,0,1430,3.5,6.5,2
1,2,22,1,5,3,4,1530,6.5,4.2,2
1,7,8,0,0,4,4,1580,6.5,6.5,2
1,7,1,1,5,3,2,1520,6.5,6.5,2
0,7,7,1,5,3,4,1600,6.5,7.5,2
0,3,24,0,0,3,9,1170,5.5,1.0,2
0,0,19,0,5,3,2,1560,6.5,6.5,2
1,2,19,0,0,3,6,1540,6.5,4.5,2
0,2,24,0,2,3,6,1550,6.5,4.2,2
1,2,8,0,5,3,0,1400,6.5,2.5,2
1,2,1,0,4,3,1,1550,6.5,2.5,2
0,2,11,0,0,0,4,1490,7.5,2.5,2
1,2,11,0,5,1,4,1530,6.5,4.2,2
0,2,7,0,0,4,6,1510,3.5,0.0,2
0,2,12,2,4,3,1,1580,4.5,8.5,2
1,2,6,2,0,3,0,1570,3.5,3.5,2
1,2,1,1,5,3,4,1500,6.5,8.2,2
0,0,1,1,0,3,11,1560,6.5,8.5,2
1,7,4,2,5,3,2,1280,1.0,6.5,2
0,7,1,0,0,3,1,1510,7.0,5.0,2
0,7,20,0,5,3,6,1410,7.5,4.5,2
1,2,1,1,5,3,4,1500,6.5,7.8,2
1,7,2,0,0,3,4,1540,6.5,6.5,2
1,7,0,0,5,3,9,1540,5.5,6.1,2
1,4,21,1,5,3,14,1480,6.5,6.8,2
0,2,23,0,5,3,7,1480,3.0,4.5,2
1,2,22,0,5,3,1,1570,7.5,7.7,2
1,2,19,1,5,3,6,1530,6.5,7.5,2
0,2,24,0,5,3,16,1420,7.5,6.8,2
0,2,1,0,4,4,6,1510,8.5,6.5,2
1,2,12,0,5,1,4,1310,4.5,4.5,2
1,2,24,0,5,0,6,1500,2.5,4.5,2
1,2,1,0,4,3,2,1530,3.5,4.8,2
0,2,1,1,5,3,4,1530,6.5,4.1,2
1,7,17,0,5,1,4,1490,1.0,6.5,2
1,2,1,0,5,0,4,1480,8.5,6.3,2
1,2,26,0,0,3,4,1570,7.5,6.5,2
1,2,1,1,5,3,4,1590,8.5,6.5,2
1,2,1,0,0,3,4,1500,7.5,6.5,2
1,2,1,0,5,3,6,1570,6.5,6.5,2
1,7,1,0,0,1,4,1410,6.5,2.5,2
1,2,2,2,5,1,0,1520,5.5,2.5,2
1,2,24,0,0,1,4,1550,5.5,2.5,2
0,7,4,0,5,0,6,1430,7.0,4.5,2
0,2,2,1,5,3,4,1390,7.5,7.5,2
0,2,0,0,5,1,4,1570,6.5,2.5,2
1,4,10,0,4,3,6,1540,6.5,6.5,2
1,2,1,0,5,3,4,1550,8.5,6.8,2
1,2,16,1,5,3,4,1470,7.5,8.0,2
1,2,3,0,4,3,0,1520,7.5,4.5,2
1,2,1,1,5,3,4,1560,4.5,6.8,2
0,2,15,0,5,3,4,1560,8.5,6.5,2
1,2,12,0,0,3,0,1590,7.5,4.5,2
1,2,18,0,4,3,0,1560,9.5,8.2,2
0,7,8,0,4,3,4,1490,6.5,4.5,2
1,2,1,0,5,1,1,1430,4.5,6.8,2
0,2,1,0,0,3,4,1500,5.5,2.5,2
1,2,3,0,4,3,0,1520,7.5,6.5,2
1,2,1,1,5,3,4,1560,4.5,6.8,2
0,2,1,0,1,3,6,1550,6.5,4.5,2
1,7,17,0,5,3,4,1510,5.0,6.5,2
1,2,1,0,5,3,4,1550,8.5,7.5,2
1,2,22,1,5,1,4,1490,6.5,6.5,2
0,2,15,0,5,3,4,1560,8.5,6.5,2
0,2,1,2,5,3,1,1520,5.5,7.2,2
1,3,25,0,5,3,4,1500,2.0,6.5,2
0,2,2,2,5,3,4,1430,6.0,7.5,2
1,2,1,0,5,3,4,1510,7.5,1.0,2
0,2,1,0,4,4,1,1500,4.5,7.8,2
1,1,4,0,5,3,6,1520,6.5,3.5,2
0,2,0,0,5,3,4,1560,7.5,4.7,2
1,2,19,1,5,3,4,1450,8.5,6.5,2
1,7,8,0,4,3,4,1580,8.5,8.7,2
1,2,1,2,5,3,6,1550,5.0,6.5,2
1,2,0,2,4,3,7,1570,8.5,7.5,2
0,2,0,0,5,3,1,1360,3.5,3.5,2
0,2,8,0,5,3,4,1530,5.5,7.5,2
0,2,22,0,5,3,0,1390,7.5,2.5,2
1,2,1,1,4,3,4,1580,8.5,4.5,2
0,2,12,0,5,3,4,1550,6.5,6.3,2
1,7,10,0,5,3,0,1450,1.0,3.5,2
1,2,1,2,4,3,4,1530,6.5,7.5,2
1,2,20,0,4,3,0,1480,-1.0,7.8,2
1,2,8,1,2,3,13,1590,6.5,4.2,2
0,2,12,0,5,3,2,1600,8.5,8.1,2
0,2,26,0,5,3,1,1500,7.5,6.5,2
0,7,8,0,5,0,0,1350,5.5,7.5,2
0,2,24,2,5,3,4,1560,7.0,4.5,2
1,2,8,0,4,3,4,1520,8.5,7.5,2
1,3,5,1,4,4,16,1380,2.0,3.5,2
1,7,22,2,5,1,4,1430,4.5,6.5,2
1,2,8,0,4,3,4,1520,8.5,7.5,2
1,2,22,1,5,3,4,1490,5.5,4.2,2
1,7,19,2,0,3,6,1500,3.5,2.5,2
1,7,19,2,0,3,6,1500,3.5,2.5,2
1,0,0,1,5,3,4,1530,7.5,2.5,2
1,3,5,0,5,4,4,1480,1.0,4.2,2
1,2,19,1,5,3,4,1570,4.8,5.1,2
1,3,5,1,4,4,16,1380,3.0,2.5,2
1,2,1,0,5,3,4,1530,6.5,6.2,2
1,4,0,2,4,3,2,1350,6.0,4.5,2
1,2,1,0,5,3,4,1550,3.0,3.5,2
1,2,1,1,5,3,4,1560,8.5,6.2,2
1,7,20,1,5,3,4,1510,7.5,0.0,2
1,7,0,0,0,1,4,1500,4.5,3.7,2
1,7,0,0,5,4,4,1580,6.5,6.5,2
