Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
1,1,0,2,5,3,4,1590,7.5,8.7,0
1,1,2,1,5,0,0,1430,5.5,2.5,0
1,1,2,1,5,0,0,1430,5.5,2.5,0
1,2,18,2,5,4,14,1470,6.5,2.5,0
0,1,0,2,4,3,4,1560,5.5,3.7,0
1,1,16,1,4,3,4,1560,7.5,4.5,0
1,2,7,1,5,3,0,1470,4.5,7.5,0
1,4,14,2,5,3,4,1540,8.5,4.5,0
0,4,0,1,5,1,14,1540,6.5,6.5,0
1,2,0,3,0,4,4,1510,7.5,2.5,0
0,1,0,1,5,1,4,1590,6.5,4.5,0
0,1,15,1,5,3,4,1570,5.5,4.7,0
2,1,1,2,5,3,4,1590,3.5,6.2,0
1,2,0,2,0,3,1,1420,7.5,0.0,0
1,1,18,2,4,3,18,1360,6.5,2.5,0
0,1,0,2,0,0,2,1540,6.5,1.5,0
0,4,4,2,5,0,6,1430,7.0,4.5,0
1,1,1,1,5,3,4,1560,5.5,6.5,0
0,1,2,1,4,3,4,1540,6.5,4.7,0
0,1,1,2,5,3,17,1530,6.5,4.2,0
0,4,18,2,5,0,6,1530,7.5,3.7,0
0,4,0,2,5,3,9,1400,5.0,9.2,0
1,1,1,1,4,3,1,1520,5.0,6.8,0
1,1,2,2,5,0,9,1510,2.5,6.5,0
1,1,4,2,2,0,5,1500,3.5,6.5,0
1,1,10,2,5,4,3,1500,5.0,2.5,0
1,4,1,2,0,3,4,1590,7.5,6.5,0
0,1,11,1,5,0,6,1500,6.5,3.7,0
0,1,2,2,1,3,4,1580,7.5,6.5,0
1,1,3,2,5,0,3,1570,3.5,6.5,2
1,1,15,1,5,3,1,1410,5.5,7.5,2
0,1,14,2,5,3,4,1600,6.5,7.5,2
0,4,18,2,5,4,4,1420,5.5,4.5,2
2,4,10,3,0,3,14,1500,3.5,1.5,2
0,2,0,2,0,4,2,1430,6.5,4.5,2
1,1,3,2,5,0,3,1570,3.5,6.2,2
1,2,12,2,5,4,4,1530,6.5,4.7,2
1,2,18,2,5,4,14,1470,6.5,2.5,2
0,4,13,1,6,4,14,1500,5.5,4.5,2
0,4,1,1,5,3,4,1500,5.5,4.5,2
0,4,21,2,5,1,4,1590,4.5,7.2,2
0,4,6,1,5,3,4,1600,6.5,7.5,2
0,2,20,2,0,3,9,1170,5.5,1.0,2
1,4,11,2,5,3,4,1520,6.5,7.2,2
1,2,7,1,5,3,0,1470,4.5,7.5,2
1,4,10,3,5,3,14,1590,6.5,6.7,2
0,1,21,1,5,3,14,1510,6.5,6.2,2
0,2,11,2,0,4,0,1510,7.5,0.0,2
0,2,11,2,5,4,1,1420,5.5,4.7,2
0,1,15,1,4,3,4,1540,7.5,7.5,2
1,1,10,2,0,1,6,1520,6.5,1.0,2
0,4,21,1,5,1,12,1390,6.5,8.5,2
1,1,7,1,4,1,4,1470,7.5,6.5,2
0,4,0,1,5,1,14,1540,6.5,6.5,2
1,3,17,1,5,3,15,1480,6.5,6.8,2
0,1,11,2,5,3,4,1550,6.5,7.3,2
0,4,15,0,5,1,4,1510,6.5,0.0,2
1,3,20,1,0,4,1,1440,7.5,8.7,2
2,4,3,0,5,1,4,1470,6.5,4.5,2
1,4,10,1,4,3,15,1530,6.5,4.7,2
1,4,8,2,5,3,2,1520,7.5,9.2,2
1,4,10,2,5,1,16,1530,6.5,4.5,2
1,4,1,2,0,4,8,1580,5.5,8.5,2
2,4,21,1,3,3,16,1490,5.0,4.2,2
1,4,14,2,5,1,4,1490,1.0,6.5,2
1,4,23,2,5,3,4,1520,7.5,0.0,2
1,4,14,3,5,4,14,1530,1.0,2.5,2
0,1,4,2,4,3,16,1530,2.5,4.5,2
1,4,9,2,4,1,10,1510,5.5,7.2,2
1,4,4,2,0,3,4,1570,5.5,7.5,2
0,1,1,0,5,3,1,1520,7.5,7.5,2
