Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
0,2,2,2,0,3,3,1570,8.5,4.5,0
0,2,2,2,2,1,6,1490,7.5,4.5,0
0,2,2,2,2,3,1,1460,4.5,6.5,0
0,2,2,1,2,3,4,1450,6.5,3.5,0
0,2,2,1,0,0,6,1530,6.5,6.5,0
0,2,3,1,0,3,8,1520,3.0,4.5,0
1,2,2,2,2,3,4,1510,5.0,3.5,0
1,2,2,2,2,3,3,1600,5.0,0.0,0
0,4,2,2,2,4,4,1530,3.0,7.2,0
0,5,2,2,2,3,3,1540,6.5,6.2,0
1,2,2,1,2,3,3,1500,6.5,7.8,0
1,5,2,2,0,3,4,1480,6.5,6.5,0
0,3,2,2,2,4,4,1490,7.5,4.7,0
0,2,2,1,2,3,3,1530,6.5,4.1,0
0,4,2,2,2,4,4,1530,3.0,6.5,0
1,2,2,2,0,3,5,1530,6.5,4.5,0
1,2,2,2,2,3,3,1590,8.5,7.5,0
1,2,0,2,0,3,3,1570,8.5,2.5,0
0,2,2,2,0,3,2,1400,7.5,4.8,0
1,2,2,2,0,0,3,1400,1.0,3.5,0
0,2,5,3,2,3,3,1540,6.5,6.5,0
0,5,2,0,2,3,3,1470,6.5,4.5,0
2,2,2,0,2,3,3,1520,6.5,8.2,0
0,5,2,0,1,3,3,1530,5.5,6.8,0
1,0,1,1,1,4,3,1580,7.5,4.7,0
0,3,2,2,2,4,1,1370,6.5,2.5,0
1,2,2,1,2,3,3,1540,8.5,7.5,0
0,2,4,2,2,3,3,1530,5.5,7.5,0
1,2,2,2,3,1,2,1350,2.5,2.5,0
0,2,2,1,2,1,4,1560,5.0,6.5,0
0,2,2,3,2,0,3,1530,6.5,2.5,0
0,2,2,2,2,0,3,1530,6.5,8.2,0
0,2,2,1,2,2,4,1560,5.0,6.5,0
0,2,2,1,2,3,7,1580,4.5,6.5,0
1,2,2,1,2,1,4,1600,6.5,3.7,0
1,2,2,2,0,3,3,1560,7.5,4.2,0
1,2,2,2,2,0,0,1490,6.5,6.8,0
1,1,2,1,2,3,3,1520,7.5,1.0,0
1,0,0,1,2,3,3,1530,7.5,2.5,0
1,2,2,2,2,3,3,1520,7.0,3.5,0
0,2,2,1,2,3,3,1600,6.0,6.5,0
0,2,2,1,2,3,2,1500,6.5,4.2,0
1,2,2,2,0,3,3,1560,7.5,4.5,0
1,2,2,2,2,3,3,1530,6.5,6.2,0
1,2,2,2,2,3,3,1550,4.5,2.5,0
1,2,2,2,2,4,3,1100,5.0,7.2,2
1,2,2,1,2,3,3,1500,6.5,8.2,2
1,2,2,2,2,0,3,1480,8.5,6.3,2
1,2,2,2,0,3,3,1500,7.5,6.5,2
1,2,2,2,2,1,4,1390,3.5,2.5,2
1,4,2,2,2,4,3,1470,7.5,6.5,2
1,2,2,2,2,3,3,1590,6.5,2.5,2
0,2,5,2,2,0,3,1490,4.5,2.5,2
1,2,2,2,2,3,3,1440,6.5,6.5,2
1,4,2,3,2,3,4,1310,2.0,4.2,2
1,2,2,2,2,3,3,1580,6.5,7.5,2
