Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
1,2,21,0,4,4,2,1520,5.5,4.5,0
0,2,14,0,5,4,5,1420,6.5,7.5,0
1,1,3,1,5,3,5,1440,7.5,4.5,0
1,2,8,0,5,4,6,1000,5.5,6.5,0
1,2,21,0,4,4,2,1520,5.5,4.5,0
1,5,11,1,0,1,5,1580,7.5,7.5,0
1,5,12,1,4,2,3,1490,6.5,8.2,0
0,1,3,1,5,3,5,1560,6.5,4.7,0
1,0,4,0,5,2,0,1380,5.5,1.5,0
1,1,6,1,5,0,11,1440,6.5,3.7,0
0,1,0,0,4,3,5,1560,5.5,3.7,0
0,1,18,0,5,0,17,1550,6.5,6.2,0
1,5,11,0,5,3,6,1480,4.0,7.5,0
1,1,26,2,6,3,2,1570,8.5,7.5,0
1,1,3,2,5,3,6,1520,5.0,6.8,0
1,1,20,0,5,3,6,1500,7.0,4.5,0
0,1,0,0,0,3,0,1580,6.5,7.5,0
0,1,23,2,5,3,17,1530,6.5,4.5,0
0,1,3,0,5,1,17,1540,6.5,6.5,0
1,1,12,1,4,3,6,1540,3.5,4.5,0
1,2,18,0,4,3,2,1410,3.5,2.5,0
0,2,7,1,5,4,5,1400,7.5,4.5,0
0,2,24,0,3,4,6,1510,7.5,7.5,0
1,1,25,0,5,3,5,1540,6.5,4.5,0
0,5,4,2,4,1,6,1530,6.5,6.5,0
0,4,24,2,4,3,17,1530,5.0,4.5,0
0,1,3,1,5,3,5,1530,6.5,4.1,0
1,5,12,0,5,3,5,1530,8.5,2.5,0
1,2,0,0,0,3,2,1420,7.5,0.0,0
0,1,26,1,0,3,6,1530,6.5,6.5,0
1,5,3,1,4,3,5,1550,8.5,2.5,0
0,2,12,0,5,4,2,1540,5.5,4.2,0
0,1,0,0,0,0,3,1540,6.5,1.5,0
1,1,18,0,0,3,19,1550,7.5,1.0,0
0,5,21,0,5,0,5,1470,6.5,0.0,0
0,1,4,0,0,1,1,1500,6.5,1.5,0
1,5,13,2,4,1,5,1540,6.5,4.7,0
1,2,4,1,3,4,5,1490,6.5,6.5,0
0,2,18,0,4,4,19,1490,6.5,6.8,0
1,1,0,0,5,3,5,1560,5.0,7.8,0
1,5,12,2,5,3,5,1500,3.5,2.5,0
0,1,0,1,5,3,5,1550,4.5,7.5,0
1,1,12,0,5,4,4,1500,5.0,2.5,0
1,5,20,1,4,3,17,1490,6.5,6.5,0
0,1,11,0,5,3,5,1570,6.5,6.5,0
1,2,9,0,4,3,5,1280,6.5,6.8,0
1,5,2,1,1,2,21,1570,7.5,6.5,0
1,5,22,0,4,3,5,1570,1.5,3.5,0
0,2,9,0,4,3,5,1420,6.5,7.5,2
0,2,18,0,5,4,6,1390,5.5,4.2,2
1,1,3,1,5,3,5,1440,7.5,4.5,2
1,5,18,0,5,3,0,1560,7.5,6.8,2
0,5,18,1,0,3,5,1540,3.5,4.5,2
1,1,3,1,4,3,5,1550,7.5,6.5,2
1,2,15,0,5,4,5,1530,6.5,4.7,2
0,5,3,0,5,3,6,1350,5.5,2.5,2
1,5,12,1,5,3,0,1450,7.5,6.5,2
1,1,24,1,5,3,17,1310,7.5,6.5,2
1,1,20,0,0,3,6,1540,6.5,4.5,2
1,1,12,1,4,3,5,1510,6.5,6.8,2
1,2,9,1,5,3,0,1470,4.5,7.5,2
1,5,18,0,5,3,5,1540,8.5,4.5,2
0,1,3,0,4,3,5,1460,6.5,2.5,2
0,2,4,0,6,4,5,1310,6.5,7.5,2
1,1,9,0,5,3,0,1400,6.5,2.5,2
1,1,3,2,5,3,9,1470,6.5,7.5,2
0,5,24,0,5,3,3,1340,6.5,4.5,2
1,1,12,1,5,1,6,1570,6.5,4.5,2
0,1,22,0,0,0,5,1540,4.5,1.0,2
1,1,18,0,5,0,5,1430,6.0,7.8,2
1,1,12,1,5,3,19,1430,1.0,7.5,2
1,5,26,0,0,3,5,1510,5.5,4.0,2
1,1,12,0,0,1,6,1520,6.5,1.0,2
1,1,20,1,4,3,5,1600,8.5,6.5,2
0,1,21,1,5,1,5,1500,6.5,4.5,2
0,5,9,0,4,4,3,1360,6.5,6.5,2
1,1,20,1,4,3,5,1530,8.5,7.2,2
1,5,1,0,4,1,3,1480,5.5,7.5,2
1,1,0,1,5,3,13,1510,3.0,2.5,2
0,1,18,0,5,3,18,1520,6.5,6.5,2
1,1,23,0,5,3,15,1510,6.5,8.5,2
0,5,3,0,0,3,2,1510,7.0,5.0,2
1,1,9,1,4,1,5,1470,7.5,6.5,2
1,1,18,0,5,0,5,1430,6.0,8.1,2
0,1,18,0,5,0,8,1520,6.0,4.5,2
0,5,20,0,5,3,6,1450,6.5,4.5,2
0,1,13,0,5,3,5,1550,6.5,7.3,2
0,1,24,0,5,3,21,1420,7.5,6.8,2
0,1,20,0,5,3,2,1570,6.5,4.5,2
0,1,20,0,5,3,5,1560,7.5,4.5,2
4,5,6,1,4,3,5,1570,1.0,6.2,2
0,5,9,0,5,4,7,1360,5.5,4.5,2
1,5,12,1,4,3,18,1530,6.5,4.7,2
1,5,11,1,5,3,5,1570,4.5,2.5,2
1,1,23,0,5,3,15,1510,6.5,8.5,2
