Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
1,0,10,2,0,3,6,1430,6.5,1.0,0
1,0,13,2,3,3,1,1570,8.5,2.5,0
0,1,11,2,3,4,1,1420,5.5,4.7,0
0,3,5,1,3,1,0,1300,6.5,2.5,0
0,0,1,2,2,4,6,1510,8.5,6.5,0
1,0,1,2,3,0,8,1490,6.5,2.5,0
1,3,16,1,2,1,4,1470,6.5,7.5,0
0,3,15,2,3,0,4,1470,6.5,0.0,0
1,0,1,2,3,3,4,1550,8.5,6.8,0
1,0,1,1,3,3,4,1560,5.5,6.5,0
0,3,9,2,2,3,4,1360,3.5,5.5,0
1,0,18,3,1,3,4,1590,7.5,4.7,0
0,0,11,2,3,4,2,1370,7.5,6.5,0
1,0,11,1,2,3,1,1530,6.5,4.0,0
0,0,18,2,2,3,6,1210,5.0,2.5,0
0,0,2,2,3,3,5,1450,6.5,8.5,0
0,3,17,2,3,1,10,1410,5.0,6.2,0
1,0,14,1,3,3,1,1410,5.5,7.5,2
0,1,1,2,3,4,1,1080,1.5,6.2,2
0,1,4,2,3,4,1,1300,6.5,3.7,2
1,3,1,1,3,4,4,1530,7.5,4.5,2
0,0,1,1,3,3,4,1300,3.5,7.2,2
0,3,16,2,3,3,11,1300,6.5,7.5,2
0,2,13,2,3,0,2,1450,4.5,2.5,2
0,0,6,2,0,4,6,1510,3.5,0.0,2
0,3,5,1,3,1,0,1300,6.5,2.5,2
0,0,15,2,3,3,4,1570,3.5,1.5,2
1,0,2,2,3,3,6,1510,5.5,7.5,2
1,3,8,2,3,3,2,1520,7.5,9.2,2
1,0,1,2,0,3,4,1370,6.5,3.5,2
1,3,19,2,3,3,4,1520,7.5,0.0,2
1,0,18,2,3,3,12,1460,5.0,2.5,2
1,0,1,1,3,0,4,1390,4.0,4.5,2
1,0,1,2,3,3,4,1550,8.5,7.5,2
1,0,2,2,0,1,7,1260,6.5,3.5,2
0,0,2,0,3,3,4,1430,6.0,7.5,2
1,3,12,2,2,3,2,1450,6.5,3.5,2
0,0,18,0,3,3,2,1420,7.5,6.5,2
1,2,1,2,3,3,6,1370,5.0,2.5,2
1,3,1,2,2,3,6,1330,8.5,6.5,2
1,0,10,2,3,3,2,1540,6.5,7.2,2
1,0,10,2,3,3,2,1540,6.5,7.2,2
0,0,7,0,3,3,6,1550,8.5,0.0,2
1,3,7,2,2,3,4,1520,5.5,7.5,2
1,3,1,2,3,3,1,1540,7.5,7.3,1
1,0,3,2,3,0,3,1570,3.5,6.5,1
0,3,11,1,3,3,1,1430,3.5,4.5,1
1,3,1,1,3,1,4,1480,5.0,4.7,1
1,0,3,2,3,0,3,1570,3.5,6.2,1
1,3,10,1,2,2,2,1490,6.5,8.2,1
0,0,10,1,3,3,11,1470,5.5,3.7,1
0,0,6,2,3,1,6,1590,5.5,2.5,1
1,3,10,1,0,3,4,1490,4.5,7.0,1
0,3,15,2,3,3,6,1410,7.5,4.5,1
1,0,14,1,3,3,6,1530,6.5,7.5,1
1,3,0,1,0,3,6,1430,5.0,6.5,1
0,0,16,2,3,2,4,1560,6.5,3.7,1
1,3,8,2,3,3,2,1520,7.5,9.2,1
1,3,19,2,3,3,4,1520,7.5,0.0,1
0,0,1,2,3,3,1,1520,3.5,2.5,1
0,0,18,2,0,4,13,1470,4.5,1.5,1
1,3,1,0,3,0,4,1560,6.0,4.2,1
1,3,14,2,3,3,9,1510,7.5,6.5,1
0,3,0,2,3,3,4,1540,6.5,7.2,1
1,0,10,2,0,3,4,1480,6.5,4.5,1
1,1,1,1,3,4,4,1520,2.5,4.2,1
1,0,6,1,3,3,2,1500,5.5,9.0,1
1,0,6,1,3,3,2,1500,4.5,9.0,1
