Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
0,0,1,2,5,4,7,1280,2.0,4.5,0
1,5,1,2,5,3,2,1540,7.5,7.3,0
0,2,1,2,0,3,5,1570,8.5,4.5,0
0,5,11,1,5,3,2,1430,3.5,4.5,0
1,5,1,2,5,3,5,1460,3.5,2.5,0
0,2,1,1,4,3,4,1560,6.5,2.5,0
1,2,18,2,0,1,7,1380,5.5,4.5,0
1,2,0,1,5,0,4,1300,6.0,7.5,0
0,2,1,2,0,3,0,1530,1.0,2.5,0
1,2,1,2,5,4,5,1100,5.0,7.2,0
1,2,1,1,5,3,5,1440,7.5,4.5,0
0,2,1,2,5,1,9,1490,7.5,4.5,0
0,3,1,2,5,4,2,1080,1.5,6.2,0
4,5,12,2,4,3,5,1600,6.5,4.5,0
1,5,1,2,5,3,5,1530,6.5,4.2,0
1,2,1,2,0,3,5,1570,6.5,2.5,0
0,3,1,2,5,4,11,1480,6.5,7.2,0
0,2,1,1,5,3,5,1560,6.5,4.7,0
1,2,1,2,5,2,7,1550,5.5,3.7,0
0,2,1,2,5,0,5,1340,4.0,2.5,0
0,2,1,2,5,3,2,1460,4.5,6.5,0
0,2,1,1,5,3,7,1450,6.5,3.5,0
0,2,5,1,4,3,2,1590,8.5,6.8,0
1,5,0,2,1,3,5,1580,5.5,2.5,0
1,2,1,3,5,3,7,1520,5.0,6.8,0
0,2,1,1,5,3,5,1300,3.5,7.2,0
0,2,14,2,5,3,5,1570,3.5,1.5,0
1,2,1,2,5,3,5,1600,5.0,0.0,0
1,2,0,1,5,3,10,1510,3.0,2.5,0
0,2,1,2,5,1,12,1540,6.5,6.5,0
0,5,1,2,5,3,5,1540,6.5,6.2,0
0,5,1,2,0,3,2,1510,7.0,5.0,0
1,2,1,1,5,3,5,1500,6.5,7.8,0
0,2,7,2,4,1,12,1480,6.5,1.5,0
1,2,1,2,0,1,7,1590,5.5,1.5,0
0,2,14,2,5,1,7,1550,7.5,4.5,0
0,5,6,2,5,3,7,1530,7.5,6.5,0
1,2,1,3,5,3,4,1550,6.0,2.5,0
