Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
0,2,2,2,0,3,4,1570,8.5,4.5,0
1,2,0,3,5,3,4,1330,2.5,5.7,0
1,2,7,2,5,3,5,1400,5.0,4.5,0
0,2,2,1,4,3,3,1560,6.5,2.5,0
0,1,19,1,5,1,2,1430,5.5,7.5,0
1,6,2,1,5,1,4,1480,5.0,4.7,0
1,2,2,1,5,3,4,1440,7.5,4.5,0
1,3,7,2,5,4,5,1000,5.5,6.5,0
1,2,21,2,5,3,4,1480,8.2,5.5,0
1,6,12,1,5,3,5,1460,8.0,7.5,0
1,2,2,2,0,3,4,1570,6.5,2.5,0
1,2,17,1,5,3,4,1570,6.5,6.2,0
1,6,11,2,0,3,4,1570,3.5,1.0,0
0,2,12,1,5,3,4,1560,6.5,4.2,0
0,2,2,1,5,3,4,1560,6.5,4.7,0
1,2,8,1,4,3,4,1540,8.5,7.3,0
1,2,11,2,0,3,5,1430,6.5,1.0,0
0,2,18,3,5,3,4,1570,6.5,4.2,0
1,2,2,2,5,3,4,1520,7.5,6.8,0
0,2,7,2,5,1,5,1590,5.5,2.5,0
1,6,2,1,5,3,4,1600,5.5,6.2,0
1,2,2,1,5,3,4,1530,4.5,6.2,0
1,2,5,2,5,1,5,1570,6.5,6.5,0
1,2,19,2,5,3,5,1500,7.0,4.5,0
0,2,10,1,5,3,4,1570,6.5,6.5,0
0,2,2,1,5,3,5,1520,5.5,4.2,0
1,2,2,1,5,3,4,1500,6.5,8.2,0
0,2,20,2,5,3,4,1570,3.5,1.5,0
1,2,22,2,5,3,11,1510,6.5,8.5,0
0,6,2,2,5,3,4,1540,6.5,6.2,0
1,2,2,1,5,3,4,1500,6.5,7.8,0
0,2,2,2,0,3,4,1530,6.5,3.75,0
1,6,0,2,5,3,8,1540,5.5,6.1,0
0,2,7,2,5,3,1,1440,5.5,6.5,0
0,2,3,2,5,3,0,1550,6.5,4.5,0
0,2,7,1,5,3,5,1560,6.5,3.5,0
0,2,8,2,5,3,5,1540,6.5,6.5,0
1,2,2,2,0,1,5,1590,5.5,1.5,0
1,5,11,2,4,3,4,1240,5.0,7.8,0
0,2,20,2,5,1,5,1550,7.5,4.5,0
0,6,7,2,5,3,5,1530,7.5,6.5,0
0,2,23,3,2,3,4,1590,6.5,4.5,0
1,2,8,2,4,3,4,1520,6.5,4.5,0
0,6,7,1,5,3,5,1570,7.0,6.8,0
1,2,23,2,0,3,4,1560,8.5,6.5,0
1,2,2,2,4,3,2,1530,3.5,4.8,0
1,2,2,3,5,3,4,1580,6.5,4.2,0
1,2,2,2,0,1,4,1500,3.0,4.5,0
1,2,22,2,5,3,11,1510,6.5,8.5,0
1,2,0,1,4,1,4,1560,6.5,7.1,0
0,2,19,1,5,3,4,1570,5.5,4.7,0
1,6,8,2,4,3,0,1560,6.5,3.5,0
1,2,0,1,5,1,5,1540,7.5,4.5,0
1,6,2,2,0,3,5,1550,6.5,1.5,0
1,2,2,1,5,3,4,1540,6.5,4.7,0
1,2,20,2,4,1,5,1580,5.5,4.7,0
1,2,7,1,5,4,12,1380,5.0,4.5,0
1,2,7,2,5,3,4,1550,6.5,4.5,0
1,2,12,3,4,3,4,1530,6.5,2.5,0
1,2,1,2,0,3,9,1590,8.5,4.2,0
0,2,0,2,5,0,0,1510,6.5,4.5,0
1,2,3,1,5,3,4,1590,8.5,4.2,0
1,2,8,0,4,3,4,1540,5.5,3.5,0
0,2,3,1,5,3,4,1390,7.5,7.5,0
0,2,0,2,5,1,4,1570,6.5,2.5,0
1,2,5,2,5,3,4,1570,6.5,8.5,0
1,2,2,1,5,3,4,1550,6.0,6.5,0
0,2,25,3,5,3,4,1540,6.5,6.5,0
1,2,2,2,5,3,5,1510,6.5,4.5,0
1,2,10,2,5,0,4,1410,1.0,4.5,0
1,2,8,1,4,3,5,1540,8.5,7.5,0
0,2,7,0,4,3,9,1460,1.0,3.5,0
0,2,8,2,4,3,4,1470,6.5,6.8,0
1,2,2,2,5,3,4,1530,8.5,8.7,0
1,6,2,2,4,3,4,1550,7.5,4.5,0
1,2,2,2,5,1,1,1430,4.5,6.8,0
1,2,26,2,4,3,2,1490,6.5,3.5,0
3,2,2,0,5,3,4,1520,6.5,8.2,0
1,2,2,2,5,3,4,1590,6.5,2.5,0
1,2,8,1,4,3,5,1540,8.5,7.5,0
1,3,3,1,3,4,4,1490,6.5,6.5,0
1,2,20,2,5,3,4,1580,7.5,7.5,0
1,2,2,1,5,3,4,1590,6.5,2.5,0
1,2,12,2,5,3,9,1570,8.5,7.8,0
1,3,7,2,5,4,4,1430,6.5,9.5,0
1,2,23,2,4,3,4,1510,7.5,8.2,0
1,2,7,3,0,3,4,1510,6.5,2.5,0
1,2,12,2,4,3,4,1530,8.5,4.5,0
1,2,8,2,0,3,4,1600,8.5,0.0,0
1,2,2,1,5,3,4,1490,7.5,7.8,0
1,2,0,2,5,3,4,1560,5.0,7.8,0
0,0,3,2,4,3,7,1570,8.5,4.5,0
1,2,2,0,5,3,5,1550,5.0,6.5,0
1,2,8,2,0,3,4,1420,6.5,6.5,0
1,2,2,2,0,3,5,1520,6.5,8.5,0
0,2,8,2,5,3,4,1530,5.5,7.5,0
1,6,2,3,5,1,4,1550,8.5,6.5,0
1,6,7,2,0,1,13,1510,3.5,6.5,0
1,2,23,2,4,3,4,1570,6.5,6.8,0
2,2,11,2,5,4,10,1500,6.5,6.5,0
1,6,11,2,4,3,5,1550,5.0,6.8,0
1,2,2,2,4,3,4,1600,7.5,6.5,0
1,3,5,2,5,4,4,1460,5.5,6.5,0
1,2,7,2,5,3,5,1510,1.0,2.5,0
0,2,2,2,0,3,4,1460,3.5,9.0,0
0,2,2,2,0,3,4,1500,6.5,6.5,0
1,6,8,2,0,3,4,1470,2.5,5.7,0
0,3,7,1,5,4,4,1520,6.5,4.5,0
1,2,2,1,5,3,4,1540,6.5,7.8,0
1,2,12,3,5,3,4,1550,7.5,6.5,0
0,2,23,3,5,3,4,1560,7.0,4.5,0
1,2,8,2,0,0,4,1530,8.5,6.5,0
1,2,8,2,4,3,4,1520,8.5,7.5,0
1,2,9,2,4,3,4,1450,2.0,0.0,0
0,2,19,2,5,3,4,1530,3.5,6.5,0
1,2,13,2,0,1,5,1580,6.5,7.6,0
1,2,0,3,0,3,5,1420,6.0,8.6,0
0,2,0,2,5,3,4,1540,7.5,2.5,0
1,6,19,2,5,3,9,1510,7.5,6.5,0
2,2,13,2,0,3,4,1590,6.5,1.0,0
1,2,7,0,5,1,4,1460,2.0,3.5,0
0,2,12,1,5,3,4,1590,5.5,3.7,0
0,2,21,1,0,3,4,1500,7.5,8.3,0
1,2,8,2,4,3,4,1520,8.5,7.5,0
0,6,7,2,5,3,4,1400,6.5,7.5,0
0,2,3,2,5,3,0,1550,7.5,4.5,0
0,6,0,2,5,3,4,1540,6.5,7.2,0
1,6,7,2,5,3,5,1550,7.5,6.5,0
0,2,23,3,5,3,4,1560,6.5,6.5,0
1,2,12,3,5,3,4,1550,7.5,6.5,0
1,2,14,2,5,3,4,1550,7.5,6.5,0
1,2,0,2,5,3,4,1500,8.5,2.5,0
1,2,2,1,5,3,4,1580,8.5,2.5,0
2,2,2,2,5,0,1,1400,7.5,7.7,0
0,2,2,1,5,3,2,1500,6.5,4.2,0
1,2,6,2,0,3,5,1560,7.5,0.0,0
1,4,3,2,4,3,4,1560,6.5,4.5,0
1,2,0,1,5,3,5,1550,7.5,3.7,0
0,2,8,2,4,3,4,1430,6.0,7.5,0
1,2,2,2,5,3,4,1530,6.5,6.2,0
0,2,2,2,5,3,6,1450,8.5,7.5,0
0,0,4,2,0,3,1,1440,6.5,7.5,0
1,6,3,2,5,3,4,1530,7.5,3.7,0
1,2,2,2,5,3,4,1550,3.0,3.5,0
1,2,19,1,4,3,4,1580,6.5,4.5,0
0,2,0,1,5,3,2,1500,1.0,4.5,0
0,2,0,1,5,3,4,1550,7.5,4.2,0
1,2,2,2,0,3,5,1350,6.5,4.2,0
1,2,7,1,5,3,2,1500,5.5,9.0,0
1,2,7,1,5,3,2,1500,4.5,9.0,0
1,2,2,2,5,3,4,1550,4.5,2.5,0
