Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
0,2,13,1,6,3,16,1580,7.5,7.5,0
0,2,3,0,0,3,5,1570,8.5,4.5,0
0,2,20,0,6,3,5,1600,6.5,7.5,0
1,2,0,1,6,0,4,1300,6.0,7.5,0
1,6,9,1,6,3,5,1530,5.0,7.0,0
1,2,5,0,6,3,2,1440,8.5,8.2,0
1,2,15,0,6,3,5,1550,6.5,6.5,0
1,6,6,0,6,3,2,1390,5.0,4.5,0
0,2,22,0,6,3,3,1560,6.5,6.5,0
1,6,15,1,6,3,7,1460,8.0,7.5,0
1,2,0,2,6,3,3,1570,8.5,4.5,0
0,3,3,0,6,4,16,1480,6.5,7.2,0
1,6,13,1,5,2,3,1490,6.5,8.2,0
0,2,15,1,6,3,5,1560,6.5,4.2,0
1,2,10,1,5,3,5,1540,8.5,7.3,0
0,6,15,0,0,3,5,1580,3.5,1.0,0
1,6,3,0,0,1,3,1560,5.5,1.5,0
1,6,3,1,6,3,3,1520,6.5,6.5,0
0,2,21,2,6,3,5,1570,6.5,4.2,0
0,6,9,1,6,3,5,1600,6.5,7.5,0
0,2,7,1,6,3,7,1570,1.0,4.5,0
0,0,22,0,6,3,3,1560,6.5,6.5,0
1,2,27,0,6,1,5,1570,7.5,6.2,0
1,6,20,0,6,3,5,1540,8.5,4.5,0
1,2,27,2,6,3,7,1500,8.5,2.5,0
0,6,20,0,6,3,2,1580,7.5,6.5,0
0,0,25,1,6,0,21,1320,2.5,7.8,0
1,2,29,2,7,3,2,1570,8.5,7.5,0
0,2,11,0,5,3,21,1400,5.5,3.8,0
0,2,22,2,6,3,5,1530,5.5,8.2,0
0,6,4,1,6,1,7,1430,6.5,6.5,0
1,2,13,0,5,3,2,1550,8.5,7.2,0
0,6,6,0,5,4,2,1510,5.5,4.7,0
0,6,27,0,6,3,3,1340,6.5,4.5,0
1,6,29,1,5,3,17,1480,5.0,6.5,0
0,2,0,0,0,3,0,1580,6.5,7.5,0
1,2,20,1,6,0,7,1460,6.5,2.5,0
1,6,20,1,6,3,2,1570,3.5,4.7,0
0,2,25,0,0,0,5,1540,4.5,1.0,0
0,2,12,1,6,3,5,1570,6.5,6.5,0
1,2,20,0,6,0,5,1430,6.0,7.8,0
0,2,3,1,6,3,7,1520,5.5,4.2,0
4,1,13,1,0,4,5,1490,3.5,2.5,0
0,6,28,1,6,1,14,1390,6.5,8.5,0
1,2,3,1,6,3,5,1500,6.5,8.2,0
0,6,3,1,6,3,17,1500,5.5,6.5,0
1,2,20,0,6,0,5,1430,6.0,8.1,0
1,2,10,0,5,3,0,1550,7.5,8.3,0
0,2,9,0,6,3,2,1440,5.5,6.5,0
0,2,20,0,6,0,9,1520,6.0,4.5,0
1,4,24,1,6,3,18,1480,6.5,6.8,0
1,3,3,0,6,4,5,1490,8.5,4.5,0
0,6,20,0,5,1,7,1530,3.0,7.5,0
1,2,22,0,6,3,2,1590,8.5,8.5,0
1,2,22,0,6,3,7,1590,8.5,4.5,0
1,2,20,0,6,3,5,1400,2.5,6.8,0
0,2,22,0,6,3,2,1570,6.5,4.5,0
0,0,0,0,0,4,5,1500,6.5,1.0,0
0,2,14,0,6,3,7,1570,7.5,6.5,0
0,2,3,0,5,4,7,1510,8.5,6.5,0
1,2,15,1,5,3,5,1510,6.5,3.7,0
1,2,3,0,0,3,13,1580,6.0,5.2,0
0,6,22,2,6,4,7,1540,3.5,2.5,0
1,4,27,1,0,4,2,1440,7.5,8.7,0
0,2,25,0,6,2,5,1560,6.5,3.7,0
0,6,10,0,5,3,5,1470,7.5,4.2,0
1,2,27,0,0,3,5,1560,8.5,6.5,0
1,2,10,1,5,3,7,1480,6.0,2.5,0
1,2,8,0,5,3,5,1560,7.5,4.5,0
1,6,13,0,6,1,19,1530,6.5,4.5,0
0,2,22,1,6,3,5,1570,5.5,4.7,0
1,6,10,0,5,3,0,1560,6.5,3.5,0
1,6,3,0,5,1,5,1580,7.5,8.2,0
1,3,0,0,0,3,2,1420,7.5,0.0,0
1,2,1,1,5,3,5,1510,7.5,8.5,0
0,6,10,0,5,3,5,1470,7.5,2.5,0
1,6,22,0,6,3,4,1570,5.5,4.5,0
1,2,1,0,0,3,13,1590,8.5,4.2,0
0,2,0,0,0,3,3,1540,4.5,1.0,0
0,2,4,0,6,0,5,1550,5.0,6.5,0
1,2,0,0,0,3,5,1570,8.5,2.5,0
1,6,20,1,6,3,18,1560,6.5,6.5,0
1,2,10,2,5,3,5,1540,5.5,3.5,0
1,2,25,0,6,3,5,1570,6.0,2.5,0
0,2,4,1,6,3,5,1390,7.5,7.5,0
0,2,0,0,6,1,5,1570,6.5,2.5,0
1,2,3,1,6,3,5,1550,6.0,6.5,0
0,2,29,2,6,3,5,1540,6.5,6.5,0
0,6,14,0,0,0,3,1400,3.5,2.5,0
1,2,3,1,6,3,5,1560,5.5,6.5,0
0,2,29,2,6,3,5,1540,6.5,6.5,0
0,6,12,1,6,3,2,1400,3.5,6.8,0
1,2,3,1,6,3,20,1560,8.5,8.5,0
0,6,15,0,6,1,5,1540,6.5,8.7,0
1,2,3,0,6,3,5,1530,8.5,8.7,0
1,2,15,1,6,3,2,1560,8.5,3.5,0
1,2,6,1,6,3,5,1500,6.5,4.2,0
1,3,4,1,4,4,5,1490,6.5,6.5,0
1,2,3,0,5,3,5,1510,6.5,7.5,0
1,2,23,0,6,3,5,1580,7.5,7.5,0
1,2,25,1,6,1,5,1490,6.5,6.5,0
1,2,7,0,5,3,7,1550,7.5,8.2,0
1,2,22,1,6,3,7,1550,3.5,1.0,0
1,2,10,0,0,3,5,1600,8.5,0.0,0
0,2,7,1,6,3,4,1590,7.5,4.5,0
0,2,20,0,6,3,19,1520,3.5,2.5,0
1,2,15,1,0,0,5,1500,4.5,4.5,0
1,2,22,1,6,3,5,1450,8.5,6.5,0
1,2,4,1,5,3,19,1520,5.0,7.5,0
4,2,22,0,5,3,5,1580,3.5,6.5,0
1,2,10,0,2,3,5,1550,6.5,7.3,0
0,2,3,1,5,3,5,1550,6.5,4.5,0
1,2,3,0,0,0,7,1550,2.5,4.5,0
0,2,22,0,5,3,5,1500,6.5,4.5,0
