Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
1,2,0,2,6,3,4,1590,7.5,8.7,0
1,2,12,2,0,3,4,1510,7.5,6.2,0
0,3,3,2,5,4,4,1320,5.0,5.7,0
0,6,21,2,0,4,14,1240,4.5,2.0,0
1,2,23,1,6,3,1,1410,5.5,7.5,0
1,2,10,2,6,3,6,1400,5.0,4.5,0
0,6,0,2,6,0,14,1420,5.0,6.5,0
1,2,22,0,6,3,0,1490,6.5,0.0,0
0,6,23,2,7,0,5,1410,2.0,4.5,0
0,1,23,1,6,1,2,1430,5.5,7.5,0
1,2,11,2,5,3,6,1460,6.0,4.5,0
1,3,24,2,5,4,1,1520,5.5,4.5,0
1,2,0,0,6,3,2,1570,8.5,4.5,0
1,2,4,1,6,0,0,1430,5.5,2.5,0
1,3,26,2,6,4,17,1470,6.5,2.5,0
1,6,14,2,0,3,4,1570,3.5,1.0,0
1,6,13,1,0,1,4,1580,7.5,7.5,0
1,6,11,2,0,4,4,1580,6.5,6.5,0
1,3,7,3,6,4,4,1520,6.5,6.5,0
1,2,3,2,6,1,6,1540,6.5,4.7,0
1,2,26,1,6,3,2,1560,7.5,7.8,0
1,2,26,1,6,0,6,1530,7.5,2.5,0
1,6,3,1,6,3,2,1520,6.5,6.5,0
1,2,3,2,6,3,17,1560,7.5,6.5,0
0,2,0,2,5,3,4,1560,5.5,3.7,0
0,6,18,1,5,3,9,1540,6.5,6.2,0
1,2,0,1,6,3,4,1530,7.5,6.5,0
1,3,21,2,6,4,1,1360,2.0,6.2,0
1,6,16,2,6,3,4,1520,6.5,7.2,0
0,6,21,2,0,4,14,1240,4.5,2.5,0
0,2,21,1,6,1,17,1570,6.5,4.5,0
1,6,21,2,6,3,4,1540,8.5,4.5,0
0,6,21,2,6,3,1,1580,7.5,6.5,0
1,6,14,3,6,3,17,1590,6.5,6.7,0
1,2,14,2,6,3,4,1540,6.5,6.5,0
1,2,30,0,7,3,1,1570,8.5,7.5,0
1,2,24,2,6,3,4,1510,7.5,6.5,0
1,2,14,2,5,3,1,1550,8.5,7.2,0
1,2,24,2,6,3,0,1570,5.5,4.5,0
1,2,3,1,6,3,4,1530,4.5,6.2,0
1,2,7,2,6,1,6,1570,6.5,6.5,0
1,6,0,1,6,3,4,1550,4.5,6.5,0
1,2,3,2,0,3,4,1530,7.5,8.5,0
0,2,26,2,0,0,4,1540,4.5,1.0,0
1,6,24,2,6,0,17,1450,3.5,2.5,0
0,3,16,2,6,4,1,1420,5.5,4.7,0
1,2,23,1,6,3,1,1550,6.5,2.5,0
1,2,24,1,6,3,4,1580,7.5,4.5,0
1,2,14,1,6,3,19,1430,1.0,7.5,0
1,2,8,0,0,3,0,1570,3.5,3.5,0
1,2,16,2,6,0,4,1550,7.5,7.2,0
1,2,3,2,6,3,6,1510,5.0,3.5,0
1,2,5,2,6,3,4,1580,6.5,6.5,0
0,2,2,2,6,3,0,1390,6.5,4.5,0
1,2,24,2,0,3,4,1590,5.0,2.5,0
1,2,11,1,5,1,4,1470,7.5,6.5,0
0,2,4,2,6,3,0,1550,6.5,4.5,0
1,3,0,3,0,4,4,1510,7.5,2.5,0
0,6,23,2,6,3,6,1450,6.5,4.5,0
1,3,3,2,6,4,4,1490,8.5,4.5,0
0,6,21,2,5,1,6,1530,3.0,7.5,0
4,2,7,1,6,4,18,1580,7.5,8.5,0
0,2,7,1,6,3,6,1580,6.5,3.7,0
4,6,24,2,6,0,4,1550,5.0,4.5,0
0,3,7,3,6,4,4,1500,7.5,4.5,0
1,2,3,2,6,3,8,1500,6.5,6.5,0
0,2,24,2,6,1,6,1550,7.5,4.5,0
0,2,23,1,6,3,4,1550,5.5,4.5,0
1,6,23,2,6,3,4,1500,8.5,7.5,0
1,2,11,2,5,3,4,1520,6.5,4.5,0
1,3,26,2,6,3,6,1350,6.5,8.5,0
0,2,15,2,6,3,6,1570,7.5,6.5,0
1,2,29,2,6,3,4,1540,6.5,4.5,0
1,2,16,2,6,1,4,1310,4.5,4.5,0
2,6,5,0,6,1,4,1470,6.5,4.5,0
0,2,24,1,6,1,4,1510,5.0,6.5,0
0,6,4,0,5,1,6,1530,6.5,6.5,0
1,2,3,2,5,3,2,1530,3.5,4.8,0
1,2,11,1,5,3,6,1480,6.0,2.5,0
0,2,28,1,6,3,4,1560,7.5,6.5,0
1,2,4,1,6,1,2,1230,4.5,3.5,0
3,0,3,2,5,3,4,1520,6.5,2.5,0
1,6,30,1,6,3,4,1560,3.5,4.5,0
1,2,0,1,6,1,6,1540,7.5,4.5,0
2,2,3,2,6,3,4,1590,3.5,6.2,0
1,3,0,2,0,3,1,1420,7.5,0.0,0
0,2,30,1,0,3,6,1530,6.5,6.5,0
1,6,4,1,5,3,0,1440,4.5,7.5,0
1,2,3,2,0,3,15,1560,6.5,0.0,0
0,2,23,2,6,3,6,1530,3.5,4.7,0
0,3,6,1,6,4,8,1410,8.5,6.5,0
1,6,3,1,5,1,0,1510,6.5,7.5,0
1,2,26,2,5,3,22,1360,6.5,2.5,0
0,2,0,2,6,0,0,1510,6.5,4.5,0
1,2,23,1,6,3,4,1550,6.5,1.5,0
0,2,0,2,0,0,2,1540,6.5,1.5,0
0,0,4,1,6,4,3,1500,6.5,3.7,0
1,6,16,0,5,4,4,1510,6.5,8.2,0
0,6,24,2,6,0,4,1470,6.5,0.0,0
0,6,6,2,6,0,6,1430,7.0,4.5,0
0,2,11,2,5,3,4,1540,7.5,7.8,0
0,3,7,2,6,3,17,1300,3.5,7.5,0
1,2,16,1,5,3,2,1530,8.5,8.5,0
1,2,3,2,6,3,6,1510,8.5,6.5,0
1,6,21,1,0,3,4,1510,8.5,7.8,0
1,2,16,2,0,3,4,1470,7.5,3.0,0
1,2,11,0,5,3,4,1540,5.5,3.5,0
1,6,1,2,6,3,4,1550,6.5,6.5,0
1,4,4,1,6,3,6,1530,6.5,2.5,0
0,2,10,2,6,3,4,1520,7.5,4.5,0
0,2,14,2,6,0,6,1400,6.5,2.5,0
0,6,15,2,0,0,2,1400,3.5,2.5,0
1,2,3,2,6,3,4,1550,8.5,4.5,0
2,6,6,2,0,1,7,1250,4.0,4.5,0
1,2,5,2,5,3,0,1520,7.5,4.5,0
1,2,21,2,6,3,4,1370,7.5,2.5,0
0,2,10,0,5,3,13,1460,1.0,3.5,0
1,2,30,2,6,3,18,1460,5.0,2.5,0
1,2,3,2,6,3,4,1400,2.0,2.5,0
0,6,13,2,5,3,4,1360,3.5,5.5,0
1,6,4,2,0,1,4,1510,5.5,1.0,0
0,2,3,2,0,1,2,1500,1.0,0.5,0
1,3,12,1,5,3,4,1580,8.5,4.5,0
1,2,3,2,6,3,4,1530,8.5,8.7,0
1,6,3,2,5,3,4,1550,7.5,4.5,0
1,2,31,2,5,3,2,1490,6.5,3.5,0
1,2,5,2,5,3,0,1520,7.5,6.5,0
1,2,16,1,6,3,1,1560,8.5,3.5,0
1,3,21,2,6,4,4,1410,6.5,8.5,0
1,2,6,1,6,3,4,1500,6.5,4.2,0
0,4,11,2,0,4,4,1560,7.5,7.5,0
1,2,3,2,5,3,4,1510,6.5,7.5,0
1,2,24,2,6,3,4,1580,7.5,7.5,0
0,3,3,2,5,3,4,1470,6.5,7.8,0
1,3,10,2,6,4,4,1430,6.5,9.5,0
0,2,3,3,6,3,1,1520,5.5,7.2,0
1,3,29,2,6,3,4,1500,2.0,6.5,0
1,2,23,1,6,3,6,1550,3.5,1.0,0
3,2,23,2,6,3,1,1510,6.5,8.2,0
1,3,28,1,5,4,9,1520,5.5,7.5,0
1,2,30,3,2,3,6,1420,6.5,3.5,0
0,3,7,2,6,4,12,1260,3.5,8.5,0
0,2,4,1,6,3,1,1410,6.5,2.5,0
