Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
1,0,3,2,6,3,4,1540,8.5,4.7,0
0,2,16,2,6,4,4,1420,6.5,7.5,0
0,5,15,1,6,3,2,1190,1.0,4.5,0
0,3,3,1,6,3,15,1380,7.5,6.5,0
1,2,4,1,6,4,17,1370,6.5,3.5,0
1,5,3,1,6,1,4,1480,5.0,4.7,0
1,5,26,2,6,4,4,1460,5.0,4.5,0
1,1,3,1,6,3,4,1440,7.5,4.5,0
0,1,3,2,6,1,11,1490,7.5,4.5,0
0,1,24,1,6,1,18,1590,3.5,5.2,0
1,5,15,2,6,4,4,1450,2.5,4.2,0
1,5,13,1,5,2,2,1490,6.5,8.2,0
0,1,3,1,6,3,4,1560,6.5,4.7,0
1,1,2,2,1,3,4,1600,8.5,7.5,0
1,0,4,2,6,2,0,1380,5.5,1.5,0
1,1,3,2,6,1,6,1540,6.5,4.7,0
1,1,24,1,6,3,2,1560,7.5,7.8,0
1,5,3,2,0,1,2,1560,5.5,1.5,0
1,1,3,2,6,3,16,1560,7.5,6.5,0
0,1,11,2,6,3,4,1590,6.5,3.5,0
0,1,21,3,6,3,4,1570,6.5,4.2,0
0,1,3,2,6,0,4,1340,4.0,2.5,0
0,5,10,1,6,3,4,1600,6.5,7.5,0
0,1,10,2,6,1,6,1590,5.5,2.5,0
0,1,20,2,6,0,16,1550,6.5,6.2,0
0,1,23,1,6,3,4,1570,6.5,4.5,0
1,2,10,2,5,3,4,1520,5.5,3.5,0
0,1,8,1,5,3,1,1590,8.5,6.8,0
1,1,13,2,6,3,4,1540,6.5,6.5,0
0,3,0,1,6,4,4,1450,1.5,3.5,0
1,1,13,2,5,3,1,1550,8.5,7.2,0
1,1,26,2,6,3,6,1540,3.5,2.5,0
0,1,3,2,0,0,6,1400,5.5,1.0,0
1,0,0,2,6,3,4,1420,5.5,2.5,0
0,1,23,1,6,1,4,1500,6.5,4.5,0
0,1,7,2,6,0,4,1540,5.5,3.5,0
0,1,3,1,6,0,1,1540,2.5,4.5,0
0,4,29,2,0,4,0,1420,6.5,2.5,0
0,1,10,2,6,3,1,1440,5.5,6.5,0
0,1,4,2,6,3,1,1530,6.5,4.5,0
0,1,25,2,6,3,7,1480,3.0,4.5,0
1,5,22,2,0,3,4,1560,2.5,4.5,0
1,1,0,2,6,3,6,1520,7.5,4.2,0
1,2,20,2,5,3,1,1410,3.5,2.5,0
0,2,7,3,6,4,4,1500,7.5,4.5,0
1,1,22,2,6,3,6,1590,8.5,4.5,0
1,1,4,2,6,3,6,1510,5.5,7.5,0
1,5,27,1,6,1,9,1400,3.0,6.7,0
1,1,11,2,5,3,4,1520,6.5,4.5,0
0,5,20,1,6,3,4,1510,5.5,2.5,0
0,2,26,2,4,4,6,1510,7.5,7.5,0
1,3,26,1,0,4,1,1440,7.5,8.7,0
1,1,26,2,0,3,4,1560,8.5,6.5,0
1,1,3,2,5,3,2,1530,3.5,4.8,0
0,1,3,2,1,3,4,1540,5.5,3.5,0
0,3,6,2,6,4,3,1380,3.5,3.5,0
1,1,24,2,6,3,0,1550,6.5,7.5,0
2,1,3,2,6,3,4,1590,3.5,6.2,0
1,2,0,2,0,3,1,1420,7.5,0.0,0
1,5,20,2,6,3,8,1600,7.5,8.7,0
1,1,1,1,5,3,4,1510,7.5,8.5,0
0,1,8,2,6,3,19,1500,7.5,4.2,0
1,1,3,1,5,3,2,1520,6.5,2.5,0
0,1,3,2,6,0,1,1550,6.5,8.5,0
1,1,4,2,6,3,0,1560,6.5,4.5,0
1,1,3,2,5,3,4,1510,7.5,7.5,0
0,5,6,2,6,0,6,1430,7.0,4.5,0
2,1,13,2,1,0,4,1380,5.5,2.5,0
1,1,24,3,0,3,0,1560,7.5,8.2,0
0,1,4,1,6,3,4,1390,7.5,7.5,0
1,1,3,1,6,3,4,1550,6.0,6.5,0
0,5,6,2,4,1,16,1420,5.5,4.5,0
1,1,3,1,6,3,4,1560,5.5,6.5,0
1,1,5,2,5,3,0,1520,7.5,4.5,0
0,2,20,2,6,4,17,1430,5.0,4.2,0
0,5,3,0,6,3,4,1470,6.5,4.5,0
1,1,3,2,0,3,4,1480,5.5,0.0,0
1,1,24,3,6,3,4,1580,6.5,7.3,0
1,2,4,1,4,4,4,1490,6.5,6.5,0
0,1,3,2,1,3,6,1550,6.5,4.5,0
1,1,23,2,6,3,4,1580,7.5,7.5,0
1,1,7,2,5,3,6,1550,7.5,8.2,0
1,2,26,1,5,4,8,1520,5.5,7.5,0
0,1,4,1,6,3,1,1410,6.5,2.5,0
1,5,15,2,6,3,4,1510,7.5,7.3,0
1,1,11,2,2,3,4,1550,6.5,7.3,0
1,1,3,1,5,3,2,1590,7.5,7.5,0
1,5,4,2,6,4,6,1500,6.5,6.7,0
1,1,0,2,5,3,4,1560,5.0,4.5,0
1,3,24,2,0,0,4,1320,2.0,7.2,0
1,1,21,2,6,1,1,1560,5.0,3.5,0
2,1,13,2,6,4,13,1500,6.5,6.5,0
0,5,3,2,6,2,4,1570,7.5,6.5,0
0,1,3,1,0,3,6,1580,8.5,7.5,0
0,1,3,0,6,3,4,1580,2.5,3.7,0
1,5,6,2,5,3,4,1490,7.5,4.5,0
0,1,23,2,5,0,16,1570,7.5,4.5,0
0,1,15,2,6,4,2,1370,7.5,6.5,0
0,1,26,3,6,3,4,1560,7.0,4.5,0
1,2,2,3,6,4,4,1510,1.0,6.5,0
1,1,3,2,6,0,6,1540,7.5,7.5,0
0,1,3,1,5,3,0,1370,8.5,6.8,0
1,1,11,2,0,0,4,1530,8.5,6.5,0
0,1,3,1,6,1,6,1560,5.0,6.5,0
1,3,3,2,6,3,6,1370,5.0,2.5,0
1,1,8,2,5,3,4,1530,8.5,8.1,0
1,1,10,0,6,1,4,1460,2.0,3.5,0
1,5,3,2,0,3,4,1470,7.0,6.5,0
1,1,3,1,6,1,6,1600,6.5,3.7,0
0,1,4,2,6,3,0,1550,7.5,4.5,0
1,5,9,2,0,3,18,1430,6.5,9.5,0
1,5,9,2,0,3,18,1430,6.5,9.5,0
1,5,10,2,6,3,6,1550,7.5,6.5,0
0,2,5,2,6,4,16,1520,7.5,8.7,0
0,1,15,0,5,3,6,1540,7.5,8.7,0
0,5,22,2,0,3,4,1560,7.5,4.5,0
0,5,22,2,0,3,4,1560,7.5,4.5,0
1,1,20,2,6,3,4,1590,8.5,6.3,0
1,3,24,2,0,0,0,1320,2.0,6.5,0
0,1,3,1,5,3,20,1570,4.0,7.5,0
1,1,3,2,0,3,11,1560,5.5,7.5,0
1,1,3,1,6,3,2,1570,7.5,6.2,0
0,5,25,2,6,1,13,1410,5.0,6.2,0
1,3,0,1,6,3,2,1500,6.5,6.5,0
1,1,0,1,5,3,4,1560,5.5,6.5,0
1,2,11,2,5,3,4,1280,6.5,6.8,0
1,1,3,1,1,3,20,1440,6.5,2.5,0
1,1,7,3,6,2,1,1580,5.0,3.5,0
1,5,11,2,0,4,4,1580,5.5,1.5,2
0,5,20,2,0,4,13,1240,4.5,2.0,2
0,2,20,2,6,4,6,1390,5.5,4.2,2
0,1,3,1,5,3,3,1560,6.5,2.5,2
1,1,0,1,6,0,3,1300,6.0,7.5,2
1,1,3,2,6,0,6,1460,6.5,4.2,2
0,2,0,2,0,4,2,1430,6.5,4.5,2
1,1,3,2,6,4,4,1100,5.0,7.2,2
1,1,0,2,6,0,2,1480,5.5,7.2,2
1,1,3,1,6,3,4,1440,7.5,4.5,2
1,5,6,2,6,3,1,1390,5.0,4.5,2
1,2,10,2,6,4,6,1000,5.5,6.5,2
1,1,3,2,0,3,4,1570,6.5,2.5,2
1,5,6,3,6,3,4,1540,3.5,4.5,2
0,5,3,2,6,3,6,1350,5.5,2.5,2
0,5,18,1,7,4,16,1500,5.5,4.5,2
0,1,9,0,5,3,10,1380,5.5,6.8,2
1,2,0,1,6,4,1,1520,6.5,3.5,2
0,1,22,2,5,0,18,1030,1.0,2.5,2
0,5,10,1,6,3,4,1600,6.5,7.5,2
0,0,22,2,6,3,2,1560,6.5,6.5,2
1,1,20,2,6,3,1,1570,8.5,2.5,2
1,1,13,1,5,3,4,1510,6.5,6.8,2
1,1,3,3,6,3,6,1520,5.0,6.8,2
0,5,0,1,5,1,4,1560,6.5,4.2,2
0,1,4,1,6,3,6,1500,6.5,4.2,2
0,5,26,2,6,3,2,1340,6.5,4.5,2
1,1,22,2,6,3,4,1540,5.5,2.5,2
1,1,13,2,6,1,4,1530,6.5,4.2,2
0,5,9,2,6,3,16,1200,6.5,7.5,2
2,5,20,1,6,1,0,1430,1.5,2.5,2
0,2,27,2,0,4,18,1370,5.0,6.5,2
1,1,3,2,6,3,6,1510,5.0,3.5,2
0,1,3,2,6,1,16,1540,6.5,6.5,2
1,1,23,2,0,3,4,1590,5.0,2.5,2
0,1,11,2,5,1,16,1480,6.5,1.5,2
1,5,11,2,0,3,9,1450,3.5,9.5,2
0,1,23,2,6,1,6,1550,7.5,4.5,2
1,1,11,2,5,3,4,1520,6.5,4.5,2
1,1,27,2,6,3,4,1540,6.5,4.5,2
0,1,3,2,5,4,6,1510,8.5,6.5,2
1,1,15,1,5,3,4,1510,6.5,3.7,2
2,5,5,0,6,1,4,1470,6.5,4.5,2
1,1,15,2,6,3,5,1520,6.5,7.5,2
1,1,26,2,6,0,6,1500,2.5,4.5,2
1,1,3,3,6,3,4,1580,6.5,4.2,2
1,1,3,2,0,1,4,1500,3.0,4.5,2
0,1,3,1,6,3,4,1530,6.5,4.1,2
0,1,22,1,6,3,2,1560,6.5,3.5,2
1,1,3,2,6,3,4,1600,8.5,4.5,2
1,5,3,2,5,1,4,1580,7.5,8.2,2
1,1,3,3,6,3,4,1480,5.5,3.7,2
0,1,28,1,0,3,6,1530,6.5,6.5,2
1,1,3,2,0,3,7,1530,6.5,4.5,2
1,1,3,2,6,0,4,1480,8.5,6.3,2
1,1,24,2,0,3,4,1560,6.5,4.5,2
1,1,10,1,6,4,16,1380,5.0,4.5,2
1,5,3,1,6,3,4,1440,1.0,4.5,2
1,1,15,3,5,3,4,1530,6.5,2.5,2
0,1,0,2,6,0,0,1510,6.5,4.5,2
1,5,12,1,6,3,4,1430,4.5,4.5,2
0,0,4,1,6,4,3,1500,6.5,3.7,2
1,1,3,1,6,3,4,1580,6.5,4.2,2
1,1,3,1,6,3,15,1540,8.5,4.2,2
0,1,3,0,6,3,1,1520,7.5,7.5,2
0,1,14,2,0,3,2,1390,6.5,0.0,2
0,1,0,1,0,3,4,1580,6.5,6.5,2
1,1,4,2,0,3,4,1480,6.5,3.6,2
1,1,19,1,6,3,4,1470,7.5,8.0,2
1,1,3,2,6,3,6,1510,6.5,4.5,2
1,1,3,1,6,3,4,1560,4.5,6.8,2
0,1,18,2,6,3,4,1560,8.5,6.5,2
1,1,3,2,6,1,2,1590,6.5,4.5,2
1,1,3,2,6,3,4,1400,2.0,2.5,2
0,2,4,0,6,4,15,1530,7.5,3.7,2
1,1,3,2,6,2,4,1560,3.5,4.5,2
0,1,3,2,6,3,19,1530,6.5,4.2,2
0,1,11,2,0,4,14,1520,6.5,4.5,2
0,1,4,2,0,3,2,1540,6.5,1.0,2
1,1,3,2,6,1,1,1430,4.5,6.8,2
1,1,11,2,5,3,2,1470,8.5,6.5,2
1,1,3,2,6,1,2,1590,6.5,6.5,2
1,1,3,2,6,3,4,1590,6.5,2.5,2
1,2,4,1,4,4,4,1490,6.5,6.5,2
2,1,22,1,1,3,4,1540,2.5,4.5,2
0,1,3,2,1,3,6,1550,6.5,4.5,2
0,1,18,2,6,3,4,1560,8.5,6.5,2
1,1,15,2,6,3,12,1570,8.5,7.8,2
0,5,3,0,5,3,4,1530,5.5,6.8,2
0,1,3,3,6,3,1,1520,5.5,7.2,2
0,1,22,2,6,3,4,1520,7.5,5.8,2
1,1,15,1,5,3,2,1480,7.5,7.5,2
1,1,26,2,5,3,4,1510,7.5,8.2,2
1,1,4,1,6,3,4,1510,8.5,4.2,2
1,1,20,2,6,0,4,1510,1.0,6.3,2
0,2,7,1,0,4,0,1410,7.5,2.5,2
0,2,3,2,6,4,1,1370,6.5,2.5,2
1,1,3,2,6,3,4,1510,7.5,1.0,2
0,2,7,2,6,4,11,1260,3.5,8.5,2
1,1,20,2,6,3,4,1580,8.5,6.8,2
1,1,3,2,6,0,4,1560,7.5,1.5,2
1,5,4,0,6,3,4,1530,4.0,4.5,2
1,2,4,1,6,0,1,1360,5.0,9.2,2
1,1,15,1,0,0,4,1500,4.5,4.5,2
1,1,22,1,6,3,4,1450,8.5,6.5,2
1,5,11,2,5,3,4,1580,8.5,8.7,2
0,5,6,2,4,1,16,1420,5.5,4.2,2
1,1,3,2,0,3,6,1520,6.5,8.5,2
1,5,17,2,5,3,2,1450,6.5,3.5,2
0,1,3,1,0,1,9,1450,6.5,4.5,2
1,3,3,2,6,4,4,1350,5.5,6.5,2
1,1,10,1,6,3,4,1550,6.5,7.5,2
0,1,22,2,5,3,4,1500,6.5,4.5,2
1,1,3,1,5,3,4,1580,8.5,4.5,2
1,1,3,2,7,1,2,1350,2.5,2.5,2
1,5,22,2,0,3,4,1530,8.5,1.0,2
1,1,3,0,5,3,4,1530,6.5,7.5,2
1,2,0,2,0,4,11,1570,6.5,6.1,2
0,1,15,2,6,3,2,1600,8.5,8.1,2
1,3,13,3,7,3,1,1550,5.5,6.2,2
3,1,24,2,6,3,6,1560,5.0,2.5,2
0,5,11,2,6,0,0,1350,5.5,7.5,2
0,1,22,2,6,3,4,1530,3.5,6.5,2
0,1,3,3,6,0,4,1530,6.5,2.5,2
0,1,3,2,6,0,4,1530,6.5,8.2,2
1,5,22,2,6,3,12,1510,7.5,6.5,2
1,1,8,2,5,3,4,1530,8.5,8.1,2
0,1,3,2,5,3,17,1590,6.5,4.5,2
1,5,0,2,6,3,9,1540,5.0,2.5,2
0,2,0,2,6,3,6,1360,6.5,2.5,2
1,5,3,2,0,3,4,1470,7.0,6.5,2
0,1,26,2,5,3,19,1570,-1.0,2.5,2
1,1,3,1,6,1,6,1600,6.5,3.7,2
1,3,3,3,6,3,6,1310,2.0,4.2,2
1,1,3,1,6,3,0,1450,2.5,4.5,2
1,0,3,2,6,3,4,1570,8.5,6.5,2
1,0,3,2,6,3,4,1570,8.5,6.8,2
1,1,10,2,6,3,6,1540,7.5,7.5,2
0,3,6,2,0,0,4,1460,5.5,7.2,2
1,1,3,2,6,3,6,1570,4.5,3.7,2
1,1,3,2,6,3,6,1570,4.0,2.5,2
1,1,22,1,6,3,4,1570,4.8,5.1,2
1,1,3,2,6,3,4,1520,7.0,3.5,2
1,1,0,2,6,3,4,1500,8.5,2.5,2
1,2,7,1,5,4,19,1380,3.0,2.5,2
0,1,3,1,6,3,2,1500,6.5,4.2,2
1,1,3,2,6,3,4,1530,6.5,6.2,2
1,5,3,2,5,3,6,1330,8.5,6.5,2
0,1,3,2,6,3,7,1450,8.5,7.5,2
1,5,0,2,0,0,4,1460,3.5,7.5,2
1,1,3,2,6,3,4,1550,3.0,3.5,2
1,1,22,1,5,3,4,1580,6.5,4.5,2
1,3,3,2,7,0,1,1320,6.5,2.5,2
0,5,25,2,6,1,13,1410,5.0,6.2,2
0,5,0,2,0,3,19,1540,7.5,6.8,2
0,1,0,2,6,3,2,1550,6.5,6.8,2
0,1,24,1,3,3,6,1540,6.5,4.2,2
1,1,26,2,0,3,6,1520,7.5,2.5,2
0,1,11,0,5,3,4,1570,8.5,5.5,2
1,1,3,2,6,3,4,1600,10.0,2.5,2
0,1,15,2,0,3,4,1550,6.5,2.0,2
0,1,11,3,6,4,13,1200,1.5,3.5,2
1,1,28,1,6,3,2,1510,6.5,5.5,2
0,1,3,1,6,3,4,1550,6.5,4.7,2
0,1,3,1,6,3,4,1590,7.5,3.5,2
1,1,3,2,6,3,4,1580,6.5,7.5,2
0,1,3,1,6,3,4,1570,6.5,4.5,1
0,1,3,1,5,3,6,1580,4.5,6.2,1
1,1,24,2,6,3,4,1570,6.0,2.5,1
1,1,12,1,6,3,2,1530,8.5,2.5,1
1,2,7,1,5,4,19,1380,2.0,3.5,1
1,1,15,3,6,3,11,1550,5.5,7.3,1
0,1,3,1,6,3,4,1550,6.5,4.7,1
