Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
1,5,9,2,0,4,3,1580,5.5,1.5,0
0,2,22,3,5,4,5,1520,3.0,2.5,0
1,5,22,2,0,3,8,1560,6.5,3.5,0
0,5,22,2,5,4,3,1420,5.5,4.5,0
1,1,3,1,5,3,3,1440,7.5,4.5,0
0,0,22,2,5,3,14,1560,7.5,4.7,0
1,1,22,2,5,3,3,1480,8.2,5.5,0
1,5,14,1,5,3,5,1460,8.0,7.5,0
0,1,22,1,5,1,14,1590,3.5,5.2,0
0,3,22,2,5,4,0,1430,3.5,6.5,0
1,1,0,2,5,3,3,1520,8.5,4.5,0
1,1,22,1,5,3,3,1530,6.5,4.2,0
1,5,9,2,0,4,3,1580,6.5,6.5,0
0,5,22,0,5,1,3,1510,3.5,3.7,0
0,3,5,2,5,4,3,1550,7.5,4.5,0
1,5,14,2,5,3,3,1520,6.5,7.2,0
1,1,24,2,5,1,3,1570,7.5,6.2,0
1,1,24,2,5,3,3,1560,5.0,4.2,0
0,0,22,1,5,0,15,1320,2.5,7.8,0
0,5,22,2,5,3,12,1300,6.5,7.5,0
1,5,22,2,5,3,5,1490,6.5,7.5,0
1,3,22,2,5,4,12,1530,7.5,7.2,0
1,1,22,1,5,3,5,1550,4.0,2.5,0
0,1,22,2,5,0,1,1370,6.5,4.5,0
1,1,9,2,4,3,0,1560,7.5,7.5,0
1,1,3,2,5,3,5,1460,1.0,4.2,0
0,3,22,3,5,4,3,1520,7.5,4.5,0
1,1,3,2,0,1,5,1590,5.5,1.5,0
0,1,22,2,5,3,3,1520,6.5,4.5,0
1,1,22,2,5,3,1,1570,7.5,7.7,0
1,1,4,2,5,3,5,1510,5.5,7.5,0
1,5,0,1,0,3,5,1430,5.0,6.5,0
1,5,22,1,5,3,3,1590,6.5,3.5,0
1,3,24,1,0,4,1,1440,7.5,8.7,0
1,1,3,3,5,3,3,1580,6.5,4.2,0
0,1,24,3,5,3,5,1560,6.5,6.5,0
1,1,4,1,5,1,2,1230,4.5,3.5,0
1,1,22,2,0,3,3,1560,6.5,4.5,0
0,2,22,3,5,4,0,1470,7.5,2.5,0
1,1,3,2,5,0,7,1490,6.5,2.5,0
1,1,22,2,4,3,16,1360,6.5,2.5,0
0,1,0,2,0,0,2,1540,6.5,1.5,0
0,3,22,3,5,4,1,1560,7.5,8.2,0
1,1,22,3,5,0,3,1530,5.5,7.9,0
1,1,22,3,0,3,0,1560,7.5,8.2,0
1,1,3,1,5,3,3,1560,5.5,6.5,0
1,5,22,2,5,4,5,1180,3.5,7.5,0
0,1,4,2,0,3,2,1540,6.5,1.0,0
1,1,22,3,5,3,3,1580,6.5,7.3,0
0,5,22,2,5,0,5,1530,7.5,3.7,0
1,1,11,2,1,3,1,1560,6.5,7.0,0
1,1,22,2,5,3,0,1560,8.5,6.5,0
1,5,22,1,5,3,3,1440,8.5,5.6,0
1,2,22,1,4,4,3,1510,7.5,6.8,0
0,1,22,2,5,3,0,1390,7.5,2.5,0
1,1,22,2,0,3,3,1330,6.0,2.5,0
1,1,15,2,0,1,5,1580,6.5,7.6,0
1,1,0,3,0,3,5,1420,6.0,8.6,0
1,5,24,1,5,3,13,1340,4.0,4.2,0
0,1,22,2,5,3,10,1460,6.5,4.5,0
2,1,15,2,0,3,3,1590,6.5,1.0,0
1,1,22,1,5,3,3,1490,5.5,4.2,0
1,1,20,1,5,3,3,1570,4.8,5.1,0
1,1,22,2,0,3,3,1550,6.5,9.5,0
0,1,3,1,5,3,3,1600,6.0,6.5,0
1,1,24,3,5,3,3,1550,8.5,6.5,0
1,5,0,2,0,0,3,1460,3.5,7.5,0
1,5,4,2,5,3,3,1530,7.5,3.7,0
1,5,22,0,5,3,10,1340,3.0,6.8,0
1,2,3,1,5,4,3,1520,2.5,4.2,0
1,2,22,2,0,4,1,1230,7.5,1.5,0
0,1,9,0,4,3,3,1570,8.5,5.5,0
1,5,22,2,4,3,3,1570,1.5,3.5,0
1,3,22,2,5,4,17,1530,5.0,6.5,0
0,1,3,2,0,3,3,1570,8.5,4.5,2
1,1,12,1,5,3,3,1560,6.5,6.5,2
1,1,3,1,5,3,3,1440,7.5,4.5,2
0,2,3,2,5,4,1,1080,1.5,6.2,2
1,1,22,2,5,3,0,1550,7.5,4.5,2
1,1,0,2,5,3,3,1560,5.5,4.5,2
0,3,22,2,1,4,9,1400,5.0,1.5,2
1,5,22,2,5,3,3,1490,8.5,8.5,2
1,1,22,1,5,3,2,1560,7.5,7.8,2
1,5,3,1,5,3,2,1520,6.5,6.5,2
1,1,3,2,5,3,3,1520,7.5,6.8,2
1,1,12,1,4,3,3,1510,6.5,6.8,2
0,1,9,2,5,3,14,1450,6.5,6.5,2
1,1,22,3,5,3,3,1550,5.5,2.5,2
1,5,22,2,3,4,3,1570,4.5,4.5,2
1,1,8,1,5,0,3,1590,8.5,4.5,2
0,1,14,3,4,3,1,1580,4.5,8.5,2
1,1,9,2,4,3,0,1560,7.5,7.5,2
1,1,22,2,5,3,3,1470,6.5,4.5,2
1,1,22,1,0,3,6,1490,6.5,3.5,2
1,5,26,0,5,3,3,1530,6.5,6.5,2
0,0,3,1,0,3,9,1560,6.5,8.5,2
1,4,12,2,4,3,3,1240,5.0,7.8,2
0,1,21,2,5,1,5,1550,7.5,4.5,2
1,1,14,1,4,3,3,1510,6.5,3.7,2
0,1,22,2,5,2,3,1560,6.5,3.7,2
1,1,14,2,5,3,4,1520,6.5,7.5,2
1,1,3,2,4,3,2,1530,3.5,4.8,2
1,1,3,2,0,1,3,1500,3.0,4.5,2
1,1,1,1,4,3,3,1510,7.5,8.5,2
1,1,23,3,5,3,3,1530,8.5,7.5,2
1,5,22,1,4,1,3,1470,6.5,7.5,2
1,3,3,2,5,4,3,1470,7.5,6.5,2
1,1,27,2,4,3,2,1490,6.5,2.5,2
0,1,13,2,0,3,2,1390,6.5,0.0,2
1,1,22,2,5,3,3,1570,6.0,2.5,2
1,1,3,2,0,3,3,1540,6.5,1.0,2
1,1,10,1,4,3,5,1520,7.5,4.5,2
1,1,21,2,4,3,0,1480,-1.0,7.2,2
1,1,3,1,0,3,3,1530,7.5,7.2,2
1,1,18,1,5,3,3,1470,7.5,8.0,2
1,1,3,2,5,3,3,1550,8.5,4.5,2
1,1,3,2,5,3,5,1510,6.5,4.5,2
1,1,9,3,4,3,3,1470,8.5,7.5,2
0,1,17,2,5,3,3,1560,8.5,6.5,2
1,1,0,1,5,0,3,1440,2.0,6.5,2
1,1,27,2,4,3,2,1490,6.5,3.5,2
1,1,22,1,5,1,3,1490,6.5,6.5,2
1,1,3,1,5,3,3,1590,6.5,2.5,2
0,1,17,2,5,3,3,1560,8.5,6.5,2
1,5,0,2,1,3,3,1130,6.5,7.5,2
1,2,25,2,5,3,3,1500,2.0,6.5,2
1,3,14,2,4,0,3,1460,6.5,3.7,2
1,1,3,1,5,3,3,1540,8.5,7.5,2
1,1,3,2,5,0,3,1560,7.5,1.5,2
1,5,4,0,5,3,3,1530,4.0,4.5,2
1,2,4,1,5,0,1,1360,5.0,9.2,2
1,1,14,1,0,0,3,1500,4.5,4.5,2
1,5,9,2,4,3,3,1580,8.5,8.7,2
1,1,26,2,5,3,3,1500,7.5,8.5,2
0,1,26,2,5,3,3,1350,6.5,7.5,2
1,1,4,1,5,3,3,1570,8.5,2.5,2
1,1,2,2,5,3,3,1520,3.0,2.5,2
0,1,22,2,5,3,0,1390,7.5,2.5,2
1,1,3,1,5,3,3,1470,4.0,7.5,2
1,1,22,2,0,3,3,1450,6.5,1.5,2
1,1,17,2,5,3,3,1580,6.5,1.5,2
1,1,21,2,4,3,0,1480,-1.0,7.8,2
0,1,14,2,5,3,2,1600,8.5,8.1,2
0,2,22,1,1,3,5,1280,5.5,1.0,2
1,1,22,2,5,3,3,1510,5.0,4.5,2
3,5,9,1,5,3,2,1520,7.5,9.2,2
1,2,16,1,0,4,3,1570,6.5,6.8,2
1,3,3,2,0,3,5,1310,6.0,0.0,2
1,1,5,2,4,3,3,1590,9.5,6.5,2
