Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
1,0,7,0,2,3,0,1550,7.5,4.5,0
0,0,7,1,2,1,6,1590,3.5,5.2,0
1,2,7,0,2,3,2,1490,8.5,8.5,0
0,0,10,1,2,3,5,1510,6.5,6.2,0
1,2,7,0,2,3,3,1490,6.5,7.5,0
1,0,7,1,2,3,3,1550,4.0,2.5,0
0,0,6,0,2,3,2,1570,3.5,1.5,0
0,0,2,0,2,3,2,1550,6.5,7.3,0
0,0,9,0,2,3,7,1420,7.5,6.8,0
0,0,7,0,2,2,2,1560,6.5,3.7,0
0,0,9,2,2,3,3,1560,6.5,6.5,0
1,0,7,0,0,3,2,1560,6.5,4.5,0
1,0,11,0,0,3,2,1570,7.5,6.5,0
1,0,8,2,2,3,2,1530,8.5,7.5,0
1,0,7,2,0,3,0,1560,7.5,8.2,0
1,0,4,1,2,3,2,1470,7.5,8.0,0
0,0,3,1,2,0,8,1460,6.5,2.5,0
1,0,7,0,2,3,0,1560,8.5,6.5,0
1,1,7,1,1,4,2,1510,7.5,6.8,0
0,0,5,0,1,3,2,1500,6.5,4.5,0
1,0,7,0,0,3,2,1450,6.5,1.5,0
1,0,7,0,0,3,2,1330,6.0,2.5,0
0,0,7,0,2,3,4,1460,6.5,4.5,0
1,0,7,0,0,3,3,1470,5.0,4.5,0
0,0,7,1,0,3,2,1500,7.5,8.3,0
1,0,7,1,2,3,2,1490,5.5,4.2,0
1,0,1,0,0,3,2,1480,6.5,4.5,0
1,0,0,0,2,3,2,1550,4.5,2.5,0
1,2,11,0,2,1,1,1320,2.5,6.2,2
1,0,7,0,0,3,2,1450,6.5,1.5,2
