Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
0,1,13,1,6,2,14,1580,7.5,7.5,0
1,4,10,0,6,1,4,1530,7.5,2.5,0
1,1,0,2,6,2,4,1330,2.5,5.7,0
0,1,19,1,6,2,8,1590,6.5,8.1,0
1,1,9,0,6,2,6,1400,5.0,4.5,0
0,1,21,1,6,2,6,1560,6.5,4.5,0
1,1,2,1,6,2,4,1440,7.5,4.5,0
1,4,5,0,6,2,1,1390,5.0,4.5,0
1,1,0,2,6,2,2,1570,8.5,4.5,0
1,2,24,0,6,3,15,1470,6.5,2.5,0
1,4,24,0,6,2,4,1490,8.5,8.5,0
1,4,10,0,6,1,4,1530,7.5,2.5,0
1,4,2,0,0,1,2,1560,5.5,1.5,0
0,4,26,0,6,1,4,1590,4.5,7.2,0
0,4,2,2,6,2,4,1570,8.5,4.7,0
1,4,13,1,6,2,0,1450,7.5,6.5,0
1,4,2,1,6,2,4,1600,5.5,6.2,0
1,1,21,0,0,2,6,1540,6.5,4.5,0
1,4,12,0,6,2,6,1480,4.0,7.5,0
1,4,19,0,6,2,4,1540,8.5,4.5,0
0,4,19,0,6,2,1,1580,7.5,6.5,0
1,4,13,2,6,2,15,1590,6.5,6.7,0
1,1,27,2,7,2,1,1570,8.5,7.5,0
0,4,3,1,6,1,6,1430,6.5,6.5,0
1,3,10,0,6,3,1,1510,6.5,4.5,0
1,1,6,0,6,1,6,1570,6.5,6.5,0
1,4,0,1,6,2,4,1550,4.5,6.5,0
0,1,21,1,6,2,4,1440,6.5,6.5,0
0,1,26,1,6,2,15,1510,6.5,6.2,0
1,4,19,1,6,2,1,1570,3.5,4.7,0
1,4,2,0,6,2,4,1580,5.5,3.5,0
1,4,15,0,0,1,2,1300,5.0,7.5,0
0,4,26,1,6,1,13,1390,6.5,8.5,0
0,1,10,0,0,0,2,1380,5.5,2.5,0
0,1,13,1,5,2,1,1550,5.5,7.6,0
1,1,2,1,6,2,4,1500,6.5,8.2,0
0,0,2,1,0,2,12,1560,6.5,8.5,0
0,1,19,0,6,2,16,1520,6.5,6.5,0
1,1,2,1,6,2,4,1500,6.5,7.8,0
1,1,2,0,0,1,6,1590,5.5,1.5,0
1,4,3,2,6,2,3,1540,7.5,7.5,0
2,1,3,0,6,0,4,1320,5.5,8.5,0
1,1,0,0,6,2,6,1520,7.5,4.2,0
0,1,22,0,6,1,6,1550,7.5,4.5,0
1,4,26,1,6,1,9,1400,3.0,6.7,0
1,4,0,0,0,2,4,1590,5.5,3.5,0
1,4,26,0,6,2,7,1380,5.5,4.5,0
0,1,14,0,6,2,6,1570,7.5,6.5,0
0,4,19,1,6,2,4,1510,5.5,2.5,0
1,1,26,0,6,2,4,1540,6.5,4.5,0
1,3,25,1,0,3,1,1440,7.5,8.7,0
1,1,15,0,6,2,5,1520,6.5,7.5,0
1,4,0,1,5,1,4,1560,6.5,7.0,0
0,1,22,1,6,1,4,1510,5.0,6.5,0
0,4,3,2,5,1,6,1530,6.5,6.5,0
1,4,10,0,5,2,0,1560,6.5,3.5,0
2,1,2,0,6,2,4,1590,3.5,6.2,0
1,4,27,0,6,1,2,1320,2.5,6.2,0
0,4,26,1,6,2,4,1550,6.5,7.5,0
1,4,2,0,0,2,6,1550,6.5,1.5,0
1,4,3,0,6,2,4,1280,1.0,7.5,0
0,4,14,0,6,2,18,1500,5.5,6.5,0
1,4,21,0,6,2,3,1570,5.5,4.5,0
1,4,12,0,5,1,10,1510,5.5,7.2,0
1,1,25,0,0,1,4,1550,5.5,2.5,0
1,1,0,0,2,2,15,1460,2.0,4.5,0
0,0,3,1,6,3,3,1500,6.5,3.7,0
0,4,5,0,6,0,6,1430,7.0,4.5,0
1,1,3,1,6,2,4,1590,8.5,4.2,0
2,2,10,0,6,2,6,1120,5.5,6.5,0
0,1,3,1,6,2,4,1390,7.5,7.5,0
0,2,15,1,6,3,4,1470,5.5,4.5,0
1,1,2,0,6,2,6,1510,6.5,4.5,0
1,1,12,0,6,0,4,1410,1.0,4.5,0
0,2,3,0,6,2,2,1210,5.0,2.5,0
1,4,0,0,0,2,15,1420,3.0,8.5,0
1,1,19,0,6,2,4,1370,7.5,2.5,0
1,1,23,0,6,2,2,1390,6.5,3.7,0
0,1,2,0,6,1,4,1270,5.0,6.5,0
0,1,21,0,6,2,4,1520,7.5,7.8,0
1,4,24,0,6,3,6,1180,3.5,7.5,0
