Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
1,4,5,1,4,3,3,1530,5.0,7.0,0
1,4,1,1,4,1,3,1480,5.0,4.7,0
1,1,2,1,4,0,0,1430,5.5,2.5,0
1,4,9,0,4,3,9,1460,2.0,3.5,0
1,4,9,0,4,3,9,1460,2.0,3.5,0
1,1,14,0,4,3,0,1550,7.5,4.5,0
1,1,2,1,4,0,0,1430,5.5,2.5,0
0,1,5,0,4,1,4,1590,5.5,2.5,0
1,4,6,1,4,3,4,1570,7.5,3.5,0
0,1,15,2,4,3,7,1530,6.5,4.5,0
0,1,1,1,4,3,4,1520,5.5,4.2,0
1,1,5,1,4,0,3,1590,8.5,4.5,0
1,1,14,0,4,3,3,1470,6.5,4.5,0
0,1,13,0,4,3,3,1570,3.5,1.5,0
0,4,5,0,4,3,1,1430,3.5,7.3,0
1,1,1,0,4,3,3,1600,5.0,0.0,0
1,1,1,0,3,3,2,1530,3.5,4.8,0
1,1,1,2,4,3,3,1580,6.5,4.2,0
1,1,1,0,0,1,3,1500,3.0,4.5,0
0,1,1,1,4,3,3,1530,6.5,4.1,0
1,4,0,1,4,1,3,1560,7.5,6.8,0
1,1,17,0,0,3,3,1570,7.5,6.5,0
1,1,1,0,3,3,3,1550,6.5,2.5,0
1,1,1,1,4,3,3,1550,6.0,6.5,0
1,1,1,0,4,3,3,1550,8.5,4.5,0
1,1,1,0,4,1,1,1430,4.5,6.8,0
1,1,3,1,4,3,3,1500,6.5,4.2,0
1,1,0,2,4,3,7,1520,7.5,6.5,0
1,2,5,0,4,4,3,1430,6.5,9.5,0
1,1,16,0,3,3,3,1510,7.5,8.2,0
1,1,1,0,4,3,3,1510,7.5,1.0,0
0,1,6,0,4,3,3,1530,5.5,7.5,0
1,1,10,0,4,3,7,1550,7.0,7.5,0
1,4,5,0,3,3,3,1460,4.5,8.6,0
1,1,14,0,0,3,3,1450,6.5,1.5,0
2,1,8,0,4,4,6,1500,6.5,6.5,0
0,4,1,0,4,2,3,1570,7.5,6.5,0
1,1,1,0,3,3,3,1600,7.5,6.5,0
1,4,5,0,0,3,3,1530,5.5,1.0,0
1,4,5,0,0,3,3,1530,5.5,1.0,0
0,1,1,0,0,3,3,1500,6.5,6.5,0
2,1,11,0,0,3,5,1580,6.0,2.3,0
1,1,1,0,4,0,4,1540,7.5,7.5,0
0,1,6,0,4,3,0,1540,5.5,1.0,0
0,1,14,1,0,3,3,1500,7.5,8.3,0
0,1,0,0,1,3,8,1400,6.5,4.5,0
1,1,14,1,4,3,3,1490,5.5,4.2,0
1,1,12,1,3,3,3,1480,5.5,2.5,0
1,1,12,1,4,3,3,1570,4.8,5.1,0
1,1,8,0,0,3,3,1480,6.5,4.5,0
1,1,1,0,4,3,3,1550,3.0,3.5,0
1,4,0,0,0,1,3,1500,4.5,3.7,0
0,0,0,0,4,3,3,1570,7.5,8.1,0
1,3,1,0,2,4,3,1520,6.5,3.5,0
1,4,10,0,0,1,2,1300,5.0,7.5,2
1,1,4,2,0,3,0,1570,3.5,3.5,2
1,1,13,0,3,3,0,1480,-1.0,7.2,2
1,1,1,0,4,3,4,1510,6.5,4.5,2
0,1,17,1,4,3,7,1320,6.5,8.5,2
1,3,11,0,0,1,4,1310,7.5,4.5,2
1,2,2,1,4,0,1,1360,5.0,9.2,2
1,1,12,1,4,3,3,1450,8.5,6.5,2
1,1,13,0,3,3,0,1480,-1.0,7.8,2
0,1,1,1,4,1,4,1560,5.0,6.5,2
0,1,1,1,4,1,0,1410,5.5,2.5,2
1,1,1,0,4,3,4,1570,4.5,3.7,2
1,1,11,0,3,4,3,1340,6.5,4.2,2
1,1,11,0,3,4,3,1340,6.5,4.2,2
1,1,1,0,4,3,4,1570,4.0,2.5,2
3,1,1,0,4,1,3,1530,6.0,4.3,2
1,1,1,1,4,3,3,1580,6.5,4.2,1
0,1,17,1,4,3,7,1320,7.5,7.8,1
1,1,1,1,4,3,3,1540,8.5,7.5,1
1,1,7,0,3,3,3,1450,2.0,0.0,1
1,1,1,2,4,3,4,1580,2.5,3.0,1
1,1,1,0,4,3,3,1550,4.5,2.5,1
