Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
1,4,6,1,4,1,4,1530,7.5,2.5,0
1,1,0,2,4,2,4,1330,2.5,5.7,0
1,1,5,1,4,2,6,1400,5.0,4.5,0
1,1,2,0,4,2,4,1440,7.5,4.5,0
1,4,13,1,4,2,4,1490,8.5,8.5,0
1,4,6,1,4,1,4,1530,7.5,2.5,0
1,4,8,0,4,2,0,1450,7.5,6.5,0
1,4,7,1,4,2,6,1480,4.0,7.5,0
1,3,6,1,4,3,1,1510,6.5,4.5,0
0,1,11,0,4,2,4,1440,6.5,6.5,0
0,0,2,0,0,2,9,1560,6.5,8.5,0
1,1,2,1,0,1,6,1590,5.5,1.5,0
2,1,3,1,4,0,4,1320,5.5,8.5,0
0,1,12,1,4,1,6,1550,7.5,4.5,0
1,4,15,1,4,2,7,1380,5.5,4.5,0
1,1,15,1,4,2,4,1540,6.5,4.5,0
1,3,14,0,0,3,1,1440,7.5,8.7,0
1,1,9,1,4,2,5,1520,6.5,7.5,0
0,4,15,0,4,2,4,1550,6.5,7.5,0
1,4,2,1,0,2,6,1550,6.5,1.5,0
0,0,3,0,4,3,3,1500,6.5,3.7,0
1,1,2,1,4,2,6,1510,6.5,4.5,0
1,1,7,1,4,0,4,1410,1.0,4.5,0
0,2,3,1,4,2,2,1210,5.0,2.5,0
1,1,10,1,4,2,4,1370,7.5,2.5,0
0,1,2,1,4,1,4,1270,5.0,6.5,0
1,2,15,1,4,2,4,1500,2.0,6.5,0
1,0,1,0,3,3,4,1580,7.5,4.7,0
0,2,14,0,4,3,12,1240,6.5,7.5,0
1,1,15,1,4,0,4,1510,6.5,7.5,0
0,1,16,1,4,2,4,1350,6.5,7.5,0
0,1,6,1,4,2,4,1530,5.5,7.5,0
1,1,2,1,0,0,6,1550,2.5,4.5,0
1,2,2,1,2,2,4,1550,7.5,4.5,0
0,2,5,0,4,3,4,1520,6.5,4.5,0
1,2,4,0,3,3,4,1550,1.0,6.5,0
1,1,0,0,4,2,12,1480,3.5,2.5,0
0,1,15,0,4,2,4,1570,7.5,6.5,0
1,1,15,1,3,2,9,1530,2.0,5.5,0
1,1,13,1,0,2,4,1550,6.5,9.5,0
1,1,2,1,4,2,4,1530,6.5,4.5,0
0,1,0,0,4,2,4,1550,7.5,4.2,0
0,1,6,2,4,3,10,1200,1.5,3.5,0
2,4,6,1,4,2,1,1450,5.0,6.7,0
0,4,9,0,4,2,4,1310,8.5,3.5,2
1,4,9,1,0,1,2,1300,5.0,7.5,2
0,1,11,1,0,2,1,1310,1.5,4.8,2
1,4,3,1,0,2,2,1460,4.5,4.5,2
1,4,6,1,3,2,0,1560,6.5,3.5,2
0,4,9,0,4,2,4,1310,8.5,3.5,2
1,4,1,1,4,2,4,1550,6.5,6.5,2
0,1,0,1,4,1,4,1570,6.5,2.5,2
1,1,12,1,3,2,0,1480,-1.0,7.2,2
1,1,12,1,3,2,0,1480,-1.0,7.8,2
1,4,11,1,4,2,6,1520,1.5,6.5,2
0,2,13,0,1,2,6,1280,5.5,1.0,2
1,4,11,0,4,2,4,1520,8.5,8.5,2
1,4,9,1,0,1,6,1580,3.5,1.5,2
1,4,2,1,4,0,6,1440,1.0,2.5,2
0,4,11,1,5,0,5,1410,2.0,4.5,1
1,1,6,1,3,2,6,1460,6.0,4.5,1
0,1,15,0,4,2,11,1510,6.5,6.2,1
1,1,2,1,4,2,6,1510,5.0,3.5,1
1,4,6,1,0,2,8,1450,3.5,9.5,1
0,1,11,1,4,2,4,1560,7.5,4.5,1
1,4,6,1,3,2,0,1560,6.5,3.5,1
1,4,3,1,4,2,4,1280,1.0,7.5,1
0,4,7,1,3,2,4,1360,3.5,5.5,1
1,3,10,1,0,1,6,1310,7.5,4.5,1
1,1,3,0,4,2,4,1570,8.5,2.5,1
1,3,2,2,4,2,6,1310,2.0,4.2,1
0,1,11,0,0,0,4,1600,7.5,8.5,1
0,1,3,1,4,2,5,1450,6.5,8.5,1
1,4,2,1,3,2,6,1330,8.5,6.5,1
1,4,13,0,3,2,4,1490,3.5,7.2,1
1,4,2,1,4,0,6,1440,1.0,2.5,1
