Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
1,2,20,0,6,4,13,1470,6.5,2.5,0
1,1,2,0,1,3,4,1600,8.5,7.5,0
1,1,3,0,6,1,5,1540,6.5,4.7,0
1,4,16,0,6,3,4,1540,8.5,4.5,0
1,4,5,0,6,4,1,1430,5.5,7.5,0
1,1,24,2,7,3,1,1570,8.5,7.5,0
0,2,11,0,0,4,0,1510,7.5,0.0,0
1,4,3,0,6,3,4,1580,5.5,3.5,0
0,1,21,2,6,3,13,1530,6.5,4.5,0
0,4,3,1,6,3,13,1500,5.5,6.5,0
1,2,0,2,0,4,4,1510,7.5,2.5,0
0,1,7,0,0,0,4,1590,8.5,3.5,0
1,4,10,0,0,3,6,1500,6.5,6.5,0
0,2,6,1,6,4,4,1400,7.5,4.5,0
0,1,16,0,4,0,13,1570,7.5,8.5,0
1,1,22,0,6,3,5,1570,6.5,7.8,0
0,4,4,2,5,1,5,1530,6.5,6.5,0
0,3,5,0,6,4,3,1380,3.5,3.5,0
0,1,24,1,0,3,5,1530,6.5,6.5,0
1,4,4,1,5,3,0,1440,4.5,7.5,0
1,1,3,1,6,3,4,1540,6.5,4.7,0
0,1,5,0,5,3,15,1530,2.5,4.5,0
1,1,3,0,5,3,4,1510,7.5,7.5,0
0,1,0,0,0,0,2,1540,6.5,1.5,0
0,0,4,1,6,4,3,1500,6.5,3.7,0
1,4,5,0,0,3,4,1570,5.5,7.5,0
0,4,18,0,6,0,4,1470,6.5,0.0,0
1,1,3,0,6,1,2,1590,6.5,4.5,0
1,1,3,0,6,1,2,1590,6.5,6.5,0
2,1,3,1,6,4,4,1570,6.5,4.2,0
1,3,16,0,0,1,5,1310,7.5,4.5,0
1,4,5,1,6,4,3,1520,5.5,7.5,0
0,1,11,0,6,3,4,1550,6.5,6.3,0
1,1,20,0,0,3,1,1560,7.5,0.0,0
0,1,17,0,6,3,4,1570,8.5,8.5,0
0,1,17,0,6,3,4,1570,8.5,8.5,0
0,1,0,0,6,3,4,1540,7.5,4.5,0
0,1,0,0,6,3,4,1540,7.5,4.5,0
0,1,0,1,6,3,4,1550,4.5,7.5,0
0,1,0,0,6,3,4,1540,7.5,4.5,0
2,1,3,0,6,0,1,1400,7.5,7.7,0
0,1,16,1,0,0,4,1410,7.5,4.5,0
1,3,0,1,6,3,2,1500,6.5,6.5,0
1,4,2,1,1,2,17,1570,7.5,6.5,0
0,1,16,2,6,3,10,1540,7.5,7.5,0
1,1,0,1,6,0,3,1300,6.0,7.5,2
0,4,9,0,0,1,1,1530,6.5,4.2,2
0,1,3,0,6,1,10,1490,7.5,4.5,2
1,1,3,1,5,3,4,1550,7.5,6.5,2
1,2,13,0,6,4,4,1530,6.5,4.7,2
1,2,20,0,6,4,13,1470,6.5,2.5,2
0,4,3,0,6,3,5,1350,5.5,2.5,2
0,4,11,0,0,3,4,1580,3.5,1.0,2
0,1,16,0,6,3,13,1500,6.5,4.2,2
1,4,11,0,6,3,4,1520,6.5,7.2,2
1,1,3,2,6,3,7,1470,6.5,7.5,2
0,1,3,1,6,3,4,1300,3.5,7.2,2
