Value,Count
MISSING,33975
OTHER,13046
*MIT,1138
*UPENN,821
*UCLA,738
*CORNELL,730
*YALE,682
*COLUMBIA,679
*STANFORD,673
*HARVARD,670
*BERKELEY,608
*BROWN,602
*NORTHEASTERN,563
*UCSD,563
*NORTHWESTERN,539
*PRINCETON,536
*DUKE,533
*UMICH,507
*USC,502
*NYU,449
*VANDERBILT,392
*GEORGIA TECH,376
*UCI,368
*CMU,364
*UCSB,358
*UIUC,342
*PURDUE,330
*DARTMOUTH,330
*RICE,312
*UCD,295
*UCHICAGO,293
*EMORY,273
*UVA,271
*JOHNS HOPKINS,268
*BOSTON UNIVERSITY,264
*WASHU,253
*TUFTS,248
*CASE WESTERN,217
*UT-AUSTIN,200
*POMONA,196
*CALTECH,193
*FORDHAM,180
*WILLIAMS,179
*UCSC,178
*SWARTHMORE,169
*ARIZONA STATE,139
*BOSTON COLLEGE,133
*RUTGERS,124
*UNC CHAPEL HILL,123
*UCR,120
*TULANE,105
*VIRGINIA TECH,95
*UW MADISON,94
*San Jose State University,79
*HARVEY MUDD,75
*COLGATE,72
*TAMU,69
*CLAREMONT MCKENNA,50
*UT-DALLAS,44
*UCM,37
