Gender,Race,Residence,Income Bracket,Type of School,Hooks,Intended Major(s),GPA (UW/W),Rank (or percentile),# of Honors/AP/IB/Dual Enrollment/etc.,Senior Year Course Load,SAT,ACT,AP,Extra Curriculars,Awards,Letters of rec,Interviews,Essays,Acceptances,Waitlists,Rejections,Nationality
Male,Asian,Michigan,"<$60,000",Public,None,"Biology Pre-Med, Chemistry Pre-Med",4.0/4.4259,N/A,"12 AP, 1 IB","AP Computer Science A, AP Physics C: Mechanics, AP Statistics, AP Lang, AP Spanish, Philharmonic Orchestra",1580,35,All 5's except for Spanish (4) and Lang (4),"['Engineering research assistant, ~20 hours/week', 'GSA president, ~5 hours/week', 'Interact Club vice president, ~5 hours/week', 'Recycling Club route officer, ~2 hours/week', 'Born This Way Foundation Advisory Board, ~5 hours/week', 'HOSA Event Captain, ~5 hours/week', 'Chinese Korean Culture Club Officer, ~1 hour/week', ""Patient Advocacy Intern at USA's oldest hospital, ~20 hours/week"", 'Undergraduate Researcher, ~10–30 hours/week', 'Hall Council Director of Events, ~3 hours/week', 'VAW Vice President, ~2 hours/week', 'FGLI/LGBTQ+ Program Founder, ~10–20 hours/week', 'Pre-Health Advisory Board, ~2 hours/week', 'Caretaker, ~10–40 hours/week', 'PICU Volunteer, ~10 hours/week', 'Surgery Pipeline Program Intern, ~2 hours/week']","['AP Scholar with Distinction', '3-time HOSA Regional Finalist & Silver Medal in Forensic Science', 'MSBOA Music Festival, Solo & Ensemble – Blue Ribbon & Red Ribbon', 'US National Chemistry Olympiad National Exam Nominee', 'Point Foundation Flagship Scholarship Semifinalist', 'First author publication in high impact journal', '2023 Best Volunteer at PICU', 'Presidential Honors Scholars', ""Dean's Honors List""]","['Organic Chemistry professor – 10/10', 'Writing seminar professor – 7/10', 'Another writing seminar professor – 8/10', 'Research PI – 5/10']","Princeton, Penn, Cornell, MIT, Yale","6/10 for first year, 8/10 for transfer","['New York University', 'University of Michigan', 'University of Minnesota - Twin Cities', 'University of Southern California', 'UPenn', 'Johns Hopkins']","['Johns Hopkins (later rejected)', 'University of Chicago (later rejected)']","['Harvard', 'Brown', 'Columbia', 'Cornell', 'Duke', 'Northwestern', 'Princeton', 'Stanford', 'MIT', 'UPenn', 'Yale']",
Female,East Asian,rural Mississippi,low/middle income,small private school,underrepresented state; low ish income,Applied Global Health or Pre-med,4.38/4.40,top 10,took every my school had available. Never recorded/sent any scores to colleges bc they were too low.,"AP Euro, DC Calc, AP Physics, AP Gov, AP Lit",,31 composite; 32 superscore,,"['Health website educating women in the south after roe v wade (5hr/week; 2 years)', 'shadowed an ER doctor at local hospital, researched with a local doctor, and interned at another local hospital. (4 hrs/week; 3 years)', 'YMCA YAG state health officer and national youth advocate (2 years)', 'Track and Cross country: team captain (14 hrs week/ all 4 years)', 'Principal cellist in local orchestra (4 hrs week/4 years)', 'Social justice local movement (2ish hrs week/4 years)', 'Miss America pageant; local titleholder; founded an organization to teach kids about self care and confidence (2 years)', 'Theatre (4 years)', 'Freelance writer for a state wide newspaper; wrote about the state of Mississippi after roe and how it affected MS harder than other states.', 'Canvassed and campaigned for a local man running for representative of the state.']","['Gates semi finalist', 'Congressional silver medal (over 200+ service hours)', 'Bausch & Lomb Honorary Science Award from University of Rochester', 'State wide strings competition winner', 'Many sports awards and small school awards for highest grade']","['Physics teacher- didn’t like me much but enough to write me a letter. 6.7/10', 'English teacher- loved me I loved her she wrote a beautiful letter for me. 1000/10']","Harvard, Stanford, Princeton (in person), UPenn, MIT",Wrote about my experience as an Asian woman in pageants. Honestly my essay prob got me into most schools. I don’t even have the average ACT for most schools I got accepted into. I spent a lot of time on my essays as I started end of junior year until application days.,"['Harvard U (Attending)', 'Stanford U', 'UPenn', 'Vanderbilt ( 6k scholarship)', 'Carnegie Mellon', 'Williams', 'Emerson (30k per year)', 'Emory', 'UVA', 'UMICH', 'Case western', 'Alabama']","['Notre dame', 'Boston college', 'Boston U', 'Cornell', 'Dartmouth', 'Northwestern', 'WASHU', 'Swarthmore', 'Tufts', 'NYU', 'Yale']","['Brown (ED) Rejected', 'Columbia', 'Northeastern', 'Duke', 'John’s Hopkins', 'Uchicago', 'MIT']",
Female,white/jewish mexican,NY,120k,competitive public,n/a,,2.6,school doesn't rank,all classes are honors level,"took standard courses, but they all aligned with my majors","1100 (700RW, 400M)",,,"['founded a club based around gender justice and community service acts that support women', 'volunteered as a student teacher for low income kids (100+ hours)', 'worked as a liaison to an environmental organization', 'editor at school art magazine', 'volunteered at a food pantry (35 hours)', 'co-president of school comedy club', 'study abroad program in australia where i studied conservation', 'college course on urban education', 'member of school model congress', 'teachers assistant']",,"[""9/10: My history teacher from 11th grade who I also TA'd for. Sweetest lady ever, she and I are very close. Only reason it wasn't a 10/10 was because my grade wasn't the best."", ""7/10: Junior year English teacher. She and I weren't very close but I did well in her class."", '8/10: Advisor rec, super close with my advisor but I was a bit of a difficult student.']","[""Syracuse: 5/10, honestly I did this way too early and my interviewer and I didn't really click. I wish I'd done it later in the process."", ""Lake Forest: 7/10, I really liked my interview here but I think I should've explained my poor academic performance a bit better."", 'Mount Holyoke: 8/10, my interviewer and I really clicked, again, I think I did it much too early in the process.', 'Hobart William Smith: 10/10, I want to be best friends with my interviewer, we clicked so well. Honestly was dying to go to HWS after the interview.']","10/10. Honestly one of my best pieces of writing. I wrote about my queer identity and my love of words, specifically how the two intersected. It was super tailored. I spent like 4 months working on it and wrote 11 different essays before landing on this one.","['University of New Haven (25k scholarship per year)', 'SUNY Plattsburgh', 'Hartwick College (140k scholarship)', 'SUNY Oneonta (housing scholarship)', 'University of New Hampshire', 'Temple University', 'Purchase College (7k per year scholarship)', 'University of Toronto (ACCEPTED+COMMITTED GO TRUE BLUE YEAHHHH)']","['Elon University, accepted off waitlist', 'University at Buffalo, accepted off waitlist', ""University of Vermont, accepted through Verto pathway, still haven't heard from the main waitlist""]","['University of Delaware', 'SUNY New Paltz (I was given a guaranteed transfer though)', 'Marist (EA)', 'Binghamton', 'Lake Forest (EA 2)', 'Skidmore College (ED2)', 'Emerson', 'University of Rhode Island (EA)', 'Kenyon College', 'American University', ""Bard (EA, deferred--> rejected, I didn't send a LOCI so I was kind of asking for this)"", 'Syracuse (this one stung)', 'Mount Holyoke (only rejection that made me cry)', 'NYU (I only applied for giggles)', 'Drexel']",
,,,Full Pay,Elite International School,,Political Science,,,,,1490,,,"['Published a book about political dynamics in African countries', ""Working full time as an assistant at parents' tech startup"", 'Full stack software developer at major telecommunications company', 'Cooking club', 'Squash']",,,,,"['Brown', 'UPenn', 'Columbia', 'Stanford', 'Northwestern', 'Duke', 'University of Michigan', 'Pomona', 'Amherst', 'Swarthmore', 'Georgetown']","['Harvard', 'Yale', 'Dartmouth']","['Princeton', 'Cornell', 'UChicago', 'Washington University in St. Louis', 'Berkeley', 'Rice', 'UCLA']",Lesotho
Male,Hispanic and white,FL,"Middle class, EFC around 15-25k",Large public (3-4k),URM,Finance or economics,"3.97 UW, 5.35 W (on a 6.0 scale)",3/875 (top 0.3%),"19 AP Classes, 8 Dual Enrollment",,"1540 super score (770, 770)",,,"['Debate - President of the team, grew from 20->50 members, fundraising, planning tournaments, national circuit, TOC Bid, fundraised close to 10 thousand dollars', 'DECA - President, 1st-year chapter, 40+ interested members, resume-building, mock interviews', 'Varsity Lacrosse - 9-12th grade, team captain 11th and 12th grade', 'Beta Club - community service, yearly convention', 'Mu Alpha Theta - volunteered by tutoring peers in math after school', 'Side hustles - reselling sneakers/memorabilia and sports photography']","['Top 25/380 overall at a National debate tournament (2022)', 'Tournament of Champions Bid, semi-finals at Sunvite (11th)', 'National Qualifier and Attendee of the 2023 NSDA National Speech and Debate Tournament (11th)', 'Quarter-finalist in World Schools Debate at the 2023 Florida Forensics League Varsity State tournament, 2nd best speaker award (11th)', 'Champion of the Florida State Beta Convention academic competition in Science (10th)']","['Calc teacher - 2 years, friendly relationship', 'AP Histories and AP Macro teacher - 3 years, highest scores on tests, discuss politics and philosophy', 'Debate coach - knows student better than any other teacher']",,,"['Notre Dame (merit scholarship + Business Honors Program)', 'Florida State (Max Merit Scholarship + Honors College)', 'USC Marshall', 'Florida (Honors College and URSP invite)', 'Northwestern']","['Georgetown MCB', 'Williams', 'Middlebury']","['UChicago', 'Harvard', 'Yale', 'Princeton', 'Brown', 'Columbia', 'Dartmouth', 'Cornell', 'UPenn Wharton', 'Duke']",
Dude,White,West Coast,No aid,IB public school,Double legacy at HYP school,"PPE/Political Economy where offered, Econ otherwise",4.0 UW (as of midyear) school doesn’t weight officially but 4.7ish,"Valedictorian but didn’t know, school doesn’t rank, only reported to waitlist schools",12 IB 2 AP 6 DE,"2 IB classes, AP Calc BC, 6 community college classes in social sciences/humanities (I finished IB diploma as a junior)","1510 (770RW, 740M)",,36 on the IB diploma with 5s in HLs. 6/6/7 in SL,"['Paid summer job for US govt. in foreign country', 'NHS president', 'Varsity sport captain (FAR from being recruited)', 'Other club president (debate ish)', 'Other club president (fun one)', 'Other sport I suck at']",['PSAT Commendation'],"['Teacher #1 gave me a very good rec, English teacher', 'Other one (physics) was likely very generic but I am cool with the teacher', 'Counselor likes me but doesn’t know me well']","I did interviews at 2/3 HYP, Washington and Lee, Hamilton, and Claremont McKenna. Only in the CMC one did I really connect with my interviewer, who urged me to apply ED2. Brown video was mid.","Personal statement was sports based but not super generic, more about finding community than the sport.","['Bates', 'Hamilton', 'Middlebury (committed initially)', 'Washington and Lee', 'Whitman (big merit aid)', 'UW-Seattle']","['Williams (accepted, attending)', 'Claremont McKenna (Applied RD, withdrew after Williams A)']","['HYP (applied to legacy one REA and rejected)', 'Brown', 'Johns Hopkins', 'UNC Chapel Hill']",
M,Singaporean Chinese (International applicant),Singapore,Didn't matter (on full-ride scholarship),"Public Government School, not from the big 3 SG public Ivy/Oxbridge feeder schools that start with 'R', 'A' or 'H'",-,"Economics/International Affairs (US); Philosophy, Politics, Economics (PPE) (UK)","Sec 3 (G9 equivalent): 3.07/4.0, Sec 4 (G10 equivalent): 3.66 UW 3.86 W out of 4.0, JC1 overall results (G11 equivalent): all As except 1 B, JC2 Preliminary overall results: all As",Singapore public schools don't rank students,"Singapore GCE A-Levels 6 As (90RP - maximum score), Merit in H3 Research Paper (University-level thesis paper)","H2: Physics, Chemistry, Math, Music with H3, H1: General Paper, Project Work",1550/1600,,,"[""Chairperson, headed school's humanities club-cum-talent development programme"", ""Sec-Gen, school's MUN conference"", 'Dialogue session moderator', ""Violin and Piano Performer, school's Music Elective Programme"", 'Composer, Only music composing major in school music cohort', 'Music Librarian, String Ensemble', 'Founder, Leader of self-initiated volunteering programme targetted towards underprivileged kids', ""Club Treasurer, school's Japanese club | Japanese learner under scholarship programme"", 'Events Assistant Lead turned VP, school alumni association', 'Naval Warfare Systems Operator, Navy']","['Full-ride merits-based government scholarship for undergrad + post grad studies, with a bond to an Econs-based government organisation for a number of years. 1 of 4 scholars nationally in my year', 'Best Delegate (1st) in OxfordMUN', 'Honourable Mention (3rd) in YaleMUN', 'Pre-University Defence-related STEM scholarship, 1 of 30 recipients nationally', 'Pre-University Music scholarship, 1 of 12 recipients nationally']","[""Good relationship with teachers and counsellor who provided LORs, but as my school rarely sends people to US universities, I have a feeling that the LORs weren't written in the style that US college AOs prefer, since my recommenders were probably unfamiliar with the style of writing and weren't given as much guidance for this (I don't blame them though, I'm still really grateful for them agreeing to help!) 7/10""]","Had a great experience for all 3 interviews I got (Princeton, Stanford, UPenn Huntsman), where we had very lively conversations about personal life and understanding more about the university! My Princeton interviewer had a good 1h debate on macroeconomics during our interview (that sidetracked very heavily from the interview itself!) Definitely the highlight of the college admissions process, got to know many amazing and accomplished alumni of the schools. 9/10","Took 4 months to draft, re-draft and re-draft all the US essays! As someone who really didn't read much fiction books growing up and brought up in an education system that prioritised a very different style of writing for similar higher education opportunities (I was far more well-versed in the UK-style personal statement writing), I wasn't very good in writing in the flowery manner of the US common apps, and I grew better at it over time. Gave me a great chance to reflect on my personal story and growth over my high school and post-high-school experience. I still feel that my final essays turned out a bit too cold in terms of the writing, but I'm just happy that I gave it my best shot.","['Oxford PPE', 'UPenn RD (Wharton and College of Arts & Sciences) (Huntsman Program for International Studies and Business - Japanese target) --> Committed!', 'University College London PPE', 'University of Warwick PPE', 'University of St Andrews Economics and International Relations', 'National University of Singapore Law and Economics Double Degree Programme']",[],"['Stanford REA (Deferred --> Rejected)', 'Harvard RD', 'Princeton RD', 'Yale RD', 'MIT RD', 'Columbia RD', 'London School of Economics PPE']",
Female,East Asian,Greater Cleveland area,~250K,"Small, competitive, secular private all-girls school",none,"English (Creative Writing when applicable), Psychology, Pre-Med",3.92/4.31,top 20% (15 students),"6 honors, 5 APs","AP Lit, AP Calc AB, AP Physics C: Mech, World Literature, Chinese 1/2, and 10 other elective classes (3 were single sem)","1540 (750RW, 790M)",N/A,AP Lang (4),"['Theatre (FR-SR): 3 lead roles, vocal section leader. 12 hr/w, 12 w/y', 'French Horn (FR-SR): 3 yrs section leader/1st hornist. 2.5 h/w, 36 w/y', 'Creative Arts Fellow (FR-SR): take at least 3 arts credits, do 2 out of school workshops, complete capstone project of at least 80 hours of work + presentation. 3 hr/w, 36 w/y', 'Innovation, Design, Engineering, and Arts (IDEA) Fellow (SO-SR): take at least 2 IDEA courses, do 1 out of school workshops, 15 contact hours, complete capstone project of at least 80 hours of work + presentation. 5 hr/w, 36 w/y', 'IDEA Lab Leader (JR-SR): Supervise lab safety and assist others in the lab. 3 hr/w, 36 w/y', 'Osborne Writing Fellow (JR-SR): 1 Scholastic Writing Award, silver key. Capstone writing portfolio + presentation. 3 hr/w, 36 w/y', 'Chorist at school (FR, JR-SR): 2.5 hr/w, 36 w/y', 'Soloist and small ensemblist (FR, JR-SR): Ohio Music Education Association (OMEA) Solo and Ensemble Competitions, 3 Outstanding awards, 1 Superior award. 1 hr/w, 18 w/y', 'Chorist with the Cleveland Institute of Music Advanced Youth Chamber Choir (FR-SO): 2 hr/w, 36 w/y', 'Tri-M Music Honors Society: (SO-SR): volunteer music service. 1 hr/w, 10 w/y']","['High Honors FR-JR', 'National Merit Commended']","['AP Lang teacher: 8/10', 'Pre-calc teacher: 8/10', 'Counselor: 6/10']","UPenn: The lady was nice but this was my first and only interview and I honestly bombed it. Had almost no questions to ask her, I took the call in a very badly lit room at my school, I responded to her email late. The interview was over in 20 minutes.","Common App Personal Essay: I actually really liked this essay. I spent a lot of time trying to figure out what I wanted to write and my first couple of drafts were horrible, but then one day it finally clicked and I got it all out in about 40 minutes. I talked about how in 2021 when Asian hate crimes were on the rise, there was one story in particular that had me terrified for my life as an Asian and it was ironic because that particular story wasn't even really an Asian hate crime: it was road rage and the victim happened to be Asian. I continued to talk about how that spurred me to want to learn and immerse myself more in my culture because I didn't want to lose that connection and if I was going to be scared for my life because of one aspect of my identity, then I better know all that I can about that identity. I then talked more about the various projects that my pursuit of cultural connection spurred me to take on. I was very proud of this essay.","['Rice ED, defer —> accept + committed!! I did send a LOCI. 40k in aid', 'Emory RD, 35k in aid', 'Stony Brook EA, 11.5k scholarship', 'Binghamton EA, 13k scholarship + honors college', 'University of Houston RD, submitted early for scholarship consideration. 7k in scholarship + in-state tuition (so basically another 15k in scholarship) + honors college']","['NYU RD, denied waitlist', 'Boston College RD, denied waitlist']","['Harvard RD', 'UPenn RD', 'Northwestern RD', 'Boston University RD']",
Male,Latino,VA,Unsure,Public High School,First Gen,Politics/Business,3.97/4.43,Top 10%,13,6 APs,,,,"['Cross country- 4 years Varsity/Captain', 'Indoor/Outdoor Track- 3 years/Captain', 'Model UN/General Assembly- Founded Model UN branch/ increased membership following Covid/President', 'YLI- Selective program through the Hispanic Scholarship Fund over the summer to select high achieving Hispanic students for a summer program.', 'Student Advisory Board: 1 of 8 students in Virginia to be selected to represent their region in front of the Board of Education in bringing attention to student issues.', 'National Honor Society- 3 years/Vice President', 'Spanish Honor Society- 2 years/Head of Social Media Outreach', 'Tri-M Music Honor society- 2 years/ Vice President', 'Family Business: helped parents run business through both manual labor and in writing invoices, etc.', 'Parks and Rec Assistant Soccer Coach- for fun.']","['William and Mary Leadership Award', 'Hispanic Scholarship Fund Scholar', 'College Board National Hispanic Recognition Award', 'Regional Winner: International Business category for Future Business Leaders of America', ""Regional Winner: Governor's Economics and Finance Challenges (4-Person Team Competitions)""]","['English Teacher 10th- 9/10', 'Spanish Teacher- 9/10', 'Club Sponsor- 6/10', 'Counselor: 8/10']","['William and Mary: 9/10', 'Washington and Lee: 8/10', 'Yale: 8/10', 'Stanford: 6.5/10']",Spent about a week writing two copies of my common app essay. One focused on my love for poetry and another for my experience as the child of immigrants; I chose the second and used the other one as an additional essay for UChicago and as the main one for W and L (I used the immigrant one for the Johnson Scholarship). I had my English teacher from 11th grade look over both. Honestly some of my best writing.,"['University of Virginia- Accepted/ Honors and Full Ride-> Attending', 'Stanford- Accepted', 'Virginia Tech- Accepted', 'William and Mary- Accepted/ Tuition and Fees', 'Washington and Lee- Accepted/Full Ride', 'USC- Accepted/ 1/4 Tuition', 'University of Alabama- Accepted plus 128k over 4 years']","['Yale- didn’t join it', 'Boston University- also did not bother']",['University of Chicago- Deferred-> Rejected'],
Male,White,,<100k,Small Public,"Rural, Lower-Income","Architecture, Urban Studies, or something Pre-Law",4.0/4.21,1/121,"4 APs, All Honors, 9ish Dual Enrollment","DE Stats, DE Earth Science, DE Speech, Spanish II, AP Lang, Calc BC, Sports Training",,35,,"['Football: Team Captain, All-State HM, 3x All-Region, District Champs', 'Church: Usher, Worked Bible School, etc.', 'Drug Use Prevention Coalition: President, 3-Year Treasurer, presented at National Conference', 'Assistant in City Hall: Documented city cemeteries, helped with day to day needs', 'Youth Sports Coach: Football and Basketball', 'Librarian: Worked in the Public Library after school', 'Academic Team: First-Time Region Champs in History, Top competition in the state in Arts and Humanities, 5th place at state', 'Student Body President, Student Council President', 'Competitive Summer Residential Programs', 'Work: Worked in a factory that manufactured PPE during the COVID Pandemic']","['National Merit Scholar', 'Competitive Residential Summer Programs', 'Student Government: Class and Student Body President', 'Region Champ in Academic Team', 'Anti Drug Coalition President']","['English Teacher (10/10): He let me read it and it was incredible. He talked about me in a social light that I hadn’t ever heard expressed about Homecoming King. Was truly an eye opening read.', 'Academic Team Coach (9/10): Less well written but way more personal. Helped build intellectual curiosity. Also one of my favorite people in the world', 'Earth Science Professor (8/10): Family friend who got me engaged in the classroom for the first time in years. The essay was not perfect but it helped showcase my actions in an academic and personal/religious/extracurricular light', 'City Clerk (9/10): Very personal to the point that I don’t feel comfortable sharing, but she is someone I loved. Saw me so far removed from an academic light that I believe it allowed me to shine from a different direction.']","['Harvard (10/10): Amazing Guy, talked for an hour and a half. Was from the town over and had ties to where my brother went to college. Reached out to the admissions office to see if he could provide an additional recommendation. Biggest regret about not choosing Harvard will be not getting to see this file. Truly one of the best convos I’ve ever had.', 'Yale (6/10): Was with a current senior. Not very memorable, but didn’t go bad. Except for when I said “I’m excited about college because I can focus on what I want to” and she said “it’s a liberal arts school.”', 'Princeton (11/10): Phenomenal. No words. The most eclectic and genuine guy. He was elderly, but he was so encouraging and another amazing convo. This interview made me feel like I had a shot at an Ivy for the first time. Writing the email to let him know I chose Yale was so awful but he was so reassuring. I hope to be like this man one day.', 'Columbia (?/10): No interview, but I was lucky enough to visit prior to apps. Columbia had no after tour meetings but I went to the AO and spoke with an officer and it was awesome. She was a resource throughout the app process and I think she may have played a big part in my acceptance (she and I talked afterward and she was very happy, I wrote a great email about how everyone at Columbia should be more like her…you’re the best Elizabeth Alt!!!)']","['Personal Statement(8.5/10): I absolutely loved this piece but a lot of those who read it weren’t as stunned. It was about how reading allowed me to travel across the world from my small hometown in Appalachia. I liked it and it set up so many feelers for the rest of my app. May not have been the home run, but it set it up.', 'Why Essays (10/10 minus Vandy and Harvard the first time): these ate lowkey. I fell in love with these schools and it showed. I connected each schools identity with what I wanted to do and it this isn’t super descriptive but they were and they were deeply personal.', 'Cemetery Essay (10/10): This was my home run. Wrote about my summer job working in the cemetery. Such an impactful time and a unique experience. Wrote about how it sparked a joy in people’s stories and our role as historians and links to the past. Even at Yale this is the essay people loves', 'That one architecture essay for Yale (10000/10): Best thing ive ever written. An extended metaphor about the power of architecture and utilized Yale architects (Maya Lin and Errol Sarinen) as key influences. Wrapped it up with a piece about the Gateway arch as a symbol of how architecture can continue to create the best future possible. I legit smile when I read this. Every. Daggum. Time.']","['Harvard (REA) - Deferred - Accepted', 'Yale (RD) - Accepted and Attending', 'Princeton (RD) - Accepted', 'Columbia (RD) - Accepted w/ Likely', 'University of Kentucky (EA) - Accepted', 'University of Louisville (EA) - Accepted', 'Centre College (RD) - Accepted']",['Vanderbilt (RD) - Waitlist'],['Brown (RD) - Rejection'],
